Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Real Life Crisis Pregnancy Center,104 W Alabama Ave Suite F,Albertville,Alabama (AL),35950,(256) 878- 1300,https://reallifecpc.org/,"https://www.google.com/maps/place/Crisis+Pregnancy+Center/@34.2657335,-86.2121409,17z/data=!3m1!4b1!4m5!3m4!1s0x888a1cd1477898b9:0x29dca3739cbdc711!8m2!3d34.2657335!4d-86.2099522",https://www.facebook.com/RealLifeCrisisPregnancyCenter/,
Sav-A-Life Tallopoosa County Center,5 Lee St,Alexander,Alabama (AL),35010,(256) 329-2273,http://www.acsavealife.com,"https://google.com/maps/place/Sav-A-Life+of+Tallapoosa+County/@32.9436048,-85.9542624,15z/data=!4m5!3m4!1s0x0:0xdf7ae7f460e1a7b7!8m2!3d32.9434907!4d-85.9546555",https://www.facebook.com/savalifeoftallapoosacounty/,https://www.yelp.com/biz/sav-a-life-of-tallapoosa-county-alexander-city?osq=sav-a-life
Sav-A-Life Family Hope Center,116 Crescent St,Andalusia,Alabama (AL),36420,(334) 222-0644,http://www.pregnancyctr.com/,"https://www.google.com/maps/place/Sav-A-Life+Family+Hope+Center/@31.3089143,-86.4854794,17z/data=!3m1!4b1!4m5!3m4!1s0x8891eea0dfc8c145:0x51c0722ed811ab8d!8m2!3d31.3089143!4d-86.4832907",https://www.facebook.com/savalifefhc/,https://www.yelp.com/biz/sav-a-life-family-hope-center-andalusia-2?osq=Sav-A-Life+Family+Hope+Center
HOPE Women's Services,1506-A Leighton Ave,Anniston,Alabama (AL),36207,(256) 237-9999,https://hopewomensservices.com/,"https://www.google.com/maps/place/HOPE+Women's+Services+Anniston/@33.6629586,-85.8254655,15z/data=!4m2!3m1!1s0x0:0x9b2efbbf24543817?sa=X&ved=2ahUKEwiK7cSVm5L6AhWmlmoFHfGIC6gQ_BJ6BAhSEAU",https://www.facebook.com/hopewomensservices/,
Women's Resource Center,727-D West Market Street,Athens,Alabama (AL),35611,(256) 233-5775,https://wrcathens.org/,"https://www.google.com/maps/place/Women's+Resource+Center/@34.8030747,-86.9811436,15z/data=!4m5!3m4!1s0x0:0x7c1a190e1a977691!8m2!3d34.8030747!4d-86.9811436",https://www.facebook.com/athensALcenter/,
Sav-A-Life Escambia County ,204 S Pensacola Avenue,Atmore,Alabama (AL),36426,(251) 867-4947,,"https://www.google.com/maps/search/SAL+Family+Resource+Center%09204+S+Pensacola+Avenue%09Atmore%09AL/@31.0217086,-87.4947668,17z/data=!3m1!4b1",https://www.facebook.com/Sav-A-Life-Escambia-County-Alabama-160505653969749/,
Women's Hope Medical Clinic,832 Stage Road,Auburn,Alabama (AL),36830,(334) 502-7000,https://womenshope.org/,"https://www.google.com/maps/place/Women's+Hope+Medical+Clinic/@32.6144191,-85.4633216,15z/data=!4m2!3m1!1s0x0:0x3ac20c33d4b7aed1?sa=X&ved=2ahUKEwjGnbyJ2cvvAhXQEVkFHTqPDUEQ_BIwEnoECCQQBQ",https://www.facebook.com/WomensHopeMedicalClinic/,
Women's Care Medical Center,"1900 US-31, Annex Bldg. Room 102",Bay Minette,Alabama (AL),36507,(251) 947-2111,www.womenscaremedicalcenter.org,"https://www.google.com/maps/place/Coastal+Alabama+Community+College/@30.851684,-87.777356,16z/data=!4m5!3m4!1s0x0:0x335d54bc99f19d43!8m2!3d30.8516838!4d-87.777356?hl=en",https://www.facebook.com/WomensCareMedicalCenter/?rf=111810702216962,
Positive Choices,"1120 Gadsden Hwy, Suite 201",Birmingham,Alabama (AL),35235,(205) 836-0564,www.pregnancybirmingham.com,"https://www.google.com/maps/place/Positive+Choices+Pregnancy+Center/@33.5888482,-86.6581925,17z/data=!3m1!4b1!4m5!3m4!1s0x88890de3ff55190d:0x737740d3338b14d!8m2!3d33.5888482!4d-86.6560038",https://www.facebook.com/Positive-Choices-102976263103384/,https://www.yelp.com/biz/positive-choices-birmingham
Her Choice Birmingham Women's Center,2120 7th Ave S,Birmingham,Alabama (AL),35233,(205) 252-0706,www.herchoicebirmingham.org,"https://www.google.com/maps/place/Her+Choice+Birmingham+Women's+Center/@33.5070996,-86.7998313,17z/data=!3m1!4b1!4m5!3m4!1s0x88891bc0c45075cf:0x215983c2fe8234af!8m2!3d33.5070996!4d-86.7976426",https://www.facebook.com/Her-Choice-Birmingham-Womens-Center-166494726696421/,https://www.yelp.com/biz/her-choice-birmingham-womens-center-birmingham
