,Total
01,2.0
02,2.0
04,1.0
0deg,4.0
0px,7003.0
0s,1.0
10,68.0
100,63.0
1000000,1.0
10001,79.0
100px,8.0
100vw,6.0
1070,1.0
1080p,2.0
10am,17.0
10pm,1.0
10px,288.0
11,21.0
1101,1.0
11293,1.0
115,18.0
11am,10.0
11px,61.0
12,8.0
120,1.0
1200p,2.0
1226,1.0
123,78.0
1234,2.0
1277,6.0
12px,100.0
13,3.0
133,1.0
13th,3.0
14,2.0
140,1.0
15,2.0
150,1.0
150ms,1.0
15px,15.0
16,2.0
160,2.0
168,1.0
16px,3.0
16th,2.0
17,2.0
17px,2.0
18,7.0
1860s,1.0
18px,28.0
19,1.0
1920p,2.0
1966,1.0
1968,3.0
1969,1.0
1998,1.0
19px,1.0
1em,147.0
1fr,70.0
1px,428.0
1rem,1.0
1s,440.0
1st,3.0
20,6.0
2008,1.0
2009,1.0
200ms,25.0
200px,3.0
2012,1.0
2013,3.0
2015,20.0
2016,1.0
2018,61.0
2019,2.0
2021,8.0
2022,4.0
2023,62.0
203,1.0
2099,1.0
20px,711.0
21,1.0
217,1.0
21px,1.0
22,1.0
22px,68.0
23,1.0
23px,21.0
24,40.0
241,1.0
24px,2.0
25,1.0
250,1.0
250ms,1.0
250p,2.0
25p,1.0
25px,15.0
26,1.0
27,1.0
28,1.0
280p,2.0
28px,22.0
29,2.0
29px,1.0
2em,21.0
2fr,5.0
2nd,1.0
2px,366.0
30,1.0
300,2.0
3001,1.0
300ms,5.0
309,1.0
30px,66.0
31,2.0
3120,1.0
313131,1.0
3141b,1.0
31px,1.0
32,2.0
329,1.0
32px,63.0
33,1.0
333ms,8.0
336p,2.0
33px,1.0
34,2.0
35,3.0
350p,2.0
35px,19.0
36,4.0
37,1.0
37px,5.0
38,1.0
38652,16.0
38671,6.0
39,1.0
39157,1.0
39402,1.0
39440,17.0
39466,1.0
39553,1.0
3c6,63.0
3px,64.0
3rd,1.0
3s,1.0
40,2.0
400,1.0
40px,16.0
41px,1.0
45px,2.0
461,1.0
47,2.0
48,3.0
48px,4.0
4em,2.0
4pm,2.0
4px,73.0
4ubirthmothers,1.0
50,43.0
500,1.0
501c3,1.0
50px,60.0
53px,1.0
54px,1.0
55,1.0
5k,19.0
5pm,18.0
5px,252.0
5x,1.0
60,11.0
60657,1.0
60px,21.0
628p,2.0
63,1.0
64,1.0
67px,18.0
69866,1.0
6fr,3.0
6px,69.0
70,2.0
700,4.0
70px,5.0
711,1.0
71px,36.0
72,5.0
723,16.0
73103,1.0
767,7.0
768,4.0
777,65.0
7am,1.0
7pm,9.0
7pmclick,1.0
7px,84.0
7th,3.0
80,2.0
80px,1.0
855,1.0
864,1.0
88,1.0
8px,6.0
90,1.0
90cy2676,1.0
90px,2.0
911,7.0
921px,61.0
94609,1.0
988,14.0
99,1.0
99px,2.0
9am,10.0
9px,6.0
__gatracker,2.0
_max_,1.0
_menu_,1.0
_page_,1.0
_stq,1.0
_wpmejssettings,1.0
_wputilsettings,2.0
aaron,1.0
abba,1.0
abdominal,1.0
ability,2.0
able,8.0
abnormal,3.0
abnormalities,1.0
abolish,1.0
abort,2.0
abortion,354.0
abortionat,4.0
abortionhelping,1.0
abortions,11.0
about,197.0
above,2.0
abraham,2.0
absolute,5.0
abstinence,3.0
abuse,15.0
academy,2.0
accept,13.0
acceptable,2.0
acceptallbutton,3.0
acceptalllink,1.0
acceptbannerfptidata,2.0
accepted,3.0
accepting,3.0
access,22.0
accessibility,2.0
accessible,1.0
accessing,4.0
accidental,1.0
accommodate,2.0
accompanied,2.0
accomplished,1.0
accordance,4.0
according,3.0
accordingly,2.0
account,72.0
accountability,3.0
accounts,2.0
accreditation,1.0
accredited,1.0
accurate,12.0
accurately,1.0
acerca,39.0
ach,1.0
achieved,1.0
acknowledge,3.0
across,16.0
act,7.0
action,15.0
activate,2.0
active,6.0
activeelement,1.0
activities,3.0
activity,3.0
actual,2.0
actually,6.0
acuity,2.0
ad,135.0
adam,2.0
add,16.0
addbreadcrumb,1.0
added,5.0
adding,8.0
