Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Community Pregnancy Center of Anchorage,4231 Lake Otis Pkwy,Anchorage,Alaska (AK),99508,(907) 337-9292,http://www.cpcanchorage.com/,https://www.google.com/maps?q=Community+Pregnancy+Center+of+Anchorage+4231+Lake+Otis+Anchorage+AK&um=1&ie=UTF-8&sa=X&ved=0ahUKEwje1uK55JTcAhUJVt8KHS7QAjgQ_AUICigB,https://www.facebook.com/cpcanchorage/,https://www.yelp.com/biz/community-pregnancy-center-anchorage
Heart to Heart Pregnancy Resource Center,12110 Business Blvd #32,Eagle River,Alaska (AK),99577,(907) 694-1747,https://h2hprc.org/,https://www.google.com/maps?q=Heart+to+Heart+Pregnancy+Resource+Center+12110+Business+Blvd+%2332+Eagle+River&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjC78e63pTcAhUChOAKHUXOCQoQ_AUICigB,https://www.facebook.com/Heart-to-Heart-Pregnancy-Resource-Center-129845070382358/abouthttps://www.facebook.com/HearttoHeartPRC,https://www.yelp.com/biz/pregnancy-resource-center-eagle-river
Fyndout Free Pregnancy Center,1402 Wilbur Street,Fairbanks,Alaska (AK),99701,(907) 455-8255,https://fyndoutfree.com/,"https://www.google.com/maps/place/Fyndout+Free+Pregnancy+Center/@64.8348458,-147.8458555,15z/data=!4m2!3m1!1s0x0:0xd869f2f9eae80e9b?sa=X&ved=2ahUKEwjFibuZtJX7AhUslGoFHYToDEwQ_BJ6BAhYEAU",https://www.facebook.com/FyndoutFreePregnancyCenter/,
Copper Basin Pregnancy Center,103 Aurora Drive,Glennallen,Alaska (AK),99588,(907) 882-4444,,"https://www.google.com/maps/place/Copper+Basin+Pregnancy+Center/@62.1088883,-145.5332833,17z/data=!4m8!1m2!2m1!1scopper+basin+pregnancy+center+google+reviews!3m4!1s0x56b58f7f02678561:0x56e33b27c5b18146!8m2!3d62.1088883!4d-145.5310946",https://www.facebook.com/Copper-Basin-Pregnancy-Center-613613805479894/?hc_ref=ARQh3aEn32X5HBMT4ORkekiJzWHUatPfKzcai0NnvbIwlAJrQrF4-Eh45DJUW6EWMOs&fref=nf,https://www.yelp.com/biz/copper-basin-pregnancy-center-glennallen
Water’s Edge: A Family Resource Center,3896 Bartlett St,Homer,Alaska (AK),99603,(907) 235-7899,http://the-waters-edge.org/index.html,,https://www.facebook.com/Waters-Edge-A-Family-Resource-Center-218637701514702/?__tn__=%2Cd%2CP-R&eid=ARBMJ2LpOErgMMvFMKD_NDhnkNxQJKgyRbTKZ_C1H9sdov8r0MI3t-XmBdZpr3_bBXqvuJBwq6_fzEab,
Juneau Pregnancy Resource Center,5750 Glacier Hwy Suite D-10,Juneau,Alaska (AK),99801,(907) 463-6366,https://www.juneaupregnancyresource.org/,"https://www.google.com/maps/place/Care+Net+Pregnancy+Center-Juneau/@58.3653452,-134.5907035,17z/data=!4m8!1m2!2m1!1sPO+Box+32204,+9328+Glacier+Hwy,+Ste+51B+Juneau+AK!3m4!1s0x54011e1ec4ae81b1:0x555f6d3db7159f77!8m2!3d58.3653587!4d-134.589396https://www.google.com/maps/place/Care+Net+Pregnancy+Center-Juneau/@58.3653822,-134.5893096,15z/data=!4m2!3m1!1s0x0:0x555f6d3db7159f77?sa=X&ved=2ahUKEwjn_b3htJX7AhWclGoFHQ-6Cy4Q_BJ6BAhUEAU",https://www.facebook.com/pages/biz/reproductive_services/Care-Net-Pregnancy-Center-of-Juneau/105345472864258/,
ABC Pregnancy Care Center,501 Frontage Road,Kenai,Alaska (AK),99611,(907) 283-9062,http://www.abclifechoices.org/,https://www.google.com/maps?q=ABC+Pregnancy+Care+Center+501+Frontage+Rd+Kenai+AK&um=1&ie=UTF-8&sa=X&ved=0ahUKEwi73tak5ZTcAhVRMd8KHS5CDgEQ_AUICigB,https://www.facebook.com/pages/ABC-Pregnancy-Care-Center/104857472914866,https://www.yelp.com/biz/abc-crisis-pregnancy-center-kenai?osq=abc
Sitka Pregnancy Center,"180 Price Street, Suite #25",Sitka,Alaska (AK),99835,(907) 623-0965,https://www.sitkapregnancycenter.org/,"https://www.google.com/maps/place/Sitka+Pregnancy+Center/@57.049776,-135.3040768,15z/data=!4m5!3m4!1s0x0:0x9d60a0eef98d5a73!8m2!3d57.0498314!4d-135.3040763",https://www.facebook.com/Sitka-Pregnancy-Center-1396803657000453/,
HeartReach Center,865 S Seward Meridian Parkway,Wasilla,Alaska (AK),99654,(907) 373-3456,http://heartreachalaska.com/,"https://www.google.com/maps/place/Heartreach+Center/@61.573961,-149.3601757,17z/data=!3m1!4b1!4m5!3m4!1s0x56c8de395478964f:0x7a934d886705fa05!8m2!3d61.573961!4d-149.357987",https://www.facebook.com/FriendsofHeartReach/,https://www.yelp.com/biz/heartreach-pregnancy-center-wasilla-2
Hannah’s Place Inc,220 Church Street,Wrangell,Alaska (AK),99929,(907) 660-7084,http://www.hannahsplaceinc.com/index.php,"https://www.google.com/maps/place/Hannah's+Place/@56.4710729,-132.3795468,15z/data=!4m2!3m1!1s0x0:0x3a72772f18bb210e?sa=X&ved=2ahUKEwjlz8yNxI_tAhWcRDABHSgwCvQQ_BIwCnoECBIQAw",https://www.facebook.com/pg/HannahsPlaceInc/about/?ref=page_internalhttps://www.facebook.com/HannahsPlaceInc,
