Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
"'The Pregnancy Help Center of San Gabriel Valley,",902 E Main Street,Alhambra,California (CA),91801,(626) 309-0788,https://pregnancyhelpsgv.org/,,,https://yelp.to/Dlpi2MtU8qb
Obria Medica Clinics,120 N Janss St.,Anaheim,California (CA),92805,,https://www.obria.org/locations/anaheim-ca/,"https://www.google.com/maps?ll=33.834364,-117.920918&z=15&t=m&hl=en-US&gl=US&mapclient=embed&q=120+N+Janss+St+Anaheim,+CA+92805",,
Calaveras Pregnancy Center - A Door of Hope,"571 Stanislaus Ave., Suite J",Angels Camp,California (CA),95222,,https://cdohope.org/,"https://www.google.com/maps/place/Calaveras+Door+of+Hope+Pregnancy+Center/@38.076234,-120.5523677,17z/data=!3m1!4b1!4m5!3m4!1s0x80909595775aecfd:0x2bb0de735a3b13e1!8m2!3d38.076234!4d-120.550179",https://www.facebook.com/cdohope/info,
Tree of Life Pregnancy Support Center - Atascadero,"7730 Morro Road, Suite 106",Atascadero,California (CA),93422,,http://www.treeoflifepsc.com/contact,"https://www.google.com/maps/place/Tree+of+Life+Pregnancy+Support+Center/@35.475436,-120.6704617,17z/data=!3m1!4b1!4m5!3m4!1s0x80ece82da09f25df:0x78093aa86839d9c6!8m2!3d35.475436!4d-120.668273",https://www.facebook.com/Tree-of-Life-Pregnancy-Support-Center-127534295259/,https://www.yelp.com/biz/tree-of-life-pregnancy-support-center-atascadero
Bakersfield Pregnancy Center,1801 18th St,Bakersfield,California (CA),93301,,http://wehelpyou.org/,"https://www.google.com/maps/place/Bakersfield+Pregnancy+Center/@35.375128,-119.0248647,17z/data=!3m1!4b1!4m5!3m4!1s0x80ea698cd32e5d11:0x7a5eb90239f9fe91!8m2!3d35.375128!4d-119.022676",https://www.facebook.com/bakersfieldpregnancycenter/,https://www.yelp.com/biz/bakersfield-pregnancy-center-bakersfield
Barstow Pregnancy Center,521 E Williams,Barstow,California (CA),92311,,https://pregnancycenterbarstow.com/,"https://www.google.com/maps/place/Barstow+Pregnancy+Center/@34.8978008,-117.0242338,17z/data=!3m1!4b1!4m5!3m4!1s0x80c47c82962f50e3:0xfb3217347e84b726!8m2!3d34.8978008!4d-117.0220451",https://www.facebook.com/BarstowPregnancyCenter/,
Birthright of Brentwood,857 2nd St - Ste D,Brentwood,California (CA),94513,,http://birthright.org/brentwood,"https://www.google.com/maps/place/Birthright+of+Brentwood/@37.935099,-121.6978407,17z/data=!3m1!4b1!4m5!3m4!1s0x808ffeeaba079803:0x81486cd408746cee!8m2!3d37.935099!4d-121.695652",https://www.facebook.com/brentwoodbirthright/,https://www.yelp.com/biz/birthright-international-brentwood?osq=birthright
Women's Resource Clinic,115 W. 2nd Avenue,Chico,California (CA),95926,(530) 897-6101,https://www.womensresourceclinic.org/,"https://www.google.com/maps/place/Women's+Resource+Clinic/@39.738422,-121.8489047,17z/data=!3m1!4b1!4m5!3m4!1s0x808327984ce4902d:0x30a4d694510774e2!8m2!3d39.738422!4d-121.846716",https://www.facebook.com/Womens-Resource-Clinic-134223569935367,https://www.yelp.com/biz/womens-resource-clinic-chico
Birthright of Chico,1280 E. 9th Street #B,Chico,California (CA),95928,(530) 345-9711,http://birthright.org/chico,"https://www.google.com/maps/place/Birthright/@39.761074,-121.8494398,17z/data=!3m1!4b1!4m5!3m4!1s0x8082d87a51db96d5:0x3dc4cff6820d563a!8m2!3d39.761074!4d-121.8472511",https://www.facebook.com/pages/Birthright/161442607209854,https://www.yelp.com/biz/abortion-alternatives-birthright-chico
Trinity Pregnancy Resource Center,350 Trinity Avenue,Chowchilla,California (CA),93610,,http://tprcenter.org/,https://www.google.com/maps?q=Trinity+Pregnancy+Resource+Center+209+S+4th+St+Chowchilla+CA&um=1&ie=UTF-8&sa=X&ved=0ahUKEwiN6I_vpKncAhUnmuAKHaZJAvcQ_AUICigB,https://www.facebook.com/pages/Trinity-Pregnancy-Resource-Center/123051944734392,https://www.yelp.com/biz/trinity-pregnancy-resource-center-chowchilla
Birthline of Chula Vista,1220 3rd Ave #1,Chula Vista,California (CA),91911,,http://birthlineofsandiego.org/,"https://www.google.com/maps/place/Birthline+of+San+Diego+County/@32.6094347,-117.0698959,17z/data=!3m1!4b1!4m5!3m4!1s0x80d94e87de76a839:0xfa220252995061c7!8m2!3d32.6094347!4d-117.0677072",https://www.facebook.com/BirthlineSD/,https://www.yelp.com/biz/birthline-of-san-diego-county-chula-vista
Silent Voices,"355 ""K"" St, Ste H",Chula Vista,California (CA),91911,,https://www.silentvoices.org/,"https://www.google.com/maps/place/Silent+Voices/@32.6235873,-117.0779459,17z/data=!3m1!4b1!4m5!3m4!1s0x80d94e76ed481159:0x162f8fa171889e49!8m2!3d32.6235873!4d-117.0757572",https://www.facebook.com/Silent-Voices-International-126129034087817/,https://www.yelp.com/biz/silent-voices-international-chula-vista
Grace Elliot Center,2817 N Wilmington,Compton,California (CA),90222,,http://www.graceelliottcenter.org/,"https://www.google.com/maps/place/The+Grace+Elliott+Center/@33.9177601,-118.2417561,17z/data=!3m1!4b1!4m5!3m4!1s0x80c2cbba61cc624d:0xd3ec4e48ae6c0f7b!8m2!3d33.9177601!4d-118.2395674",,https://www.yelp.com/biz/grace-elliott-pre-natal-clinic-compton
Birthright of Concord,3106 Clayton Road,Concord,California (CA),94519,,http://birthright.org/concord,"https://www.google.com/maps/place/Birthright+of+Concord/@37.9733256,-122.0240065,17z/data=!3m1!4b1!4m5!3m4!1s0x808567338d23d465:0xbf60bde0a5418ed2!8m2!3d37.9733256!4d-122.0218178",https://www.facebook.com/pages/Birthright/159840180707187,https://www.yelp.com/biz/birthright-concord
Options for Women of CA,"5167 Clayton Road, Suite H",Concord,California (CA),94512,,https://optionshealth.org/,"https://www.google.com/maps/place/Options+for+Women+of+California/@37.955875,-121.9687767,17z/data=!3m1!4b1!4m5!3m4!1s0x80855e39ab9566a9:0xb3869ceb81abbdbc!8m2!3d37.955875!4d-121.966588",https://www.facebook.com/friendsofofw/,https://www.yelp.com/biz/options-for-women-of-california-concord
Corona Life Services,"623 N Main St, Ste D6",Corona,California (CA),92880,,https://www.clspregnancy.com/ and https://coronalife.org/,"https://www.google.com/maps/place/Corona+Life+Services/@33.888027,-117.5631998,15z/data=!4m2!3m1!1s0x0:0x3c93322e54d33a90?sa=X&ved=2ahUKEwiyqZySuOzvAhWkdN8KHeqRA_UQ_BIwGnoECDIQBQ",,
Pregnancy Care Center,110 W Washington Blvd,Crescent City,California (CA),95531,,https://optionsforpregnancy.com/free-clinic/the-pregnancy-care-center-of-crescent-city/,"https://www.google.com/maps/place/Pregnancy+Care+Center+of+Crescent+City/@41.7725304,-124.2081005,15.97z/data=!4m5!3m4!1s0x54d0661c9d22ffd3:0x9129ffb5110fdc2c!8m2!3d41.7731141!4d-124.2038659",,https://www.yelp.com/biz/pregnancy-care-center-crescent-city
Mountain Pregnancy Center,461 S Dart Canyon Rd,Crestline,California (CA),92325,,http://mtnpregnancy.org/,https://www.google.com/maps?q=Mountain+Pregnancy+Center+461+S+Dart+Canyon+Rd+Crestline+CA&um=1&ie=UTF-8&sa=X&ved=0ahUKEwiRiIzfqKncAhUuVd8KHU_TDK8Q_AUICigB,https://www.facebook.com/realized.hope/,https://www.yelp.com/biz/mountain-pregnany-center-crestline
Dawnings Pregnancy Resource Center,682 S 1st Ave,Dinuba,California (CA),93618,,http://www.dawningsprc.com/,"https://www.google.com/maps/place/Dawnings+Pregnancy+Resource+Center+of+Dinuba/@36.5407267,-119.3844522,17z/data=!3m1!4b1!4m5!3m4!1s0x80951e65523a9d0b:0x400022a6e70343ed!8m2!3d36.5407267!4d-119.3822635",https://www.facebook.com/Dawnings-Pregnancy-Resource-Center-Of-Dinuba-155337634490651/?rf=854389531263234,
