Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Apopka Pregnancy Care Center,111 E 6th St ,Apopka,Florida (FL),32703,,http://www.apopkapregnancy.org,https://goo.gl/maps/b3QM1zN2GsQ2,https://www.facebook.com/LoveAPCC/,https://www.yelp.com/biz/apopka-pregnancy-center-apopka
Breath of Life Pregnancy Care Center,51 N Fifteenth Ave,Arcadia,Florida (FL),34266,,,https://goo.gl/maps/KkrzkAsNxA62,https://www.facebook.com/pages/Breath-of-Life-Pregnancy-Care-Center/447031312149276,https://www.yelp.com/biz/breath-of-life-pregnancy-care-center-arcadia
Choices Family Resource Center,12 S. Lake Street,Avon Park,Florida (FL),33825,,https://choicesfrc.com/,https://goo.gl/maps/rRH3XnjZy852,https://www.facebook.com/ChoicesFRC/,
Options for Women Pregnancy Help Clinic - Bartow,495 E. Summerlin St,Bartow,Florida (FL),33830,,"www.optionsforwomeninfo.com, www.optionsforwomenphc.com",https://goo.gl/maps/4YaXBZnBcS32,https://www.facebook.com/optionsforwomenphc/,
Palm Beach Women's Clinic (formerly First Care) - Boca Raton,"200 Glades Road, Suite 3",Boca Raton,Florida (FL),33432,,https://palmbeachwc.org/,"https://www.google.com/search?client=firefox-b-1-d&q=palm%20beach%20women%27s%20clinic&tbs=lf:1,lf_ui:4&tbm=lcl&rflfq=1&num=10&rldimm=4093070364998063752&lqi=ChlwYWxtIGJlYWNoIHdvbWVuJ3MgY2xpbmljIgOIAQFIm9G7gpirgIAIWjcKDndvbWVuJ3MgY2xpbmljEAIQAxgAGAEYAhgDIhlwYWxtIGJlYWNoIHdvbWVuJ3MgY2xpbmljkgEcb2JzdGV0cmljc19neW5lY29sb2d5X2NsaW5pY6oBFhABKhIiDndvbWVuJ3MgY2xpbmljKAA&ved=2ahUKEwj1_7ivhczvAhXjg-AKHThlCuEQvS4wAnoECA0QOg&rlst=f#rlfi=hd:;si:4093070364998063752,l,ChlwYWxtIGJlYWNoIHdvbWVuJ3MgY2xpbmljIgOIAQFIm9G7gpirgIAIWjcKDndvbWVuJ3MgY2xpbmljEAIQAxgAGAEYAhgDIhlwYWxtIGJlYWNoIHdvbWVuJ3MgY2xpbmljkgEcb2JzdGV0cmljc19neW5lY29sb2d5X2NsaW5pY6oBFhABKhIiDndvbWVuJ3MgY2xpbmljKAA;mv:[[26.831031099999997,-80.0724668],[26.334415999999997,-80.1762006]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3,lf:1,lf_ui:4",https://www.facebook.com/PalmBeachWomensClinic,
Birthline Lifeline Pregnancy Care Center,212 E Boynton Beach Blvd,Boynton Beach,Florida (FL),33435,,https://optionsforpregnancy.com/free-clinic/birthlinelifeline-pregnancy-care-center-boynton-beach/,"https://www.google.com/maps/place/Birthline+Lifeline/@26.5286006,-80.0616561,15z/data=!4m5!3m4!1s0x0:0x531c3c48abfb8a10!8m2!3d26.5286006!4d-80.0616561",https://www.facebook.com/catholiccharitiespb/?ref=br_tf,
Care Net Manasota Pregnancy Center,5111 26th St W,Bradenton,Florida (FL),34207,,www.carenetmanasota.com,https://goo.gl/maps/WEhXkVfu6vD2,https://www.facebook.com/CNMPC/,https://www.yelp.com/biz/care-net-manasota-pregnancy-center-bradenton
Choices Clinics (Life Care Network),619 Eichenfeld Dr,Brandon,Florida (FL),33511,,https://choicesclinics.org/,https://goo.gl/maps/ph1foVPDwx42,https://www.facebook.com/catholiccharitiespb/?ref=br_tf,https://www.yelp.com/biz/choices-womens-center-brandon
Alpha Women's Center,4751 E Moody Blvd Unit 5,Bunnell,Florida (FL),32110,,http://alphawomencenter.org/,"https://www.google.com/maps/place/Alpha+Women's+Center/@29.4747992,-81.2236012,15z/data=!4m5!3m4!1s0x0:0xf0ac34d6c9c37638!8m2!3d29.4747992!4d-81.2236012",https://www.facebook.com/alphawomencenter/,https://www.yelp.com/biz/alpha-pregnancy-center-bunnell
Hope Pregnancy Care Center,115 W Anderson Ave,Bushnell,Florida (FL),33513,,https://www.facebook.com/HopePregnancyBushnell/,https://goo.gl/maps/rtey1iXpbLQ2,https://www.facebook.com/Hope-Pregnancy-Care-Center-153968411306491/,
