Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Alpha Pregnancy Center,2129 Whispering Pines Road,Albany,Georgia (GA),31707,,www.alphapregnancycenter.net,,https://www.facebook.com/AlbanyAPC/,https://www.yelp.com/biz/alpha-pregnancy-care-center-albany-2
Hands of Hope Pregnancy & Resources Center,111 Habitat St.,Americus,Georgia (GA),31709,,https://americuspregnancy.org/,"https://www.google.com/maps/place/Hands+of+Hope+Pregnancy+%26+Resources+Center/@32.071014,-84.23927,15z/data=!4m2!3m1!1s0x0:0x7719a1b9fc4d46c8?sa=X&ved=0ahUKEwiWpoGg2YHcAhWIi1QKHbvfCKIQ_BIIfjAK",https://www.facebook.com/handsofhopeprc/,https://www.yelp.com/biz/hands-of-hope-pregnancy-and-resources-center-americus
Athens Pregnancy Center,767 Oglethorpe Avenue,Athens,Georgia (GA),30606,(678) 753-3180,http://athenspregnancycenter.org/,"https://www.google.com/maps/place/Athens+Pregnancy+Center/@33.9619312,-83.4127516,15z/data=!4m2!3m1!1s0x0:0x54a4ca96f4614643?sa=X&ved=2ahUKEwibuP6gjI_tAhXjYN8KHa3CChQQ_BIwCnoECBgQBQ",http://www.facebook.com/athpregcenter/,http://www.yelp.com/biz/athens-pregnancy-center-athens-2
Covenant Care Services,"337 S Milledge Ave, Ste 113",Athens,Georgia (GA),30605,,,,,
Atlanta Care Center,"1801 Peachtree St, #225",Atlanta,Georgia (GA),30309,,,,,
Bethany Christian Services - Atlanta,"6645 Peachtree Dunwoody Rd, NE",Atlanta,Georgia (GA),30328,,https://bethany.org/locations/us/georgia/atlanta /// https://impregnant.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@33.9366166,-84.3528675,15z/data=!4m5!3m4!1s0x0:0x7e1dc143c655c052!8m2!3d33.9366166!4d-84.3528675",https://www.facebook.com/bethanyfans,https://www.yelp.com/biz/bethany-christian-services-atlanta?osq=Bethany+Christian+Services
Birthright,3424 Hardee Ave,Atlanta,Georgia (GA),30341,,https://www.birthrightofatlanta.com/,"https://www.google.com/maps/place/Birthright+of+Atlanta/@33.883692,-84.307636,15z/data=!4m2!3m1!1s0x0:0xf9699020b2d983d0?sa=X&ved=2ahUKEwibr7yVzo_kAhWSrFkKHShiDu8Q_BIwCnoECA4QCA",,
Cura Women’s Care Clinic (Downtown Atlanta),"212 Edgewood, Second Floor",Atlanta,Georgia (GA),30303,,http://curawomenscareclinic.com/,,,
Cura Women’s Care Clinic of Atlanta,"100 Edgewood Ave, NE, Ste 1650",Atlanta,Georgia (GA),30303,,http://curawomenscareclinic.com/,"https://www.google.com/maps/place/Care+Net+Pregnancy+Resource+Center+of+Atlanta/@33.7546574,-84.3876817,17z/data=!3m1!4b1!4m5!3m4!1s0x88f503889972b623:0x8427eb6f7726a970!8m2!3d33.754653!4d-84.385493",,
Augusta Care Pregnancy Center,1298 1/2 Broad St,Augusta,Georgia (GA),30901,,www.augustacpc.org,"https://www.google.com/search?q=augusta%20care%20pregnancy%20center&rlz=1C1CHBF_enUS794US794&oq=Augusta+Care+Pregnancy+Center&aqs=chrome.0.0l5.315j0j4&sourceid=chrome&ie=UTF-8&npsic=0&rflfq=1&rlha=0&rllag=33488996,-82028338,5040&tbm=lcl&rldimm=12193556673534065216&ved=0ahUKEwih2qGC54HcAhXmjFQKHXrhCe0QvS4ISzAH&rldoc=1&tbs=lrf:!2m1!1e16!3sIAE,lf:1,lf_ui:4#rlfi=hd:;si:12193556673534065216;mv:!1m3!1d11646.164886081788!2d-82.0283384!3d33.48899655!2m3!1f0!2f0!3f0!3m2!1i173!2i42!4f13.1;tbs:lrf:!2m1!1e16!3sIAE,lf:1,lf_ui:4",https://www.facebook.com/pages/Augusta-Care-Pregnancy-Center/194212723933244,https://www.yelp.com/biz/augusta-care-pregnancy-center-augusta
West Augusta Care Pregnancy Center,2915 Professional Pkwy,Augusta,Georgia (GA),30907,,www.augustacpc.org,,,
We Care PRC,679 Fair St.,Baxley,Georgia (GA),31513,,,,,
Georgia Mountain Pregnancy Center,411 Highway 515 Ste F,Blairsville,Georgia (GA),30512,,,,,
Care Net PC of Coastal GA,3548 Community Rd,Brunswick,Georgia (GA),31558,(912) 267-1100,www.helloskylark.com,,https://www.facebook.com/skylarkclinic/,
First Option Care of SW Georgia,930 4th St. SE,Cairo,Georgia (GA),39828,,http://www.1stoption.care/,,,
Calhoun Pregnancy Center,200 E Belmont Dr,Calhoun,Georgia (GA),30701,(706) 625-5678,https://www.calhounpregnancycenter.com/,,https://www.facebook.com/calhounpregnancycenter/,
Pregnancy Resource Center,514 Tanner St,Carrollton,Georgia (GA),30117,,www.pregnancyrc.com,,https://www.facebook.com/PRCCarrollton/,
Bartow Family Resources,"200 Leake Street, Suite 107",Cartersville,Georgia (GA),30120,,www.bartowfamilies.com,,,
LMO Pregnancy Care Center,134 East Fairmount Ave,Cedartown,Georgia (GA),30125,,www.lifemattersoutreach.net,,,
LMO Pregnancy Care Center,508 N Main St,Cedartown,Georgia (GA),30125,,,,,
Cleveland Care Center,14 Campbell St,Cleveland,Georgia (GA),30528,,www.clevelandcarecenter.com,,,
ABC WOMEN'S CLINIC (COCHRAN),"150 East Peacock St., Suite A",Cochran,Georgia (GA),31014,,www.abcwomensclinic.org,,,
Seneca Choices for Life Inc,3900 Rosemont Dr,Columbus,Georgia (GA),31904,,www.senecacfl.life,,,
Sound Choices Pregnancy Clinic,1316-B Wynnton Court,Columbus,Georgia (GA),31906,,www.soundchoicespc.org,,,
Refuge Pregnancy Center,1307 Milstead Ave.,Conyers,Georgia (GA),30012,,www.refugepregnancycenter.com,"https://www.google.com/maps/place/Refuge+Pregnancy+Center/@33.678183,-84.0086506,15z/data=!4m2!3m1!1s0x0:0x34fb46818ef088eb?sa=X&ved=0ahUKEwjjjrLN54HcAhVnsFQKHQb4DuwQ_BIIhQEwCg",https://www.facebook.com/RefugePregnancyCenter/,https://www.yelp.com/biz/ohana-pregnancy-referrals-kaunakakai?fsid=OhQhhYIGlh0M01n1n5GF1w
Newton Pregnancy Resource,5278 Adams St ,Covington,Georgia (GA),30014,,,,,
Cumming Women's Center,"133 Samaritan Dr, Ste 306",Cumming,Georgia (GA),30040,,"www.cummingwomenscenter.org, www.supportwhisperinghope.org",,,
"Dahlonega Care Center, Inc.",353 North Grove St,Dahlonega,Georgia (GA),30533,,,,,
Women's Enrichment Center,109 W Gordon Street,Dalton,Georgia (GA),30720,,https://www.wecnorthga.org/,,https://www.facebook.com/WECNorthGA/,https://www.yelp.com/biz/womens-enrichment-center-dalton
Alpha Pregnancy Center,379 E Lee St,Dawson,Georgia (GA),39842,,www.alphapregnancycenter.net,,,
Women's Clinic of Atlanta,125 Clairemont Ave Ste 330,Decatur,Georgia (GA),30030,,,,,
Alpha Pregnancy Center,721 W. Third Street,Donalsonville,Georgia (GA),39845,,www.alphapregnancycenter.net,,,
Pregnancy Resources of Doraville,5935 New Peachtree Rd.- Bldg B,Doraville,Georgia (GA),30340,,,,,
Pregnancy Care Center,202 S College Ave,Douglas,Georgia (GA),31533,,,,,
PRC Medical,3030 Chapel Hill Rd,Douglasville,Georgia (GA),30135,,http://www.abortiondecision.com/,,https://www.facebook.com/pages/PRC-Medical-Clinic/427466864286022,
ABC Women's Clinic,402 W Madison St,Dublin,Georgia (GA),31021,,www.abcwomensclinic.org,"https://www.google.com/maps/place/ABC+Women's+Clinic/@32.5370485,-82.9080131,15z/data=!4m2!3m1!1s0x0:0xd452a9b96202f2f8?sa=X&ved=2ahUKEwiu8rfS7JLkAhWDd98KHYhGABUQ_BIwC3oECA0QCA",https://www.facebook.com/abcwomensclinic/,
Safe Choice Medical Care Ctr-Ellijay,220 Sailors Dr,Ellijay,Georgia (GA),30540,,www.safechoiceppc.com,,,
Pregnant Choices,4325 Washington Road,Evans,Georgia (GA),30809,,www.pregnantchoices.com,,,
Fayette Pregnancy Resource Ctr,360 East Lanier Ave,Fayetteville,Georgia (GA),30214,,www.fayetteprc.com,,,
Choices Pregnancy Care Center,4591 Winder Hwy Ste 120,Flowery Branch,Georgia (GA),30542,,,,,
The Pregnancy Center of Monroe Cty,562 N Lee St,Forsyth,Georgia (GA),31029,,http://monroecountypregnancycenter.org/,"https://www.google.com/maps/place/Pregnancy+Center/@33.0345198,-83.9383169,15z/data=!4m5!3m4!1s0x0:0x7e2b448c38eee062!8m2!3d33.0345198!4d-83.9383169",https://www.facebook.com/Pregnancy-Center-of-Monroe-County-225051724295532/,https://www.yelp.com/biz/the-pregnancy-center-of-monroe-county-forsyth
