Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Cornerstone for Life,714 E State St,Algona,Iowa (IA),50511,,http://www.cornerstoneforlifeprc.com/algona.htm,,https://www.facebook.com/CFLPRCalgona/,
Obria Medical Clinics (Formerly Informed Choices),"1606 Golden Aspen Dr., Suite 105",Ames,Iowa (IA),50010,,https://www.informedchoicesclinic.com/ames-clinic/,"https://www.google.com/maps/place/Obria+Medical+Clinics+-+Ames/@42.0078577,-93.6155655,15z/data=!4m2!3m1!1s0x0:0xc71e2df925b64fee?sa=X&ved=2ahUKEwissJOH25LkAhVMZN8KHcHGD5cQ_BIwE3oECA0QCA",,
Alpha Women's Center,114 SW State St,Ankeny,Iowa (IA),50023,,www.awcdesmoines.org,https://www.yelp.com/biz/alpha-womens-center-ankeny-ankeny,https://www.facebook.com/AlphaDSM/,https://www.yelp.com/biz/alpha-womens-center-ankeny-ankeny
Women's Choice Center,2740 Happy Joe Drive,Bettendorf,Iowa (IA),52722,(563) 332-0475,www.womenschoicecenter.org,"https://www.google.com/maps/place/Women's+Choice+Center/@41.548796,-90.49372,15z/data=!4m2!3m1!1s0x0:0x97716cafeba325b1?sa=X&ved=0ahUKEwjozJa-g5DcAhXE4IMKHd0RAFwQ_BIIeDAN",https://www.facebook.com/WomensChoiceCenterQC/?rf=104402332960095,https://www.yelp.com/biz/womens-choice-center-bettendorf
Women's Choice Center Grant,1711 Happy Joe Drive,Bettendorf,Iowa (IA),52722,,http://www.womenschoicecenter.org/,,http://www.facebook.com/WomensChoiceCenterQC,
Birthright,1113 S Main St,Burlington,Iowa (IA),52601,,http://birthright.org/burlingtonia,"https://www.google.com/maps/place/Birthright/@40.7985275,-91.1003275,15z/data=!4m2!3m1!1s0x0:0x2a49d82d5807410a?sa=X&ved=0ahUKEwjVj5mXkYbcAhUo1oMKHUAcDyoQ_BIIdjAK",https://www.facebook.com/pages/Birthright/104275236307024,https://www.yelp.com/biz/birthright-burlington-4
Obria Medical Clinics (Formerly Informed Choices),1013 South Central Avenue,Burlington,Iowa (IA),52601,,https://www.informedchoicesclinic.com/burlington-clinic/,"https://www.google.com/maps/place/Obria+Medical+Clinics+-+Burlington/@40.796613,-91.110559,15z/data=!4m2!3m1!1s0x0:0xf2ea955f0ced1f73?sa=X&ved=2ahUKEwiCgc2d2pLkAhXFneAKHXE0C3MQ_BIwCnoECA8QCA",,
Birthright,4113 University Ave,Cedar Falls,Iowa (IA),50613,,http://birthright.org/cedarfalls,"https://www.google.com/maps/place/Birthright+of+Cedar+Falls/@42.5052492,-92.4069932,15z/data=!4m2!3m1!1s0x0:0xe52b81b9e2586ee0?hl=en&sa=X&sqi=2&ved=0ahUKEwjD7bq8g4jcAhVPRa0KHRmpD9MQ_BIIdjAK",https://www.facebook.com/pages/Birthright/163115830379378,https://www.yelp.com/biz/birthright-cedar-falls
Bethany Christian Services - Cedar Rapids,"1652 42nd st NE, Suite C-2",Cedar Rapids,Iowa (IA),52402,,https://www.bethany.org/cedar-rapids // https://impregnant.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@42.021845,-91.662516,15z/data=!4m2!3m1!1s0x0:0xf231d6df367a8c59?sa=X&ved=0ahUKEwiml9Kj64HcAhWI6oMKHTPnBFYQ_BIIjgEwCg",https://www.facebook.com/pages/Bethany-Christian-Services/120959987961593,
Birthright,"375 Collins Rd NE, Ste 107",Cedar Rapids,Iowa (IA),52402,,http://birthright.org/cedarrapids,"https://www.google.com/maps/place/Birthright+of+Cedar+Rapids/@42.027312,-91.636942,15z/data=!4m2!3m1!1s0x0:0x1bb3addc640435aa?sa=X&ved=0ahUKEwjz3cnpgojcAhUCXq0KHVFnCZAQ_BIIjQEwCg",https://www.facebook.com/BirthrightInternational/,
Bridgehaven Pregnancy Support Center,4250 Glass Rd NE Ste 100,Cedar Rapids,Iowa (IA),52402,,www.bridgehavencr.org,"https://www.google.com/maps/place/Bridgehaven+Pregnancy+Support+Center/@41.9914543,-91.661167,15z/data=!4m2!3m1!1s0x0:0xebdc2f3b1f1f6259?hl=en&sa=X&ved=0ahUKEwjnosDDh4jcAhUhja0KHXyeDAcQ_BIIfTAM",https://www.facebook.com/BridgehavenPregnancySupportCenter/,https://www.yelp.com/biz/treasures-cedar-rapids-3?osq=bridgehaven+pregnancy (Yelp page for thrift
Hope Pregnancy Center,118 N 12th St,Centerville,Iowa (IA),52544,,http://centervillefirstbaptist.weebly.com/hope-pregnancy-center.html,,https://www.facebook.com/pages/Hope-Pregnancy-Center/142051792507843,https://www.yelp.com/biz/hope-pregnancy-center-centerville
The Pregnancy Center,"240 N Bluff Blvd, Ste 105",Clinton,Iowa (IA),52732,,www.pregnancycenterclinton.org,"https://www.google.com/maps/place/The+Pregnancy+Center/@41.8478456,-90.2003779,15z/data=!4m2!3m1!1s0x0:0x73191de388a83271?sa=X&ved=0ahUKEwjjkP3-gpDcAhWF64MKHZ0ZDywQ_BIIdjAM",https://www.facebook.com/pages/The-Pregnancy-Center-Clinton-IA/640485402651008,https://www.yelp.com/biz/crisis-pregnancy-center-clinton
Gabriel's Corner CPC,131 S 16th St,Council Bluffs,Iowa (IA),51501,,www.gabrielscorner.com,"https://www.google.com/maps/place/Gabriel's+Corner/@41.2600384,-95.8671999,15z/data=!4m2!3m1!1s0x0:0x46d6c52ef139b5d5?hl=en&sa=X&sqi=2&ved=0ahUKEwjpvda954vcAhWJjVQKHR-hA9IQ_BIIhAEwDw",http://www.facebook.com/Gabriels-Corner-Pregnancy-Counseling-Center-626423507387089/,
