Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
"Family Life Services, Inc.",305 S Summit St,Arkansas City,Kansas (KS),67005,,https://flsonline.net/,"https://www.google.com/maps/place/Family+Life+Services/@37.059629,-97.0415697,17z/data=!3m1!4b1!4m5!3m4!1s0x87b081b0836fec57:0xbde56323168b31ba!8m2!3d37.059629!4d-97.039381",https://www.facebook.com/Family-Life-Services-156236251104444/,https://www.yelp.com/biz/family-life-services-arkansas-city
Pregnancy Care Center ,510 State St,Augusta,Kansas (KS),67010,,http://www.hope4kansas.com/,"https://www.google.com/maps/place/Pregnancy+and+Family+Resource+Centers/@37.676609,-96.9807567,17z/data=!3m1!4b1!4m5!3m4!1s0x87ba516f474aed1d:0xaaa09669fc48d36b!8m2!3d37.676609!4d-96.978568",https://www.facebook.com/PregnancyFamilyResourceCenters/,https://www.yelp.com/biz/crisis-pregnancy-center-augusta?osq=pregnancy+care+center
Heart Choices,"PO Box 96, 602 W 6th St",Beloit,Kansas (KS),67420,,http://www.heartchoicesbeloit.com/about-us/,"https://www.google.com/maps/place/Heart+Choices+Pregnancy+%26+Parenting+Resource+Center/@39.4642545,-98.1185166,17z/data=!3m1!4b1!4m5!3m4!1s0x87a2bde923d9b03f:0x1cc112df221c3e44!8m2!3d39.4642545!4d-98.1163279",https://www.facebook.com/Heart-Choices-175728454812/,
Birthline,320 South Central,Chanute,Kansas (KS),66720,,https://birthline.net/,https://www.google.com/maps?q=Birthline+320+South+Central+Chanute+KS&um=1&ie=UTF-8&sa=X&ved=0ahUKEwj7sI6j74DcAhWR3VMKHQ1CD0gQ_AUICigB,,https://www.yelp.com/biz/birthline-chanute
Midwest Pregnancy Care Center,912 Walnut,Coffeyville,Kansas (KS),67337,,http://www.midwestpcc.com/,"https://www.google.com/maps/place/MidWest+Pregnancy+Care+Center/@37.039147,-95.6165203,17z/data=!3m1!4b1!4m5!3m4!1s0x87b78459d5f202a3:0x7bfa9cab161d81bc!8m2!3d37.039147!4d-95.6143316",https://www.facebook.com/midwestpcc/,https://www.yelp.com/biz/midwest-pregnancy-care-center-coffeyville
Midwest Pregnancy Care Center (619),506 Union St,Coffeyville,Kansas (KS),67337,,http://www.midwestpcc.com/,,https://www.facebook.com/midwestpcc/,https://www.yelp.com/biz/midwest-pregnancy-care-center-coffeyville
Emergency Pregnancy Service,350 S Range,Colby,Kansas (KS),67701,,,"https://www.google.com/maps/place/Emergency+Pregnancy+Center/@39.3919757,-101.0569631,17z/data=!3m1!4b1!4m5!3m4!1s0x870acbecae65a669:0x2e2d5d879048389c!8m2!3d39.3919757!4d-101.0547744",https://www.facebook.com/Emergency-Pregnancy-Service-of-Northwest-Kansas-181243261924684/,
Birthright,605 Avenue B,Dodge City,Kansas (KS),67801,,http://birthright.org/dodgecity,"https://www.google.com/maps/place/Birthright+of+Dodge+City+Inc/@37.7538371,-100.0159817,17z/data=!3m1!4b1!4m5!3m4!1s0x87a71b0d4cf4c4bf:0x2080ce3e704f58a7!8m2!3d37.7538371!4d-100.013793",https://www.facebook.com/BirthrightInternational/,
Birthline,226 W Central,El Dorado,Kansas (KS),67042,,https://birthline.net/,"https://www.google.com/maps/place/Birthline/@37.8175999,-96.854501,17z/data=!3m1!4b1!4m5!3m4!1s0x87bbb37415f64bc7:0x3a7988e054558d4d!8m2!3d37.8175999!4d-96.8523123",https://www.facebook.com/BirthrightInternational/,https://www.yelp.com/biz/birthline-el-dorado
Pregnancy & Family Resource Centers,226 S. Main,El Dorado,Kansas (KS),67042,,http://www.hope4kansas.com/,"https://www.google.com/maps/place/Pregnancy+and+Family+Resource+Centers/@37.7461733,-96.9840259,12z/data=!4m8!1m2!2m1!1spregnancy+and+family+resource+center+ks!3m4!1s0x87bbb376a57adf25:0xe71369f917b93a77!8m2!3d37.8157791!4d-96.849403",https://www.facebook.com/PregnancyFamilyResourceCenters/,
Birthright,702 Commercial - Ste 301,Emporia,Kansas (KS),66801,,http://birthright.org/emporia,"https://www.google.com/maps/place/Birthright+of+Emporia/@38.4063859,-96.1819469,17z/data=!3m1!4b1!4m5!3m4!1s0x87b94c2758758dad:0xbc6e69b4d67eee89!8m2!3d38.4063859!4d-96.1797582",https://www.facebook.com/Birthright-of-Emporia-161411011079455/,https://www.yelp.com/biz/birthright-of-emporia-emporia
ABC Pregnancy Care Center,509 N 6th St,Garden City,Kansas (KS),67846,,https://www.abcpregnancycarecenter.org/contact/,"https://www.google.com/maps/place/ABC+Pregnancy+Care+Cente/@37.968998,-100.8729792,17z/data=!4m13!1m7!3m6!1s0x8709ee179ffd0559:0x440ad7da75218749!2s509+N+6th+St,+Garden+City,+KS+67846!3b1!8m2!3d37.968998!4d-100.8707905!3m4!1s0x8709ee10db1b025d:0xc349446e256daa2c!8m2!3d37.968998!4d-100.8707905",https://www.facebook.com/ABCPregnancy/,https://www.yelp.com/biz/abc-pregnancy-care-cente-garden-city-2
Birthright,1420 Wilson St.,Great Bend,Kansas (KS),67530,,http://birthright.org/greatbend,"https://www.google.com/maps/place/Birthright+Inc/@38.3588994,-98.775665,17z/data=!3m1!4b1!4m5!3m4!1s0x87a38a49af073bb9:0xd3c0b44b4b990b96!8m2!3d38.3588994!4d-98.7734763",https://www.facebook.com/BirthrightInternational/,https://www.yelp.com/biz/birthright-great-bend
