Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Crisis and Counseling,10 Caldwell Rd,Augusta,Maine (ME),04330,,,,,
Open Arms Pregnancy Center,99 Bangor St,Augusta,Maine (ME),04330,,No website,,,https://www.yelp.com/biz/central-maine-pregnancy-support-center-augusta
First Step,"336 Mount Hope Avenue, Suite 11",Bangor,Maine (ME),04401,,(207) 942-1611,,https://www.facebook.com/First-Step-Pregnancy-Resource-Center-59431236980/?fref=ts,
Care Net of Mid-Coast Maine,7 Cumberland St,Brunswick,Maine (ME),04011,,(207) 725-5433,,https://www.facebook.com/CareNetOfMidCoastMaine/,
Pregnancy Care Center of Aroostook-Fort Kent,272 W. Main Street,Fort Kent,Maine (ME),04743,,(207) 834-5800,,,
Pregnancy Care Center (2682),106 Main St,Houlton,Maine (ME),04730,,,"https://www.google.com/maps/place/106+Main+St,+Houlton,+ME+04730/@46.1258219,-67.8390285,17z/data=!4m5!3m4!1s0x4ca4c21d137e08ef:0xea4f1b03ec20506f!8m2!3d46.1258219!4d-67.8368398",,
Pregnancy Support Center,91 College St,Lewiston,Maine (ME),04240,,,,,
Hope House,163 Elm St,Mechanic Falls,Maine (ME),04256,,http://www.hopehousemaine.com/Abortion-Info.html,,,
ABBA - A Women's Resource Center,1250 Forest Ave,Portland,Maine (ME),04103,,http://abbapregnancychoice.org/,,https://www.facebook.com/answergirl207/,
Birthline Pregnancy Support Services,250 Anderson St,Portland,Maine (ME),04101,,,,,
PCC of Aroostook Cty,184 Academy St,Presque Isle,Maine (ME),04769,,(207) 764-0022,,,
"Care Net of Rockland, ME",462 Old County Road,Rockland,Maine (ME),04841,(207) 594-1616,http://www.carenetofrockland.com,,https://www.facebook.com/CareNetCrisisPregnancyCenterME/,https://www.yelp.com/biz/care-net-pregnancy-center-of-rockland-me-rockland
Alpha PRC,6B Washington St Suite 100,Sanford,Maine (ME),04073,,(207) 324-5752,,https://www.facebook.com/alphaprc/,
Crossroads Life Options,31 Main St,St Albans,Maine (ME),04971,,,,,
Central Maine Pregnancy Support Center (713),93 Main St,Waterville,Maine (ME),04901,,No website,,,
First Choice Pregnancy Center,295 Kennedy Memorial Dr. Suite 2,Waterville,Maine (ME),4901,(207) 872-5070,http://firstchoicepregnancycenter.org/,,http://www.facebook.com/firstchoicepregnancy/,
First Choice Pregnancy Resource Center,"295 Kennedy Memorial Drive, Ste 2",Waterville,Maine (ME),04901,(207) 872-5070,,,,
