Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Care Pregnancy Center of Lenawee,308 N. Broad Street,Adrian,Michigan (MI),49221,,www.cpclenawee.com,,,
Lakeshore Pregnancy Center - Allegan,114 Chestnut Street,Allegan,Michigan (MI),49010,,www.lpcenters.com,,https://www.facebook.com/LakeshorePregnancyCenter/,
Positive Options of Allendale,4623 Lake Michigan Dr,Allendale,Michigan (MI),49401,,www.lpcenters.com,,https://www.facebook.com/LakeshorePregnancyCenter/,
Pregnancy Services of Gratiot County,303 W. Superior St.,Alma,Michigan (MI),48801,,https://www.pregnancyservicesgratiot.com/,,https://www.facebook.com/pg/pregnancyservicesofgratiotcounty/,
Options Pregnancy Center,526 W Chisholm St,Alpena,Michigan (MI),49707,,https://optionspregnancycenter.org/,,https://www.facebook.com/optionspregnancycenteralpena/,
ArborWoman,24 Frank Lloyd Wright Dr Lobby L Suite 2200,Ann Arbor,Michigan (MI),48105,,www.arborwoman.com,,,
"Crossroads Care Center, Inc",3205 South Blvd,Auburn Hills,Michigan (MI),48326,,https://www.crossroadscarecenter.org/,,https://www.facebook.com/CrossroadsCareMI/?ref=ts,
Positive Alternatives,132 E Huron Ave,Bad Axe,Michigan (MI),48413,,http://www.mypositivealternative.com/,"https://www.google.com/maps/place/Positive+Alternatives/@43.8021275,-83.0327081,17z/data=!4m8!1m2!2m1!1sPositive+Alternatives%091037+S+Van+Dyke%09Bad+Axe!3m4!1s0x88268e841267dd87:0x11f240bbbaf2abce!8m2!3d43.8021275!4d-83.0305194",https://www.facebook.com/pages/Positive-Alternatives/475632249147216,
Alternatives of Battle Creek,"1346 W. Columbia Ave., Suite 106",Battle Creek,Michigan (MI),49015,,,,,
Beacon of Hope Pregnancy Care Center,2360 Midland Rd.,Bay City,Michigan (MI),48706,,,,,
Michiana Life Resource Center and Pregnancy Care Center,671 McAllister Ave,Benton Harbor,Michigan (MI),49022,,,,,
Options Pregnancy Resource Center,119 Linden St,Big Rapids,Michigan (MI),49307,,www.carenetberkleydetroit.org,,https://www.facebook.com/carenetpregnancycenterberkleydetroit/,https://www.yelp.com/biz/care-net-pregnancy-information-center-berkley
Care Net of Big Rapids (3186),218 S. Warren Ste C1,Big Rapids,Michigan (MI),49307,,http://www.carenetbigrapids.org,,,
Sound Choices Medical Clinic,"14321 Northland Drive,",Big Rapids,Michigan (MI),49307,,,,,
Pregnancy Help Center,7743 Grand River Ave. #101,Brighton,Michigan (MI),48114,(810) 494-5433,http://www.pregnancyhelpclinic.com/,,,
"Life Resources of Northern MI, Inc.",419 N Lake St,Cadillac,Michigan (MI),49601,,www.liferesourcesnm.org,,,
Sound Choices Medical Clinic,909 S Carmel St #1,Cadillac,Michigan (MI),49601,,,,,
Positive Alternatives,1596 E Caro Rd,Caro,Michigan (MI),48723,,,,,https://www.yelp.com/biz/positive-alternatives-caro
Alpha Family Center of Cedar Springs,6 N First St,Cedar Springs,Michigan (MI),49319,,,,,
AA Crisis Pregnancy Center,217 N Bailey,Cheboygan,Michigan (MI),49721,,,,,
Hope Pregnancy Center,3557 E Colonville Rd,Clare,Michigan (MI),48617,,,,,
Compassion Pregnancy Center,37540 S Gratiot Suite 100,Clinton Township,Michigan (MI),48036,,www.compassionpregnancy.org,,https://www.facebook.com/CompassionPregnancyCenter/,
"Heartfelt Family Services, Inc.",42627 Garfield Suite 214,Clinton Township,Michigan (MI),48038,,,,,
Beginnings Care for Life Center,16 N Clay St ,Coldwater,Michigan (MI),49036,,,,,
Lennon Pregnancy Center,24275 Ann Arbor Trail,Dearborn Heights,Michigan (MI),48127,(313) 277-5637,https://www.lennoncenter.org/,,https://www.facebook.com/thelennoncenter/,https://www.yelp.com/biz/lennon-pregnancy-center-dearborn-heights
Care Net Pregnancy Center Detroit,13864 Grand River Ave.,Detroit,Michigan (MI),48227,,www.carenetberkleydetroit.org,,https://www.facebook.com/carenetpregnancycenterberkleydetroit/,https://www.yelp.com/biz/care-net-pregnancy-information-center-berkley
Detroit Pregnancy Test & Help Center,933 Seven Mile Road,Detroit,Michigan (MI),48235,,,,,
Pregnancy Aid Detroit,15847 8 Mile Rd ,East Point,Michigan (MI),48021,,http://www.pregnancyaiddetroit.org/,,,https://www.yelp.com/biz/pregnancy-aid-detroit
Bethany Christian Services,612 W Lake Lansing Rd Suite 600,East Lansing,Michigan (MI),48823,,https://impregnant.org/ /// https://bethany.org/locations/us/michigan/east-lansing,"https://www.google.com/maps/place/Bethany+Christian+Services/@42.7597888,-84.4915225,15z/data=!4m5!3m4!1s0x0:0x86c43c1f47bf7240!8m2!3d42.7597888!4d-84.4915225",https://www.facebook.com/bethanyfans,
Pregnancy Services,1045 E Grand River Ave,East Lansing,Michigan (MI),48823,,https://pregnancylansing.com/,https://www.google.com/maps?q=Pregnancy+Services+1045+E+Grand+River+Ave+East+Lansing+MI&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjftuTF0PnbAhWyxFkKHXhwCU0Q_AUICigB,https://www.facebook.com/pg/pregnancy.choices.7/about/,https://www.yelp.com/biz/pregnancy-services-of-east-lansing-east-lansing
Harbor Lights Pregnancy & Information Center,310 Newman St,East Tawas,Michigan (MI),48730,,,,,
Pregnancy Services of Delta Cty,1801 Ludington St.,Escanaba,Michigan (MI),49829,,,,,
A Woman's Pregnancy Choice,31700 W 12 Mile Rd Ste 102,Farmington Hills,Michigan (MI),48334,,http://www.womanspregnancychoice.com/,,,
The Listen Center,508 N Adelaide St,Fenton,Michigan (MI),48430,,,,,
Answer Center for Women,2414 Hemphill Rd,Burton,Michigan (MI),48529,,,,,
Pregnancy Resource Center Of Flint,3404 Saginaw St,Flint,Michigan (MI),48503,,www.flintcps.org,,,
Heartbeat of Greater Flint,320 E 4th St,Flint,Michigan (MI),48502,,,,,
Bethany Christian Services - Fremont,6995 W 48th St.,Fremont,Michigan (MI),49412,,https://impregnant.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@43.4676158,-85.973441,15z/data=!4m2!3m1!1s0x0:0x329db6c1ad4173e0?sa=X&ved=2ahUKEwjiy4DDqI_tAhUKTd8KHcN6BqYQ_BIwCnoECBIQAw",https://www.facebook.com/bethanyfans,
New Life Pregnancy Resource Ctr,705 S Otsego Ave,Gaylord,Michigan (MI),49735,,www.gaylordnewlife.com,,https://www.facebook.com/newlifeprc.gaylord,
Positive Options of Grand Haven,"700 Washington, Ste 130",Grand Haven,Michigan (MI),49417,,www.lpcenters.com,,,
Alpha Women's Center of Grand Rapids,1725 Division Ave S,Grand Rapids,Michigan (MI),49507,,www.alphawc.org,,,
Bethany Christian Services - Grand Rapids,901 Eastern Ave NE,Grand Rapids,Michigan (MI),49503,,https://impregnant.org/ // https://bethany.org/locations/us/michigan/grand-rapids,"https://www.google.com/search?client=firefox-b-1-d&q=Bethany%20Christian%20Services%20-%20Grand%20Rapids&tbs=lf:1,lf_ui:4&tbm=lcl&rflfq=1&num=10&rldimm=12682224284222337856&lqi=CilCZXRoYW55IENocmlzdGlhbiBTZXJ2aWNlcyAtIEdyYW5kIFJhcGlkcyIDiAEBWkUKGmJldGhhbnkgY2hyaXN0aWFuIHNlcnZpY2VzIidiZXRoYW55IGNocmlzdGlhbiBzZXJ2aWNlcyBncmFuZCByYXBpZHM&ved=2ahUKEwiVnaHNqI_tAhVFTt8KHQdeCccQvS4wAHoECAEQDA&rlst=f",https://www.facebook.com/bethanyfans,
"HELP Pregnancy Crisis Aid, Inc.",705 Bridge St NW,Grand Rapids,Michigan (MI),49504,,www.helppregnancy.org,,,
Pregnancy Resource Center,"2438 28th St SW, Suite A",Grand Rapids,Michigan (MI),49504,,,,,
Pregnancy Resource Center,415 Cherry St SE,Grand Rapids,Michigan (MI),49503,,http://www.prcgr.org/,,,
Alpha Family Center of Greenville,705 N Hillcrest St,Greenville,Michigan (MI),48838,,,,,
Sawyer Care Clinic,330 Fortress St,Gwinn,Michigan (MI),49841,,,,,
Holy Family Healthcare,301 N Center St,Hartford,Michigan (MI),49057,,www.holyfamilyhealthcare.org,,,
My Alpha Place,838 W Green St,Hastings,Michigan (MI),49058,,,,,
Bethany Christian Services - Holland,11335 James St ,Holland,Michigan (MI),49424,,https://impregnant.org/ /// https://bethany.org/locations/us/michigan/holland,"https://www.google.com/maps/place/Bethany+Christian+Services/@42.8130747,-86.0617311,15z/data=!4m5!3m4!1s0x0:0x18d57a2b880efad8!8m2!3d42.8130747!4d-86.0617311",https://www.facebook.com/bethanyfans,
Lakeshore Pregnancy Center - Holland,339 S River Ave.,Holland,Michigan (MI),49423,,www.lpcenters.com,,,
Life Outreach Center,300B Quincy St,Hancock,Michigan (MI),49930,,,,,
Positive Solutions Informed Choices,330 Lovell St,Ionia,Michigan (MI),48846,,https://www.psicionia.org/schedule-appointment,"https://www.google.com/maps/place/Positive+Solutions+%E2%80%A2+Informed+Choices/@42.9866912,-85.0447392,15z/data=!4m2!3m1!1s0x0:0x69a7ea913f7d66dd?sa=X&ved=2ahUKEwi_ibuE4JLkAhWBnFkKHT44AOoQ_BIwCnoECAoQCA",https://www.facebook.com/PositiveSolutionsInformedChoices/,
Walk of Life Pregnancy Services,1018 Cedar Ave,Iron Mountain,Michigan (MI),49801,,http://www.wolpregnancyservices.com/,,https://www.facebook.com/pages/Walk-of-Life-Pregnancy-Services/161891603838721,https://www.yelp.com/biz/walk-of-life-pregnancy-services-iron-mountain
New Beginnings Pregnancy Support Services,126 W Aurora St,Ironwood,Michigan (MI),49938,,,"https://www.google.com/maps/place/New+Beginnings+Pregnancy+Support+Services/@46.4532601,-90.1709367,15z/data=!4m2!3m1!1s0x0:0x7056a5927f373467?sa=X&ved=2ahUKEwjM_oiCx5nkAhVDrVkKHYI5BYkQ_BIwCnoECA8QCA",https://www.facebook.com/NewBeginningspregnancy/,
"Birthline of Jackson, Inc.",1000 E Porter St. Ste 1,Jackson,Michigan (MI),49202,,http://www.birthlinejackson.org,,https://www.facebook.com/birthlinejackson,
Center for Women,500 Lansing Ave,Jackson,Michigan (MI),49201,,,,,
Alternatives,"4200 W. Michigan Ave., Suite 100",Kalamazoo,Michigan (MI),49006,,http://www.alternativescc.org/Locations/Kalamazoo,,,
Bethany Christian Services - Kalamazoo,6687 Seeco Drive,Kalamazoo,Michigan (MI),49009,,https://impregnant.org/ /// https://bethany.org/locations/us/michigan/southwest-michigan,"https://www.google.com/maps/place/Bethany+Christian+Services/@42.2927424,-85.6808904,15z/data=!4m5!3m4!1s0x0:0xe0d3c43a56ff6783!8m2!3d42.2927424!4d-85.6808904",https://www.facebook.com/bethanyfans,
Shared Pregnancy Women's Center,831 N Washington Ave,Lansing,Michigan (MI),48906,,,,,
Pregnancy Resource Center of Lapeer,1715 Imlay City Road,Lapeer,Michigan (MI),48446,,,,,
Pregnancy Center Lincoln Park,1760 Fort St,Lincoln Park,Michigan (MI),48146,(313) 386-4005,http://pregnancyhelplincolnpark.com,,http://m.facebook.com/profile.php?id=100043103607061&refsrc=deprecated&_rdr,http://yelp.to/0x8U28u6Upb
AAA,"32080 Schoolcraft,",Livonia,Michigan (MI),48150,,https://aaapregnancyinfo.org/index.php,"https://www.google.com/maps/place/AAA+Pregnancy+Resource+Center/@42.383555,-83.3605329,15z/data=!4m2!3m1!1s0x0:0x6edce183a521a673?sa=X&ved=2ahUKEwikh8Pc6ZLkAhUoU98KHd4zB9sQ_BIwCnoECAsQCA",https://www.facebook.com/aaapregnancyctr,https://www.yelp.com/biz/aaa-pregnancy-resource-center-livonia-2
Wee Care,32540 Schoolcraft St #20,Livonia,Michigan (MI),48150,,,,,
Alpha Family Center of Lowell,519 E. Main St.,Lowell,Michigan (MI),49331,,,,,
