Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
The Willow Center (fornerly PRC of Beatrice),"2205 N. 6th Street, Suite 11",Beatrice,Nebraska (NE),68310,,https://willowcenter.net/,"https://www.google.com/maps/place/Willow+Center/@40.2872193,-96.7477266,15z/data=!4m5!3m4!1s0x0:0x163facee248c673a!8m2!3d40.2872193!4d-96.7477266",https://www.facebook.com/pages/Care-Net-Pregnancy-Center/410627139145552,
Essential Pregnancy Services-Bellevue Center,908 W Mission Ave,Bellevue,Nebraska (NE),68005,,https://essentialps.org/,"https://www.google.com/maps/place/Essential+Pregnancy+Services/@41.1367875,-95.9073943,17z/data=!3m1!4b1!4m5!3m4!1s0x879388043817de2b:0x532a13f060a60d0d!8m2!3d41.1367835!4d-95.9052056",, ​https://www.yelp.com/biz/essential-pregnancy-services-bellevue-bellevue
​Birthright of Broken Bow,741 South D Street,Broken Bow,Nebraska (NE),68822,,,"https://www.google.com/maps/place/Birthright+of+Broken+Bow/@41.4029253,-99.6390505,15z/data=!4m5!3m4!1s0x0:0x9593c26e5077b452!8m2!3d41.4029253!4d-99.6390505",https://www.facebook.com/pages/Birthright-of-Broken-Bow/125504360837436,​https://www.yelp.com/biz/birthright-broken-bow?osq=birthright
Life Choices Pregnancy Resource Center,"230 E 22 Street, Suite 2",Fremont,Nebraska (NE),68025,,https://fremontpregnancy.com/,"https://www.google.com/maps/place/Life+Choices/@41.4507365,-96.4940535,15z/data=!4m2!3m1!1s0x0:0xef8507691d5fea89?sa=X&ved=2ahUKEwjen5260I_wAhUBh-AKHUORAdoQ_BIwCnoECBcQBQ",https://www.facebook.com/Life-Choices-Fremont-Nebraska-135415623157044/, ​https://www.yelp.com/biz/life-choices-fremont
Collage Center - Grand Island,822 N Diers Ave,Grand Island,Nebraska (NE),68803,,https://collagecenter.com/,"https://www.google.com/maps/place/Collage+Center/@40.926097,-98.3859281,15z/data=!4m5!3m4!1s0x0:0x71f143ec296c23d1!8m2!3d40.926097!4d-98.3859281",,
Wellspring: Pregnancy + Health Center,"223 East 14th Street, Ste. 202",Hastings,Nebraska (NE),68901,,https://wellspringhastings.com/,"https://www.google.com/maps/place/Wellspring+Pregnancy+%2B+Health+Center/@40.6015052,-98.3787364,15z/data=!4m5!3m4!1s0x0:0x7ac84454898da901!8m2!3d40.6015052!4d-98.3787364",,
Collage Center - Kearney,3000 2nd Ave. Suite 100,Kearney,Nebraska (NE),68847,,https://collagecenter.com/,"https://www.google.com/maps/place/Collage+Center/@40.7057873,-99.0845789,15z/data=!4m2!3m1!1s0x0:0x9027c619b3b2e81c?sa=X&ved=2ahUKEwixuKWYzo_wAhVHMVkFHbnLAPoQ_BIwEnoECCMQBQ",,
Birthright,4770 Linden Street,Lincoln,Nebraska (NE),68516,,https://birthright.org/lincolnne,"https://www.google.com/maps/place/Birthright+Inc./@40.7689115,-96.6543325,15z/data=!4m5!3m4!1s0x0:0x29fe68504d192a51!8m2!3d40.7689115!4d-96.6543325",,https://www.yelp.com/biz/birthright-lincoln?osq=birthright
Lincoln Crisis Pregnancy Center,111 Piazza Ter,Lincoln,Nebraska (NE),68510,,https://www.pregnancycenterlincoln.org/site/,"https://www.google.com/maps/place/Pregnancy+Center/@40.8129536,-96.6467442,15z/data=!4m2!3m1!1s0x0:0x2f6e90daa9e92cab?sa=X&ved=2ahUKEwjDz5fj0I_wAhVhh-AKHRTIBaUQ_BIwD3oECCUQBQ", ​https://www.facebook.com/pregnancycenterlincoln/, ​https://www.yelp.com/biz/lincoln-crisis-pregnancy-center-lincoln
Women's Care Center ,5632 S. 48th Street,Lincoln,Nebraska (NE),68516,,https://www.womenscarecenter.org/lincoln-nebraska,"https://www.google.com/search?client=firefox-b-1-d&q=women%27s%20care%20center%20lincoln%20ne&tbs=lf:1,lf_ui:4&tbm=lcl&rflfq=1&num=10&rldimm=10851427639456518614&lqi=Ch53b21lbidzIGNhcmUgY2VudGVyIGxpbmNvbG4gbmUiA4gBAUjul9DE_7OAgAhaTwoTd29tZW4ncyBjYXJlIGNlbnRlchAAEAEQAhgAGAEYAhgDGAQiHndvbWVuJ3MgY2FyZSBjZW50ZXIgbGluY29sbiBuZSoICAIQABABEAKSARVwcmVnbmFuY3lfY2FyZV9jZW50ZXKqARsQASoXIhN3b21lbidzIGNhcmUgY2VudGVyKAA&ved=2ahUKEwi38P_i0Y_wAhUHTN8KHT6KDgkQvS4wAHoECAwQIg&rlst=f#rlfi=hd:;si:10851427639456518614,l,Ch53b21lbidzIGNhcmUgY2VudGVyIGxpbmNvbG4gbmUiA4gBAUjul9DE_7OAgAhaTwoTd29tZW4ncyBjYXJlIGNlbnRlchAAEAEQAhgAGAEYAhgDGAQiHndvbWVuJ3MgY2FyZSBjZW50ZXIgbGluY29sbiBuZSoICAIQABABEAKSARVwcmVnbmFuY3lfY2FyZV9jZW50ZXKqARsQASoXIhN3b21lbidzIGNhcmUgY2VudGVyKAA;mv:[[40.816702199999995,-96.63635909999999],[40.746728100000006,-96.6655885]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",,
ABC Pregnancy Help Center,"110 West C St, Ste 26",McCook,Nebraska (NE),69001,,,"https://www.google.com/maps/place/ABC+Pregnancy+Help+Center/@40.1995068,-100.626395,15z/data=!4m2!3m1!1s0x0:0x995cca7dcc172769?sa=X&ved=2ahUKEwiau7re65LkAhVMdt8KHSzTApMQ_BIwCnoECA0QCA",https://www.facebook.com/ABC-Pregnancy-Help-Center-McCook-NE-168427559834373/,https://www.yelp.com/biz/abc-pregnancy-help-center-mc-cook
Birthright,301 N 4th St Suite 260,Norfolk,Nebraska (NE),68701,,​http://birthright.org/norfolkne,"https://www.google.com/maps/place/Birthright+of+Norfolk/@42.0337274,-97.4313824,15z/data=!4m2!3m1!1s0x0:0x3bb844ff58b75d52?sa=X&ved=2ahUKEwiKpZ_CzY_wAhWETt8KHT8SD4QQ_BIwCnoECBgQBQ",,​https://www.yelp.com/biz/birthright-of-norfolk-norfolk
Women's Resource Center,209 McNeel Lane,North Platte,Nebraska (NE),69101,,https://pregnancynorthplatte.com/,"https://www.google.com/maps/place/Women's+Resource+Center/@41.1198387,-100.7657394,15z/data=!4m5!3m4!1s0x0:0x78ad30d00a0f98bc!8m2!3d41.1198387!4d-100.7657394",,
Ogallala Women's Resource Center,"1008 West 1st St, Suite 1",Ogallala,Nebraska (NE),69153,,https://www.ogallalawrc.com/,"https://www.google.com/maps/place/Womens+Resource+Center/@41.1231307,-101.7297134,15z/data=!4m5!3m4!1s0x0:0x8b2f98bc32637fab!8m2!3d41.1231307!4d-101.7297134",https://www.facebook.com/Ogallala.Womens.Resource.Center/, ​https://www.yelp.com/biz/womens-resource-center-ogallala
Assure Women's Center - North Omaha,6510 Sorensen Parkway,Omaha,Nebraska (NE),68152,,https://assureomaha.com/,"https://www.google.com/maps/place/Assure+Women's+Center/@41.318263,-96.012967,12z/data=!4m5!3m4!1s0x0:0x7911c4b5d3422478!8m2!3d41.318263!4d-96.0129668?hl=en-US",,https://m.yelp.com/biz/assure-womens-center-omaha-2
Assure Women's Center - West Omaha,"14225 Dayton Circle, Suite 2",Omaha,Nebraska (NE),68137,, ​https://assureomaha.com,"https://www.google.com/maps/place/Assure+Women's+Center/@41.216244,-96.136872,16z/data=!4m5!3m4!1s0x0:0xb7153f2eebe95254!8m2!3d41.216244!4d-96.1368717?hl=en-US",https://www.facebook.com/AssureWomensCenter/," ​https://www.yelp.com/biz/assure-womens-center-omaha-3 , Yelp (2nd location): ​https://www.yelp.com/biz/assure-womens-center-omaha-2"
Bethany Christian Services,"7905 L Street, Suite 320",Omaha,Nebraska (NE),68127,,https://impregnant.org/ // https://bethany.org/locations/us/nebraska/omaha,"https://www.google.com/maps/place/Bethany+Christian+Services/@41.20586,-96.08908,15z/data=!4m5!3m4!1s0x0:0x4e3d4c983ec38270!8m2!3d41.20586!4d-96.08908",https://www.facebook.com/bethanyfans,
Essential Pregnancy Services - Benson Center,6220 Maple Street,Omaha,Nebraska (NE),68104,,https://essentialps.org/,"https://www.google.com/maps/place/Essential+Pregnancy+Services/@41.2852683,-96.0090347,15z/data=!4m5!3m4!1s0x0:0x2fc8feb883ea61bc!8m2!3d41.2852683!4d-96.0090347",, ​https://www.yelp.com/biz/essential-pregnancy-services-omaha-2
​Essential Pregnancy Services - Maple Village Center,3029 North 93rd Street,Omaha,Nebraska (NE),68134,,https://essentialps.org/,"https://www.google.com/maps/place/Essential+Pregnancy+Services/@41.286806,-96.055324,15z/data=!4m5!3m4!1s0x0:0xd6e741d04fe8f740!8m2!3d41.286806!4d-96.055324",,
Hope Pregnancy Center,1109 Washington St,Superior,Nebraska (NE),68978,,https://www.superiorhope.org/,"https://www.google.com/maps/place/Hope+Pregnancy+Center/@40.0275643,-98.0657103,15z/data=!4m2!3m1!1s0x0:0xb7b477bf32541cd6?sa=X&ved=2ahUKEwiOyt2E0I_wAhWFnOAKHeN2DfMQ_BIwCnoECBgQAw",https://www.facebook.com/HPCFamilyResourceServices/,
"York Crisis Pregnancy Center, Inc.",618 Lincoln Avenue,York,Nebraska (NE),68467,,https://yorkcpc.com/,"https://www.google.com/maps/place/York+Crisis+Pregnancy+Center/@40.867539,-97.5919577,15z/data=!4m5!3m4!1s0x0:0xbe7bb36545923565!8m2!3d40.867539!4d-97.5919577",,
