Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Pathways Pregnancy Care Ctr,593 Sullivan St,Berlin,New Hampshire (NH),03570,,,,,
Bethany Christian Services,183 High St,Candia,New Hampshire (NH),03034,,​ ​https://www.bethany.org/candia // https://impregnant.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@43.0635044,-71.3008881,15z/data=!4m5!3m4!1s0x0:0x83eeb6ff19cba62f!8m2!3d43.0635044!4d-71.3008881",https://www.facebook.com/bethanyfans,https://www.yelp.com/biz/bethany-christian-services-candia?osq=Bethany+christian+services
Care Net Pregnancy Center of the Upper Valley (895),24 Opera House Square,Claremont,New Hampshire (NH),03743,, ​http://www.pregnancycenteruppervalley.com/,, ​https://www.facebook.com/pregnancycenteruv/, ​https://www.yelp.com/biz/care-net-pregnancy-ctr-of-the-upper-valley-claremont
Care Net PC of Greater Concord,7 Greenwood Ave,Concord,New Hampshire (NH),03301,, ​http://carenetconcord.com/,,, ​https://www.yelp.com/biz/carenet-pregnancy-center-of-greater-concord-concord
Care Net Pregnancy Center of the Mt Washington Valley (3006),24 Pleasant St Suite 3B,Conway,New Hampshire (NH),03818,,,,https://www.facebook.com/pages/Care-Net-Pregnancy-Center-of-The-Mount-WashingtonValley/133988623318293,
Birthright,37 Crystal Ave - Plaza One/Unit 10,Derry,New Hampshire (NH),03038,,,,,​ ​https://www.yelp.com/biz/birthright-of-southern-nh-derry
Options Pregnancy & Sexual Health Resources,65 Main Street,Dover,New Hampshire (NH),03820,,​ ​http://optionsforwomen.org/,,https://www.facebook.com/optionsdover/,https://www.yelp.com/biz/options-for-women-pregnancy-help-center-and-clinic-dover
Pregnancy Resource Center of the Monadnock Region,100 Washington Street,Keene,New Hampshire (NH),03431,,Website:​ ​http://www.pregnancyresourcekeene.org/,,,https://www.yelp.com/biz/pregnancy-resource-center-of-the-monadnock-region-keene
Aspire Women's Center,506 Union Ave,Laconia,New Hampshire (NH),03246,, ​http://aspirelaconia.org/,,, ​https://www.yelp.com/biz/care-net-pregnancy-center-of-the-lakes-region-laconia
​Catholic Social Services Littleton District Office,41 Cottage Street,Littleton,New Hampshire (NH),03561,,"​ ​https://catholiccharitiesusa.org/ , www.nh-cc.org",,​ ​https://www.facebook.com/pages/Catholic-Charities/134115816638596,
Pathways Pregnancy Care Ctr,"70 Redington St, Ste 100",Littleton,New Hampshire (NH),03561,,(603) 444-3991,,,
​Birthright of Manchester,247 South Main Street,Manchester,New Hampshire (NH),03110,,http://birthright.org/manchester,,,​ ​https://www.yelp.com/biz/birthright-of-manchester-manchester
Care Net Pregnancy Center of Manchester,"50 Bridge St, Ste 307",Manchester,New Hampshire (NH),03101,,​ ​http://www.carenetnh.org/,,https://www.facebook.com/CareNet-Pregnancy-Center-of-Manchester-129302667656134/,https://www.yelp.com/biz/care-net-pregnancy-center-of-manchester-manchester
Pennacook Pregnancy Center,657B Chestnut St,Manchester,New Hampshire (NH),03104,,,,,
Care Net Pregnancy Center of Nashua,110 Main Street,Nashua,New Hampshire (NH),03060,,http://carenetnh.org/,,,https://www.yelp.com/biz/care-net-pregnancy-center-nashua-nashua
Haven Pregnancy Services,81A Highland St,Plymouth,New Hampshire (NH),03264,, ​http://home.myfairpoint.net/carenetwm/carenetdonation/y http://www.pregnant-help.com/,,,
Birthright,323 Islington St,Portsmouth,New Hampshire (NH),03801,,​ ​http://birthright.org/portsmouthnh.html,,,​ ​https://www.yelp.com/biz/birthright-portsmouth
Pregnancy Center of the Upper Valley,One Main St. #2,West Lebanon,New Hampshire (NH),03743,, ​http://www.pregnancycenteruppervalley.com/,"https://www.google.com/maps/place/Pregnancy+Center+of+the+Upper+Valley/@43.6446479,-72.3115183,17z/data=!3m1!4b1!4m5!3m4!1s0x4cb4b57c3189fc51:0xf372bc7543976e7e!8m2!3d43.644644!4d-72.3093296", ​https://www.facebook.com/pregnancycenteruv/,https://www.yelp.com/biz/care-net-pregnancy-center-of-the-upper-valley-west-lebanon
