Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Birthright of Ocean County,819 West Bay Ave. #18,Barnegat,New Jersey (NJ),08005,,,"https://www.google.com/maps/place/Birthright+of+Ocean+County/@39.754911,-74.233958,15z/data=!4m2!3m1!1s0x0:0x326157ae19d5cf5a?sa=X&ved=2ahUKEwiB0KjCzo_kAhUC11kKHZdNBQEQ_BIwCnoECA4QCA",,https://www.yelp.com/biz/birthright-of-ocean-county-barnegat-office-barnegat
Birthright,"623 Bloomfield Ave, 2nd FL",Bloomfield,New Jersey (NJ),07003,,​http://birthright.org/bloomfield,,,https://www.yelp.com/biz/birthright-essex-county-chapter-bloomfield?osq=Birthright+of+Essex+County
Options for Women Pregnancy Center (2585),"1500 N. Kings Highway, Suite 110",Cherry Hill,New Jersey (NJ),08034,, ​http://optionsnj.org/,,, ​https://www.yelp.com/biz/options-pcc-cherry-hill
1st Way,528 Richey Ave.,Collingswood,New Jersey (NJ),08107,,http://1stwaylifecenter.com/,"https://www.google.com/maps/place/1st+Way/@39.9108935,-75.0855511,15z/data=!4m5!3m4!1s0x0:0xebaa4b984ac0afab!8m2!3d39.9108935!4d-75.0855511",,
​Birthright of Dover,Belmont Ave & Trenton,Dover,New Jersey (NJ),07801,,https://birthright.org/dover,,,​https://www.yelp.com/biz/birthright-dover?osq=Birthright
​Crisis Pregnancy Service of Atlantic County New Jersey,1307 White Horse Pike,Egg Harbor City,New Jersey (NJ),08401,,,,​https://www.facebook.com/CrisisPregnancyService/, ​https://www.yelp.com/biz/crisis-pregnancy-services-egg-harbor-city
Gateway Pregnancy Center,"65 Jefferson Avenue, Ste 405",Elizabeth,New Jersey (NJ),07201,, ​www.gateway.org,,, ​https://www.yelp.com/biz/gateway-pregnancy-center-elizabeth
​Our Gift of Hope Pregnancy Center,106 W Palisade Ave ,Englewood,New Jersey (NJ),07631,, ​http://www.ourgiftofhope.org/,,,
Bethany Christian Services - Fair Lawn,12-19 River Rd,Fair Lawn,New Jersey (NJ),07410,, ​https://www.bethany.org/fair-lawn  // https://impregnant.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@40.931782,-74.1319248,15z/data=!4m2!3m1!1s0x0:0x1e0e261428003c63?sa=X&ved=2ahUKEwiVwLK3so_tAhUPnOAKHXwkDGgQ_BIwC3oECBIQAw",https://www.facebook.com/bethanyfans,https://www.yelp.com/biz/bethany-christian-services-fair-lawn-2?osq=Bethany+christian+services
Friendship Center for New Beginnings (913),162 Main St,Flemington,New Jersey (NJ),08822,,Website: ​http://www.friendship-center.org/,,,Yelp: ​https://www.yelp.com/biz/friendship-center-for-new-beginnings-flemington
