Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Care Net Center of Greater Orleans,111 West Ave ,Albion,New York (NY),14411,,http://www.carenetorleans.net/home.html,,​ ​https://www.facebook.com/carenetorleansny/,​ ​https://www.yelp.com/biz/care-net-pregnancy-center-of-orleans-county-albion
"Alpha Pregnancy Care Center, Inc.",211 E Main St,Amsterdam,New York (NY),12010,,www.alphacare.org,,,
Bridge Women's Support Center,2340 Astoria Blvd,Astoria,New York (NY),11102,,,,,
Pregnancy Care Center of Cayuga County,75 Genesee Street,Auburn,New York (NY),13021,, ​http://www.auburnpcc.com/,,,https://www.yelp.com/biz/pregnancy-care-center-of-cayuga-county-auburn?osq=Pregnancy+Care
Birthright,1490 Saratoga Road,Ballston Spa,New York (NY),12020,,​ ​http://birthright.org/ballstonspa,,,​ ​https://www.yelp.com/biz/birthright-ballston-spa?osq=birthright
All Babies Cherished,445 Ellicott St,Batavia,New York (NY),14020,,​ ​http://www.allbabiescherished.com,,,https://www.yelp.com/biz/all-babies-cherished-pregnancy-assistance-center-batavia
"Pregnancy Resource Center of the Valleys, Inc.",22 Liberty St,Bath,New York (NY),14810,,www.prcvalleys.org,,,
Boro Pregnancy Counseling Center,203-06 Rocky Hill Rd,Bayside,New York (NY),11361,,http://www.bpcc.org/,,,https://www.yelp.com/biz/boro-pregnancy-counseling-incorporated-bayside
Abortos NYC (South Bronx),"344 E. 149th St., 2nd Floor",Bronx,New York (NY),10451,,Website: http://abortos.nyc/,,,
Expectant Mother Care Pregnancy Ctr,"344 E 149th St, 2nd Fl",Bronx,New York (NY),10451,,​ ​http://emcfrontline.org/,,https://www.facebook.com/expectantmothercare/,
Abortos NYC (Brooklyn Borough Hall),"44 Court Street, Suite 915",Brooklyn,New York (NY),11201,,Website: http://abortos.nyc/,,,
Life Center of NY-AAA Pregnancy Svcs,6802 Fifth Ave,Brooklyn,New York (NY),11220,,,,,
CPC of Western New York,3210 Main St,Buffalo,New York (NY),14214,,​ ​http://www.buffalocare.org,,https://www.facebook.com/Buffalo-Pregnancy-Care-Center-633260820030823/,
Northtowns / Southtowns Pregnancy Center,2565 Elmwood Ave,Buffalo,New York (NY),14217,(716) 800-2306,http://716pregnant.com/,,,
Care Net Pregnancy Center of Central New York,40 Main St,Camden,New York (NY),13316,,Website:​ ​http://carenetcares.com/,,https://www.facebook.com/pg/carenetcny/about/?ref=page_internal,
Care Net PC of Canadaigua,"120 N Main St, Ste 28",Canandaigua,New York (NY),14424,,http://carenetcan.org/,,,
Viable Options,11 Court Street,Canton,New York (NY),13617,(315) 801-2273,https://viableoptions.org/,,,
Birthright of Northern Westchester and Putnam County,12 Fair Street,Carmel,New York (NY),10512,(845) 225-8885,http://Birthright.org,,,
Alight Center,386 Main St,Catskill,New York (NY),12414,,,,,
Soundview Pregnancy Services,1919 Middle Country Rd Suite 100,Centereach,New York (NY),11720,(631) 676-7990,https://soundviewpregnancy.com/,,https://www.facebook.com/SoundviewPregnancyServices,https://www.yelp.com/biz/soundview-pregnancy-services-centereach
Alpha Pregnancy Care Center,516 Moe Rd,Clifton Park,New York (NY),12065,,​ ​http://alphacare.org/,,,
Alpha Pregnancy Care Center,144 Remsen Street,Cohoes,New York (NY),12047,,​ ​http://alphacare.org/,,,
"Pregnancy Resource Center of the Valleys, Inc.",300 Nassar Civic Center Pl Suite 230,Corning,New York (NY),14830,,www.prcvalleys.org,,,
Expectant Mother Care Pregnancy Ctr,37-65 104th Street,Corona,New York (NY),11368,,,,,
Cortland Pregnancy Center,4 Church St,Cortland,New York (NY),13045,(607) 753-3909,​ ​http://www.ithacapregnancy.com,,https://www.facebook.com/cortlandpregnancycenter/,
AAA Pregnancy Options - Deer Park,1767 Deer Park Ave,Deer Park,New York (NY),11561,(631) 243-0066,"​ ​http://www.lifecenterli.org, ​ ​http://www.aaapregnancyoptions.com",,http://www.facebook.com/aaapregnancyoptions/,http://www.yelp.com/biz/aaa-pregnancy-options-deer-park-deer-park
​Life Center of Long Island,1767 Deer Park Avenue,Deer Park,New York (NY),11729,,Website:​ ​http://www.lifecenterli.org,,,
PCC of the Finger Lakes,13 Harpending Avenue,Dundee,New York (NY),14837,,,,,
Soundview Pregnancy Services,1975 Hempstead Turnpike Suite 304,East Meadow,New York (NY),11554,(516) 430-7990,https://soundviewpregnancy.com/,,https://www.facebook.com/SoundviewPregnancyServices,https://www.yelp.com/biz/soundview-pregnancy-services-centereach
Southern Tier Pregnancy Care Center,601 Pennsylvania Avenue,Elmira,New York (NY),14904,,,,,
​Southern Tier Pregnancy Resource Center,375 W. Water St.,Elmira,New York (NY),14905,,,,https://www.facebook.com/STPRCElmira/?ref=hl,​ ​https://www.yelp.com/biz/southern-tier-pregnancy-resource-center-elmira
Southern Tier Pregnancy Resource Ctr,"571 St. Joseph's Blvd., Ste 201",Elmira,New York (NY),14901,,,,,
Birthright,"1081 Main Street, Suite F",Fishkill,New York (NY),12524,,https://birthrightdutchesscounty.com/,,,​ ​https://www.yelp.com/biz/birthright-fishkill?osq=birthrigt
Bridge Women's Support Center,147-32 Sanford Ave 2nd floor,Flushing,New York (NY),11355,,​ ​http://www.thebridgetolife.org,,,​ ​https://www.yelp.com/biz/the-bridge-to-life-flushing
Saint Gianna - Chautauqua Area,32 Moore Ave,Fredonia,New York (NY),14063,,http://www.prolifechautauquaco.org/outreach/,"https://www.google.com/maps/place/St.+Gianna+Pregnancy+Outreach+Center/@42.0760579,-78.3735236,7z/data=!4m8!1m2!2m1!1ssaint+gianna+pregnancy+center+!3m4!1s0x89d2cdb51b6c4485:0x491bf2530a89ac44!8m2!3d42.4828397!4d-79.3151305",https://www.facebook.com/pages/Gianna-Molla-Pregnancy-Outreach-Center/1244612298888894,
​Birthright of Genesco,11 Franklin St.,Genesco,New York (NY),14454,,​ ​http://birthright.org/geneseo,,,​ ​https://www.yelp.com/biz/birthright-of-rochester-geneseo
Family Hope Center,551 Exchange St,Geneva,New York (NY),14456,,"http://www.familyhopecentergeneva.org/, ​ ​http://optionline.org/",,,
