Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Akron Pregnancy Services,715 E Buchtel Ave ,Akron,Ohio (OH),44305,(330) 915-6520,http://www.akronpregnancyservices.com/,"https://www.google.com/maps/place/Akron+Pregnancy+Services/@41.084417,-81.514158,15z/data=!4m2!3m1!1s0x0:0x9fe1e9fcd35e9d4d?sa=X&ved=2ahUKEwinyavx_aPwAhWqm-AKHWIMC_oQ_BIwFHoECEAQBQ",https://www.facebook.com/akronpregnancyservices/,Yelp: ​https://www.yelp.com/biz/akron-pregnancy-service-akron
Pregnancy Solutions & Services,3136 Manchester Rd,Akron,Ohio (OH),44319,, ​http://www.pregsolutions.org/,"https://www.google.com/maps/place/Pregnancy+Solutions/@41.0143259,-81.553569,15z/data=!4m2!3m1!1s0x0:0x27cda104e33208ce?sa=X&ved=0ahUKEwiVnrrC94DcAhUs0FkKHTchA8UQ_BIIkQEwCg",https://www.facebook.com/pages/biz/Pregnancy-Solutions-Services-115555305171646/,
Alliance Pregnancy Center,"75 Glamorgan Ave, Suite 102",Alliance,Ohio (OH),44601,, ​http://alliancepregnancycenter.com/,"https://www.google.com/maps/place/Alliance+Pregnancy+Center/@40.91287,-81.106608,15z/data=!4m2!3m1!1s0x0:0xa88ea47ce1887391?sa=X&ved=0ahUKEwjnzfKolYHcAhWDzlkKHZoaDE0Q_BIIhQEwCg",https://www.facebook.com/Alliance-Pregnancy-Center-262518133949355/, ​https://www.yelp.com/biz/alliance-pregnancy-center-alliance-2
Ashland Care Center,119 Sloan Ave,Ashland,Ohio (OH),44805,,www.ashlandcarecenter.org,"https://www.google.com/maps/place/Ashland+Pregnancy+Care+Center/@40.8647554,-82.2958856,15z/data=!4m2!3m1!1s0x0:0xa20d6a95921ff3ad?sa=X&ved=2ahUKEwjK1pysgKTwAhV0GFkFHegCAooQ_BIwCnoECDsQBQ",https://www.facebook.com/AshlandPregnancyCareCenter/,https://www.yelp.com/biz/ashland-pregnancy-center-ashland-2
Mya Women's Center,517 W. Prospect Road Ste C,Ashtabula,Ohio (OH),44004,,www.myawomenscenter.com,"https://www.google.com/maps/place/Mya+Women's+Center/@41.869787,-80.786662,15z/data=!4m2!3m1!1s0x0:0x246efd9633c09d60?sa=X&ved=0ahUKEwjVzs74i4HcAhWOwFkKHcywANwQ_BIIjQEwCg",https://www.facebook.com/myawomenscenter/,https://www.yelp.com/biz/mya-womens-center-ashtabula
​Pregnancy Resource Center of Athens,77 E State St ,Athens,Ohio (OH),45701,, ​http://www.athenspregnancy.com/,"https://www.google.com/maps/place/Pregnancy+Resource+Center/@39.3278751,-82.1015282,15z/data=!4m2!3m1!1s0x0:0x7c8889ac09ed6362?sa=X&ved=0ahUKEwil2-LAhYHcAhUjx1kKHUc9BNUQ_BIIeDAK",https://www.facebook.com/PregnancyResourceCenterAthens/, ​https://www.yelp.com/biz/pregnancy-resource-center-of-athens-athens
Community Pregnancy Center ,180 1st Street NW,Barberton,Ohio (OH),44203,, ​http://www.communitypregnancycenter.org/,"https://www.google.com/maps/place/Community+Pregnancy+Center/@41.0153904,-81.6065751,15z/data=!4m2!3m1!1s0x0:0xe7cf1cd463cab8b6?sa=X&ved=0ahUKEwjw4dyE5oDcAhWDtVMKHUFTBzMQ_BIIiwEwCg",https://www.facebook.com/cpcbarberton/, ​https://www.yelp.com/biz/community-pregnancy-center-barberton-2
New Path Pregnancy Resource Center,709 North Main Street,Bellefontaine,Ohio (OH),43040,,https://www.newpathprc.com/index.php,,https://www.facebook.com/pages/New-Path-Pregnancy-Resource-Centers/809138782529449,
In His Hands Pregnancy Center (Blanchard Pregnancy Resource),307 E. Main Street,Blanchester,Ohio (OH),45107,, http://inhishandspregnancycenter.blogspot.com/,"https://www.google.com/maps/place/Blanchester+Pregnancy+Resource/@39.2951899,-83.985985,15z/data=!4m5!3m4!1s0x0:0x3609a0e645415270!8m2!3d39.2950888!4d-83.9858743",,
HerChoice,531 Ridge St,Bowling Green,Ohio (OH),43402,(419) 354-4673, ​http://bgpc.org/,"https://www.google.com/maps/place/Cleveland+Pregnancy+Center/@41.4805988,-81.7130467,15z/data=!4m2!3m1!1s0x0:0x2522409a42a5bdd3?sa=X&ved=0ahUKEwiwr_SNjIHcAhVioFkKHdgiBjQQ_BIIngEwCg",https://www.facebook.com/BGPregnancyCenter/, ​https://www.yelp.com/biz/bowling-green-pregnancy-cntr-bowling-green
Oaks Family Care Center,4196 Center Road,Brunswick,Ohio (OH),44212,, ​http://www.oaks-family-care.org/,"https://www.google.com/maps/place/Oaks+Family+Care+Center/@41.23783,-81.8370149,15z/data=!4m2!3m1!1s0x0:0x89dea306e3183db4?sa=X&ved=0ahUKEwiO4teChYHcAhUQk1kKHfFLArYQ_BIIkAEwCg",https://www.facebook.com/brunswickoaksfamilycarecenter/, ​https://www.yelp.com/biz/oaks-family-care-center-brunswick
​Community Pregnancy Centers - Bryan (CPC Women's Health Resource),1410 W. High Street,Bryan,Ohio (OH),43506,,https://cpcnwo.org/,"https://www.google.com/maps/place/CPC+Women's+Health+Resource/@41.474933,-84.572234,15z/data=!4m2!3m1!1s0x0:0x9c102a699052909c?sa=X&ved=2ahUKEwiZ-ejUhqTwAhVoFlkFHTLzAq0Q_BIwEXoECDkQBQ",,https://www.yelp.com/biz/community-pregnancy-centers-bryan?osq=Community+Pregnancy+Center
Voice of Hope Pregnancy Center,115 W Rensselear St,Bucyrus,Ohio (OH),44820,, ​http://www.yourpregnancyoptions.org/ and http://www.betheldonors.org/,"https://www.google.com/maps/place/Voice+of+Hope+Pregnancy+Center/@40.8074482,-82.9763128,15z/data=!4m2!3m1!1s0x0:0xde4f96cd91c9fe71?sa=X&ved=0ahUKEwj4rqjx2IDcAhXSwFkKHetrDnoQ_BIIbjAK",https://www.facebook.com/marion.voh/,
Open Arms Pregnancy Center,141 S 11th St,Cambridge,Ohio (OH),43725,,https://www.oapccambridge.org/,"https://www.google.com/maps/place/Open+Arms+Pregnancy+Center/@40.0260034,-81.5844209,15z/data=!4m2!3m1!1s0x0:0xda7e035dcfd48f4e?sa=X&ved=0ahUKEwjL8bzG4YDcAhUtrlkKHWUrA98Q_BIIazAK",https://www.facebook.com/oapccambridge/,https://www.yelp.com/biz/open-arms-pregnancy-center-cambridge
Eva Women's Clinic (formerly Pregnancy Choices),2645 Cleveland Ave. Suite #2,Canton,Ohio (OH),44709,,https://evawomensclinic.com/,"https://www.google.com/maps/place/Eva+Women's+Clinic/@40.8270356,-81.3879251,17z/data=!4m13!1m7!3m6!1s0x8836d0f7bdda7da9:0x7039ae07be88dd73!2s2645+Cleveland+Ave+NW,+Canton,+OH+44709!3b1!8m2!3d40.8270356!4d-81.3857364!3m4!1s0x8836d0f7bdb5c5bb:0xd12841d824b69104!8m2!3d40.8269023!4d-81.3854834",https://www.facebook.com/pregnancychoicesforme/,https://www.yelp.com/biz/pregnancy-choices-canton
Pregnancy Choices,4500 22nd St. NW,Canton,Ohio (OH),44708,,https://pregnancychoicesforme.org/,"https://www.google.com/maps/place/Pregnancy+Choices/@40.823626,-81.42673,15z/data=!4m2!3m1!1s0x0:0x9a3a2aa0188435a4?sa=X&ved=0ahUKEwi_78HvhYHcAhVKwlkKHT83A6UQ_BIIcDAK",https://www.facebook.com/pregnancychoicesforme/,https://www.yelp.com/biz/pregnancy-support-center-of-stark-county-canton?osq=pregnancy+support
​Birthright of Geauga,"209 Center Street, Unit A",Chardon,Ohio (OH),44024,,​http://birthright.org/geauga,"https://www.google.com/maps/place/Birthright+Geauga+Inc/@41.5828217,-81.2098018,15z/data=!4m2!3m1!1s0x0:0xfc61c8e167c9ec3?sa=X&ved=0ahUKEwi1pvvg54DcAhVEzFMKHS5LDC8Q_BIIejAK",https://www.facebook.com/birthrightgeauga/,​https://www.yelp.com/biz/pregnancy-counseling-birthright-chardon
Elizabeth's Hope Pregnancy Resources - Ross,311 West Water Street,Chillicothe,Ohio (OH),45601,, ​http://www.thereishopetoday.org/,Elizabeth's Hope Pregnancy Resources ,https://www.facebook.com/Elizabeths-Hope-Pregnancy-Resources-136105679781109/, ​https://www.yelp.com/biz/elizabeths-hope-pregnancy-resources-chillicothe
"​A Caring Place Pregnancy Help Center, Inc.",4446 Mt. Carmel Tobasco Road,Cincinnati,Ohio (OH),45244,, ​http://www.acaringplace.org/,"https://www.google.com/maps/place/A+Caring+Place+Pregnancy+Help+Center,+Inc.+(ACP)/@39.099054,-84.299592,15z/data=!4m2!3m1!1s0x0:0x8f27de566aecd330?sa=X&ved=0ahUKEwikw-TZhYHcAhVltlkKHfBtAtsQ_BIIigEwCg",https://www.facebook.com/A-Caring-Place-Pregnancy-Help-Center-Inc-287130338155/,https://www.yelp.com/biz/a-caring-place-cincinnati
Life Forward - Pregnancy Care of Cincinnati - Clifton ,2415 Auburn Ave,Cincinnati,Ohio (OH),45219,,www.lifeforwardcincy.org,"https://www.google.com/maps/place/Life+Forward,+Pregnancy+Care+of+Cincinnati/@39.126363,-84.50873,15z/data=!4m2!3m1!1s0x0:0x89f0270780419c91?sa=X&ved=0ahUKEwjFv6jC8IDcAhWOv1MKHZxcADMQ_BIIjgEwFQ",,
Life Forward - PregnancyCare of Cincinnati - Springdale,11345 Century Circle West,Cincinnati,Ohio (OH),45246,,http://www.lifeforwardcincy.org/,"https://www.google.com/maps/place/Life+Forward,+Pregnancy+Care+of+Cincinnati/@39.281203,-84.455547,15z/data=!4m5!3m4!1s0x0:0xa8df4e99a4b7ca3d!8m2!3d39.2815293!4d-84.4552205",,https://www.yelp.com/biz/pregnancy-care-center-cincinnati
Pregnancy Center East,4760 Madison Road,Cincinnati,Ohio (OH),45227,,https://pregnancycentereast.com/,"https://www.google.com/maps/place/Pregnancy+Center+East/@39.151356,-84.4419039,15z/data=!4m2!3m1!1s0x0:0x38eb2d75701c6069?sa=X&ved=0ahUKEwjxqJyRgoHcAhULj1kKHT96DP4Q_BIIsgEwCg",https://www.facebook.com/PregnancyCenterEast/,https://www.yelp.com/biz/pregnancy-center-east-cincinnati-2
