Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Coast Pregnancy Clinic,360 9th Street,Astoria,Oregon (OR),97103,,,,,
Rachel Pregnancy Center,2192 Court Ave,Baker City,Oregon (OR),97814,(541) 523-5357,http://www.bakerpregnancyhelp.org/,,,
Pregnancy Resource Center,4975 SW Watson Ave,Beaverton,Oregon (OR),97005,, ​http://prcofportland.com,,, ​https://www.yelp.com/biz/crisis-pregnancy-center-beaverton
"Pregnancy Resource Center of Central Oregon, Bend (1083)","369 NE Revere Ave, Suite 103",Bend,Oregon (OR),97701,,Website: ​https://www.prcco.org/,,,Yelp: ​https://www.yelp.com/biz/pregnancy-resource-centers-of-central-oregon-bend-2
​Pregnancy Care Center of Brookings,344 Pacific Avenue,Brookings,Oregon (OR),97415,,,,Facebook: ​https://www.facebook.com/pages/Pregnancy-Care-Center/287977591257942,https://www.yelp.com/biz/pregnancy-care-center-of-crescent-city-brookings?osq=pregnancy+care
​Canby Pregnancy Care Center,158 SW Second Ave,Canby,Oregon (OR),97013,,Website: ​http://www.pccnwv.org/,,,
Pregnancy Center of the Illinois Valley,319 S Redwood Hwy,Cave Junction,Oregon (OR),97523,, ​www.pregnancycenteriv.org,,,
Clackamas Pregnancy Resource Center,13053 SE 84th Ave,Clackamas,Oregon (OR),97015,, ​http://prcofportland.com,,,
Coos County Pregnancy Resource Center,490 Commercial Avenue,Coos Bay,Oregon (OR),97420,, ​http://possiblypregnant.org/center/Coos-County-Pregnancy-Resource-Center,,https://www.facebook.com/Coos-County-Pregnancy-Resource-Center-130400383665499/,
Options Pregnancy Resource Centers,867 NW 23rd St,Corvallis,Oregon (OR),97330,,http://www.optionsprc.org/,,,http://www.yelp.com/biz/options-pregnancy-resource-centers-corvallis?osq=pregnancy+resource+center
Pregnancy Resource Ctr of Estacada,107 NW 5th Ave,Estacada,Oregon (OR),97023,,http://www.prcofsandy.org,,https://www.facebook.com/Pregnancy-Resource-Center-of-Sandy-and-Estacada-302161080707/,​https://www.yelp.com/biz/pregnancy-resource-center-of-sandy-estacada
​Dove Medical,487 E. 11th Avenue,Eugene,Oregon (OR),97401,, ​http://dovemedical.org/,,https://www.facebook.com/DoveMedical/, ​https://www.yelp.com/biz/dove-medical-eugene
Florence Caring Pregnancy Center,1525 West 12th St,Florence,Oregon (OR),97439,,,,,
