Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Bright Hope Pregnancy Support Centers,1036 Hamilton St,Allentown,Pennsylvania (PA),18104,,www.brighthopecenters.org,"https://www.google.com/maps/place/Bright+Hope+Pregnancy+Support+Centers/@40.5999479,-75.481394,17z/data=!3m1!4b1!4m5!3m4!1s0x89c4397fdf48443d:0xe90c7a512f68aa1e!8m2!3d40.5999479!4d-75.4792053",https://www.facebook.com/Brighthopecenters/,
​Precious Life of Blair County,1716 12th Avenue,Altoona,Pennsylvania (PA),16601,,https://plinc.org/,"https://www.google.com/maps/place/Precious+Life+Inc/@40.5128258,-78.4083167,15z/data=!4m5!3m4!1s0x0:0x11e5e8bb26729f73!8m2!3d40.5127782!4d-78.4082718",,Yelp: ​https://www.yelp.com/biz/precious-life-altoona
​Precious Life of Bedford County,215 South Juliana Street,Bedford,Pennsylvania (PA),15522,,https://plinc.org/,"https://www.google.com/maps/place/Precious+Life+Inc/@40.0166231,-78.503618,15z/data=!4m5!3m4!1s0x0:0x3381e2ecb034d776!8m2!3d40.0166231!4d-78.503618",,
Genesis Center of Allegheny County,141 N. Fremont Avenue,Bellevue,Pennsylvania (PA),15202,,https://genesispgh.org/genesis-center-allegheny-county,"https://www.google.com/maps/place/Genesis+Center/@40.4981833,-80.0505235,15z/data=!4m5!3m4!1s0x0:0x988922d6256b6708!8m2!3d40.4981711!4d-80.0505003",https://www.facebook.com/GenesisofPgh/,
Genesis Learning Center ,139 N. Fremont Avenue,Bellevue,Pennsylvania (PA),15202,,https://genesispgh.org/learning-center,,,
Your Loving Choices (Bloomsburg Options Center),904 Market Street,Bloomsburg,Pennsylvania (PA),17815,,https://yourlovingchoices.org/,"https://www.google.com/maps/place/Your+Loving+Choices,+Inc./@40.995312,-76.4526659,15z/data=!4m5!3m4!1s0x0:0x113e58067a910bcb!8m2!3d40.995312!4d-76.4526659",https://www.facebook.com/YLCbloomsburg/,https://www.yelp.com/biz/your-loving-choices-bloomsburg
Bright Alternatives,90 Boylston St Ste 200,Bradford,Pennsylvania (PA),16701,,http://brightalternatives.org/,"https://www.google.com/maps/place/Bright+Alternatives+The+Center+for+New+Hope/@41.9570209,-78.6464284,15z/data=!4m2!3m1!1s0x0:0x319c9ba686ed191a?sa=X&ved=2ahUKEwj5qdeF5ZzwAhWyGFkFHf9aD9MQ_BIwCnoECDkQBQ",,
Community Women's Center of Bucks County,712 Veterans Highway,Bristol,Pennsylvania (PA),19007,(215) 826-8090,https://www.cwcamerica.org/,"https://www.google.com/maps/place/Community+Women's+Center+of+Bucks+County/@40.1052436,-74.8758399,15z/data=!4m5!3m4!1s0x0:0x1d7afdf6652de450!8m2!3d40.1052307!4d-74.8758873",,
​Lifeline of Southwest PA - Butler Office,230 W Cunningham St,Butler,Pennsylvania (PA),16001,, ​www.lifelineofsouthwestpa.org,"https://www.google.com/search?client=firefox-b-1-d&q=%E2%80%8BLifeline%20of%20Southwest%20PA%20-%20Butler%20Office&tbs=lf:1,lf_ui:4&tbm=lcl&rflfq=1&num=10&rldimm=10319155645208580801&lqi=CivigItMaWZlbGluZSBvZiBTb3V0aHdlc3QgUEEgLSBCdXRsZXIgT2ZmaWNlIgOIAQFIs-S4xeWAgIAIWkAKBm9mZmljZRAFGAAYARgCGAMYBCImbGlmZWxpbmUgb2Ygc291dGh3ZXN0IHBhIGJ1dGxlciBvZmZpY2UqAggCkgEcc29jaWFsX3NlcnZpY2VzX29yZ2FuaXphdGlvbqoBDhABKgoiBm9mZmljZSgA&ved=2ahUKEwiu0cjmh5_wAhUEhOAKHQFvClwQvS4wAHoECAUQIg&rlst=f#rlfi=hd:;si:10319155645208580801,l,CivigItMaWZlbGluZSBvZiBTb3V0aHdlc3QgUEEgLSBCdXRsZXIgT2ZmaWNlIgOIAQFIs-S4xeWAgIAIWkAKBm9mZmljZRAFGAAYARgCGAMYBCImbGlmZWxpbmUgb2Ygc291dGh3ZXN0IHBhIGJ1dGxlciBvZmZpY2UqAggCkgEcc29jaWFsX3NlcnZpY2VzX29yZ2FuaXphdGlvbqoBDhABKgoiBm9mZmljZSgA;mv:[[40.9085034,-79.8783207],[40.851532999999996,-79.9192318]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!2m1!1e3!3sIAE,lf:1,lf_ui:4",, ​https://www.yelp.com/biz/lifeline-butler
My Choice Medical Clinic,118 S Church St,Butler,Pennsylvania (PA),16001,,https://www.mychoicemedicalclinic.com/,"https://www.google.com/maps/place/My+Choice+Medical+Clinic/@40.8602455,-79.8979105,15z/data=!4m5!3m4!1s0x0:0xe561909b9b51210!8m2!3d40.8602455!4d-79.8979105",, ​https://www.yelp.com/biz/my-choice-medical-clinic-butler
Life Choices Clinic / Capital Area Pregnancy Centers,2515 Gettysburg Rd,Camp Hill,Pennsylvania (PA),17011,,https://lifechoicesclinic.org/,"https://www.google.com/maps/place/Life+Choices+Clinic/@40.2279867,-76.9267416,15z/data=!4m5!3m4!1s0x0:0x5358521cbed5cde1!8m2!3d40.2280998!4d-76.9267539",, ​https://www.yelp.com/biz/capital-area-pregnancy-centers-camp-hill
​Endless Mountains Pregnancy Care Center - Canton,26 West Main Street,Canton,Pennsylvania (PA),17724,,https://empccfree.com/,"https://www.google.com/maps/place/Endless+Mountains+Pregnancy+Care+Center/@41.6539034,-76.8545504,17z/data=!3m1!4b1!4m5!3m4!1s0x89cfdd3f003d9bbf:0x1c80c115ebc63dca!8m2!3d41.6538994!4d-76.8523617",,
Carlisle Area Family Life Center,155 N Hanover St,Carlisle,Pennsylvania (PA),17013,,https://carlisleareafamilylifecenter.org/,"https://www.google.com/maps/place/Carlisle+Area+Family+Life+Center/@40.204325,-77.188557,15z/data=!4m5!3m4!1s0x0:0xa3c36e6a32f65313!8m2!3d40.204325!4d-77.188557",https://www.facebook.com/Carlisle-Area-Family-Life-Center-114434118574523/,
​PMI Pregnancy Resource Center - Chambersburg,338 Lincoln Way East,Chambersburg,Pennsylvania (PA),17201,,https://pmipregnancycenter.org/ and https://pregnancyministries.org/,"https://www.google.com/maps/place/PMI+Pregnancy+Resource+Center/@39.9363288,-77.6558482,15z/data=!4m2!3m1!1s0x0:0xce57e74724bb401b?sa=X&ved=2ahUKEwiHwoP6jZ_wAhWGMd8KHX4NB8QQ_BIwD3oECDYQBQ",,
Delaware County Pregnancy Center,2508 Edgmont Ave,Chester,Pennsylvania (PA),19013,,https://dcpcchester.org/,"https://www.google.com/maps/place/Delaware+County+Pregnancy+Center/@39.8652615,-75.3734081,15z/data=!4m5!3m4!1s0x0:0x26d1211693e8220e!8m2!3d39.8652747!4d-75.3734037",,
Next Step Pregnancy Solutions & Services (formerly ​AAA Life Services),140 Greenville Ave,Clarion,Pennsylvania (PA),16214,,https://www.knowyournextstep.com/,"https://www.google.com/maps/place/Next+Step+Pregnancy+Solutions+and+Services/@41.205698,-79.380487,15z/data=!4m5!3m4!1s0x0:0x32524ec426004ae8!8m2!3d41.2057047!4d-79.3804367",,
Birthright of Coatesville,529 E. Lincoln Highway,Coatesville,Pennsylvania (PA),19320,,​http://birthright.org/coatesville,"https://www.google.com/maps/place/Birthright/@39.9846549,-75.815132,15z/data=!4m2!3m1!1s0x0:0xc5ad59a8c092ea3f?sa=X&ved=2ahUKEwiw_uLD4pzwAhXxUjUKHVJnDB8Q_BIwCnoECDAQBQ",,​https://www.yelp.com/biz/birthright-coatesville?osq=birthright
Chester County Women's Services - Coatesville,1028 E Lincoln Hwy,Coatesville,Pennsylvania (PA),19320,,http://ccwsmedical.org/en/ and https://ccwsmedicalinfo.org/,https://www.google.com/maps?q=Chester+County+Women%27s+Services+1028+E+Lincoln+Hwy+Coatesville+PA&um=1&ie=UTF-8&sa=X&ved=0ahUKEwj4l8iVnPnbAhWstVkKHefTDnMQ_AUICigB,https://www.facebook.com/ccwsmedical/,https://www.yelp.com/biz/chester-county-womens-services-coatesville
​A Baby's Breath - Collegeville Location,78 2nd Ave.,Collegeville,Pennsylvania (PA),19426,, ​www.ababysbreath.org,"https://www.google.com/maps/place/A+Baby's+Breath/@40.183047,-75.450176,16z/data=!4m13!1m7!3m6!1s0x89c690bbc123e451:0x85df50c899713102!2s78+2nd+Ave,+Collegeville,+PA+19426!3b1!8m2!3d40.1830471!4d-75.4501765!3m4!1s0x89c690bbc131257f:0x650ed9ea8daaceb1!8m2!3d40.1829944!4d-75.4503497?hl=en",,​https://www.yelp.com/biz/a-babys-breath-collegeville
Align (formerly Susquehanna Valley Pregnancy Services) - Columbia,462 Chestnut Street,Columbia,Pennsylvania (PA),17512,,https://alignpregnancyservices.com/locations/columbia-pregnancy-services/ and https://alignlifeministries.org/,"https://www.google.com/maps/place/Columbia+Pregnancy+Services/@40.0356222,-76.5039287,17z/data=!3m1!4b1!4m5!3m4!1s0x89c89d02cbf4d50f:0x48f323fa045f764c!8m2!3d40.0356181!4d-76.50174",,
"Alternatives, Yes Pregnancy Support Center",6 Frank Gallo Lane,Connellsville,Pennsylvania (PA),15425,,https://www.pregnancy-support.com/,"https://www.google.com/maps/place/Alternatives+Yes+Pregnancy+Support+Center/@40.0264529,-79.5925263,15z/data=!4m2!3m1!1s0x0:0x9d117b325ddfec9c?sa=X&ved=2ahUKEwikh-_s4ZzwAhWTKFkFHZc4CqgQ_BIwCnoECDUQBQ", ​https://www.facebook.com/PregSupport/,
Choices Pregnancy Services - Coraopolis,626 5th Ave Ste 1,Coraopolis,Pennsylvania (PA),15108,,https://pregnancychoice.org/,"https://www.google.com/maps/place/Choices+Pregnancy+Services/@40.5206947,-80.1728735,18z/data=!3m1!5s0x88345e133b7894e9:0x2da5e115952b8ffa!4m13!1m7!3m6!1s0x88345e133b764201:0xf5d3ad906cbc0295!2s626+5th+Ave,+Coraopolis,+PA+15108!3b1!8m2!3d40.5205989!4d-80.1727018!3m4!1s0x88345e133ade32e5:0xe99118085f3123a2!8m2!3d40.520615!4d-80.17269",,
Life Care Preg & Fmly Resource Center ,"127 North Center Street, #2",Corry,Pennsylvania (PA),16407,, ​http://www.lifecareofcorry.com/,"https://www.google.com/maps/place/LifeCare+Pregnancy+Center+%26+His+Helping+Hands+Used+Clothing+Store/@41.9228219,-79.641691,15z/data=!4m5!3m4!1s0x0:0xfbb485f1069120e1!8m2!3d41.9228219!4d-79.641691",, ​https://www.yelp.com/biz/lifecare-pregnancy-and-family-resource-center-corry
​Lifeline of Southwest PA - Cranberry Office,213 Executive Drive Suite 230,Cranberry Township,Pennsylvania (PA),16066,,www.lifelineofsouthwestpa.org,"https://www.google.com/maps/place/Lifeline-Sw+Pennsylvania/@40.6866154,-80.1071377,15z/data=!4m5!3m4!1s0x0:0x82b2ae73f177a593!8m2!3d40.6864824!4d-80.1071141",,Yelp: ​https://www.yelp.com/biz/lifeline-pregnancy-help-center-cranberry-twp
Amnion Crisis Pregnancy Center,2251 Garrett Rd,Drexel Hill,Pennsylvania (PA),19026,,www.amnionpregnancycenter.com,"https://www.google.com/maps/place/Amnion+Pregnancy+Center/@39.9509508,-75.2856934,17z/data=!3m1!4b1!4m5!3m4!1s0x89c6c17272b84bdd:0x76b84d901f0fcba!8m2!3d39.9509467!4d-75.2835047",, ​https://www.yelp.com/biz/amnion-pregnancy-center-drexel-hill
Pregancy Resource Center of the Poconos,115 N 8th St49 Dansbury Terrace,East Stroudsburg,Pennsylvania (PA),18360,,https://www.pregnancytalk.org/,"https://www.google.com/maps/place/Pregnancy+Resource+Center+of+the+Poconos/@40.9979169,-75.1823309,15z/data=!4m5!3m4!1s0x0:0x42a801a773740b03!8m2!3d40.9979169!4d-75.1823551",,
Bright Hope Pregnancy Support Centers,2204 Northampton Street,Easton,Pennsylvania (PA),18042,, ​https://brighthopecenters.org/,"https://www.google.com/maps/place/Bright+Hope+Pregnancy+Support+Centers/@40.6887522,-75.2452282,15z/data=!4m5!3m4!1s0x0:0xb3b55e5c6ea99869!8m2!3d40.6887988!4d-75.2452345",,
Boro Women's Services,108 High St,Edinboro,Pennsylvania (PA),16412,, ​www.borowomenservices.com,"https://www.google.com/maps/place/Boro+Women's+Services/@41.8737044,-80.1299566,15z/data=!4m2!3m1!1s0x0:0x616f88abba002854?sa=X&ved=2ahUKEwi444zV5JzwAhW6MlkFHeLADPwQ_BIwCnoECDQQBQ",,
​Align (formerly Susquehanna Valley Pregnancy Services) - Ephrata,112 W Main St,Ephrata,Pennsylvania (PA),17522,,https://alignpregnancyservices.com/locations/ephrata-pregnancy-services/ and https://alignlifeministries.org/,"https://www.google.com/maps/place/Align+Pregnancy+Services+Ephrata/@40.1798094,-76.1815296,17z/data=!3m2!4b1!5s0x89c6169d7659b469:0xbe29fbe41c30138d!4m5!3m4!1s0x89c6169d79cadfeb:0x10c5a5d3fd3aee6f!8m2!3d40.1798053!4d-76.1793409",, ​https://www.yelp.com/biz/susquehanna-valley-pregnancy-services-ephrata
