Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Nova Pregnancy Help Center of Alexandria,8800 E Peartree Village Ct,Alexandria,Virginia (VA),22309,,https://novapregnancy.org/,"https://www.google.com/maps/place/Nova+Pregnancy+Help+Center+of+Alexandria/@38.7194761,-77.1252424,15z/data=!4m2!3m1!1s0x0:0x177dee611afa2611?sa=X&ved=2ahUKEwj3w9CSlYvwAhXpmeAKHSUlCv8Q_BIwEnoECCUQBQ",,
The MaRiH Center,3230-B Duke St.,Alexandria,Virginia (VA),22314,,https://marih.org/pregnent2/,"https://www.google.com/maps/place/The+MaRiH+Center,+INC./@38.807775,-77.0864589,15z/data=!4m2!3m1!1s0x0:0x8fc251e7ea108a02?sa=X&ved=2ahUKEwjT_p6HjovwAhVokeAKHfuwDxkQ_BIwEnoECCEQBQ",http://www.facebook.com/pages/The-Marih-Center/,
Pregnancy Support Center of Southside VA - Amelia County,15396 Patrick Henry Hwy,Amelia,Virginia (VA),23002,,https://pscfarmville.org/,"https://www.google.com/maps/place/Pregnancy+Support+Center/@37.2954667,-78.3801931,15z/data=!4m2!3m1!1s0x0:0x5818899f3e6e8f7?sa=X&ved=2ahUKEwiQidWFl4vwAhUEhOAKHdO_CXQQ_BIwDHoECB8QBQ",https://www.facebook.com/pscfarmville,
Metro Women's Care / Assist Pregnancy Center,5101-D Backlick Rd,Annandale,Virginia (VA),22003,(703) 354-7272,http://metrowomensva.com,"https://www.google.com/maps/place/Assist+Pregnancy+Center/@38.814169,-77.184851,15z/data=!4m5!3m4!1s0x0:0x57495ecc7b1e3c3b!8m2!3d38.814169!4d-77.184851",http://www.facebook.com/MetroWomensVa/,http://www.yelp.com/biz/metro-womens-care-annandale
Pregnancy Support Center of Southside VA - Appomattox County,1977 Church Street,Appomattox,Virginia (VA),24522,,https://pscfarmville.org/,"https://www.google.com/maps/place/Pregnancy+Support+Center/@37.2954667,-78.3801931,15z/data=!4m2!3m1!1s0x0:0x5818899f3e6e8f7?sa=X&ved=2ahUKEwiQidWFl4vwAhUEhOAKHdO_CXQQ_BIwDHoECB8QBQ",https://www.facebook.com/pscfarmville,
Bedford Pregnancy Center - Bedford,813 East Main St,Bedford,Virginia (VA),24523,,www.bedfordpregnancy.org,"https://www.google.com/maps/place/Bedford+Pregnancy+Center/@37.3320591,-79.5148722,15z/data=!4m2!3m1!1s0x0:0x81dbea243815cd5?sa=X&ved=2ahUKEwi9gfOKg4vwAhXrEVkFHbCjC8oQ_BIwDHoECB0QBQ",,
Valley Women's Clinic - Blacksburg,"708 North Main St, Suite 200",Blacksburg,Virginia (VA),24060,,https://www.valleywomensclinic.org/,"https://www.google.com/maps/place/Valley+Women's+Clinic+-+Blacksburg/@37.2352551,-80.4201042,15z/data=!4m5!3m4!1s0x0:0x907caa8c36b344b8!8m2!3d37.2352551!4d-80.4201042",https://www.facebook.com/valleywomensclinic,
ThriVe Central VA -  Albemarle Center ,1416 Greenbrier Place,Charlottesville,Virginia (VA),22901,(434) 220-3777,https://thrivecentralva.org/,"https://www.google.com/search?q=thrive%20pregnancy%20center%20charlottesville&client=firefox-b-1-d&ei=hcF9YJW2FLLn_QbCtY_IAg&oq=Thrive+-++Albemarle+Center&gs_lcp=Cgdnd3Mtd2l6EAEYAjIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwAzIHCAAQRxCwA1AAWABgszJoAXACeACAAZIBiAGSAZIBAzAuMZgBAKoBB2d3cy13aXrIAQjAAQE&sclient=gws-wiz&tbs=lf:1,lf_ui:2&tbm=lcl&rflfq=1&num=10&rldimm=18233530192552262100&lqi=Cid0aHJpdmUgcHJlZ25hbmN5IGNlbnRlciBjaGFybG90dGVzdmlsbGVI-Lrz3-WAgIAIWlAKF3Rocml2ZSBwcmVnbmFuY3kgY2VudGVyEAAQARACGAAYARgCGAMiJ3Rocml2ZSBwcmVnbmFuY3kgY2VudGVyIGNoYXJsb3R0ZXN2aWxsZZIBDm1lZGljYWxfY2xpbmljqgEfEAEqGyIXdGhyaXZlIHByZWduYW5jeSBjZW50ZXIoAA&ved=2ahUKEwj_-f6U7orwAhXjTN8KHYa0C2MQvS4wAXoECAkQQw&rlst=f#rlfi=hd:;si:18233530192552262100,l,Cid0aHJpdmUgcHJlZ25hbmN5IGNlbnRlciBjaGFybG90dGVzdmlsbGVI-Lrz3-WAgIAIWlAKF3Rocml2ZSBwcmVnbmFuY3kgY2VudGVyEAAQARACGAAYARgCGAMiJ3Rocml2ZSBwcmVnbmFuY3kgY2VudGVyIGNoYXJsb3R0ZXN2aWxsZZIBDm1lZGljYWxfY2xpbmljqgEfEAEqGyIXdGhyaXZlIHByZWduYW5jeSBjZW50ZXIoAA;mv:[[38.076300599999996,-78.4867208],[38.034420499999996,-78.48952419999999]];tbs:lrf:!1m4!1u3!2m2!3m1!1e1!1m4!1u2!2m2!2m1!1e1!2m1!1e2!2m1!1e3!3sIAE,lf:1,lf_ui:2",https://www.facebook.com/ThriVeCVA/,
The Keim Center of Chesapeake,1100 Madison Plaza #100B,Chesapeake,Virginia (VA),23320,,https://keimcenters.com/,"https://www.google.com/maps/place/The+Keim+Center/@36.76046,-76.252302,15z/data=!4m5!3m4!1s0x0:0x85b7197e146fce6e!8m2!3d36.76046!4d-76.252302",,
Pregnancy Help Center of Chesterfield,2675 Osborne Rd.,Chester,Virginia (VA),23831,,https://www.phcchesterfield.com/,"https://www.google.com/maps/place/Pregnancy+Help+Center+of+Chesterfield/@37.367514,-77.419141,14z/data=!4m5!3m4!1s0x0:0x75e276c63c036a0f!8m2!3d37.3675136!4d-77.4191413?hl=en-US",,
The Selah Center,403 Virginia Ave.,Clarksville,Virginia (VA),23927,,https://theselahcenter.org/,"https://www.google.com/maps/place/The+Selah+Center+-+Pregnancy+%26+Parenting+Support/@36.6242472,-78.5566893,15z/data=!4m2!3m1!1s0x0:0x1bfa776f9de66967?sa=X&ved=2ahUKEwi-gNC5yovwAhURhOAKHWuCAfYQ_BIwDHoECBgQBQ",,
