Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Women's Center of Eastern Connecticut,968 Main St,Griswold,Connecticut (CT),06351,,(860) 450-8073,,https://www.facebook.com/WomensCenterEasternCT/,
Birthright,1 Kingston Dr - Ste 3,Ansonia,Connecticut (CT),06401,,,"https://www.google.com/maps/place/Birthright/@41.3435638,-73.081807,17z/data=!3m1!4b1!4m5!3m4!1s0x89e7de24655915d9:0x632f7555e55ba27d!8m2!3d41.3435598!4d-73.0796183",https://www.facebook.com/pages/Birthright-of-The-Valley/109999492398091,https://www.yelp.com/biz/birthright-of-the-valley-ansonia
Hopeline Pregnancy Resource Center,4749 Main St,Bridgeport,Connecticut (CT),06606,,https://www.hopelineprc.org/,,https://www.facebook.com/HopelineCT/wall (Danbury location),
Hope Pregnancy Center,110 Main St,Cheshire,Connecticut (CT),06410,,www.hopepregnancycenterct.org,,https://www.facebook.com/pages/Hope-Pregnancy-Center/163063840390081,https://www.yelp.com/biz/hope-for-life-inc-crisis-pregnancy-service-cheshire
Birthright,"150 Main East Street, Unit 2",Clinton,Connecticut (CT),06413,,,,https://www.facebook.com/BirthrightInternational/?ref=hl,https://www.yelp.com/biz/birthright-of-greater-westbrook-clinton
Bethany Christian Services,13 Rose St,Danbury,Connecticut (CT),06810,,www.hopelineprc.org // https://bethany.org/,"https://www.google.com/maps/place/Bethany+Christian+Services/@41.3986539,-73.4586533,15z/data=!4m2!3m1!1s0x0:0x96120e133c7e4bb7?sa=X&ved=2ahUKEwjd0KfErI_tAhVrUN8KHS2fDcsQ_BIwE3oECBIQAw",https://www.facebook.com/HopelinePregnancyCenter/,https://www.yelp.com/biz/hopeline-pregnancy-resource-center-danbury-2
Birthright,238 White St,Danbury,Connecticut (CT),06810,,http://birthright.org/greaterdanbury,,https://www.facebook.com/Birthright-of-Greater-Danbury-154304117939434/,
Care Net Pregnancy Center of Northeast Connecticut,157 Main St,Danielson,Connecticut (CT),06239,,http://www.carenetnect.org,,,https://www.yelp.com/biz/care-net-pregnancy-center-of-ne-ct-danielson
Caring Families Pregnancy Services,559 Hartford Pike Suite 211,Dayville,Connecticut (CT),06241,,,,,
Birthright,914 Main St - Rm 216,East Hartford,Connecticut (CT),06108,,http://birthright.org/greaterhartford,"https://www.google.com/maps/place/Birthright+of+Greater+Hartford,+Inc./@41.7698415,-72.6431852,15z/data=!4m2!3m1!1s0x0:0xd3386d871b937ab1?sa=X&ved=2ahUKEwjoorep24_kAhXhkOAKHdFRDuYQ_BIwCnoECA8QCA",https://www.facebook.com/BirthrightInternational/,
1st Way Life Center,237 Hazard Ave #0,Enfield,Connecticut (CT),06082,,http://www.1stwaylifecenter.com/,"https://www.google.com/maps/place/1st+Way+Life+Center/@41.990452,-72.572268,15z/data=!4m2!3m1!1s0x0:0x2def282e683be410?sa=X&ved=2ahUKEwiv4-mL3dzjAhWFdt8KHTytA30Q_BIwCnoECAsQCA",https://www.facebook.com/1stwaywoodbury,
Care Net Pregnancy Resource Center of SE CT,770 Long Hill Rd,Groton,Connecticut (CT),06340,,www.carenetsect.org/,,https://www.facebook.com/Care-Net-Pregnancy-Resource-Center-of-Southeastern-CT-92776396753,
Hartford Women's Center AKA St. Gerard's Center for Life,10 Jefferson St Unit C-2 ,Hartford,Connecticut (CT),06106,,Website: http://www.stgerardcenter.org/,,https://www.facebook.com/groups/stgerardscenter/,https://www.yelp.com/biz/st-gerards-center-for-life-hartford
Birthright,39 Center St,Meriden,Connecticut (CT),06450,,http://birthright.org/greatermeriden,,https://www.facebook.com/BirthrightInternational/,
A Better Choice Women's Center,180 East Main Street,Middletown,Connecticut (CT),06457,,http://abcwomenscenter.org/,"https://www.google.com/maps/place/ABC+Women's+Center/@41.551397,-72.641334,16z/data=!4m5!3m4!1s0x0:0x297e692ba968026c!8m2!3d41.5513968!4d-72.6413338?hl=en-US",https://www.facebook.com/abcwomenscenter/,https://www.yelp.com/biz/abc-womens-center-middletown
Saint Gianna Pregnancy Center,180 Sherman Avenue,New Haven,Connecticut (CT),06511,,http://www.giannacenter.org/,,https://www.facebook.com/Saint-Gianna-Center-286982264674846/,
Birthright,"300 State Street, Room 317",New London,Connecticut (CT),06320,,http://birthright.org/newlondon,,https://www.facebook.com/BirthrightInternational/,
Care Net PRC of SE CT,492 Montauk Ave,New London,Connecticut (CT),06320,,http://www.carenetsect.org/,,https://www.facebook.com/psclife/,
Birthright,"71 East Ave, Suite E",Norwalk,Connecticut (CT),06851,,http://birthright.org/greaternorwalk,,https://www.facebook.com/BirthrightInternational/,
Hopeline Pregnancy Resource Center - Shelton,23 Bridgeport Ave,Shelton,Connecticut (CT),06606,,http://www.hopelineprc.org,,https://www.facebook.com/HopelinePregnancyCenter/,https://www.yelp.com/biz/hopeline-prc-irvine?fsid=vUJbEUkyKXj-0I99Pjr05g
Birthright,388 Summer St,Stamford,Connecticut (CT),06901,,http://birthright.org/greaterstamford,,https://www.facebook.com/BirthrightInternational/,
Hopeline Pregnancy Resource Center,838 High Ridge Road,Stamford,Connecticut (CT),06901,,hopelineprc.org,,https://www.facebook.com/HopelinePregnancyCenter/,
Two Hearts Pregnancy Care Center,116 Grove Street,Torrington,Connecticut (CT),06790,,http://www.twoheartscenter.com/,,,
"Crisis Pregnancy Center, Inc.","30 Mill St, Ste 21",Unionville,Connecticut (CT),06085,,thecrisispregnancycenterct.org/,,,https://www.yelp.com/biz/crisis-pregnancy-center-farmington?osq=pregnancy
"Carolyn's Place, Inc.",137 Grandview Avenue,Waterbury,Connecticut (CT),06708,,http://www.carolynsplace.net/,,https://www.facebook.com/CarolynsPlacePregnancyCareCenter,https://www.yelp.com/biz/carolyns-place-waterbury
Birthright,122 Valley St,Willimantic,Connecticut (CT),06226,,http://birthright.org/windham,,https://www.facebook.com/BirthrightInternational/,
"Caring Families Pregnancy Services, Inc.",37 Ivan Hill St ,Willimantic,Connecticut (CT),06226,,http://www.carefamilies.com/,,,
Grace Place Pregnancy Resource Center,24 Church St,Torrington,Connecticut (CT),06790,(860) 618-0010,https://www.graceplaceprc.org/,,,
Mary and Joseph's Place,12 Village St Suite 9,North Haven,Connecticut (CT),06473,(203) 909-1849,http://www.maryjosephsplace.org/,,,
Malta House,139 West Rocks Road,Norwalk,Connecticut (CT),06851,(203) 857-0088,https://www.maltahouse.org/,,https://www.facebook.com/MaltaHouseCT,
