,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,3.2,"6095 N. 1st Street, Fresno, CA 93710",CA
2,https://www.fpawomenshealth.com/locations/detail/21/san-bernardino,1.3,"855 East Hospitality Lane, San Bernardino, CA 92408",CA
3,https://www.fpawomenshealth.com/locations/detail/12/bakersfield,47.2,"2500 H Street, Bakersfield, CA 93301",CA
4,https://www.plannedparenthood.org/health-center/california/napa/94559/napa-health-center-2702-90200,5.3,"1735 Jefferson Street, Napa, CA 94559",CA
5,https://www.plannedparenthood.org/health-center/california/victorville/92391/victorville-health-center-4082-90160,10.1,"15403 Park Ave. E., Victorville, CA 92392",CA
6,https://www.plannedparenthood.org/health-center/california/thousand-oaks/91320/thousand-oaks-center-3851-90170,2.2,"1200 W Hillcrest, Thousand Oaks, CA 91320",CA
7,https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070,4.3,"2690 Pacific Avenue, Suite 370, Long Beach, CA 90806",CA
8,https://www.fpawomenshealth.com/locations/detail/14/lancaster,68.0,"43845 West 10th Street W, Suite 1E, Lancaster, CA 93534",CA
9,https://www.plannedparenthood.org/health-center/california/san-diego/92101/first-avenue-family-planning-michelle-wagner-center-4037-90110,1.6,"2017 First Avenue, Suite 301, San Diego, CA 92101",CA
10,https://www.plannedparenthood.org/health-center/california/san-diego/92126/mira-mesa-center-2333-90110,9.0,"10717 Camino Ruiz, Suite 258, San Diego, CA 92126",CA
11,https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130,16.8,"500 E. Almond, Suite 1, Madera, CA 93637",CA
12,https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070,2.2,"916 W Burbank Blvd. #M, Burbank, CA 91506",CA
13,https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-health-center-3263-90130,1.7,"1691 the Alameda, San Jose, CA 95126",CA
15,https://www.plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,29.5,"2935 Bechelli Lane, Suite a & C, Redding, CA 96002",CA
16,https://www.fpawomenshealth.com/locations/detail/11/santa-ana,2.7,"1901 North Tustin Avenue, Santa Ana, CA 92705",CA
17,https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-health-center-2325-90110,28.1,"71777 San Jacinto Drive, Suite 202, Rancho Mirage, CA 92270",CA
18,https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,10.2,"2 H Street, San Rafael, CA 94901",CA
19,https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,8.0,"1325 Travis Boulevard, #C, Fairfield, CA 94533",CA
20,https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130,0.7,"4555 Precissi Lane, Stockton, CA 95207",CA
21,https://www.plannedparenthood.org/health-center/california/compton/90221/compton-health-center-4290-90070,2.6,"4402 East Compton Boulevard, Suite 104, Compton, CA 90221",CA
22,https://www.plannedparenthood.org/health-center/california/merced/95348/merced-health-center-2526-90130,7.5,"3166 Collins Drive, Merced, CA 95348",CA
24,https://www.fpawomenshealth.com/locations/detail/10/west-covina,2.7,"501 South Vincent Avenue, Suite 205, West Covina, CA 91790",CA
25,https://www.fpawomenshealth.com/locations/detail/24/modesto,34.0,"2030 Coffee Road, Suite A1, Modesto, CA 95355",CA
26,https://www.fpawomenshealth.com/locations/detail/13/fresno,44.3,"165 North Clark Street, Fresno, CA 93701",CA
28,https://www.plannedparenthood.org/health-center/california/el-centro/92243/imperial-valley-health-center-4182-90110,2.9,"1463 South 4th Street, El Centro, CA 92243",CA
29,https://www.fpawomenshealth.com/locations/detail/22/temecula,3.3,"41715 Winchester Road, Suite 204, Temecula, CA 92590",CA
30,https://www.plannedparenthood.org/health-center/california/antioch/94509/antioch-health-center-2573-90200,8.2,"1104 Buchanan Road, Suite C10, Antioch, CA 94509",CA
31,https://www.plannedparenthood.org/health-center/california/santa-barbara/93101/santa-barbara-center-3268-90170,7.1,"518 Garden Street, Santa Barbara, CA 93101",CA
32,https://www.plannedparenthood.org/health-center/california/pasadena/91104/pasadena-health-center-3265-90090,1.5,"1045 North Lake Avenue, Pasadena, CA 91104",CA
33,https://www.plannedparenthood.org/health-center/california/alhambra/91801/alhambra-health-center-3561-90090,0.7,"330 S. Garfield Ave., 3rd Fl. - Suite 300, Alhambra, CA 91801",CA
34,https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200,15.0,"1140 Sonoma Avenue, Building 3, Santa Rosa, CA 95405",CA
35,https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130,2.0,"2500 California Street, Mountain View, CA 94040",CA
36,https://www.womensmedcarecenter.com/,2.6,"18051 Crenshaw Boulevard, Suite C, Torrance, CA 90504",CA
37,https://www.plannedparenthood.org/health-center/california/ukiah/95482/ukiah-health-center-4034-90200,0.9,"242-A Hospital Drive, Ukiah, CA 95482",CA
38,https://www.plannedparenthood.org/health-center/california/hemet/92544/planned-parenthood-hemet-3784-90110,4.0,"1780 East Florida Avenue, Hemet, CA 92544",CA
40,https://www.plannedparenthood.org/health-center/california/anaheim/92805/anaheim-health-center-2284-90160,0.8,"303 W. Lincoln Ave., #105, Anaheim, CA 92805",CA
41,https://www.plannedparenthood.org/health-center/california/san-diego/92114/euclid-avenue-parker-center-2334-90110,2.1,"220 Euclid Avenue, Suite 30, San Diego, CA 92114",CA
42,https://www.plannedparenthood.org/health-center/california/san-diego/92111/kearny-mesa-center-2332-90110,0.5,"7526 Clairemont Mesa Boulevard, San Diego, CA 92111",CA
43,https://www.plannedparenthood.org/health-center/california/ventura/93003/ventura-center-2251-90170,2.7,"5400 Ralston Street, Ventura, CA 93003",CA
44,https://www.fpawomenshealth.com/locations/detail/17/mission-hills,14.6,"10200 Sepulveda Boulevard, Suite 200, Mission Hills, CA 91345",CA
45,https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130,2.8,"1032 A Street, Hayward, CA 94541",CA
47,http://www.plannedparenthood.org/health-center/centerDetails.asp?f=2324&a=90110&v=details,0.4,"4575 College Avenue, San Diego, CA 92115",CA
49,https://www.plannedparenthood.org/health-center/california/eureka/95503/eureka-health-center-2301-90200,2.5,"3225 Timber Fall Court, Eureka, CA 95503",CA
50,https://www.plannedparenthood.org/health-center/california/whittier/90602/whittier-health-center-2358-90070,4.9,"7655 Greenleaf Ave, Whittier, CA 90602",CA
52,https://www.plannedparenthood.org/health-center/california/san-luis-obispo/93401/san-luis-obispo-center-2252-90170,0.2,"743 Pismo Street, San Luis Obispo, CA 93401",CA
53,https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130,1.7,"398 South Green Valley Road, Watsonville, CA 95076",CA
55,https://www.plannedparenthood.org/health-center/california/westminster/92683/westminster-health-center-2285-90160,4.0,"14372 Beach Blvd., Westminster, CA 92683",CA
56,https://www.plannedparenthood.org/health-center/california/bakersfield/93301/bakersfield-health-center-4028-90130,38.4,"2633 16th Street, Bakersfield, CA 93301",CA
58,https://www.womenshealthspecialists.org/services/telehealth/,48.8,"1901 Victor Avenue, Redding, CA 96002",CA
59,https://www.plannedparenthood.org/health-center/california/vista/92081/vista-isabella-health-center-4186-90110,1.8,"1964 Via Centre, Vista, CA 92081",CA
60,https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130,38.3,"729 Sunrise Ave, Suite 900, Roseville, CA 95661",CA
62,https://www.plannedparenthood.org/health-center/california/gilroy/95020/gilroy-health-center-2433-90130,0.7,"760 Renz Lane, Gilroy, CA 95020",CA
65,https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130,3.8,"3131 Alum Rock Ave, San Jose, CA 95127",CA
67,https://www.plannedparenthood.org/health-center/california/escondido/92025/escondido-center-2331-90110,3.5,"347 W. Mission Avenue, Escondido, CA 92025",CA
69,http://sepmedical.com/,0.1,"2625 E Florence Avenue, Huntington Park, CA 90255",CA
70,https://www.plannedparenthood.org/health-center/california/el-monte/91732/el-monte-health-center-2322-90070,2.7,"4786 N. Peck Road, Suite B, El Monte, CA 91732",CA
73,https://www.plannedparenthood.org/health-center/california/modesto/95350/modesto-health-center-2527-90130,0.4,"1431 Mchenry Avenue, Suite 100, Modesto, CA 95350",CA
74,https://www.fpawomenshealth.com/locations/detail/20/corona,5.2,"703 Magnolia Avenue, Corona, CA 92879",CA
79,https://www.plannedparenthood.org/health-center/california/riverside/92506/riverside-center-2187-90110,1.5,"3772 Tibbetts Street, Riverside, CA 92506",CA
81,https://www.fpawomenshealth.com/locations/detail/25/sacramento,1.9,"2322 Butano Drive, Suite 205, Sacramento, CA 95825",CA
85,https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200,1.5,"2185 Pacheco Street, Concord, CA 94520",CA
87,https://www.plannedparenthood.org/health-center/california/redwood-city-/94061/redwood-city-health-center-4129-90130,2.3,"2907 El Camino Real, Redwood City, CA 94061",CA
88,https://www.plannedparenthood.org/health-center/california/san-diego/92109/mission-bay-mimi-brien-health-center-2330-90110,0.0,"4501 Mission Bay Drive, #1C&D, San Diego, CA 92109",CA
89,https://www.plannedparenthood.org/health-center/california/yuba-city/95991/yuba-city-health-center-2374-90130,8.2,"430 Palora Ave. #g, Yuba City, CA 95991",CA
90,https://www.sutterhealth.org/services/gynecology-womens-health/mission-bernal-womens-clinic-cpmc,2.0,"1580 Valencia Street, Suite 508, San Francisco, CA 94110",CA
91,https://www.plannedparenthood.org/health-center/california/koreatown/90006/koreatown-health-center-3795-90070/abortion,0.7,"3224 W. Olympic Boulevard, Suite 101, Koreatown, CA 90006",CA
93,https://www.plannedparenthood.org/health-center/california/santa-maria/93454/santa-maria-center-2250-90170,12.9,"415 E Chapel Street, Santa Maria, CA 93454",CA
95,https://www.plannedparenthood.org/health-center/california/orange/92866/orange-health-center-3264-90160,3.9,"700 S. Tustin St., Orange, CA 92866",CA
98,http://alliancewomensmedicalgroup.biz/,0.4,"1930 Wilshire Blvd, Suite 500, Wilshire, CA 90057",CA
99,https://www.plannedparenthood.org/health-center/california/seaside/93955/seaside-health-center-2233-90130,2.4,"625 Hilby Ave., Seaside, CA 93955",CA
103,https://www.fpawomenshealth.com/locations/detail/2/downey,0.2,"8635 Firestone Boulevard, Suite 100, Downey, CA 90241",CA
104,https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130,1.5,"316 N. Main Street, Salinas, CA 93901",CA
105,https://www.plannedparenthood.org/health-center/california/tracy/95376/tracy-health-center-3856-90130,14.5,"1441 N. Tracy Blvd., Tracy, CA 95376",CA
106,https://www.plannedparenthood.org/health-center/california/mission-viejo/92691/mission-viejo-health-center-2288-90160,13.8,"26137 La Paz Rd., #200, Mission Viejo, CA 92691",CA
107,https://www.plannedparenthood.org/health-center/california/manteca/95336/manteca-health-center-2530-90130,2.9,"965 E. Yosemite Avenue, Suite 2, Manteca, CA 95336",CA
108,http://www.womansfirstchoice.com/?utm_source=gmb_auth,4.6,"51 N 5th Avenue, Arcadia, CA 91006",CA
111,https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130,3.4,"520 Cottonwood Street, Suite 10, Woodland, CA 95695",CA
113,https://www.plannedparenthood.org/health-center/california/los-angeles/90022/east-los-angeles-health-center-3375-90070,2.1,"5068 Whittier Boulevard, Los Angeles, CA 90022",CA
114,https://www.fpawomenshealth.com/locations/detail/19/el-cajon,2.9,"1625 East Main Street, Suite 202, El Cajon, CA 92021",CA
118,https://www.plannedparenthood.org/health-center/california/coachella/92236/coachella-center-2186-90110,4.2,"49-111 California 111 #6a, Coachella, CA 92236",CA
119,https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130,1.2,"650 N. Fulton Street, Fresno, CA 93728",CA
120,https://www.fpawomenshealth.com/locations/detail/5/long-beach,0.1,"2777 Long Beach Boulevard, Suite 200, Long Beach, CA 90806",CA
123,https://www.fpawomenshealth.com/locations/detail/23/berkeley,1.0,"2915 Telegraph Avenue, Suite 101, Oakland, CA 94609",CA
134,https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070,1.6,"1550 N Garey Avenue, Pomona, CA 91767",CA
135,https://www.plannedparenthood.org/health-center/california/chula-vista/91911/chula-vista-center-2328-90110,2.0,"1295 Broadway #201, Chula Vista, CA 91911",CA
