,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/colorado/fort-collins/80521/fort-collins-4087-90210,30.8,"825 South Shields Street, Fort Collins, CO 80521",CO
2,https://www.plannedparenthood.org/health-center/colorado/glenwood-springs/81601/glenwood-springs-2172-90210,71.7,"50923 Highway 6, Glenwood Springs, CO 81601",CO
3,https://www.plannedparenthood.org/health-center/colorado/aurora/80012/aurora-2489-90210,4.7,"1284 South Abilene Street, Aurora, CO 80012",CO
4,https://www.plannedparenthood.org/health-center/colorado/colorado-springs/80907/colorado-springs-westside-3967-90210,2.1,"3480 Centennial Boulevard, Colorado Springs, CO 80907",CO
8,https://www.plannedparenthood.org/health-center/colorado/durango/81303/durango-2174-90210,17.5,"46 Suttle Street, Durango, CO 81303",CO
11,https://carecliniccolorado.com/,64.9,"1930 E Orman Avenue, Pueblo, CO 81004",CO
12,http://www.boulderwomenshealth.org/,9.1,"2855 Valmont Road, Boulder, CO 80301",CO
15,https://www.plannedparenthood.org/health-center/colorado/greeley/80634/greeley-2173-90210,10.5,"3487B West 10th Street, Greeley, CO 80634",CO
19,http://www.drhern.com/,4.8,"1130 Alpine Avenue, Boulder, CO 80304",CO
21,https://allvalleywomen.com/contact,55.6,"401 Castle Creek Road, Suite 2400B, Aspen, CO 81611",CO
22,https://www.cmmhealth.org/,28.3,"108 S Frontage Rd W, Vail, CO 81657",CO
23,https://www.plannedparenthood.org/health-center/colorado/littleton/80129/littleton-2485-90210,23.8,"131 West County Line Road, Littleton, CO 80129",CO
27,http://milehighobgyn.com/,4.9,"4545 E 9th Ave, Suite 502, Denver, CO 80220",CO
30,https://www.plannedparenthood.org/health-center/colorado/denver/80207/denver-stapleton-3543-90210,1.0,"7155 East 38th Avenue, Denver, CO 80207",CO
34,https://www.healthyfuturesabortion.com/,4.2,"300 East Hampden Avenue, Suite 201, Englewood, CO 80113",CO
35,https://www.plannedparenthood.org/health-center/colorado/arvada/80003/arvada-2487-90210,4.2,"7735 Wadsworth Boulevard, #d, Arvada, CO 80003",CO
