,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,8.5,"35 Sixth Street, Stamford, CT 06902",CT
2,https://www.plannedparenthood.org/health-center/connecticut/danbury/06810/danbury-center-2539-90220,0.9,"44 Main Street, Danbury, CT 06810",CT
3,https://www.plannedparenthood.org/health-center/connecticut/torrington/06790/torrington-center-2222-90220,2.1,"249 Winsted Road, Torrington, CT 06790",CT
4,https://www.stamfordhealth.org/care-treatment/womens-specialty-center/,0.8,"1 Hospital Plaza, Stamford, CT 06902",CT
5,https://www.plannedparenthood.org/health-center/connecticut/meriden/06451/meriden-center-2543-90220,1.9,"26 Women's Way, Meriden, CT 06451",CT
7,https://www.plannedparenthood.org/health-center/connecticut/new-haven/06511/new-haven-center-3271-90220,0.5,"345 Whitney Ave, New Haven, CT 06511",CT
8,https://www.thewomenscenters.com/hartfordgyncenter/,3.3,"701 Cottage Grove Road, Unit C110, Bloomfield, CT 06002",CT
9,https://www.plannedparenthood.org/health-center/connecticut/bridgeport/06606/bridgeport-center-4275-90220,1.1,"4697 Main Street, Bridgeport, CT 06606",CT
11,https://www.plannedparenthood.org/health-center/connecticut/west-hartford/06110/west-hartford-center-2216-90220,1.3,"1030 New Britain Ave, West Hartford, CT 06110",CT
14,https://www.plannedparenthood.org/health-center/connecticut/new-london/06320/new-london-center-2223-90220/abortion,3.5,"45 Franklin St., New London, CT 06320",CT
15,https://www.plannedparenthood.org/health-center/connecticut/willimantic/06226/willimantic-center-2224-90220,19.6,"1548 W Main Street, Willimantic, CT 06226",CT
16,https://www.plannedparenthood.org/health-center/connecticut/norwich/06360/norwich-center-2217-90220,9.6,"12 Case Street, Norwich, CT 06360",CT
17,https://www.plannedparenthood.org/health-center/connecticut/waterbury/06708/waterbury-center-2540-90220,1.0,"969 W Main Street, Waterbury, CT 06708",CT
18,https://www.plannedparenthood.org/health-center/connecticut/enfield/06082/enfield-center-2219-90220,1.6,"111 Hazard Ave., Enfield, CT 06082",CT
