,url,distance,address,state
1,http://www.awwmc.com/index.shtml,46.1,"503 South 12th Street, Ft. Pierce, FL 34950",FL
2,https://www.plannedparenthood.org/health-center/florida/tampa/33613/north-tampa-health-center-4274-90300,46.7,"236 East Bearss Avenue, Tampa, FL 33613",FL
3,http://www.floridaabortion.com/,17.8,"431 Maitland Avenue, Altamonte Springs, FL 32701",FL
4,https://www.plannedparenthood.org/health-center/florida/kissimmee/34741/kissimmee-health-center-4144-90300,16.1,"610 Oak Commons Boulevard, Kissimmee, FL 34741",FL
5,https://www.awomanschoiceinc.com/awc-jacksonville,11.3,"4131 University Boulevard South, Building 2, Jacksonville, FL 32216",FL
6,https://floridaabortion.com/profile/all-womens-health-center-of-orlando/,6.7,"1800 Pembrook Drive, Suite 300, Orlando, FL 32810",FL
7,https://www.plannedparenthood.org/health-center/florida/tallahassee/32304/tallahassee-health-center-2154-90320,81.5,"2618 Tennessee Street, Tallahassee, FL 32304",FL
8,http://www.breadroses.com/,1.5,"1233 NW 10th Street, Gainesville, FL 32601",NW
12,https://www.plannedparenthood.org/health-center/florida/fort-myers/33919/fort-myers-health-center-2505-90300,8.2,"6418 Commerce Park Drive, Ft. Myers, FL 33966",FL
13,https://www.plannedparenthood.org/health-center/florida/jacksonville/32217/jacksonville-health-center-3278-90320,8.2,"5978 Powers Avenue, Jacksonville, FL 32217",FL
16,http://www.floridaabortion.com/home/index.shtml,14.6,"4131 Central Avenue, St. Petersburg, FL 33713",FL
17,https://www.plannedparenthood.org/health-center/florida/orlando/32817/east-orlando-health-center-2857-90300,1.4,"11500 University Boulevard, Orlando, FL 32817",FL
22,https://floridaabortion.com/,5.7,"4444 South Florida Avenue, Lakeland, FL 33813",FL
23,https://aboutabortion.org/,2.0,"2412 West Plaza Drive, Tallahassee, FL 32308",FL
27,https://floridaabortion.com/profile/all-womens-health-center-of-sarasota/,16.0,"2700 South Tamiami Trail, Suite 5, Sarasota, FL 34239",FL
29,https://www.plannedparenthood.org/health-center/florida/port-saint-lucie/34952/treasure-coast-health-center-2627-90320#hours-walk-ins,7.3,"1696 SE Hillmoor Drive, Port St. Lucie, FL 34952",SE
31,https://www.plannedparenthood.org/health-center/florida/sarasota/34236/sarasota-health-center-2189-90300,1.8,"736 Central Avenue, Sarasota, FL 34236",FL
37,http://www.presidentialcenter.com/,6.9,"100 Northpoint Parkway, West Palm Beach, FL 33407",FL
40,https://www.plannedparenthood.org/health-center/florida/miami/33176/kendall-health-center-2258-90320,2.5,"8900 SW 117th Avenue, Suite 207-B, Miami, FL 33186",SW
41,http://www.tampabayabortionclinics.com/locations/,1.0,"2010 East Fletcher Avenue, Tampa, FL 33612",FL
44,http://www.tampabayabortionclinics.com/,4.3,"1560 South Highland Avenue, Clearwater, FL 33756",FL
53,https://www.plannedparenthood.org/health-center/florida/boca-raton/33434/boca-raton-health-center-3863-90320,6.0,"8177 Glades Road, Bay 25, Boca Raton, FL 33434",FL
55,https://www.eastcypresswomenscenter.com/,4.8,"962 East Cypress Creek Road, Fort Lauderdale, FL 33334",FL
59,https://floridaabortion.com/profile/all-womens-health-center-of-tampa/,13.0,"3330 West Kennedy Boulevard, Tampa, FL 33609",FL
62,https://www.plannedparenthood.org/health-center/florida/miami/33169/golden-glades-miami-health-center-4183-90320,2.8,"585 N.W. 161 Street, Suites 200-300, Miami, FL 33169",FL
63,http://www.ob-gyn.med.miami.edu/,1.8,"1321 NW 14th ST, Miami, FL 33136",NW
72,https://drbenjamin.com/,4.0,"7777 North University Boulevard, Suite 102, Ft. Lauderdale, FL 33321",FL
73,http://www.aastrawomenscenter.com/,0.9,"10 Southwest 44th Avenue, Plantation, FL 33317",FL
87,https://awomanscenterofhollywood.com/,0.6,"3829 Hollywood Blvd., Suite C, Hollywood, FL 33021",FL
92,https://www.plannedparenthood.org/health-center/florida/west-palm-beach/33409/florida-mango-health-center-3813-90320,11.7,"2300 N Florida Mango Road, West Palm Beach, FL 33409",FL
101,https://www.plannedparenthood.org/health-center/florida/pembroke-pines/33024/pembroke-pines-health-center-3917-90320,1.6,"263 North University Drive, Pembroke Pines, FL 33024",FL
121,https://www.evemedicalmiami.com/,6.0,"8603 South Dixie Highway, Suite 102, Miami, FL 33143",FL
