,url,distance,address,state
1,http://www.atlanta-abortion-clinic.com/,8.0,"6210 Old National Highway, College Park, GA 30349",GA
2,https://www.plannedparenthood.org/health-center/georgia/lawrenceville/30043/gwinnett-center-2271-90330,45.1,"355 Philip Blvd, Lawrenceville, GA 30046",GA
3,https://www.plannedparenthood.org/health-center/georgia/savannah/31405/savannah-center-2207-90330,78.3,"720 East 71st St, Savannah, GA 31405",GA
4,https://www.plannedparenthood.org/health-center/georgia/marietta/30062/cobb-center-2270-90330?utm_campaign=cobb-health-center&utm_medium=organic&utm_source=local-listing,48.2,"220 Cobb Parkway North, Suite 500, Suite 500, Marietta, GA 30062",GA
6,https://abortionclinicservicesaugustaga.com/,60.4,"2903 Professional Parkway, Augusta, GA 30907",GA
7,http://www.columbuswomenshealth.com/,92.4,"3850 Rosemond Drive, Columbus, GA 31904",GA
11,https://abortionclinicservicesatlantaga.com/,24.4,"519 Forest Parkway, Suite 100, Forest Park, GA 30297",GA
17,https://thewomenscenters.com/,3.4,"235 West Wieuca Road, Atlanta, GA 30342",GA
22,http://www.feministcenter.org/,4.6,"1924 Cliff Valley Way NE, Atlanta, GA 30329",GA
46,https://www.plannedparenthood.org/health-center/georgia/atlanta/30316/east-atlanta-health-center-4286-90330?utm_campaign=east-atlanta-health-center&utm_medium=organic&utm_source=local-listing,2.5,"440 Moreland Avenue Se, Atlanta, GA 30316",GA
50,https://www.southeastdekalbgyn.com/,31.7,"4150 Snapfinger Woods Drive, Decatur, GA 30035",GA
