,url,distance,address,state
1,http://www.berkshirehealthsystems.org/berkshire-obgyn-of-bmc,15.6,"725 North Street, Pittsfield, MA 01201",MA
2,https://www.plannedparenthood.org/health-center/massachusetts/worcester/01609/central-massachusetts-health-center-2660-90610,2.6,"470 Pleasant Street, Worcester, MA 01609",MA
3,https://www.ummhealth.org/,11.4,"33 Kendall Street, Worcester, MA 01605",MA
4,http://www.womenshealthservice.com/,16.6,"111 Harvard Street, Brookline, MA 02446",MA
6,http://www.fourwomen.com/,41.7,"150 Emory Street, Attleboro, MA 02703",MA
7,http://healthq.org/,13.1,"280 Merrimack Street, Suite 544, Lawrence, MA 01843",MA
8,https://www.tuftsmedicalcenter.org/patient-care-services/Departments-and-Services/Obstetrics-and-Gynecology/Clinical-Care-Services/Family-Planning,0.2,"800 Washington Street, Boston, MA 02111",MA
10,https://www.plannedparenthood.org/health-center/massachusetts/springfield/01107/western-massachusetts-health-center-2662-90610,2.5,"3550 Main Street Suite 201, Springfield, MA 01107",MA
12,https://www.challiance.org/locations/revere/cha-obstetrics-and-gynecology-center-at-revere,1.1,"454 Broadway, Revere, MA 02151",MA
16,https://www.plannedparenthood.org/health-center/massachusetts/boston/02215/greater-boston-health-center-3293-90610,2.1,"1055 Commonwealth Ave, Boston, MA 02215",MA
19,http://www.merrimackvalleywomenshealth.com/,1.9,"288 Groveland Street, Haverhill, MA 01830",MA
20,https://www.bmc.org/department-obstetrics-and-gynecology/beacon-family-planning-and-pregnancy-loss-services,2.8,"850 Harrison Avenue, 5th Floor, Boston, MA 02218",MA
23,http://www.challiance.org/location/malden-care-center,8.7,"195 Canal St, Malden, MA 02148",MA
