,url,distance,address,state
1,https://www.potomacfamilyplanning.com/our-services/,10.6,"5602 Baltimore National Pike, Suite 600, Catonsville, MD 21228",MD
2,https://mfpiclinic.com/,11.5,"5915 Greenbelt Road, College Park, MD 20740",MD
3,https://www.plannedparenthood.org/health-center/maryland/frederick/21702/frederick-health-center-2899-90620,2.4,"170 Thomas Johnson Drive, Suite 100, Frederick, MD 21702",MD
4,https://femicaresurgery.com/,4.7,"66 Painters Mill Road, Suite 106, Owings Mills, MD 21117",MD
6,https://www.plannedparenthood.org/health-center/maryland/annapolis/21401/annapolis-health-center-2834-90620/abortion,9.6,"929 West Street, Suite 200, Annapolis, MD 21401",MD
7,http://www.gynemed.org/,20.0,"17 Fontana Lane, Suite 201, Rosedale, MD 21237",MD
8,http://www.wholewomanshealth.com/,2.2,"7648 Belair Road, Baltimore, MD 21236",MD
10,https://www.plannedparenthood.org/health-center/maryland/waldorf/20602/waldorf-health-center-2900-90620,5.6,"3975 St. Charles Parkway, Gateway Plaza E-3 & E-4, Waldorf, MD 20602",MD
13,https://www.plannedparenthood.org/health-center/maryland/easton/21601/easton-health-center-md-2830-90620,0.7,"8579 Commerce Drive #102, Easton, MD 21601",MD
19,https://abortionclinics.org/bethesda-maryland/,1.9,"10401 Old Georgetown Road, Suite 104, Bethesda, MD 20814",MD
21,https://www.plannedparenthood.org/health-center/maryland/towson/21234/towson-health-center-2831-90620,2.8,"8501 LaSalle Road, Loch Ridge Shopping Center, Towson, MD 21286",MD
22,http://www.abortionpill-md.com/,2.4,"11031 Lockwood Drive, Silver Spring, MD 20910",MD
25,https://www.plannedparenthood.org/health-center/maryland/baltimore/21201/baltimore-city-health-center-3292-90620,0.2,"330 North Howard Street, Baltimore, MD 21201",MD
