,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/michigan/kalamazoo/49006/kalamazoo-health-center-3299-90630,1.8,"4201 W Michigan Ave, Kalamazoo, MI 49006",MI
2,https://www.plannedparenthood.org/health-center/michigan/grand-rapids/49503/irwin-martin-health-center-3295-90630,27.4,"425 Cherry St. Se, Grand Rapids, MI 49503",MI
3,http://whcofmi.com/,3.6,"3422 Flushing Road, Flint, MI 48504",MI
5,https://www.plannedparenthood.org/health-center/michigan/traverse-city/49686/walker-health-center-3297-90630,34.1,"1135 E. Eighth St., Traverse City, MI 49686",MI
6,http://www.northlandfamilyplanning.com/,5.4,"35000 Ford Road, Suite 3, Westland, MI 48185",MI
7,https://www.plannedparenthood.org/health-center/michigan/detroit/48201/detroit-health-center-2890-90630,12.3,"4229 Cass Ave., Detroit, MI 48201",MI
8,https://womenscenterofmichigan.com/,19.5,"6765 Orchard Lake Road, West Bloomfield, MI 48322",MI
11,https://www.plannedparenthood.org/health-center/michigan/petoskey/49770/petoskey-health-center-2918-90630,80.9,"1003 Spring St., Petoskey, MI 49770",MI
12,http://eastlandwomensclinic.com/,1.3,"15921 East 8 Mile Road #1, Eastpointe, MI 48021",MI
15,https://www.plannedparenthood.org/health-center/michigan/marquette/49855/marquette-health-center-2605-90630,0.5,"1219 N. Third St., Marquette, MI 49855",MI
23,https://www.plannedparenthood.org/health-center/michigan/lansing/48912/lansing-health-center-2785-90630,3.4,"300 N. Clippert, Ste. 6, Lansing, MI 48912",MI
25,http://www.heritageclinic.com/,49.9,"320 East Fulton Street, Grand Rapids, MI 49503",MI
26,https://www.plannedparenthood.org/health-center/michigan/ann-arbor/48104/ann-arbor-health-center-3296-90630,5.2,"3100 Professional Drive, Ann Arbor, MI 48104",MI
42,https://www.plannedparenthood.org/health-center/michigan/livonia/48154/livonia-health-center-2677-90630,2.2,"15707 Farmington Road, Livonia, MI 48154",MI
43,http://www.summitcenters.com/,2.6,"15801 West McNichols Road, Detroit, MI 48235",MI
49,https://www.plannedparenthood.org/health-center/michigan/jackson/49202/jackson-health-center-2784-90630,2.1,"2009 W. Michigan Ave., Jackson, MI 49202",MI
54,https://detroitabortioncenter.com/,4.5,"19305 West Seven Mile Road, Detroit, MI 48219",MI
