,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/north-carolina/charlotte/28205/charlotte-health-center-2703-90860,11.7,"700 South Torrance Street, Charlotte, NC 28204",NC
2,https://abortionclinicservicescharlottenc.com/,20.7,"3220 Latrobe Drive, Charlotte, NC 28211",NC
3,https://abortionclinicservicesraleighnc.com/,53.5,"1604 Jones Franklin Road, Raleigh, NC 27606",NC
4,https://www.med.unc.edu/obgyn/family-planning/our-services/womens_options_center/,14.2,"460 Waterstone Drive, 3rd Floor, Hillsborough, NC 27278",NC
5,https://www.awomanschoiceinc.com/,4.4,"3305 Drake Circle, Raleigh, NC 27607",NC
7,https://www.plannedparenthood.org/health-center/north-carolina/chapel-hill/27514/chapel-hill-health-center-4169-90860,3.2,"1765 Dobbins Drive, Chapel Hill, NC 27514",NC
9,https://www.plannedparenthood.org/health-center/north-carolina/winston-salem/27103/winston-salem-health-center-2845-90860,19.2,"3000 Maplewood Avenue, Suite 112, Winston-Salem, NC 27103",NC
12,https://www.plannedparenthood.org/health-center/north-carolina/asheville/28801/asheville-health-center-4134-90860,31.4,"68 Mcdowell Street, Asheville, NC 28801",NC
14,http://northdurhamwomenshealth.com/,4.4,"400-B Crutchfield Street, Durham, NC 27704",NC
20,https://www.plannedparenthood.org/health-center/north-carolina/wilmington/28401/wilmington-health-center-2595-90860,3.4,"1925 Tradd Court, Wilmington, NC 28401",NC
23,http://www.ahallmarkwomensclinic.com/,16.8,"491 North Cleveland, Winston-Salem, NC 27101",NC
40,https://www.plannedparenthood.org/health-center/north-carolina/fayetteville/28303/fayetteville-health-center-4173-90860,34.7,"4551 Yadkin Road, Fayetteville, NC 28303",NC
