,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/new-jersey/shrewsbury/07702/shrewsbury-center-3510-90900?utm_campaign=shrewsbury-health-center&utm_medium=organic&utm_source=local-listing,2.1,"69 East Newman Springs Road, Po Box 95, Shrewsbury, NJ 07702",NJ
2,http://metropolitanmedicalassociates.com/,0.5,"40 Engle Street, Englewood, NJ 07631",NJ
3,https://www.plannedparenthood.org/health-center/new-jersey/paterson/07505/paterson-center-2557-90920,1.9,"680 Broadway, Paterson, NJ 07505",NJ
4,https://www.plannedparenthood.org/health-center/new-jersey/washington/07882/washington-health-center-2598-90900,9.4,"66 East Washington Avenue, Washington, NJ 07882",NJ
5,https://www.plannedparenthood.org/health-center/new-jersey/newton/07860/newton-health-center-2555-90900,2.9,"8 Moran Street, Newton, NJ 07860",NJ
6,https://www.thewomenscenters.com/cherryhillwomenscenter/,1.7,"502 Kings Highway North, Cherry Hill, NJ 08034",NJ
7,https://www.plannedparenthood.org/health-center/new-jersey/newark/07102/mulberry-health-center-formerly-known-as-chubb-4225-90920,0.3,"240 Mulberry Street, Floor 1, Newark, NJ 07102",NJ
8,https://www.optionsforabortions.com/,5.3,"1024 Park Avenue, Suite 4, Plainfield, NJ 07060",NJ
9,https://www.plannedparenthood.org/health-center/new-jersey/morristown/07960/morristown-health-center-3307-90900,10.5,"196 Speedwell Ave, Morristown, NJ 07960",NJ
10,https://www.plannedparenthood.org/health-center/new-jersey/perth-amboy/08861/perth-amboy-center-3053-90900,4.9,"450 Market Street, Perth Amboy, NJ 08861",NJ
14,https://www.pilgrimmed.com/,1.7,"393 Bloomfield Avenue, Montclair, NJ 07042",NJ
17,https://www.plannedparenthood.org/health-center/new-jersey/flemington/08822/flemington-health-center-2596-90900,15.0,"349 Route 31 South, Countryside Plaza, Building B, Suite 503, Flemington, NJ 08822",NJ
18,https://www.plannedparenthood.org/health-center/new-jersey/camden/08103/camden-center-3312-90900,3.2,"317 Broadway, Camden, NJ 08103",NJ
20,https://www.plannedparenthood.org/health-center/new-jersey/elizabeth/07201/elizabeth-health-center-2599-90900,0.6,"1171 Elizabeth Avenue, Elizabeth, NJ 07201",NJ
22,https://www.plannedparenthood.org/health-center/new-jersey/hackensack/07601/hackensack-health-center-2947-90900,0.8,"575 Main Street, Hackensack, NJ 07601",NJ
23,https://www.plannedparenthood.org/health-center/new-jersey/trenton/08608/trenton-health-center-3304-90900,5.2,"437 East State Street, Trenton, NJ 08608",NJ
24,https://www.jerseygyn.com/,1.8,"1323 Stuyvesant Avenue, Union, NJ 07083",NJ
27,https://www.plannedparenthood.org/health-center/new-jersey/montclair/07042/montclair-center-2550-90920,0.5,"29 N Fullerton Ave, Montclair, NJ 07042",NJ
30,https://womenschoicemedical.com/,1.2,"10 Zabriskie Street, Hackensack, NJ 07061",NJ
31,https://www.gynchoicesofcentraljersey.com/,1.6,"281 Summerhill Road, East Brunswick, NJ 08816",NJ
