,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/new-york/canandaigua/14424/canandaigua-health-center-2352-91040,3.9,"15 Lafayette Avenue, Canandaigua, NY 14424",NY
2,https://www.plannedparenthood.org/health-center/new-york/poughkeepsie/12601/poughkeepsie-health-center-2621-91160,3.3,"17 Noxon Street, Poughkeepsie, NY 12601",NY
3,https://www.plannedparenthood.org/health-center/new-york/troy/12180/troy-health-center-2780-91020,4.3,"120 Hoosick St, Troy, NY 12180",NY
5,https://www.plannedparenthood.org/health-center/new-york/canton/13617/canton-center-2881-91210,1.7,"9 Miner Street, Canton, NY 13617",NY
6,https://www.plannedparenthood.org/health-center/new-york/hempstead/11550/hempstead-center-3321-91100,1.0,"540 Fulton Ave, Hempstead, NY 11550",NY
7,https://www.plannedparenthood.org/health-center/new-york/watertown/13601/watertown-center-3328-91210,37.9,"160 Stone Street, Watertown, NY 13601",NY
9,https://www.plannedparenthood.org/health-center/new-york/staten-island/10301/staten-island-center-3978-91110,1.3,"23 Hyatt Street, Staten Island, NY 10301",NY
10,https://www.plannedparenthood.org/health-center/new-york/spring-valley/10977/spring-valley-center-2226-91220,1.0,"25 Perlman Drive, Spring Valley, NY 10977",NY
11,http://www.nyc.gov/html/hhc/lincoln/html/services/family.shtml,0.2,"234 East 149th St, Bronx, NY 10451",NY
12,https://www.plannedparenthood.org/health-center/new-york/corning/14830/corning-health-center-2345-91090,20.4,"35 West William Street, Corning, NY 14830",NY
13,https://sweethomemedical.com/,11.6,"2550 Sweet Home Road, Amherst, NY 14228",NY
15,https://www.plannedparenthood.org/health-center/new-york/riverhead/11901/riverhead-center-4264-91220,14.8,"877 East Main Street, Suite 109, Riverhead, NY 11901",NY
16,https://www.plannedparenthood.org/health-center/new-york/rochester/14605/rochester-health-center-3332-91040,0.4,"114 University Avenue, Rochester, NY 14605",NY
17,https://www.plannedparenthood.org/health-center/new-york/west-seneca/14224/west-seneca-health-center-2693-91040,39.8,"Wimbledon Plaza 240 Center Road, Wimbledon Plaza, West Seneca, NY 14224",NY
20,https://www.plannedparenthood.org/health-center/new-york/amsterdam/12010/amsterdam-center-3047-91180,2.1,"4803 State Highway/30 Kem Plaza, Amsterdam, NY 12010",NY
21,https://www.upstate.edu/obgyn/healthcare/family_planning.php,31.2,"90 Presidential Plaza, 1st Floor, Syracuse, NY 13202",NY
24,https://www.plannedparenthood.org/health-center/new-york/brighton/14618/brighton-henrietta-health-center,22.9,"2225 S Clinton, Brighton, NY 14618",NY
25,https://abortionsqueens.com/,0.5,"78-13 Roosevelt Avenue, Jackson Heights, NY 11372",NY
26,https://www.plannedparenthood.org/health-center/new-york/saranac-lake/12983/saranac-lake-clinic-3428-91210,9.6,"41 St. Bernard St., Saranac Lake, NY 12983",NY
28,https://www.plannedparenthood.org/health-center/new-york/smithtown/11787/smithtown-center-2320-91220,1.0,"70 Maple Ave, Smithtown, NY 11787",NY
29,https://www.southavewomensservices.com/,2.1,"1000 South Avenue, Rochester, NY 14620",NY
30,https://www.plannedparenthood.org/health-center/new-york/niagara-falls/14301/niagara-falls-office-2976-91040,0.8,"750 Portage Road, Niagara Falls, NY 14301",NY
31,https://www.plannedparenthood.org/health-center/new-york/utica/13502/utica-center-3318-91180,20.2,"1424 Genesee Street, Utica, NY 13502",NY
32,http://www.buffalowomenservices.com/,0.2,"2500 Main Street, Buffalo, NY 14214",NY
33,http://womenschoice.com/,4.6,"200 Motor Parkway, Hauppauge, NY 11788",NY
34,https://www.plannedparenthood.org/health-center/new-york/yonkers/10701/yonkers-center-2202-91220,1.5,"20 S Broadway, Yonkers, NY 10701",NY
35,https://www.plannedparenthood.org/health-center/new-york/goshen/10924/goshen-health-center-2624-91160,26.9,"7 Coates Drive, Suite 4, Goshen, NY 10924",NY
36,https://www.northwell.edu/find-care/services-we-offer/obstetrics-and-gynecology,3.9,"440 Seaview Avenue, Staten Island, NY 10305",NY
37,https://www.plannedparenthood.org/health-center/new-york/newburgh/12550/newburgh-health-center-3995-91160,4.6,"136 Lake Street, Suite11, Newburgh, NY 12550",NY
