,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/oregon/beaverton/97005/beaverton-center-2410-91400,0.5,"12220 SW First St., Suite 200, Beaverton, OR 97005",SW
2,https://www.plannedparenthood.org/health-center/oregon/grants-pass/97526/grants-pass-health-center-2371-91380,28.7,"160 NW Franklin Blvd., Grants Pass, OR 97526",NW
3,https://www.plannedparenthood.org/health-center/oregon/eugene/97403/eugene-springfield-health-center-4075-91380,27.2,"3579 Franklin Blvd, Eugene, OR 97403",OR
4,https://www.plannedparenthood.org/health-center/oregon/salem/97305/salem-center-2412-91400,21.3,"3825 Wolverine St., NE, Salem, OR 97305",OR
5,https://www.plannedparenthood.org/health-center/oregon/portland/97236/hillman-east-portland-center-2673-91400,64.6,"14601 SE Division Street, Portland, OR 97236",SE
6,https://www.plannedparenthood.org/health-center/oregon/ashland/97520/ashland-health-center-2370-91380,51.3,"1532 Siskiyou Blvd., Ashland, OR 97520",OR
8,https://www.corvallisclinic.com/obstetrics-gynecology/,36.8,"3680 NW Samaritan Drive, Corvallis, OR 97330",NW
9,https://www.plannedparenthood.org/health-center/oregon/bend/97701/bend-health-center-2373-91400,15.9,"2330 NE Division St., Suite 7, Bend, OR 97703",NE
11,https://www.plannedparenthood.org/health-center/oregon/milwaukie/97267/milwaukie-oak-grove-center-4195-91400,7.0,"14411 Se Mcloughlin Blvd, Milwaukie, OR 97267",OR
15,https://www.plannedparenthood.org/health-center/oregon/eugene/97402/west-eugene-health-center-3069-91380,66.9,"793 N. Danebo Avenue, Eugene, OR 97402",OR
16,https://www.plannedparenthood.org/health-center/oregon/portland/97212/ne-portland-center-3943-91400,1.6,"3727 Ne Martin Luther King Jr. Boulevard, Portland, OR 97212",OR
