,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/pennsylvania/reading/19602/reading-medical-center-2725-91410,22.3,"1920 Kutztown Road, Suite H, Reading, PA 19604",PA
2,https://www.plannedparenthood.org/health-center/pennsylvania/lancaster/17603/lancaster-medical-center-2687-91410,18.2,"902 Manor Street, Lancaster, PA 17603",PA
3,http://www.alleghenyreproductive.com/,57.1,"5910 Kirkwood Street, Pittsburgh, PA 15206",PA
5,https://www.plannedparenthood.org/health-center/pennsylvania/harrisburg/17102/harrisburg-medical-center-3357-91410,41.0,"1514 North Second Street, Harrisburg, PA 17102",PA
8,https://www.upmc.com/locations/hospitals/magee,0.3,"300 Halket Street, Suite 610, Pittsburgh, PA 15213",PA
9,https://www.plannedparenthood.org/health-center/pennsylvania/pittsburgh/15222/ppwp-abortion-services-3359-91470,40.2,"933 Liberty Avenue, Pittsburgh, PA 15222",PA
12,https://www.plannedparenthood.org/health-center/pennsylvania/warminster/18974/warminster-medical-center-2510-91410,1.8,"610 Louis Drive, Suite 303 - Second Floor, Warminster, PA 18974",PA
15,https://www.plannedparenthood.org/health-center/pennsylvania/york/17401/york-medical-center-3786-91410,19.3,"728 South Beaver Street, York, PA 17401",PA
16,https://www.plannedparenthood.org/health-center/pennsylvania/allentown/18101/allentown-medical-center-2723-91410,14.5,"29 North Ninth Street, Allentown, PA 18101",PA
24,https://www.pennmedicine.org/for-patients-and-visitors/find-a-program-or-service/obstetrics/family-planning-and-pregnancy-loss-program,0.1,"3737 Market Street, Suite 1210, Philadelphia, PA 19104",PA
25,https://www.plannedparenthood.org/health-center/pennsylvania/norristown/19401/norristown-abortion-center-3952-91460#services-offered,7.4,"1221 Powell Street, Norristown, PA 19401",PA
27,https://www.plannedparenthood.org/health-center/pennsylvania/wilkes-barre/18701/wilkes-barre-medical-center-2761-91410,17.1,"101 N. Main Street, Wilkes-barre, PA 18701",PA
31,http://www.plannedparenthood.org/health-center/centerDetails.asp?f=2513&a=91410&v=details,4.7,"2185 Galloway Rd, Centre Plaza Shopping Center, Bensalem, PA 19020",PA
36,https://www.thewomenscenters.com/delawarecountywomenscenter/,1.1,"1 Medical Center Boulevard, POB 2 Suite 224, Chester, PA 19013",PA
42,https://www.plannedparenthood.org/health-center/pennsylvania/west-chester/19382/west-chester-surgical-center-3918-91460,9.1,"8 S Wayne Street, West Chester, PA 19382",PA
50,https://www.thewomenscenters.com/philadelphiawomenscenter/,0.3,"777 Appletree Street, 7th Floor, Philadelphia, PA 19106",PA
52,http://www.allentownwomenscenter.com/,8.6,"31 South Commerce Way, Suite 100, Bethlehem, PA 18017",PA
55,https://www.einstein.edu/obstetrics-and-gynecology/gynecology/family-planning,5.3,"5501 Old York Road, Paley Building, 3rd Floor, Philadelphia, PA 19141",PA
