,url,distance,address,state
1,https://www.richmondmedctrforwomen.com/locations/,17.2,"10758A Jefferson Avenue, Newport News, VA 23601",VA
2,http://www.fallschurchhealthcare.com/,12.9,"900 South Washington Street, Suite 300, Falls Church, VA 22046",VA
3,http://www.capitalwomenshealth.com/,49.5,"1511 Starling Drive, Richmond, VA 23229",VA
4,https://www.plannedparenthood.org/health-center/virginia/charlottesville/22901/charlottesville-health-center-2815-90860,22.6,"2964 Hydraulic Road, Charlottesville, VA 22901",VA
9,https://www.wholewomanshealth.com/clinic/alexandria/,1.6,"2839 Duke Street, Alexandria, VA 22314",VA
11,https://www.plannedparenthood.org/health-center/virginia/richmond/23221/hamilton-health-center-3913-91750,1.5,"201 N. Hamilton Street, Richmond, VA 23221",VA
13,http://www.yourchoice-va.com/,8.1,"891 Norfolk Square, Norfolk, VA 23502",VA
14,https://www.plannedparenthood.org/health-center/virginia/roanoke/24017/roanoke-health-center-2768-90860,23.6,"2207 Peters Creek Road, Roanoke, VA 24017",VA
16,https://wholewomanshealth.com/,49.3,"2321 Commonwealth Drive, Charlottesville, VA 22901",VA
18,http://www.alexandriawomensclinic.com/,16.3,"5999 Stevenson Avenue, Suite 403, Alexandria, VA 22304",VA
22,https://www.plannedparenthood.org/health-center/virginia/hampton/23666/hampton-health-center-4164-91750,60.0,"403 Yale Drive, Hampton, VA 23666",VA
25,https://www.plannedparenthood.org/health-center/virginia/virginia-beach/23462/virginia-beach-health-center-4166-91750,4.5,"515 Newtown Road, Virginia Beach, VA 23462",VA
29,https://www.plannedparenthood.org/health-center/virginia/richmond/23223/east-end-health-center-2680-91750,2.9,"1122 N 25th Street, Richmond, VA 23223",VA
