,url,distance,address,state
1,https://www.plannedparenthood.org/health-center/washington/everett/98201/everett-health-center-2994-91810,2.6,"1509 32nd St., Everett, WA 98201",WA
2,https://www.plannedparenthood.org/health-center/washington/yakima/98902/yakima-health-center-3311-91850,0.6,"1117 Tieton Drive, Yakima, WA 98902",WA
3,http://www.cedarriverclinics.org/,1.0,"263 Rainier Avenue South, Suite 200, Renton, WA 98057",WA
4,https://www.plannedparenthood.org/health-center/washington/kennewick/99336/kennewick-health-center-2404-91850,32.5,"7426 W. Bonnie Place, Kennewick, WA 99336",WA
5,https://www.plannedparenthood.org/health-center/washington/olympia/98501/olympia-health-center-2460-91810,4.3,"402 Legion Way, Suite 201, Olympia, WA 98501",WA
6,https://jeffersonhealthcare.org/services/obstetrics-gynecology/,3.0,"834 Sheridan Street, Port Townsend, WA 98368",WA
7,https://www.plannedparenthood.org/health-center/washington/wenatchee/98801/wenatchee-health-center-4204-91850,50.8,"900 Ferry Street, Wenatchee, WA 98801",WA
8,https://www.uwmedicine.org/locations/primary-care-northgate,4.9,"314 NE Thornton Place, Seattle, WA 98125",NE
11,https://www.plannedparenthood.org/health-center/washington/centralia/98531/centralia-health-center-2453-91810,1.8,"1020 W Main Street, Centralia, WA 98531",WA
12,https://obgyn.uw.edu/,2.3,"4245 Roosevelt Way, NE, 4th FL, Seattle, WA 98105",WA
13,https://www.plannedparenthood.org/health-center/washington/seattle/98133/seattle-northgate-3975-91810,2.4,"1200 N. Northgate Way, Seattle, WA 98133",WA
14,https://www.plannedparenthood.org/health-center/washington/walla-walla/99362/walla-walla-health-center-2405-91850,1.9,"828 S. First Avenue, Walla Walla, WA 99362",WA
15,https://www.plannedparenthood.org/health-center/washington/port-angeles/98362/port-angeles-health-center-3972-91810,6.2,"426 East 8th Street, Port Angeles, WA 98362",WA
20,https://www.plannedparenthood.org/health-center/washington/spokane/99207/spokane-health-center-2794-91850,2.6,"123 E. Indiana Avenue, Spokane, WA 99207",WA
21,https://www.plannedparenthood.org/health-center/washington/vancouver/98684/vancouver-center-2455-91400,13.4,"11516 SE Mill Plain Blvd, Suite 2-E, Vancouver, WA 98684",SE
25,https://www.plannedparenthood.org/health-center/washington/seattle/98106/white-center-health-center-4161-91810,4.1,"9942 8th Ave SW, Seattle, WA 98106",WA
29,https://www.plannedparenthood.org/health-center/washington/puyallup/98373/puyallup-health-center-2504-91810,2.6,"702-30th Ave SW, Puyallup, WA 98373",WA
32,https://www.plannedparenthood.org/health-center/washington/lynnwood/98036/lynnwood-health-center-2996-91810,3.0,"19505 76th Ave W. 200, Lynnwood, WA 98036",WA
33,https://www.plannedparenthood.org/health-center/washington/bellingham/98225/bellingham-health-center-2454-91780,0.9,"1530 Ellis Street, Bellingham, WA 98225",WA
