Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
We Care Pregnancy Clinic, 403 N 5th Street, Dekalb,Illinois (IL),60115,(815) 748-4242,http://wecarepregnancyclinic.org,"https://www.google.com/maps/place/We+Care+Pregnancy+Clinic/@41.932446,-88.747205,15z/data=!4m5!3m4!1s0x0:0xa82fd8737bf156c8!8m2!3d41.932446!4d-88.747205", http://www.facebook.com/WeCareDeKalb/,http://m.yelp.com/biz/we-care-pregnancy-clinic-dekalb?osq=We+care+pregnancy+clinic
Hope Pregnancy Center,23 West Cherry Street,Albion,Illinois (IL),62806,,https://echopecenter.webs.com/,,https://www.facebook.com/EcHopeCenter/,
Pregnancy Information Center,411 W Galena Blvd,Aurora,Illinois (IL),60506,,www.supportpiclife.org,,https://www.facebook.com/supportpiclife,
Waterleaf Women's Center,3598 E New York St,Aurora,Illinois (IL),60504,(630) 701-6270,www.waterleafwc.org,,https://www.facebook.com/waterleafwomenscenter/,http://www.yelp.com/biz/waterleaf-womens-center-aurora-2?osq=waterleaf+women%27s+center
Mosaic Pregnancy and Health Center,115 Lincoln Place Ct Suite 102,Belleville,Illinois (IL),62221,,http://revealmosaic.com,,https://www.facebook.com/revealmosaic,
Pregnancy Care Center,180 S 3rd St #50,Belleville,Illinois (IL),62220,,,,,
Birthright,505 N Center St ,Bloomington,Illinois (IL),61701,,,"https://www.google.com/maps/place/Birthright+of+Bloomington/@40.482752,-88.994519,15z/data=!4m2!3m1!1s0x0:0x3e205185bd3bf7a3?sa=X&ved=2ahUKEwiOtpKV0o_kAhWr1lkKHWIyBooQ_BIwCnoECA8QCA",https://www.facebook.com/BirthrightBloomington/?ref=py_c,
Waterleaf Women's Center,"682 W Boughton Rd, Suite B",Bolingbrook,Illinois (IL),60440,,,,,
River Valley Pregnancy Resource Ctr,200 N Washington,Bradley,Illinois (IL),60915,,www.rivervalleyprc.org,,https://www.facebook.com/pages/River-Valley-Pregnancy-Re/839479752802550?fref=ts&rf=852184801539259,
Spoon River Pregnancy Center,127 N Main St,Canton,Illinois (IL),61520,,,,,
Spoon River Pregnancy Resource Center (2918),"1055 W. Locust, Suite 1",Canton,Illinois (IL),61520,,http://www.srpregnancycenter.com,"https://www.google.com/maps/place/121+N+Main+St,+Canton,+IL+61520/@40.5577631,-90.0369618,17z/data=!3m1!4b1!4m5!3m4!1s0x87e02a2b9c94bb91:0xc11847c9ce1895ea!8m2!3d40.5577631!4d-90.0347678",https://www.facebook.com/spoonriverpregnancycenter/,https://www.yelp.com/biz/spoon-river-pregnancy-resource-center-canton-2?fsid=FBTDwnUAhrUqYC1c_JWlLA
"Pregnancy Matters, Inc.",241 S Lewis Lane,Carbondale,Illinois (IL),62901,,www.pregnancymatters.org,,https://www.facebook.com/PregnancyMatters.SI/,
Tri-State Family Services,603 Walnut St,Carthage,Illinois (IL),62321,,,,,
Choices Pregnancy & Health,407 NW 3rd St,Casey,Illinois (IL),62420,,www.choices4pregnancy.com,,https://www.facebook.com/choices4pregnancy,
Pregnancy Care Clinic,319 E 7th St,Centralia,Illinois (IL),62801,,www.pregnancycc.com,,,
Birthright,201 W Springfield Ave Ste 206,Champaign,Illinois (IL),61820,,,"https://www.google.com/maps/place/Birthright+of+Champaign/@40.112127,-88.245492,15z/data=!4m2!3m1!1s0x0:0xb6b8cf51f9fe7a5?sa=X&ved=2ahUKEwjY8tzu04_kAhVOtlkKHeGhBzIQ_BIwCnoECA4QCA",,https://www.yelp.com/biz/birthright-champaign
Living Alternatives Pregnancy Resource Center,205 E Wilbur Ave,Champaign,Illinois (IL),61824,,www.hopeforafuture.com,,,
Choices Pregnancy & Health,260 W. Locust Ave.,Charleston,Illinois (IL),61920,,www.choices4pregnancy.com,,https://www.facebook.com/choices4pregnancy,
"Aid for Women, Inc.","8 S Michigan Ave, Ste 812",Chicago,Illinois (IL),60603,,https://www.aidforwomen.org/,"https://www.google.com/maps/place/Aid+For+Women/@41.8819061,-87.6270765,17z/data=!3m1!4b1!4m5!3m4!1s0x880e2ca438d95b5b:0xc5b22a9af0b24d9d!8m2!3d41.8819021!4d-87.6248878",https://www.facebook.com/AidForWomen/,
Lawndale Christian Health Center,"3860 W Ogden Ave, 4th Fl",Chicago,Illinois (IL),60623,,,,,
Caris Pregnancy Resources,111 N. Wabash Ave Suite 1501,Chicago,Illinois (IL),60602,(312) 229-5740,http://www.caris.org,,http://www.facebook.com/carisorg/,http://www.yelp.com/biz/caris-pregnancy-counseling-and-resources-chicago-2
Monica's House (Aid for Women),3954 N. Meade Ave,Chicago,Illinois (IL),60603,,https://www.helpaidforwomen.org/services,,,
The Women's Center,5116 N Cicero Ave,Chicago,Illinois (IL),60630,,www.gotwc.org,,https://www.facebook.com/TheWomensCentersofGreaterChicagoland,
True to Life PCC,1712 E 87th St,Chicago,Illinois (IL),60617,,,,,
PASS Pregnancy Care Center,30 W 15th St,Chicago Heights,Illinois (IL),60411,,www.passhelps.org,,,
