Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
First Choice for Women - Anderson,1817 N. Madison Ave,Anderson,Indiana (IN),46016,,https://www.firstchoiceforwomen.org/,"https://www.google.com/maps/place/First+Choice+for+Women/@40.1327706,-85.6919386,15z/data=!4m5!3m4!1s0x0:0x57084cbaad49d7bd!8m2!3d40.1327706!4d-85.6919386",,
Compassion Pregnancy Center of NE IN - Angola,2107 N Wayne St,Angola,Indiana (IN),46703,,https://www.cpcni.org/angola,"https://www.google.com/maps/place/Compassion+Pregnancy+Center/@41.6348681,-85.0111234,15z/data=!4m2!3m1!1s0x0:0x561e1b7bf3ba799a?sa=X&ved=2ahUKEwi4rb2vi5XwAhWMY98KHZLqD40Q_BIwCnoECDoQBQ",https://www.facebook.com/compassion.centers/,
DeKalb Pregnancy Center - Auburn,903 Cardinal Ct.,Auburn,Indiana (IN),46706,,https://www.pregnancydekalb.com/,"https://www.google.com/maps/place/Dekalb+Pregnancy+Center/@41.36031,-85.069735,15z/data=!4m5!3m4!1s0x0:0xf2cc6e424372bc81!8m2!3d41.36031!4d-85.069735",https://www.facebook.com/dekalbpregnancycenter,
Women's Care Center - Auburn,918 W. 7th Street,Auburn,Indiana (IN),46706,,https://www.womenscarecenter.org/auburn-indiana,"https://www.google.com/maps/place/Women%E2%80%99s+Care+Center/@41.3670462,-85.0696396,15z/data=!4m2!3m1!1s0x0:0x5717085e9392e934?sa=X&ved=2ahUKEwjFkK6TlpDwAhUBGFkFHU54DicQ_BIwEnoECCMQBQ",,
Hope Resource Center,717 Lincoln Ave Suite G,Bedford,Indiana (IN),47421,,https://www.hoperesourcectr.org/pregnacy-services,"https://www.google.com/maps/place/Hope+Resource+Center/@38.871644,-86.4901749,15z/data=!4m2!3m1!1s0x0:0x573c5fb04c2a4104?sa=X&ved=2ahUKEwjXlPTNkpXwAhUwU98KHWGOCqAQ_BIwDXoECDQQBQ",https://www.facebook.com/hoperctr?ref=bookmarks,
The Hope Clinic,165 West Water Street,Berne,Indiana (IN),46711,,https://thehopeclinic.net/,"https://www.google.com/maps/place/The+Hope+Clinic/@40.6589641,-84.9510629,15z/data=!4m2!3m1!1s0x0:0x8f177220cad54715?sa=X&ved=2ahUKEwjcyYHXyJzwAhUNFFkFHWLxBQcQ_BIwCnoECDwQBQ",,
Women's Care Center - Bloomington,409 South College Avenue,Bloomington,Indiana (IN),47403,,https://www.womenscarecenter.org/bloomington-indiana,"https://www.google.com/maps/place/Women%E2%80%99s+Care+Center/@39.1625074,-86.5346243,15z/data=!4m2!3m1!1s0x0:0x6488ed744b72fd2?sa=X&ved=2ahUKEwimrNGslpDwAhUTMlkFHTnhCDEQ_BIwEnoECCQQBQ",,
Helping Hands Pregnancy Resource Center,116 E Dustman Rd Suite B,Bluffton,Indiana (IN),46714,,https://helpinghandscpc.org/,"https://www.google.com/maps/place/Helping+Hands+Pregnancy+Resource+Center/@40.7664268,-85.1699478,14z/data=!4m8!1m2!2m1!1shelping+hands!3m4!1s0x8815916b4946e24f:0xd67899d7cb5bedc9!8m2!3d40.7568207!4d-85.1646033",,
Pregnancy Help Center,512 Main Street #A,Brookville,Indiana (IN),47012,,http://www.phcbrookville.com/,"https://www.google.com/maps/place/Pregnancy+Help+Center/@39.4199765,-85.0130344,15z/data=!4m2!3m1!1s0x0:0x40f8ff232f16c175?sa=X&ved=2ahUKEwielJTtnpzwAhUMM1kFHUUeD4UQ_BIwCnoECDUQBQ",,
Birthright of Cicero,50 S Peru St.,Cicero,Indiana (IN),46034,,https://birthright.org/cicero,"https://www.google.com/maps/place/Birthright+of+Cicero+Inc/@40.131559,-86.013755,15z/data=!4m5!3m4!1s0x0:0x36e9108f5c1c1e66!8m2!3d40.131559!4d-86.013755",,
A Hope Center - Columbia City,344 N. Main St. ,Columbia City,Indiana (IN),46725,,https://www.ahopecenter.org/,"https://www.google.com/maps/place/A+Hope+Center+at+Columbia+City/@41.1629516,-85.4877248,15z/data=!4m2!3m1!1s0x0:0xb4b149a0cb10539d?sa=X&ved=2ahUKEwjCgM7bjpDwAhXREFkFHcTDC3UQ_BIwEnoECCcQBQ",,
