Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Pregnancy Help Center,1222 N White Sands Blvd,Alamogordo,New Mexico (NM),88310,,http://phcalamo.org/public/,"https://www.google.com/maps/place/Pregnancy+Help+Center/@32.9032111,-105.9600503,15z/data=!4m5!3m4!1s0x0:0xe61174d22a24f81b!8m2!3d32.9032111!4d-105.9600503",https://www.facebook.com/Pregnancy-Help-Center-Alamogordo-112123923571941/, ​https://www.yelp.com/biz/pregnancy-help-center-alamogordo?osq=Pregnancy
Care Net Pregnancy Centers of Albuquerque,9809 Candelaria Rd NE Suite 1-A,Albuquerque,New Mexico (NM),87112,(505) 880-0882,https://carenetabq.com/,,,
Women's Pregnancy Options,729 San Mateo Blvd NE,Albuquerque,New Mexico (NM),87108,(505) 273-4726,https://www.pregnantabq.com/,"https://www.google.com/maps/place/Women's+Pregnancy+Options/@35.0847977,-106.5865601,15z/data=!4m5!3m4!1s0x0:0x6d0a6cea444a5629!8m2!3d35.0847977!4d-106.5865601",https://www.facebook.com/pregnantabq,
Pregnancy Help Center of Artesia,610 West Quay Avenue,Artesia,New Mexico (NM),88210,,http://www.pregnancyhelpcenterofartesia.com/,"https://www.google.com/maps/place/Pregnancy+Help+Center+of+Artesia/@32.841422,-104.404409,15z/data=!4m2!3m1!1s0x0:0xe3009f0bd0e54684?sa=X&ved=2ahUKEwidqOjYmYPwAhXxT98KHcszBbgQ_BIwCnoECBwQBQ",,
​New Beginnings Caring Pregnancy Center,108 W. Hagerman Street,Carlsbad,New Mexico (NM),88221,, ​www.newbeginningscarlsbad.org,"https://www.google.com/maps/place/New+Beginnings+Caring+Pregnancy+Center/@32.4252886,-104.2293157,17z/data=!4m13!1m7!3m6!1s0x86e379c7c56b2865:0x94c1fe37af3f5ad1!2s108+W+Hagerman+St,+Carlsbad,+NM+88220!3b1!8m2!3d32.4252309!4d-104.22716!3m4!1s0x86e379c7c53daa6d:0x8c2cd6da439f3eee!8m2!3d32.4252309!4d-104.22716",https://www.facebook.com/New-Beginnings-Caring-Pregnancy-Center-of-Carlsbad-118412988240194/, ​https://www.yelp.com/biz/new-beginnings-caring-pregnancy-center-carlsbad
Birthright Crisis Pregnancy,609 N Butler Ave,Farmington,New Mexico (NM),87401,,​http://birthright.org/farmington,"https://www.google.com/maps/place/Birthright+Crisis+Pregnancy/@36.73563,-108.198303,15z/data=!4m2!3m1!1s0x0:0x5d91baf1fd624d5f?sa=X&ved=2ahUKEwiriaWNjYPwAhUyh-AKHWNwD0YQ_BIwCnoECBUQBQ",,​https://www.yelp.com/biz/birthright-crisis-pregnancy-center-farmington
Grace Place Pregnancy and Health Center,4801 N Butler Avenue Suite 3102,Farmington,New Mexico (NM),87401,, ​http://graceplaceforwomen.org,"https://www.google.com/maps/place/Grace+Place+Pregnancy+and+Health+Center/@36.7706066,-108.1859067,15z/data=!4m5!3m4!1s0x0:0x8da2e1b9d8cf7e0!8m2!3d36.7706066!4d-108.1859067", ​https://www.facebook.com/graceplacepregnancy/?fref=nf, ​https://www.yelp.com/biz/grace-place-pregnancy-and-resource-center-farmington
​Hands of Hope Pregnancy Center,120 Boardman Drive,Gallup,New Mexico (NM),87301,, ​http://www.handsofhopegallup.com,"https://www.google.com/maps/place/Hands+of+Hope+Pregnancy+Center/@35.5282013,-108.7094688,15z/data=!4m5!3m4!1s0x0:0x6956360e229247f1!8m2!3d35.5282013!4d-108.7094688",,
Legacy Pregnancy Resource Center,1100 E Llano Dr.,Hobbs,New Mexico (NM),88240,,https://www.legacyprc.com/,"https://www.google.com/maps/place/Legacy+Pregnancy+Resource+Center/@32.7144012,-103.1228942,15z/data=!4m5!3m4!1s0x0:0xbf625e16f3ee2523!8m2!3d32.7144012!4d-103.1228942",,
Care Net Pregnancy Center of Las Cruces,605 S Solano Dr,Las Cruces,New Mexico (NM),88001,, ​http://www.carenetlascruces.com/,"https://www.google.com/maps/place/Care+Net+of+Las+Cruces/@32.3077073,-106.7645379,15z/data=!4m5!3m4!1s0x0:0x2c4f8740e4253222!8m2!3d32.3077073!4d-106.7645379",https://www.facebook.com/carenetabq?sk=wall, ​https://www.yelp.com/biz/care-net-pregnancy-center-of-las-cruces-las-cruces
