Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Life Choices Pregnancy Care Center,130 East Pine Log Rd,Aiken,South Carolina (SC),28903,,https://pregnancyaiken.com/,,https://www.facebook.com/Life-Choices-Pregnancy-Care-Center-288181884572042/,​ ​https://www.yelp.com/biz/life-choices-pregnancy-care-center-aiken
Anderson Care Pregnancy Clinic,401 W Whitner St,Anderson,South Carolina (SC),29625,,​ ​www.andersonpregnancycare.org,,​ ​https://www.facebook.com/acpcbabies/,​ ​https://www.yelp.com/biz/anderson-crisis-pregnancy-center-anderson
Radiance Women's Center,21A Marshellen Dr,Beaufort,South Carolina (SC),29902,,www.radiancewomenscenter.com,,,
LIfe Choices,4629 Jefferson Davis Hwy,Beech Island,South Carolina (SC),29842,,​ ​https://pregnancyaiken.com/,,,
Midland Women's Center,510 Walnut St,Camden,South Carolina (SC),29020,,​ ​http://www.midlandswomenscenter.com/,,,https://www.yelp.com/biz/midland-womens-center-camden?osq=Midlands+Women%27s+center
Birthright,1365 Ashley River Rd,Charleston,South Carolina (SC),29407,,​ ​http://birthright.org/-charleston,,,​ ​https://www.yelp.com/biz/birthright-of-charleston-charleston-3
DAZZ Pregnancy & Sexual Health Center,1106-B St Andrews Blvd,Charleston,South Carolina (SC),29407,,www.dazzcharleston.com,,,
Foothills Pregnancy Care H3 Mobile Ops - Clemson,"105 Wall Street, Suite 4",Clemson,South Carolina (SC),29631,,http://www.h3ops.org,"https://www.google.com/maps/place/34%C2%B042'18.0%22N+82%C2%B059'21.9%22W/@34.70499,-82.991604,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x8858f4809c03ce0f:0xf9a0ffbdacf21326!2s1449+Blue+Ridge+Blvd,+Seneca,+SC+29672!3b1!8m2!3d34.7047167!4d-82.9894741!3m5!1s0x0:0x0!7e2!8m2!3d34.7049901!4d-82.9894097",https://www.facebook.com/pages/Foothills-Pregnancy-Care-Center/167615713249599,​ ​https://www.yelp.com/biz/birthright-of-clemson-clemson
Palmetto Women's Center of Lake Wylie,6393 Lake Wylie Road,Clover,South Carolina (SC),29710,, ​http://www.palmettopregnancycenter.com/,,, ​https://www.yelp.com/biz/palmetto-pregnancy-center-clover
Bethany Christian Services,"1612 Marion Street, Suite 206",Columbia,South Carolina (SC),29169,,https://www.bethany.org/columbia,"https://www.google.com/maps/place/Bethany+Christian+Services/@34.0084653,-81.0326953,15z/data=!4m2!3m1!1s0x0:0xf9ee94756ae8a0ba?sa=X&ved=2ahUKEwjY_frYt4_tAhVlkuAKHX_1A7sQ_BIwFHoECCYQAw",https://www.facebook.com/bethanyfans,https://www.yelp.com/biz/bethany-christian-services-columbia-2?osq=Bethany+Christian+Services
