,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7,Total8
0,'at',4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0
1,'center',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,'client,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
3,'community,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,'contact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0
5,'csgz',0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,'cxmmw',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,'datalayer',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,'ekyros',0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0
9,'february,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,'focus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,'fredericka,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0
12,'google,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,'jnpyu',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,'libre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
15,'link',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,'ltr',0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
17,'mainpage',0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
18,'marck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
19,'mute',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,'ncbse',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,'object',0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
22,'of',8.0,0.0,8.0,0.0,8.0,0.0,0.0,8.0,0.0
23,'open,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
24,'palatino,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0
25,'partially,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0
26,'playfair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
27,'product,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,'read,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,'script',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,'string',0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
31,'text,0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
32,'there,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
