,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7
0,'appropriate,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1,'as,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,'at,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,'at',4.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
4,'block',0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
5,'chat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,'collapse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
7,'congratulations,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,'contextmenu,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
9,'expand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
10,'fade',0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
11,'fake,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,'finding,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
13,'glyphicons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
14,'google,3.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0
15,'government,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,'in,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,'initial',2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
18,'insert',0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,'json',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,'location,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
21,'ltr',0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
22,'many,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,'mazel,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,'mute',1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
25,'my,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,'none',0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
27,'not,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,'object',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,'of',8.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0
30,'ol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
31,'open,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32,'product,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
33,'px',0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
34,'raleway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
35,'recipient,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,'s',0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
37,'script,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
38,'script',0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
39,'select,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
40,'select',4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
41,'text,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,'thank,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,'there,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
44,'thinking,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,'timing',0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,'transform,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
47,'undefined',0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
48,'use,6.0,2.0,0.0,3.0,7.0,0.0,3.0,0.0
49,'your,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,abbott,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
51,abdominal,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
52,abiding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,ability,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0
54,able,0.0,2.0,0.0,18.0,0.0,0.0,3.0,4.0
55,abnormailty,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56,abnormal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
57,abnormalities,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
58,abnormalitiesmiscarriage,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,abnormalities”,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60,abnormality,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
61,abnor­malities,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
62,abort,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,abortion,55.0,219.0,0.0,219.0,64.0,0.0,575.0,25.0
64,abortiona,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,abortioni,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
66,abortionis,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
67,abortions,5.0,1.0,0.0,70.0,5.0,0.0,25.0,0.0
68,abortionsurgical,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,abortionvictim,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,abortionwith,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
71,abortion”,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
72,abortion…,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,abortos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,about,43.0,74.0,0.0,109.0,46.0,0.0,119.0,39.0
75,above,2.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0
76,abrasions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
77,absence,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
78,absolute,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0
79,absolutely,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0
80,absorb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,abstinence,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
82,abstract,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0
83,abuse,1.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
84,abused,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
85,acacia,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
86,acceder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,accent,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88,accept,1.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0
89,acceptance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
90,accepted,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
91,accepting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
92,accepts,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
93,access,22.0,13.0,0.0,25.0,25.0,0.0,24.0,40.0
94,accessibility,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
95,accessible,0.0,0.0,0.0,11.0,0.0,0.0,10.0,4.0
96,accessing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
97,accessories,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,accommodate,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
99,accompanied,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
100,accompany,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
101,accompanying,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,accordance,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
103,according,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,account,7.0,1.0,0.0,10.0,7.0,0.0,0.0,27.0
105,accountability,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,accountemail,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,accounting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,accounts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
109,accountssign,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,accounttoggle,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,accredited,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
112,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
113,accurate,3.0,6.0,0.0,2.0,5.0,0.0,0.0,2.0
114,ach,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
115,achievement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,acidity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,acknowledge,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0
118,acknowledgement,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,acn,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0
120,acquired,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,acrobat,0.0,17.0,0.0,0.0,2.0,0.0,0.0,2.0
123,acrobatorreader,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
124,across,2.0,1.0,0.0,1.0,2.0,0.0,27.0,0.0
125,act,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
126,action,22.0,0.0,0.0,4.0,22.0,0.0,0.0,17.0
127,actions,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
128,actiontag,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,activate,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
130,activated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,activating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,activation,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
133,active,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
134,activecolorclass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
135,activelanguage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
136,actively,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,activex,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
138,activists,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
139,activities,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
140,activity,5.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0
141,acts,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
142,actual,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
143,actually,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0
144,add,15.0,0.0,0.0,0.0,15.0,0.0,70.0,11.0
145,added,1.0,0.0,0.0,3.0,1.0,0.0,23.0,2.0
146,addevent,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
147,addiction,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,adding,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0
149,addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,additional,7.0,7.0,0.0,3.0,9.0,0.0,2.0,21.0
151,addlangselect,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
152,addms,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,address,5.0,6.0,0.0,5.0,5.0,0.0,1.0,42.0
154,addresses,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
155,addressing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,adds,5.0,0.0,0.0,0.0,5.0,0.0,23.0,1.0
157,addy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,adequately,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,adhere,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
160,adhering,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
161,adjust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
162,admin,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
163,administer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,administration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165,administrationnew,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
166,administrative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
167,administrator,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168,admire,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
169,admissible,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,admits,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
171,adobe,0.0,21.0,0.0,0.0,2.0,0.0,0.0,4.0
172,adolescent,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
173,adolescents,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,adopt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,adoption,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176,ads,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
177,adult,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
178,adults,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
179,advance,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
180,advanced,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
181,advances,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
182,advancing,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
183,advantage,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
