,Total
000,8.0
0016,4.0
002,4.0
0032,4.0
01,2.0
012,2.0
014,4.0
0140,2.0
02,2.0
03,12.0
04,1.0
0h24v24h0v0zm0,4.0
0h24v24h0zm0,4.0
0l12,4.0
0l8,2.0
0px,3059.0
0s,73.0
0s10,4.0
0v192m137,2.0
0v192m201,2.0
0v192m265,2.0
0v192m329,2.0
0v192m393,2.0
0v192m73,2.0
0zm15,2.0
10,686.0
100,4.0
1000,2.0
1001,30.0
1002,1.0
100ms,20.0
100vw,104.0
101,1.0
10221,3.0
1024px,3.0
1025px,3.0
10555,96.0
10728,1.0
108,1.0
10am,2.0
10c0,6.0
10l5,2.0
10pt,2.0
10px,47.0
10s0,4.0
10s2,2.0
10s22,2.0
10zm14,2.0
11,535.0
110,8.0
111,47.0
113,1.0
115,3.0
11am,4.0
11px,5.0
11tuesday,7.0
11v3h6v8c0,2.0
12,588.0
120,16.0
122,1.0
125,8.0
1275,1.0
1279px,3.0
12c0,4.0
12px,418.0
12q0,6.0
12q15,16.0
12q2,2.0
12q22,2.0
12q24,2.0
12q6,2.0
12q8,2.0
12rem,104.0
12s0,2.0
12th,5.0
12zm0,2.0
12zm15,2.0
13,220.0
132,5.0
1321,3.0
1328,4.0
133,2.0
139,7.0
13c0,2.0
13l4,4.0
14,25.0
140,1.0
1431,9.0
146px,26.0
14h4v4h16v12zm6,2.0
14h9l15,2.0
14px,16.0
15,32.0
150,1.0
150ms,12.0
155,1.0
1575,1.0
15get,1.0
15ms,16.0
15px,24.0
15th,8.0
15v1c0,2.0
16,143.0
160pregnancies,1.0
160px,2.0
166,2.0
16h16v13h19v11h16v8h14v11h11v13h14zm6,2.0
16h3v5h18v14zm4,2.0
16px,9.0
16rem,2.0
16th,1.0
17,44.0
1700,4.0
17070,38.0
1779,24.0
17h20q20,2.0
17h2v8h9zm4,2.0
17l12,4.0
17q20,2.0
17q4,8.0
17v5q2,2.0
17v5q20,2.0
17v5q4,2.0
17zm4,2.0
18,77.0
181,1.0
1818,64.0
1864,4.0
18c3,2.0
18c33,2.0
18l15,2.0
18px,1.0
19,42.0
1901,9.0
1907,64.0
1958,1.0
1964,2.0
1969,1.0
1970s,1.0
1971,1.0
1973,2.0
1974,1.0
1980,2.0
1980s,1.0
1981,4.0
1982,2.0
1983,13.0
1984,13.0
1986,2.0
1987,5.0
1988,1.0
1990,1.0
1990s,1.0
1991,1.0
1992,1.0
1994,39.0
1998,1.0
1999,4.0
19c0,2.0
19h16v21zm3,2.0
19h16v21zm4,2.0
19h5v5h7v3h5a2,2.0
19px,2.0
19q3,2.0
19v1zm3,2.0
19v5q1,2.0
19wednesday,7.0
19zm5,4.0
1em,583.0
1h11l4,2.0
1pt,3.0
1px,509.0
1rem,134.0
1s,60.0
1st,14.0
1wednesday,7.0
20,97.0
200,2.0
2000,3.0
2001,1.0
2004,3.0
2005,1.0
2007,3.0
200ms,40.0
2011,1.0
2012,2.0
2013,43.0
2014,6.0
2015,5.0
2016,11.0
2017,20.0
2018,84.0
2019,30.0
2019new,1.0
2020,28.0
2021,22.0
2022,71.0
2023,291.0
2023client,1.0
2023donateappointment,104.0
2023kenny,4.0
2024,1.0
20318,36.0
2034,16.0
20384,7.0
2088,3.0
2099,334.0
20a2,2.0
20c0,2.0
20l10,2.0
20px,21.0
20v17h15v15h18v12h20v15h23v17h20v20zm3,2.0
21,35.0
210,1.0
211,1.0
213,1.0
214,5.0
21c0,2.0
21h22l12,2.0
21h4v7h2v14c0,2.0
21st,1.0
21tuesday,7.0
21zm15,2.0
21zm17,2.0
22,38.0
224,4.0
2290,1.0
22nd,7.0
22px,8.0
22saturday,7.0
22wednesday,7.0
23,8.0
235,5.0
2363,9.0
238,1.0
24,290.0
242,1.0
24c0,2.0
24px,15.0
24th,44.0
25,24.0
250ms,42.0
250px,1.0
255,1.0
256px,5.0
257,1.0
25px,3.0
26,2.0
260px,1.0
2632,9.0
264,6.0
2648,14.0
26px,1.0
27,21.0
28,4.0
280ms,10.0
28px,100.0
28tuesday,7.0
29wednesday,7.0
2c0,2.0
2l1,2.0
2l11,2.0
2l12,2.0
2l2,2.0
2l3,4.0
2nd,1.0
2open,7.0
2px,1051.0
2rem,2.0
2s,9.0
2s10,2.0
2v10c0,2.0
2v12c0,4.0
2v14a2,2.0
2v14c0,10.0
2v174a2,4.0
2x,2.0
2zm0,14.0
2zm1,6.0
2zm12,4.0
2zm19,2.0
2zm9,2.0
30,35.0
300,4.0
3003,1.0
301,1.0
3040,5.0
30px,10.0
30th,2.0
31,360.0
32,16.0
320,1.0
320px,3.0
321,2.0
32px,238.0
33,7.0
33v15l12,2.0
35,2.0
350,8.0
3516,84.0
35px,1.0
36,6.0
360,205.0
365,2.0
375,1.0
382,1.0
387,1.0
39,5.0
3open,7.0
3pm,2.0
3px,237.0
3rd,2.0
3rem,2.0
3s,8.0
3s3,2.0
3v2h18v3h3zm8,4.0
3v2h9v6zm9,2.0
3v9q0,2.0
3zm2,2.0
40,19.0
400,5.0
408,8.0
408show,7.0
40px,4.0
40th,4.0
41,1.0
43,2.0
44,2.0
46,2.0
479px,3.0
48,6.0
480px,3.0
48226,2.0
486,1.0
48px,4.0
4most,1.0
4open,7.0
4pregnancies,1.0
4px,189.0
4rem,6.0
4s0,2.0
4th,1.0
4v12q0,2.0
4v3h9v1h4v2h1v13c0,2.0
4v7l2,2.0
4zm0,4.0
50,58.0
501,2.0
50px,1.0
50vw,104.0
51,1.0
517,1.0
52,1.0
5240,4.0
5332ms,24.0
53rd,1.0
54,2.0
58th,180.0
590,30.0
594,1.0
5c0,2.0
5h2v3h7v2zm3,2.0
5h3q3,2.0
5h4q4,2.0
5l16,2.0
5l5,2.0
5pm,43.0
5pmtuesday,3.0
5pmwednesday,1.0
5px,212.0
5q17,2.0
5q20,2.0
5q3,2.0
5q4,8.0
5s14,4.0
5v10h17v8h3v19q3,2.0
5v14q0,4.0
5v17q22,2.0
5v17q4,4.0
60,4.0
600,1.0
60vw,104.0
61,1.0
63,4.0
65,7.0
66,2.0
67,1.0
6h10v7h11v2zm0,4.0
6h17v5q17,2.0
6h7v13h10zm9,2.0
6px,49.0
6v12q0,2.0
6v2h18v6h3zm3,2.0
6zm0,4.0
6zm4,2.0
70,4.0
700,9.0
70vw,104.0
72,17.0
75,4.0
75ms,18.0
7625,4.0
767,4.0
767px,6.0
768,4.0
768px,3.0
77,1.0
7875,5.0
7px,3.0
7th,221.0
80,11.0
8000,7.0
80vw,104.0
819,51.0
82,1.0
83,1.0
8326,86.0
85007,4.0
85009,78.0
85012,3.0
85013,3.0
85015,60.0
85016,1.0
85020,84.0
85040,9.0
85042,2.0
85051,9.0
85067,1.0
850px,39.0
851358519285501855028553085531855328553385534855358553685539855408554185542855438554485545855468554785548855508555185552855538555485643856448590185902859118591285920859228592385924859258592685927859288592985930859328593385934859358593685937859388593985940859418594286025860288602986030860328603386034860398604286043860478605486502865038650486505865068650786508865108651186512865148651586520865388654086544865458654786556,3.0
85204,60.0
85210,51.0
85210sales,1.0
85224,30.0
85281,2.0
85282,30.0
85302,92.0
85365,9.0
85541,40.0
85623,1.0
85701,1.0
85705,1.0
85711,1.0
85712,59.0
85713,1.0
85719,16.0
85731,39.0
85731we,1.0
85901,18.0
85935,3.0
85ms,1.0
86001,1.0
86025usabusiness,1.0
86301,1.0
86301reservations,1.0
86314,4.0
87,3.0
877,1.0
88,1.0
8c0,4.0
8h5v2h2v8zm0,2.0
8px,1514.0
8wednesday,7.0
8zm12,4.0
90,4.0
90px,1.0
911,1.0
9285379032,7.0
990,35.0
99729,2.0
9999px,1352.0
9am,12.0
9c0,2.0
9h2v7h3v2zm4,2.0
9l5,2.0
9v6q0,4.0
9yattitudes,1.0
9ylove,1.0
9ythink,1.0
9zm3,2.0
__gatracker,655.0
_ctct_m,180.0
_epyt_,39.0
_f_combinedsignature,1.0
_f_cssrowkey,1.0
_gaq,14.0
_monsido,2.0
