,token,Total0,Total1,Total2
0,'at',0.0,4.0,0.0
1,'datalayer',2.0,0.0,0.0
2,'google,3.0,0.0,0.0
3,'mute',1.0,0.0,0.0
4,'of',0.0,8.0,0.0
5,'product,1.0,0.0,0.0
6,'use,2.0,0.0,0.0
7,able,2.0,0.0,0.0
8,abortion,0.0,1.0,0.0
9,about,20.0,1.0,0.0
10,abroad,1.0,0.0,0.0
11,accept,2.0,0.0,0.0
12,access,1.0,0.0,0.0
13,accreditation,2.0,0.0,0.0
14,accurate,0.0,1.0,0.0
15,acres,1.0,0.0,0.0
16,across,2.0,0.0,0.0
17,actively,1.0,0.0,0.0
18,activities,3.0,0.0,0.0
19,adcreate,1.0,0.0,0.0
20,added,1.0,0.0,0.0
21,addiction,1.0,0.0,0.0
22,adding,1.0,0.0,0.0
23,admire,1.0,0.0,0.0
24,adopt,4.0,0.0,0.0
25,adopted,5.0,0.0,0.0
26,adoptee,4.0,0.0,0.0
27,adopting,1.0,0.0,0.0
28,adoption,27.0,0.0,0.0
29,adoptions,2.0,0.0,0.0
30,adoptive,2.0,0.0,0.0
31,adore,1.0,0.0,0.0
32,adult,4.0,0.0,0.0
33,adventures,1.0,0.0,0.0
34,advocate,3.0,0.0,0.0
35,advocates,1.0,0.0,0.0
36,affirming,1.0,0.0,0.0
37,africa,1.0,0.0,0.0
38,after,6.0,0.0,0.0
39,again,2.0,0.0,0.0
40,age,2.0,0.0,0.0
41,ages,1.0,0.0,0.0
42,albania,1.0,0.0,0.0
43,alcohol,1.0,0.0,0.0
44,all,13.0,3.0,0.0
45,allow,0.0,1.0,0.0
46,allowable,0.0,1.0,0.0
47,alone,1.0,0.0,0.0
48,along,1.0,0.0,0.0
49,also,6.0,0.0,0.0
50,always,9.0,0.0,0.0
51,amaze,1.0,0.0,0.0
52,amazing,1.0,0.0,0.0
53,annual,2.0,0.0,0.0
54,another,3.0,0.0,0.0
55,answer,1.0,0.0,0.0
56,answers,1.0,0.0,0.0
57,any,2.0,0.0,0.0
58,anytime,1.0,0.0,0.0
59,appeals,1.0,0.0,0.0
60,appointment,0.0,2.0,0.0
61,appreciation,2.0,0.0,0.0
62,appreciative,1.0,0.0,0.0
63,army,1.0,0.0,0.0
64,around,7.0,0.0,0.0
65,aspen,1.0,0.0,0.0
66,association,1.0,0.0,0.0
67,attend,3.0,0.0,0.0
68,attending,2.0,0.0,0.0
69,attention,0.0,1.0,0.0
70,audreyanna,1.0,0.0,0.0
71,aunt,1.0,0.0,0.0
72,aunts,1.0,0.0,0.0
73,available,1.0,0.0,0.0
74,ave,27.0,1.0,0.0
75,avenue,0.0,1.0,0.0
76,away,1.0,0.0,0.0
77,baby,3.0,1.0,0.0
78,babysitters,1.0,0.0,0.0
79,back,2.0,0.0,0.0
80,background,1.0,0.0,0.0
81,backgrounds—and,1.0,0.0,0.0
82,backyard,1.0,0.0,0.0
83,baking,1.0,0.0,0.0
84,based,1.0,0.0,0.0
85,beach,1.0,0.0,0.0
86,beautiful,2.0,0.0,0.0
87,beauty,1.0,0.0,0.0
88,because,3.0,0.0,0.0
89,become,3.0,0.0,0.0
90,been,19.0,0.0,0.0
91,before,5.0,0.0,0.0
92,began,2.0,0.0,0.0
93,begin,3.0,0.0,0.0
94,beginning,1.0,0.0,0.0
95,behind,1.0,0.0,0.0
96,being,7.0,0.0,0.0
97,believe,1.0,0.0,0.0
98,believed,1.0,0.0,0.0
99,best,8.0,0.0,0.0
100,bethany,15.0,0.0,0.0
101,bethany's,1.0,0.0,0.0
102,better,1.0,0.0,0.0
103,beyond,1.0,0.0,0.0
104,bible,2.0,0.0,0.0
105,big,5.0,0.0,0.0
106,biking,1.0,0.0,0.0
107,biological,5.0,0.0,0.0
108,birth,13.0,0.0,0.0
109,bit,3.0,0.0,0.0
110,blend,1.0,0.0,0.0
111,blessed,4.0,0.0,0.0
112,blessing,2.0,0.0,0.0
113,blessings,1.0,0.0,0.0
114,blog,1.0,0.0,0.0
115,body,1.0,0.0,0.0
116,book,3.0,0.0,0.0
117,books,1.0,0.0,0.0
118,born,2.0,0.0,0.0
119,both,11.0,0.0,0.0
120,bottom,1.0,0.0,0.0
121,boys,3.0,0.0,0.0
122,brave,2.0,0.0,0.0
123,bravery,1.0,0.0,0.0
124,breakfast,1.0,0.0,0.0
125,bridge,1.0,0.0,0.0
126,bring,1.0,0.0,0.0
127,brings,1.0,0.0,0.0
128,brittney’s,1.0,0.0,0.0
129,brother,1.0,0.0,0.0
130,brothers,1.0,0.0,0.0
131,brought,1.0,0.0,0.0
132,bruno,1.0,0.0,0.0
133,build,1.0,0.0,0.0
134,bustling,1.0,0.0,0.0
135,but,9.0,0.0,0.0
136,button,2.0,0.0,0.0
137,calico,1.0,0.0,0.0
138,call,0.0,2.0,0.0
139,called,3.0,0.0,0.0
140,calling,2.0,0.0,0.0
141,calm,1.0,0.0,0.0
142,came,1.0,0.0,0.0
143,can,13.0,1.0,0.0
144,can't,5.0,0.0,0.0
145,cannot,3.0,0.0,0.0
146,capitol,0.0,4.0,0.0
147,care,28.0,1.0,0.0
148,careers,6.0,0.0,0.0
149,caring,1.0,0.0,0.0
150,carries,1.0,0.0,0.0
151,cat,2.0,0.0,0.0
152,ceases,1.0,0.0,0.0
153,center,2.0,4.0,0.0
154,centergroupsaboutcreate,1.0,0.0,0.0
155,centerprivacy,1.0,0.0,0.0
156,certain,1.0,0.0,0.0
157,challenge,1.0,0.0,0.0
158,change,2.0,0.0,0.0
159,chat,3.0,0.0,0.0
160,chicago,2.0,0.0,0.0
161,child,13.0,0.0,0.0
162,child's,1.0,0.0,0.0
163,children,14.0,0.0,0.0
164,children's,1.0,0.0,0.0
165,children’s,1.0,0.0,0.0
166,choice,1.0,0.0,0.0
167,choices,1.0,0.0,0.0
168,choicestermshelpcontact,1.0,0.0,0.0
169,choose,2.0,0.0,0.0
170,chose,2.0,0.0,0.0
171,chpc,0.0,1.0,0.0
172,christian,10.0,0.0,0.0
173,christians,1.0,0.0,0.0
174,christmas,1.0,0.0,0.0
175,church,9.0,0.0,0.0
176,churches,2.0,0.0,0.0
177,circles,1.0,0.0,0.0
178,city,1.0,0.0,0.0
179,classes,0.0,1.0,0.0
180,client,3.0,0.0,0.0
181,close,9.0,0.0,0.0
182,closed,2.0,0.0,0.0
183,closer,1.0,0.0,0.0
184,clothing,0.0,1.0,0.0
185,college,2.0,0.0,0.0
186,colleges,1.0,0.0,0.0
187,colombia,1.0,0.0,0.0
188,coloring,1.0,0.0,0.0
189,come,2.0,0.0,0.0
190,committed,1.0,0.0,0.0
191,community,5.0,0.0,0.0
192,complete,3.0,0.0,0.0
193,completely,1.0,0.0,0.0
194,confidential,1.0,2.0,0.0
195,connect,3.0,0.0,0.0
196,consider,2.0,0.0,0.0
197,considering,2.0,0.0,0.0
198,consultation,1.0,0.0,0.0
199,contact,4.0,1.0,0.0
200,contextmenu,1.0,0.0,0.0
201,continue,4.0,0.0,0.0
202,continued,1.0,0.0,0.0
203,cook,1.0,0.0,0.0
204,cookies,2.0,0.0,0.0
205,could,2.0,0.0,0.0
206,counseling,4.0,0.0,0.0
207,counselor,4.0,0.0,0.0
208,counselors,1.0,0.0,0.0
209,count,2.0,0.0,0.0
210,countries,4.0,0.0,0.0
211,country,1.0,0.0,0.0
212,couple,2.0,0.0,0.0
213,courage,3.0,0.0,0.0
214,crafts,1.0,0.0,0.0
215,crazy,1.0,0.0,0.0
216,created,2.0,0.0,0.0
217,crew,1.0,0.0,0.0
218,crisis,0.0,1.0,0.0
219,crocheting,1.0,0.0,0.0
220,cross,1.0,0.0,0.0
221,culture,2.0,0.0,0.0
222,dachshund,1.0,0.0,0.0
223,daily,2.0,0.0,0.0
224,dan,1.0,0.0,0.0
225,dan's,2.0,0.0,0.0
226,daniel,3.0,0.0,0.0
227,dating,2.0,0.0,0.0
228,daughter,3.0,0.0,0.0
229,daughter’s,1.0,0.0,0.0
230,day,5.0,0.0,0.0
231,daylight,1.0,0.0,0.0
232,dead,1.0,0.0,0.0
233,december,1.0,0.0,0.0
234,decide,2.0,0.0,0.0
235,decided,3.0,0.0,0.0
236,decision,6.0,0.0,0.0
237,decisions,2.0,1.0,0.0
238,dedicated,0.0,1.0,0.0
239,deep,1.0,0.0,0.0
240,deeply,1.0,0.0,0.0
241,describe,1.0,0.0,0.0
242,describes,1.0,0.0,0.0
243,deserve,0.0,1.0,0.0
