index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count17,http://www.iowalcclinic.org/,3,clinic,5,function,5,your,4,learn,3,return,3,log,3,more,3,free,3,all,2,typeof,2,health,2,into,2,follow,2,not,2,must,2,information,2,sumner,2,facebook,2,medical,2,thursday,2,new,2,services,2,var,2,partner,1,online,1,"""seaweed""",1,else,1,servicesmedical,1,like,1,testsfree,1,checklistafterwardsmyths,1,rights,1,only,1,"""open""",1,regarding,1,only\u200bcreston,1,give,1,servicesmaterial,1,rightsabortion,1,girlfriend,1,adcreate,1,"""over""",1,who,1,sign,1,street,1,"""special""",1,offer,1,iowa,1,facebookyou,1,sexual,1,factscontact,1,facebookenglish,1,about,1,inforgot,1,policyprivacy,1,sans,1,this,1,centerprivacy,1,centergroupsaboutcreate,1,informed,1,division,1,donate,1,substitute,1,walk-ins,1,office,1,"""its""",1,ultrasoundtalk,1,professional,1,view,1,help,1,right,1,men,1,should,1,caresknow,1,meta,1,"""love""",1,francois,1,"""fade""",1,confidential,1,site,1,make,1,choices,1,can,1,choicestermshelpcontact,1,education,1,purposes,1,appointment,1,model,1,educationevents,1,pregnancy,1,"""francois""",1,mobile,1,uploading,1,"""cabin""",1,uplog,1,upon,1,reserved,1,"""averia""",1,wednesday,1,fully,1,usappointmentsstudent,1,"""amatic""",1,instagram,1,confidentialthe,1,monday,1,"""fredericka""",1,\u200b\u200b\u200b\u200b\u200b\u200bstuart,1,chestnut,1,sure,1,assistanceam,1,"""kaushan""",1,"""josefin""",1,"""jacques""",1,mailing,1,inmessengerfacebook,1,someone,1,general,1,intended,1,relied,1,what,1,optionsget,1,play,0,pill,0,plenty,0,placed,0,pitted,0,plex,0,placing,0,plot,0,placeholder,0,planning,0,plans,0,placeholders,0,pii,0,plugins,0,planned,0,placement,0,placenta,0,plots,0,plugin,0,plain-text,0,pledge,0,pjf,0,plan,0,playback,0,pillwe,0,playlist,0,place,0,pills—that,0,places,0,pillwhat,0,pill”,0,pills,0,platte,0,playsand,0,pixels,0,platform,0,plastic,0,pleasant,0,pilla,0,please,0,"""a""",0,position,0,plus-sized,0,potassium,0,pre,0,prayjoin,0,praying,0,pray,0,pranger,0,practitionersthe,0,practitioners,0,practices,0,practiced,0,practice,0,practical,0,powerful,0,powered,0,power,0,pouchmedical,0,pre-built,0,pre-termination,0,precautionary,0,preformed,0,pregnantfaqsparenting,0,pregnant,0,pregnancymore,0,pregnancylearn,0,pregnancyif,0,pregnancies,0,preferred,0,precious,0,preferences,0,preference,0,prefer,0,preemie,0,predictions,0,predict,0,potential,0,post–rape,0,4
count2,https://www.informedchoicesclinic.com/ames-clinic/,21,var,337,abortion,281,case,247,you,191,else,182,solid,171,pregnancy,137,dropdown,114,contact,113,appointment,112,your,108,medical,101,our,99,adoption,93,information,93,services,91,pill,90,help,86,ask,83,choices,82,home,81,privacy,81,donate,80,parenting,79,blog,78,supporters,78,stis,78,stds,78,policy,78,pricing,78,menu,76,translate,76,have,75,clinic,72,informed,69,return,69,can,60,this,59,new,59,none,57,self,57,more,56,book,53,scroll,52,call,52,iowa,50,request,46,not,46,south,41,img,39,text,39,background-color,38,transform,38,infection,37,may,33,file,31,about,28,would,27,central,27,after,25,function,25,it’s,24,online,24,like,23,link,23,all,23,get,22,read,22,baby,22,facebook,21,weeks,21,women,21,how,21,simply,20,jimmy,20,down,20,avenue,20,screen,20,hide,19,servicesask,19,easy,19,responsivemenupro,19,inline,19,"""text""",19,desktop,19,homeour,19,unintended,19,"""ltr""",19,rnbloglocations,19,elementorfrontendconfig,19,show,19,color,19,mjwidget,19,border-color,19,what,19,event,19,sex,19,auto-generated,19,need,18,test,17,child,17,but,17,make,17,questions,16,admin,16,std,16,please,15,health,15,symptoms,14,during,14,type,14,into,14,clinics,14,must,13,annual,13,sexually,13,other,13,here,13,any,13,public,13,testing,12,right,12,department,12,pregnant,12,care,12,know,12,out,12,most,11,men,11,when,11,side,11,might,11,ultrasound,11,which,10,choose,10,appear,10,while,10,time,10,who,10,complete,10,been,10,think,10,child’s,10,take,9,whether,9,first,9,agency,9,blood,9,effects,9,true,9,cause,9,suction,9,week,9,insurance,9,three,9,want,9,before,9,many,9,try,9,through,9,there,8,reproductive,8,partners,8,caused,8,apply,8,active,8,considering,8,uterus,8,vaginal,8,people,8,patients,8,uterine,8,provide,8,used,8,occur,8,number,8,come,8,genital,8,now,8,determine,8,hours,8,regardless,8,tough,8,oral,8,bleeding,8,within,8,form,8,damage,8,name,8,birth,8,such,7,use,7,consultation,7,social,7,adoptive,7,one,7,typeof,7,mother,7,disease,7,risks,7,1
count24,https://clarityclinic.com/,22,var,230,services,220,options,203,number,181,must,170,pregnancy,127,contact,119,support,115,first,115,you,115,medical,112,steps,111,sexual,105,school,103,healthy,102,men,101,health,101,outreach,100,relationship,99,consulting,98,home,98,donate,98,display,97,auto,72,clarity,68,schedule,57,appointment,56,your,49,elementor,48,"""of""",48,clinic,44,not,38,this,38,none,37,than,36,mmm,36,value,36,valid,36,our,33,all,31,solid,30,have,29,more,28,new,27,experience,25,too,25,cffoptions,24,segoe,24,equal,24,"""at""",24,help,24,phone,24,fixed,24,provide,23,areas,22,skills,22,need,20,can,19,facebook,19,abortion,18,personal,18,hours,17,monday,17,please,17,email,17,content,16,about,16,svg,16,fill,16,code,15,free,15,would,15,get,14,file,14,follow,13,should,13,hillcrest,13,only,13,jupiterxoptions,12,rights,12,ravenformstranslations,12,raventools,12,business,12,"""text""",12,line,12,hour,12,cffajaxurl,12,cfflinkhashtags,12,shared,12,jettabssettings,12,toll,12,jetelements,12,cffsiteurl,12,information,12,reserved,12,invalid,12,jetpopupdata,12,greater,12,characters,12,may,12,premium,12,comments,12,country,12,"""ltr""",12,skip,12,inline,12,address,12,reaction,12,ssr,12,numbers,12,box,12,mmmm,12,iconsused,12,consist,12,elementorfrontendconfig,12,icons,12,less,12,payload,12,specify,12,auto-generated,12,thursday,12,area,11,out,11,adoption,11,there,11,how,11,willing,10,circle,10,ask,10,specific,10,program,10,education,10,relevant,10,time,10,match,10,limited,9,life,9,boundaries,9,through,8,include,8,who,8,when,8,available,8,interested,8,one,8,days,7,resource,7,marketing,7,times,7,google,7,parenting,7,know,7,following,7,also,7,volunteer,7,receiving,6,offer,6,office,6,usematchviewport,6,processing,6,keys,6,development,6,service,6,resources,6,missing,6,tests,6,like,6,root,6,let,6,their,6,here,6,questions,6,locating,6,emotional,6,which,5,ultrasounds,5,baby,5,tree,5,check,5,obstetrical,5,staff,5,what,5,period,5,people,5,call,5,vision,5,other,5,one-on-one,5,group,5,someone,5,able,5,form,5,does,5,"""youve""",5,estimate,4,during,4,dubuque,4,advancement,4,post,4,coaching,4,5
count27,https://www.informedchoicesclinic.com/fort-dodge-clinic/,21,var,337,abortion,281,case,247,you,191,else,182,solid,171,pregnancy,137,dropdown,114,contact,113,appointment,112,your,108,medical,101,our,99,information,93,adoption,93,services,91,pill,90,help,86,ask,83,choices,82,privacy,81,home,81,donate,80,parenting,79,supporters,78,stis,78,stds,78,policy,78,blog,78,pricing,78,translate,76,menu,76,have,75,clinic,72,informed,69,return,69,can,60,this,59,new,59,self,57,none,57,more,56,book,53,call,52,scroll,52,iowa,50,request,46,not,46,south,41,text,39,img,39,background-color,38,transform,38,infection,37,may,33,file,31,about,28,central,27,would,27,after,25,function,25,online,24,it’s,24,link,23,all,23,like,23,get,22,read,22,baby,22,facebook,21,how,21,weeks,21,women,21,avenue,20,simply,20,jimmy,20,screen,20,down,20,event,19,auto-generated,19,rnbloglocations,19,border-color,19,sex,19,color,19,what,19,desktop,19,mjwidget,19,easy,19,hide,19,inline,19,responsivemenupro,19,servicesask,19,"""ltr""",19,elementorfrontendconfig,19,homeour,19,show,19,"""text""",19,unintended,19,need,18,make,17,but,17,child,17,test,17,admin,16,std,16,questions,16,health,15,please,15,symptoms,14,type,14,clinics,14,into,14,during,14,must,13,sexually,13,public,13,annual,13,here,13,other,13,any,13,right,12,department,12,testing,12,care,12,out,12,know,12,pregnant,12,when,11,might,11,ultrasound,11,most,11,men,11,side,11,child’s,10,complete,10,choose,10,been,10,appear,10,think,10,time,10,who,10,which,10,while,10,many,9,take,9,through,9,true,9,effects,9,insurance,9,suction,9,try,9,blood,9,want,9,whether,9,first,9,before,9,agency,9,week,9,three,9,cause,9,used,8,partners,8,birth,8,occur,8,now,8,active,8,bleeding,8,provide,8,number,8,uterine,8,caused,8,vaginal,8,uterus,8,apply,8,tough,8,there,8,determine,8,damage,8,patients,8,reproductive,8,hours,8,name,8,form,8,genital,8,considering,8,oral,8,regardless,8,within,8,come,8,people,8,one,7,consultation,7,life,7,ability,7,law,7,social,7,adoptive,7,such,7,typeof,7,risks,7,6
count30,https://www.informedchoicesclinic.com/iowa-city-clinic/,21,var,337,abortion,281,case,247,you,191,else,182,solid,171,pregnancy,137,dropdown,114,contact,113,appointment,112,your,108,medical,101,our,99,information,93,adoption,93,services,91,pill,90,help,86,ask,83,choices,82,privacy,81,home,81,donate,80,parenting,79,pricing,78,stds,78,stis,78,policy,78,blog,78,supporters,78,translate,76,menu,76,have,75,clinic,72,return,69,informed,69,can,60,this,59,new,59,none,57,self,57,more,56,book,53,iowa,52,scroll,52,call,52,not,46,request,46,south,41,img,39,text,39,transform,38,background-color,38,infection,37,may,33,file,31,about,28,would,27,central,27,after,25,function,25,online,24,it’s,24,link,23,all,23,like,23,baby,22,read,22,get,22,weeks,21,how,21,women,21,facebook,21,screen,20,simply,20,down,20,jimmy,20,avenue,20,easy,19,servicesask,19,hide,19,unintended,19,"""text""",19,desktop,19,elementorfrontendconfig,19,sex,19,event,19,border-color,19,inline,19,what,19,auto-generated,19,responsivemenupro,19,homeour,19,color,19,mjwidget,19,rnbloglocations,19,show,19,"""ltr""",19,need,18,test,17,make,17,but,17,child,17,questions,16,std,16,admin,16,please,15,health,15,during,14,type,14,symptoms,14,into,14,clinics,14,sexually,13,other,13,any,13,public,13,annual,13,must,13,here,13,department,12,right,12,out,12,pregnant,12,care,12,testing,12,know,12,side,11,when,11,men,11,ultrasound,11,most,11,might,11,complete,10,think,10,time,10,who,10,which,10,been,10,appear,10,choose,10,child’s,10,while,10,three,9,suction,9,insurance,9,take,9,effects,9,want,9,try,9,blood,9,true,9,agency,9,week,9,first,9,through,9,cause,9,whether,9,many,9,before,9,occur,8,bleeding,8,form,8,regardless,8,used,8,active,8,damage,8,birth,8,provide,8,within,8,reproductive,8,hours,8,come,8,tough,8,genital,8,considering,8,oral,8,vaginal,8,caused,8,partners,8,number,8,there,8,name,8,patients,8,uterus,8,determine,8,now,8,apply,8,people,8,uterine,8,than,7,life,7,two,7,their,7,adoptive,7,consultation,7,things,7,cervix,7,every,7,use,7,7
count31,https://thelighthousecenter.com/,6,solid,82,all,60,screen,45,pregnancy,42,opacity,40,auto,37,only,35,free,30,color,30,-webkit-transform,30,var,26,blockquote,25,appointment,23,iowa,22,make,22,abortion,21,transform,20,you,19,lighthouse,16,license,15,theme,15,divi,15,tests,15,ease,15,center,15,hope,14,our,14,services,13,after,10,following,10,entered,10,test,10,falls,10,background-color,10,city,10,information,7,parenting,7,volunteer,7,number,7,this,6,aveiowa,6,let,6,men,6,washington,6,helping,6,adoption,6,closedsunday,5,closedfor,5,clinics,5,powerful,5,below,5,mit,5,html,5,author,5,elegant,5,locations,5,faqs,5,areas,5,negative,5,wrong,5,dodge,5,positive,5,appointmentwednesday,5,appointmenttuesday,5,morning,5,home,5,nav,5,appointmentthursday,5,appointmentsaturday,5,risks,5,most,5,new,5,monday,5,hours,5,pill,5,themes,5,thead,5,check,5,today,5,follow,5,gnu,5,public,5,waterloo,5,waverly,5,fort,5,select,5,mason,5,email,5,cedar,5,sure,5,general,5,webster,5,page,5,friend,5,symptoms,5,licensed,5,copyright,5,correct,5,hampton,5,fill,5,surrounding,5,under,5,fix,5,fields,5,daniel,5,eden,5,office,5,stis,5,served,5,aimes,5,can,4,here,4,call,3,through,3,log,3,please,3,phone,3,into,2,may,2,unplanned,2,questions,2,walk,2,answer,2,give,2,we’re,2,must,2,path,2,return,2,your,2,permission,2,there,2,them,2,yes,2,referrals,2,their,2,challenging,2,help,2,support,2,leave,2,submit,1,founded,1,nutritional,1,funded,1,phonics,1,find,1,choicestermshelpcontact,1,meet,1,grief,1,offers,1,inmessengerfacebook,1,great,1,interested,1,encouragement,1,organized,1,volunteering,1,medical,1,grand,1,ages,1,else,1,along,1,centergroupsaboutcreate,1,provide,1,centerprivacy,1,good,1,tax,1,telephone,1,classes,1,cooking,1,mentoring,1,need,1,points,1,family,1,policyprivacy,1,come,1,comments,1,uplog,1,uploading,1,facts,1,also,1,facebookyou,1,facebookenglish,1,facebook,1,pregnancies,1,confidential,1,post–rape,1,name,1,sign,1,every,1,contact,1,include,1,how,1,clients,1,inforgot,1,health,1,programs,1,meta,1,via,1,infant,1,sexual,1,variety,1,8
count34,http://www.cpcmasoncity.org/,23,normal,777,ease,448,pregnancy,419,solid,302,you,235,not,218,all,208,your,186,events,173,extends,171,abortion,168,new,167,var,162,get,158,mason,154,"""work""",152,site,134,center,133,free,108,any,107,this,106,services,105,"""undefined""",101,health,100,class,97,void,95,typeof,95,found,95,about,90,rules,82,directive,82,stylable,82,street,80,sans,77,table,76,caring,71,background-color,70,may,69,svg,67,learn,67,provide,63,function,60,more,59,rights,58,forms,58,profit,57,options,57,set,57,software,57,copyright,57,comments,57,our,53,care,48,have,45,refer,43,can,43,sexual,42,start,41,end,41,inherit,41,visibility,41,tbody,40,return,40,suite,40,details,40,explore,40,emergency,39,complete,39,book,39,damages,38,polymer,38,information,38,author,38,warranties,38,offers,38,now,38,nowoffset,38,max-content,38,chunk,38,seo,38,min-content,38,instanceof,38,discretely,38,supporters,38,code,38,garden,38,project,38,navigation,38,medical,37,make,36,through,35,need,30,education,29,support,29,they,28,pill,27,contact,25,right,25,only,25,other,25,input,25,informed,25,out,24,also,23,providing,23,whether,23,women,23,none,22,decisions,22,google,22,legal,22,including,22,committed,22,kaku,22,men,22,already,22,gothic,22,state,21,provided,21,use,21,abortions,21,every,21,evidence-based,21,navigate,21,additional,20,which,20,subject,20,action,20,order,20,closed,20,non-profit,20,used,20,data,20,purpose,20,should,20,tuesday,20,blog,20,under,20,distributed,20,promise,20,browsers,20,send,20,authors,19,part,19,usafter,19,tab,19,window,19,walk-ins,19,exclusionreason,19,linear,19,choices,19,noop,19,arrwithtrailingcomma,19,"""symptomsshes""",19,symbol,19,negligence,19,value,19,arising,19,videomaker,19,app-social,19,everything,19,async,19,page,19,await,19,objwithtrailingcomma,19,till,19,bsd,19,open,19,linksabortion,19,fee,19,top,19,tortious,19,implied,19,moreabout,19,web,19,believe,19,terminations,19,whatsoever,19,captureevent,19,captureexception,19,capturemessage,19,carepregnancy,19,license,19,liable,19,month,19,regard,19,optionsthe,19,bodycacheable,19,addbreadcrumb,19,const,19,"""partially""",19,permission,19,connection,19,consequential,19,pregnantfaqsparenting,19,resource,19,constructor,19,loss,19,resulting,19,working,19,9
count36,https://www.pcciowa.org/,9,solid,516,normal,189,ease,116,form,112,your,76,extends,72,new,68,var,64,get,56,you,55,all,52,class,48,can,43,per,42,"""undefined""",42,found,41,typeof,40,use,40,void,40,submissions,40,center,40,forms,40,free,37,not,36,this,34,fields,32,central,32,table,32,pregnancy,27,any,25,may,25,software,24,repeat,24,google,24,send,24,package,24,set,24,support,23,other,18,avenue,18,return,18,now,17,more,17,make,17,after,17,edit,17,function,17,custom,16,project,16,code,16,instanceof,16,complete,16,users,16,pdf,16,min-content,16,most,16,polymer,16,field,16,chunk,16,add,16,copyright,16,sent,16,seo,16,month,16,warranties,16,max-content,16,damages,16,upload,16,data,16,reports,16,html,16,"""courier""",16,navigation,16,required,16,author,16,even,16,nowoffset,16,rights,16,our,14,through,14,gothic,11,also,11,kaku,11,before,11,pro,11,ave,10,only,10,purpose,10,used,10,much,10,tuesday,9,wednesday,9,quickly,9,iowa,9,email,9,monday,9,assistance,9,children,9,out,9,which,9,they,9,live,9,under,9,thursday,9,who,9,content,8,subject,8,request,8,when,8,polyfills,8,contentrect,8,whatsoever,8,drive,8,async,8,whether,8,address,8,videomaker,8,action,8,iowatruly,8,suitable,8,informative,8,first,8,firstpageid,8,grant,8,password,8,such,8,contributors,8,submit,8,logo,8,smart,8,addbreadcrumb,8,format,8,redirect,8,social,8,additional,8,submission,8,connection,8,formatted,8,microsoft,8,web,8,pie,8,allow,8,ssrinfo,8,menu,8,storing,8,star,8,merchantability,8,message,8,bar,8,performance,8,messages,8,phone,8,gift,8,reliable,8,generate,8,ste,8,relevant,8,allowing,8,visually,8,constructor,8,confirmation,8,const,8,form’s,8,consequential,8,style,8,maximum,8,advanced,8,platform,8,await,8,configurescope,8,spreadsheet,8,including,8,pcci,8,visitors,8,fruit,8,regard,8,negligence,8,functionality,8,already,8,resolved,8,part,8,chat,8,security,8,attachments,8,provided,8,disclaims,8,arising,8,liable,8,highlights,8,using,8,delete,8,promise,8,license,8,capturemessage,8,hereby,8,bodycacheable,8,later,8,usual,8,objwithtrailingcomma,8,approval,8,10
count37,https://www.bethany.org/orange-city // ,5,ave,30,eastern,29,care,29,foster,24,support,19,global,18,grand,17,adoption,17,services,16,families,15,family,14,immigrant,12,refugee,12,get,10,donate,10,var,10,locations,10,bethany,10,new,10,function,9,christian,9,our,8,about,8,help,8,display,8,home,7,your,7,parents,6,more,6,careers,6,events,6,resources,6,work,6,child,5,contact,5,this,5,pregnancy,5,learn,5,empower,5,else,5,safe,5,privacy,4,expectant,4,strengthening,4,long-term,4,children,4,study,4,room,4,volunteer,4,adult,4,find,4,states,4,world,4,refugees,4,united,4,advocate,4,short-term,4,adoptee,4,family-based,4,press,4,orange,4,legacy,4,counseling,4,involved,4,leave,4,make,3,local,3,through,3,when,3,log,3,can,3,parent,3,you,3,team,3,kids,3,must,3,ensure,3,city,3,infant,3,"""google""",3,complete,3,they,3,around,3,uses,2,independent,2,values,2,adopt,2,grievance,2,individual,2,immigrants,2,annual,2,individuals,2,normal,2,website,2,attend,2,birth,2,adoptions,2,near,2,homebuilders,2,have,2,instagram,2,headquarters,2,into,2,best,2,now,2,gregory,2,submit,2,their,2,google,2,sitebaseurl,2,connect,2,preservation,2,experience,2,prev,2,everyone,2,every,2,event,2,cookies,2,counselor,2,serve,2,engage,2,empowerment,2,segoe,2,emergency,2,recovery,2,rights,2,deserves,2,return,2,relationship,2,resource,2,resettlement,2,renew,2,post-release,2,post-adoption,2,post,2,studies,2,give,2,button,2,fundraising,2,parenting,2,fundraiser,2,center,2,payload,2,accept,2,change,2,form,2,chat,2,policy,2,strengthen,2,stories,2,phone,2,church,2,churches,2,photos,2,client,2,start,2,standards,2,ssr,2,accreditation,2,report,2,leadership,2,"""datalayer""",2,"""use""",2,solid,1,meetings,1,year—of,1,faith,1,meet,1,inspired,1,steps,1,albany,1,enough,1,ste,1,receiving,1,all,1,community,1,inmessengerfacebook,1,allows,1,but,1,ages,1,mousedown,1,root,1,length,1,property,1,storage,1,own,1,facebookyou,1,choicestermshelpcontact,1,rightclick,1,take,1,facebookenglish,1,facebook,1,don’t,1,details,1,decides,1,temporary,1,essential,1,policyprivacy,1,usematchviewport,1,thousands,1,11
count38,https://oskyhope.wordpress.com/,18,var,647,your,205,function,171,this,159,not,159,our,146,you,145,else,139,new,121,domain,105,ccpa,91,link,88,sell,86,set,80,cookie,79,hope,78,return,68,typeof,68,mobilestatsquerystring,66,applies,63,cookies,61,wordpress,61,site,61,auto,60,website,54,default,54,have,51,use,50,community,49,consent,46,content,46,email,45,true,44,false,44,out,44,free,44,region,43,log,43,just,42,comment,42,check,41,data,41,sel,40,get,40,may,39,"""function""",38,name,38,geo,36,blog,36,callback,36,usprivacy,36,opt-out,36,information,35,value,34,sites,34,privacy,34,please,33,all,33,none,33,make,32,address,31,ccpacookie,31,nan,31,how,31,these,30,does,30,provide,29,ads,29,one,28,usprivacycookie,27,failed,27,more,27,personal,27,showing,27,used,27,first,26,about,26,using,26,some,26,can,26,event,25,users,25,sign,25,see,25,report,24,their,24,tag,24,share,23,need,23,services,23,any,22,text,22,script,22,policy,22,user,21,process,21,"""loading""",21,christian,20,"""ibm""",20,build,20,"""dm""",20,"""source""",20,partners,20,setupprivacy,20,found,20,search,20,"""libre""",20,families,20,features,20,plex,20,everything,19,now,19,websites,19,request,19,following,19,commenting,19,subscriptions,19,visitor,19,like,19,advertising,19,then,18,validate,18,"""usprivacy""",18,better,18,init,18,create,18,enter,18,show,18,inline,17,account,17,hosting,17,table,17,when,17,such,17,analytics,16,windowopen,16,but,16,started,16,which,16,linkelements,16,scripts,16,blockquote,16,tbody,16,dnslink,16,understand,16,circle,16,customize,16,sas,16,posts,16,strengthening,16,pre,16,other,16,page,16,follow,16,"""undefined""",16,support,16,google,16,change,16,thrift,15,manage,15,open,15,only,15,they,15,browser,15,find,15,via,14,including,14,web,14,visitors,14,internal,14,details,14,source,14,themes,14,also,14,call,14,label,14,control,14,gardens,13,through,13,menu,13,allow,13,market,13,design,13,resources,13,processing,13,start,13,stored,13,business,13,"""object""",13,enable,13,click,13,year,13,home,12,back,12,fire,12,handler,12,gravatar,12,input,12,help,12,plugins,12,12
