index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,http://wecarepregnancyclinic.org,22,"""open""",540,pregnancy,511,solid,300,all,286,care,241,you,233,your,163,clinic,161,auto,146,opacity,144,blockquote,138,information,117,var,114,color,108,-webkit-transform,108,screen,100,our,91,not,88,this,86,options,81,support,77,contact,76,about,74,transform,72,only,70,user,66,new,65,free,62,services,62,more,60,can,60,abortion,58,license,54,may,54,theme,54,divi,54,confidential,51,any,51,blog,50,function,47,use,47,ease,46,following,46,adoption,44,appointment,44,make,42,emergency,41,what,41,guys,40,email,39,copyright,39,background-color,36,fix,36,entered,36,contraception,36,should,34,have,34,offer,33,parenting,32,these,32,medical,30,like,29,does,29,other,29,illinois,29,website,28,request,27,most,27,find,27,help,27,display,26,provided,25,such,25,under,25,online,24,learn,24,rights,24,provides,24,terms,23,substitute,23,donate,23,testing,23,professional,23,time,23,general,23,birth,23,sure,22,hours,22,ultrasounds,22,street,22,after,22,check,22,let,21,center,21,address,21,women,21,closed,21,service,21,relied,21,educational,21,how,21,one,21,pregnant,20,monday,20,sunday,20,personal,20,fields,20,number,20,home,20,refer,20,provide,20,instagram,20,take,19,below,19,fill,19,page,19,content,19,select,19,public,19,disclaimer,19,plugin,19,gnu,18,hidden,18,wrong,18,encoder,18,saturday,18,icons,18,facebook,18,friday,18,nav,18,icon,18,mit,18,html,18,tuesday,18,here,18,inline-block,18,consider,18,member,18,elegant,18,licensed,18,themes,18,span,18,author,18,wednesday,18,thursday,18,test,18,thead,18,linkspregnancy,18,eden,18,daniel,18,linux,18,terminations,18,team,18,correct,18,powerful,18,ultrasound,17,cost,17,used,17,know,16,call,16,schedule,16,when,16,early,15,next,15,right,15,during,15,best,15,life,15,need,15,privacy,14,some,14,within,14,please,13,read,13,give,13,through,13,which,13,using,13,also,12,resources,12,unplanned,12,who,12,there,12,text,11,feel,11,step,11,least,11,her,11,policy,11,first,11,before,11,baby,11,considering,11,cookies,11,pill,11,making,10,linksam,10,men,10,become,10,search,10,1
count13,https://www.aidforwomen.org/,25,your,347,solid,327,all,278,you,259,var,223,pregnancy,213,abortion,208,aid,208,women,198,opacity,160,screen,150,auto,149,medical,142,support,131,services,126,pill,124,color,121,-webkit-transform,120,maternity,117,schedule,117,only,110,our,109,blockquote,100,transform,80,reversal,76,care,76,help,72,may,70,centers,66,new,66,can,66,about,65,have,63,homes,62,instagram,62,facebook,60,license,60,user,60,theme,60,divi,60,free,59,call,59,how,54,center,54,locations,52,baby,51,when,48,community,48,make,48,programs,48,text,47,following,44,chicago,44,confidential,43,parenting,43,discuss,42,like,42,wheeling,42,michigan,41,education,41,"""script""",40,entered,40,donate,40,ease,40,background-color,40,provide,39,this,38,check,38,waukegan,37,flossmoor,37,cicero,37,adoption,37,during,36,tests,36,vollmer,36,exams,36,referrals,36,opens,35,available,35,staff,34,surgical,33,options,33,health,33,appointment,30,lewis,30,what,29,not,28,resources,28,emergency,28,ultrasounds,28,consultations,28,contraception,27,sure,27,page,26,far,26,function,26,ave,26,information,26,first,24,many,24,understand,24,their,24,throughout,24,pregnant,23,ongoing,23,through,23,place,23,most,23,advocates,23,after,22,let,22,offered,22,file,22,number,21,licensed,21,select,21,they,21,need,21,fields,20,wrong,20,thead,20,public,20,linux,20,fill,20,policy,20,mit,20,difficult,20,general,20,html,20,themes,20,daniel,20,copyright,20,author,20,privacy,20,below,20,elegant,20,screening,20,know,20,pre-abortion,20,gnu,20,situation,20,fix,20,eden,20,there,20,powerful,20,under,20,correct,20,nav,20,emotional,19,questions,19,out,19,time,19,comfortable,19,unexpected,19,accurate,19,continue,19,living,19,decision,18,feel,18,immediate,18,move,18,life,18,possible,18,advocate,17,relationship,17,forward,17,location,17,network,16,her,16,where,16,home,16,important,15,circumstances,15,individual,15,any,15,employment,15,process,15,meet,15,given,15,come,15,experience,15,established,14,receive,14,lack,14,pregnancies,14,womenÃ¢ÂÂs,14,side,14,insurance,14,really,14,here,14,including,13,effects,13,current,13,very,13,who,12,austin,12,two,12,assistance,12,assess,12,physical,12,5
count14,http://www.caris.org,21,var,376,function,229,you,163,our,123,return,106,pregnancy,101,caris,90,services,80,index,78,health,75,typeof,66,new,66,hitobject,65,your,61,about,61,wabash,58,mental,54,else,54,have,53,what,48,women,45,counseling,45,support,45,donate,44,out,44,contact,43,unplanned,42,here,42,appointment,36,opens,36,who,34,closed,34,facing,34,get,33,avenue,33,suite,32,garland,32,help,31,road,31,more,31,south,30,entrance,30,algonquin,30,episode,30,can,30,suburbs,30,resources,30,building,30,her,30,this,29,also,29,nonprofit,29,faith-based,29,jquery,28,schedule,28,free,28,ogden,28,involved,28,learn,27,facebook,27,workshops,27,twiter,26,not,26,opt-out,26,datalayer,26,parenting,24,during,23,care,22,test,22,woman,22,decision,22,ave,22,chicago,21,form,20,all,20,any,19,make,19,past,18,click,18,challenges,18,serve,18,offer,18,children,17,suburbsget,17,chicagoget,17,northwestern,17,after,17,closeddowntown,17,find,17,like,17,into,16,open,16,ste,16,current,16,regardless,16,through,16,pregnant,16,opportunities,16,now,16,want,15,insight,15,video,15,often,15,instagram,15,home,15,dental,15,she,15,need,15,allowfullscreen,15,needs,14,background,14,those,14,makes,14,window,14,"""objectfit""",14,professional,14,serving,14,"""fetch""",14,"""expired-callback""",14,"""callback""",14,"""badge""",14,offering,14,age,14,holderid,14,renderinvisiblerecaptcha,14,holder,14,faith,14,non-judgmental,14,wrestling,14,would,14,estate,14,join,14,len,13,newtracker,13,cookie,13,one,13,compatibility,13,noopfn,13,skip,13,locationsnorthwestern,13,program,13,time,13,dec,13,args,13,users,13,site,13,youÃ¢ÂÂre,13,opted,13,content,13,hit,13,detect,13,hitconverted,13,message,13,main,13,gamap,13,disable,13,tracker,13,parameters,13,catch,13,disablestrs,13,"""object""",13,tracking,13,gthe,13,nan,13,media,13,action,13,try,13,"""timing""",13,management,12,gives,12,injury,12,counselors,12,might,11,how,11,provide,11,thrive,11,testing,11,connection,10,counselor,10,offered,10,feel,10,core,10,seasonal,10,see,10,christian,10,families,10,figure,10,very,10,relationship,10,law,10,know,9,most,9,next,9,life,9,finding,9,much,9,first,9,their,9,may,9,abortion,9,6
count18,https://www.aidforwomen.org/,25,your,347,solid,327,all,278,you,259,var,223,pregnancy,213,abortion,208,aid,208,women,198,opacity,160,auto,149,screen,148,medical,142,support,131,services,126,pill,124,color,121,-webkit-transform,120,maternity,117,schedule,117,our,109,only,108,blockquote,100,transform,80,reversal,76,care,76,help,72,may,70,centers,66,new,66,can,66,about,65,have,63,homes,62,instagram,62,facebook,60,license,60,user,60,theme,60,divi,60,free,59,call,59,how,54,center,54,locations,52,baby,51,when,48,community,48,make,48,programs,48,text,47,following,44,chicago,44,confidential,43,parenting,43,discuss,42,like,42,wheeling,42,michigan,41,education,41,"""script""",40,entered,40,donate,40,ease,40,background-color,40,provide,39,this,38,check,38,waukegan,37,flossmoor,37,cicero,37,adoption,37,during,36,tests,36,vollmer,36,exams,36,referrals,36,opens,35,available,35,staff,34,surgical,33,options,33,health,33,appointment,30,lewis,30,what,29,not,28,resources,28,emergency,28,ultrasounds,28,consultations,28,contraception,27,sure,27,page,26,far,26,function,26,ave,26,information,26,first,24,many,24,understand,24,their,24,throughout,24,pregnant,23,ongoing,23,through,23,place,23,most,23,advocates,23,after,22,let,22,offered,22,file,22,number,21,licensed,21,select,21,they,21,need,21,fields,20,wrong,20,thead,20,public,20,linux,20,fill,20,policy,20,mit,20,difficult,20,general,20,html,20,themes,20,daniel,20,copyright,20,author,20,privacy,20,below,20,elegant,20,screening,20,know,20,pre-abortion,20,gnu,20,situation,20,fix,20,eden,20,there,20,powerful,20,under,20,correct,20,nav,20,emotional,19,questions,19,out,19,time,19,comfortable,19,unexpected,19,accurate,19,continue,19,living,19,decision,18,feel,18,immediate,18,move,18,life,18,possible,18,advocate,17,relationship,17,forward,17,location,17,network,16,her,16,where,16,home,16,important,15,circumstances,15,individual,15,any,15,employment,15,process,15,meet,15,given,15,come,15,experience,15,established,14,receive,14,lack,14,pregnancies,14,womenÃ¢ÂÂs,14,side,14,insurance,14,really,14,here,14,including,13,effects,13,current,13,very,13,who,12,austin,12,two,12,assistance,12,assess,12,physical,12,7
count2,https://echopecenter.webs.com/,11,toys,74,hope,57,tots,56,var,55,center,43,your,36,kids,35,you,33,sans,30,marine,29,support,29,local,28,home,23,our,23,website,22,safe,22,foundation,21,children,21,try,20,gajshost,20,custom,20,this,19,all,19,free,19,not,18,help,18,webs,18,services,17,can,17,function,16,out,16,providing,16,create,16,about,16,get,15,family,15,donations,15,they,15,have,15,email,15,county,14,corps,14,program,13,calendar,13,beacon,12,toy,12,more,12,every,12,classes,12,one,12,when,12,additional,11,solid,11,child,11,feed,11,photo,11,other,11,gallery,11,how,11,fire,11,edit,10,assistance,10,css,10,master,10,import,10,generated,10,community,10,freewebs,10,medicine,10,tags,10,make,10,code,10,pagetracker,10,complex,10,template,10,ids,10,file,10,into,9,udndom,9,coordinators,9,reserve,9,steve,8,general,8,smoke,8,business,8,know,8,these,8,public,8,communities,7,like,7,would,7,them,7,which,7,united,7,please,7,use,7,new,7,call,7,want,6,distribution,6,just,6,room,6,located,6,over,6,campaigns,6,around,6,social,6,states,6,sign,6,annual,6,department,6,collection,5,marketing,5,websites,5,give,5,information,5,each,5,working,5,number,5,events,5,any,5,teach,5,those,5,west,5,organization,5,forces,5,play,5,national,5,important,5,school,5,escape,5,leave,5,safety,5,their,5,includes,5,learn,4,why,4,better,4,big,4,tips,4,two,4,internet,4,fundraising,4,fortunate,4,questions,4,grade,4,less,4,plan,4,month,4,conduct,4,conducting,4,place,4,albion,4,alarms,4,comes,4,case,4,where,4,people,4,away,4,edwards,4,ways,4,november,4,provide,4,small,4,injuries,4,illinois,4,league,4,need,4,families,4,same,4,keep,4,else,4,who,4,nearly,4,medication,4,practice,4,poison,4,mobile,4,corporations,4,such,4,smith,3,dollar,3,candles,3,cannot,3,matches,3,global,3,curious,3,materials,3,common,3,donÃ¢ÂÂt,3,programs,3,site,3,store,3,name,3,education,3,especially,3,reduce,3,what,3,worldwide,3,overall,3,2
count23,https://www.aidforwomen.org/,25,your,347,solid,327,all,278,you,259,var,223,pregnancy,213,abortion,208,aid,208,women,198,opacity,160,auto,149,screen,148,medical,142,support,131,services,126,pill,124,color,121,-webkit-transform,120,maternity,117,schedule,117,our,109,only,108,blockquote,100,transform,80,reversal,76,care,76,help,72,may,70,centers,66,new,66,can,66,about,65,have,63,homes,62,instagram,62,facebook,60,license,60,user,60,theme,60,divi,60,free,59,call,59,how,54,center,54,locations,52,baby,51,when,48,community,48,make,48,programs,48,text,47,following,44,chicago,44,confidential,43,parenting,43,discuss,42,like,42,wheeling,42,michigan,41,education,41,"""script""",40,entered,40,donate,40,ease,40,background-color,40,provide,39,this,38,check,38,waukegan,37,flossmoor,37,cicero,37,adoption,37,during,36,tests,36,vollmer,36,exams,36,referrals,36,opens,35,available,35,staff,34,surgical,33,options,33,health,33,appointment,30,lewis,30,what,29,not,28,resources,28,emergency,28,ultrasounds,28,consultations,28,contraception,27,sure,27,page,26,far,26,function,26,ave,26,information,26,first,24,many,24,understand,24,their,24,throughout,24,pregnant,23,ongoing,23,through,23,place,23,most,23,advocates,23,after,22,let,22,offered,22,file,22,number,21,licensed,21,select,21,they,21,need,21,fields,20,wrong,20,thead,20,public,20,linux,20,fill,20,policy,20,mit,20,difficult,20,general,20,html,20,themes,20,daniel,20,copyright,20,author,20,privacy,20,below,20,elegant,20,screening,20,know,20,pre-abortion,20,gnu,20,situation,20,fix,20,eden,20,there,20,powerful,20,under,20,correct,20,nav,20,emotional,19,questions,19,out,19,time,19,comfortable,19,unexpected,19,accurate,19,continue,19,living,19,decision,18,feel,18,immediate,18,move,18,life,18,possible,18,advocate,17,relationship,17,forward,17,location,17,network,16,her,16,where,16,home,16,important,15,circumstances,15,individual,15,any,15,employment,15,process,15,meet,15,given,15,come,15,experience,15,established,14,receive,14,lack,14,pregnancies,14,womenÃ¢ÂÂs,14,side,14,insurance,14,really,14,here,14,including,13,effects,13,current,13,very,13,who,12,austin,12,two,12,assistance,12,assess,12,physical,12,8
count27,https://www.aidforwomen.org/,25,your,347,solid,327,all,278,you,259,var,223,pregnancy,213,abortion,208,aid,208,women,198,opacity,160,auto,149,screen,148,medical,142,support,131,services,126,pill,124,color,121,-webkit-transform,120,maternity,117,schedule,117,our,109,only,108,blockquote,100,transform,80,reversal,76,care,76,help,72,may,70,centers,66,new,66,can,66,about,65,have,63,homes,62,instagram,62,facebook,60,license,60,user,60,theme,60,divi,60,free,59,call,59,how,54,center,54,locations,52,baby,51,when,48,community,48,make,48,programs,48,text,47,following,44,chicago,44,confidential,43,parenting,43,discuss,42,like,42,wheeling,42,michigan,41,education,41,"""script""",40,entered,40,donate,40,ease,40,background-color,40,provide,39,this,38,check,38,waukegan,37,flossmoor,37,cicero,37,adoption,37,during,36,tests,36,vollmer,36,exams,36,referrals,36,opens,35,available,35,staff,34,surgical,33,options,33,health,33,appointment,30,lewis,30,what,29,not,28,resources,28,emergency,28,ultrasounds,28,consultations,28,contraception,27,sure,27,page,26,far,26,function,26,ave,26,information,26,first,24,many,24,understand,24,their,24,throughout,24,pregnant,23,ongoing,23,through,23,place,23,most,23,advocates,23,after,22,let,22,offered,22,file,22,number,21,licensed,21,select,21,they,21,need,21,fields,20,wrong,20,thead,20,public,20,linux,20,fill,20,policy,20,mit,20,difficult,20,general,20,html,20,themes,20,daniel,20,copyright,20,author,20,privacy,20,below,20,elegant,20,screening,20,know,20,pre-abortion,20,gnu,20,situation,20,fix,20,eden,20,there,20,powerful,20,under,20,correct,20,nav,20,emotional,19,questions,19,out,19,time,19,comfortable,19,unexpected,19,accurate,19,continue,19,living,19,decision,18,feel,18,immediate,18,move,18,life,18,possible,18,advocate,17,relationship,17,forward,17,location,17,network,16,her,16,where,16,home,16,important,15,circumstances,15,individual,15,any,15,employment,15,process,15,meet,15,given,15,come,15,experience,15,established,14,receive,14,lack,14,pregnancies,14,womenÃ¢ÂÂs,14,side,14,insurance,14,really,14,here,14,including,13,effects,13,current,13,very,13,who,12,austin,12,two,12,assistance,12,assess,12,physical,12,9
count30,https://impregnant.org/ // https://bethany.org/locations/us/illinois/southern-illinois,5,our,155,you,85,family,64,have,58,your,50,child,38,adoption,31,know,31,care,30,about,29,eastern,29,ave,29,this,28,love,26,through,23,years,23,home,23,foster,23,god,21,support,21,new,20,church,19,hope,18,time,18,grand,17,services,17,families,17,married,16,global,16,get,15,would,15,bethany,15,what,14,christian,14,been,13,both,13,but,13,into,12,where,12,when,12,immigrant,12,refugee,12,also,12,help,12,excited,12,best,11,parents,11,live,11,two,11,can,11,var,10,more,10,learn,10,find,10,she,10,all,10,thank,10,very,10,being,10,like,10,make,10,not,9,knew,9,friends,9,share,9,function,9,always,9,lives,9,going,9,taking,9,display,9,enjoy,9,events,9,plan,8,year,8,children,8,after,8,locations,8,beautiful,8,wanted,8,out,8,give,8,birth,8,life,8,pregnancy,8,they,8,one,7,his,7,found,7,how,7,grow,7,there,7,neighborhood,7,who,7,college,7,look,7,work,7,own,6,close,6,careers,6,may,6,daily,6,see,6,open,6,had,6,small,6,good,6,safe,6,resources,6,feel,6,much,6,fun,6,able,6,things,6,respect,6,hearts,6,expectant,6,loves,6,making,6,now,6,involved,6,right,5,baby,5,big,5,each,5,heart,5,met,5,lord,5,choose,5,praying,5,meant,5,than,5,lot,5,spend,5,part,5,kids,5,loving,5,provide,5,donate,5,old,5,stories,5,back,5,made,5,values,5,world,5,little,5,start,5,them,5,around,5,else,5,whatever,5,relationship,5,every,5,room,5,only,5,her,5,near,5,welcome,5,truly,5,explore,4,grateful,4,thankful,4,local,4,most,4,counseling,4,"""were""",4,forward,4,first,4,study,4,since,4,having,4,adult,4,day,4,include,4,tree,4,alisha,4,plans,4,interests,4,together,4,short-term,4,chat,4,outdoors,4,opportunity,4,family-based,4,empower,4,refugees,4,daughter,4,counselor,4,great,4,knowing,4,want,4,doing,4,opportunities,4,long-term,4,better,4,team,4,just,4,contact,4,selfless,4,many,4,10
count31,https://www.supportmosaic.org/,4,mosaic,34,you,31,health,23,volunteer,19,our,16,have,16,may,13,his,13,var,13,your,12,about,12,not,11,information,10,any,10,women,10,who,10,please,10,all,10,would,9,pregnancy,9,god,8,life,8,custom,8,believe,8,what,8,services,8,impact,8,how,7,other,7,they,7,contact,7,name,7,this,7,development,7,faith,7,know,6,strategy,6,donate,6,stories,6,seeking,6,statement,6,employment,6,good,6,application,6,church,6,jesus,6,abortion,6,their,6,support,6,ever,5,demonstrated,5,sign,5,involved,5,committed,5,years,5,because,5,through,5,than,5,providing,5,return,5,website,5,get,5,more,5,christ,5,board,5,needs,5,relating,5,those,5,need,5,blog,5,bottle,4,unit,4,personal,4,t-shirt,4,affiliations,4,financials,4,staff,4,adoption,4,orientation,4,monk,4,events,4,knowledge,4,trapped,4,pray,4,themes,4,patient,4,them,4,directors,4,set,4,new,4,center,4,newsletter,4,without,4,him,4,baby,4,one,4,certify,4,mobile,4,medical,4,read,4,spiritual,4,lord,4,ekklesia,4,emotional,4,reports,4,campaign,4,ministry,3,salvation,3,integrity,3,when,3,team,3,into,3,cases,3,been,3,only,3,rate,3,must,3,list,3,address,3,such,3,holy,3,agreement,3,websites,3,fair,3,current,3,created,3,resurrection,3,excellent,3,further,3,refer,3,power,3,should,3,true,3,pricing,3,does,3,copyright,3,function,3,core,3,"""dont""",3,lives,3,full,3,independent,3,men,3,things,3,human,3,poor,3,over,3,date,3,log,3,provide,3,design,3,spirit,3,provision,2,both,2,employer,2,project,2,supervisor,2,volunteer-app,2,christian,2,which,2,love,2,fully,2,else,2,host,2,where,2,none,2,notice,2,reference,2,seek,2,enough,2,example,2,view,2,national,2,glory,2,learn,2,email,2,alternative,2,values,2,anyone,2,number,2,privacy,2,never,2,just,2,share,2,features,2,three,2,app,2,perfect,2,extreme,2,savior,2,according,2,giving,2,nor,2,yes,2,saved,2,done,2,meets,2,img,2,conclave,2,others,2,11
count33,http://www.relevantoptions.org/,18,you,235,your,168,pregnancy,139,options,108,auto,100,have,85,contact,71,var,70,can,58,about,51,should,51,faq,50,not,49,relevant,47,abortion,46,choose,42,think,41,youÃ¢ÂÂre,41,felt,40,file,39,but,39,help,39,when,38,our,38,this,37,adoption,37,why,37,quick,33,text,33,links,32,img,32,they,31,make,30,being,29,here,29,support,29,parenting,28,how,28,type,28,services,27,information,27,all,27,love,27,talking,26,came,26,testing,26,more,26,want,24,referrals,24,display,24,resources,23,what,22,while,22,one,22,after,22,call,21,ultrasounds,20,need,20,men,20,students,19,find,19,difficult,19,learn,18,free,18,time,18,rights,18,much,18,lead,17,drive,17,location,17,hours,17,blog,17,plaza,17,new,17,right,16,roads,16,beautiful,16,number,16,copyright,16,often,16,toggle,16,life,16,test,16,navigation,16,know,15,ready,15,must,15,iÃ¢ÂÂm,15,pregnant,15,been,15,like,15,appointment,14,direction,14,very,14,best,14,safe,14,unplanned,14,just,14,wait,14,may,14,judgment,13,really,13,saving,13,problem,13,helpful,13,helped,13,field,13,friendly,13,issues,13,row,13,forced,13,form,13,meÃ¢ÂÂ,13,toward,13,personal,13,ladies,13,left,13,didnÃ¢ÂÂt,13,cried,13,realized,13,push,13,link,13,files,13,purposes,13,thank,13,thankful,13,uploading,13,tissues,13,size,13,situations,13,neededÃ¢ÂÂ,13,path,13,exceeds,13,glad,13,validation,13,contains,13,"""ltr""",13,got,13,"""text""",13,happenedÃ¢ÂÂ,13,-jenniferÃ¢ÂÂeveryone,13,coming,13,hard,13,-kaylaÃ¢ÂÂvery,13,-sarahÃ¢ÂÂi,13,-steve,13,strength,13,complete,13,-taylorÃ¢ÂÂi,13,-tiffanyÃ¢ÂÂthey,13,super,13,return,13,considering,13,mattered,13,supposed,13,content,13,many,13,-chrisÃ¢ÂÂthere,13,there,12,take,11,ultrasound,11,decision,10,weÃ¢ÂÂre,10,who,10,get,9,education,9,center,9,medical,9,choice,8,first,8,provide,8,talk,8,discuss,8,along,8,some,8,women,8,"""of""",8,informed,7,only,7,their,7,types,7,child,7,through,7,most,7,schedule,7,give,7,might,7,confirm,7,sure,6,segoe,6,offer,6,client,6,option,6,home,6,"""were""",6,surgical,6,tests,6,mmm,6,step,6,viable,6,12
