index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://flsonline.net/,7,life,78,services,63,family,44,our,40,auto,36,you,30,through,21,this,20,var,20,can,18,adoption,18,agency,18,about,17,your,17,more,16,arkansas,16,into,15,pregnancy,15,what,15,have,15,new,14,one,14,donate,14,other,14,youtube,14,women,13,their,13,child,13,pregnant,13,another,13,change,12,pinterest,12,read,12,twitter,12,instagram,12,baby,11,her,11,community,10,gospel,10,kansas,10,video,10,parenting,10,jesus,10,healthy,10,private,10,here,10,program,10,please,9,want,9,classes,9,health,8,even,8,street,8,been,8,support,8,any,8,who,8,social,8,help,8,children,8,all,8,contact,8,save,8,licensed,8,when,7,provide,7,minutes,7,offer,7,below,7,also,7,summit,7,facebook,7,free,7,court-ordered,7,needed,7,education,7,south,7,news,7,button,6,people,6,few,6,before,6,became,6,sonogram,6,teaching,6,selector,6,linkedin-blank,6,referral,6,them,6,appointment,6,maybe,6,familylifeservicesto,6,home,6,without,6,his,6,city,6,visit,6,some,6,facebook-blank,6,surrounding,6,durham,6,servebut,6,linkedin,6,served,6,clicking,6,online,6,executive,6,rss,6,cannot,6,consider,6,rss-blank,6,whether,6,which,6,facebookcome,6,programs,5,therapy,5,call,5,information,5,working,5,client,5,adopt,5,guidance,5,agencies,5,not,5,email,5,organization,5,assist,5,out,5,answer,5,those,5,including,5,over,5,powerful,5,questions,5,know,5,well,5,may,5,she,4,on-site,4,developed,4,start,4,current,4,not-for-profit,4,practical,4,these,4,individuals,4,changing,4,way,4,devoted,4,how,4,families,4,parents,4,christian,4,equipment,4,woman,4,providing,4,time,4,regarding,4,expansion,4,saving,4,adoptive,4,servicesfamily,4,still,4,than,4,joined,4,items,4,facility,4,center,4,desire,4,share,4,service,4,blessing,4,indecisive,4,made,4,love,4,make,4,looking,4,marlana,4,each,4,tour,4,place,4,allows,3,practice,3,reintegrating,3,able,3,always,3,having,3,preparing,3,skills,3,beginning,3,log,3,unborn,3,important,3,use,3,emotional,3,staff,3,undesired,3,group,3,used,3,hear,3,1
count11,https://www.abcpregnancycarecenter.org/contact/,25,normal,1184,ease,689,pregnancy,481,abortion,439,solid,323,get,241,new,224,not,216,extends,213,your,211,events,208,you,190,all,189,var,187,"""work""",180,care,175,garden,169,services,167,site,161,this,152,about,133,background-color,128,free,125,"""undefined""",121,center,119,class,115,void,115,found,115,typeof,115,any,110,table,92,sans,90,may,84,health,83,tbody,80,pregnant,78,options,75,more,73,svg,72,rights,71,set,70,copyright,69,function,69,forms,69,software,69,comments,69,can,68,learn,63,abc,59,provide,56,information,55,explore,52,linear,51,instanceof,51,support,49,return,49,our,48,profit,48,code,48,make,48,error,48,chunk,47,now,47,damages,46,author,46,seo,46,polymer,46,max-content,46,details,46,warranties,46,discretely,46,offers,46,complete,46,sixth,46,nowoffset,46,project,46,navigation,46,book,46,min-content,46,pill,45,have,45,medical,42,need,40,education,35,informed,34,through,34,ease-in-out,33,refer,32,including,32,men,31,ago,31,south,30,they,30,emergency,30,also,30,how,29,accurate,29,donated,29,gothic,28,women,28,kaku,28,abortions,28,sexual,28,other,28,already,27,only,27,out,27,legal,27,providing,26,without,26,value,26,should,26,confirmationoptions,25,subject,25,order,25,used,25,everything,25,street,25,whether,25,thursday,25,choices,25,send,25,decisions,25,believe,25,right,24,blog,24,purpose,24,delete,24,distributed,24,supportabortion,24,action,24,page,24,which,24,navigate,24,promise,24,regard,24,under,24,thead,24,provided,24,committed,24,bsd,23,firstpageid,23,browsers,23,async,23,permission,23,symbol,23,additional,23,involvedmoreuse,23,videomaker,23,app-social,23,addbreadcrumb,23,proceduresabortion,23,yield,23,"""symptomsshes""",23,servicesfull,23,web,23,servicespregnancy,23,pro,23,disclaims,23,loss,23,window,23,optionspregnancy,23,google,23,shall,23,license,23,whatsoever,23,data,23,detect,23,negligence,23,liable,23,noop,23,arising,23,grant,23,css,23,purposes,23,ssrinfo,23,arrwithtrailingcomma,23,implied,23,domain,23,working,23,bodycacheable,23,distribute,23,welcomeabortion,23,tab,23,appointmentsupport,23,performance,23,withscope,23,costemergency,23,walk-ins,23,content,23,carefaqsget,23,part,23,connection,23,const,23,event,23,style,23,usblogcommitment,23,microsoft,23,"""partially""",23,constructor,23,9
count14,http://www.opendoorpcc.com/,6,you,48,new,42,var,40,let,39,abortion,38,visible,32,"""open""",30,all,23,instanceof,20,your,19,have,18,function,17,pregnancy,17,display,16,solid,14,home,14,this,14,pill,13,can,12,what,12,extend,12,transform,12,help,12,agent,11,more,11,services,11,get,11,web,11,extends,10,about,9,require,9,center,9,objects,9,ease,9,our,9,there,9,flipoutx,8,search,8,care,8,slideuphr,8,slidedownhr,8,return,8,"""of""",8,bounceoutup,8,swinginx,8,swingoutx,8,options,8,flipinx,8,reversal,8,bounceindown,8,contact,7,out,7,must,7,facts,7,local,7,screen,7,resources,7,medical,7,know,7,childheight,7,parentheight,7,primitive,7,any,7,call,6,door,6,need,6,not,6,color,6,website,6,private,6,learn,6,marketing,6,mmm,6,only,6,here,5,been,5,risks,5,may,5,blockquote,5,design,5,but,5,donât,4,privacy,4,women,4,online,4,error,4,google,4,email,4,quiz,4,open,4,opacity,4,policy,4,segoe,4,health,4,like,4,social,4,side,4,they,4,many,4,never,4,initialize,4,seo,4,test,4,type,4,after,4,back,4,"""at""",4,theme,3,field,3,fill,3,find,3,pregnant,3,their,3,blogging,3,user,3,called,3,think,3,free,3,feel,3,twice,3,at-home,3,reverse,3,terms,3,development,3,rule,3,runtime,3,advanced,3,requires,3,same,3,replacement,3,effects,3,elements,3,who,3,want,3,setting,3,while,3,when,3,const,3,connect,3,false,3,configuration,3,divi,3,story,3,very,3,media,3,occured,3,license,3,-webkit-transform,3,make,3,obfuscation,3,most,3,how,3,"""scope""",3,missing,3,situation,2,decision,2,safety,2,already,2,digital,2,instagram,2,someone,2,needed,2,she,2,share,2,"""its""",2,some,2,"""shes""",2,safari,2,name,2,invalid,2,safe,2,send,2,abort,2,contains,2,recommend,2,entered,2,enabled,2,emergency,2,important,2,offering,2,offer,2,working,2,ads,2,ease-in-out,2,object,2,increase,2,due,2,number,2,info,2,reversing,2,doc,2,rotate,2,rss,2,content,2,ssr,2,mmmm,2,trust,2,callback,2,management,2,line,2,10
count15,http://www.midwestpcc.com/,3,you,32,your,19,var,18,have,11,can,9,abortion,6,function,6,know,5,child,5,return,5,windowhref,5,else,5,pregnancy,4,not,4,about,4,label,4,itâs,4,help,4,may,4,this,4,there,4,blockquote,4,what,3,lots,3,decision,3,medical,3,baby,3,true,3,parenting,3,want,3,facebook,3,log,3,think,3,make,3,but,3,when,3,new,3,center,3,important,3,youâre,3,adoption,3,these,2,scripts,2,sign,2,many,2,all,2,like,2,choices,2,care,2,keep,2,things,2,easy,2,one,2,doesnât,2,first,2,time,2,midwest,2,who,2,"""blog-social-item""",2,being,2,they,2,risks,2,best,2,choice,2,"""wont""",2,frameheight,2,must,2,through,2,cookie,2,replace,2,understand,2,page,2,provide,2,into,2,resources,2,canât,2,otherwise,2,banner,2,financial,1,emotional,1,finish,1,finds,1,open,1,services,1,investigate,1,finding,1,comes,1,weâve,1,find,1,centergroupsaboutcreate,1,iâm,1,where,1,clearly,1,wondering,1,decisions,1,clients,1,follow,1,regex,1,adopt,1,todayâs,1,track,1,our,1,seat,1,worth,1,tiny,1,screen,1,plan,1,seem,1,women,1,segmentdata,1,woman,1,too,1,decide,1,within,1,boyfriend,1,hard,1,policyprivacy,1,afford,1,refer,1,tough,1,issues,1,options,1,meta,1,health,1,empowerment,1,ready,1,along,1,wednesday,1,imagine,1,available,1,unique,1,none,1,normal,1,facebookenglish,1,facebookyou,1,square,1,infinite,1,pressure,1,inforgot,1,prototype,1,information,1,husband,1,very,1,started,1,hundreds,1,human,1,informed,1,natural,1,immediate,1,snplobr,1,something,1,newsletters,1,uplog,1,uploading,1,procedures,1,probably,1,use,1,explain,1,sometimes,1,some,1,impact,1,considering,1,private,1,need,1,consider,1,necessary,1,exciting,1,continue,1,unplanned,1,concerned,1,familyhow,1,familywant,1,kind,1,feeling,1,strength,1,stressed,1,walnut,1,interested,1,powered,1,miracle,1,ending,1,herself,1,waiting,1,real,1,way,1,ways,1,customizable,1,really,1,website,1,also,1,only,1,feel,1,insurancei,1,initevt,1,home,1,type,1,pregnant,1,far,1,couple,1,inmessengerfacebook,1,11
count16,http://prcsek.com/,10,var,106,family,48,pregnancy,44,center,40,kansas,24,southeast,22,light,19,tan,18,small,18,red,18,you,14,jefferson,11,office,10,our,10,ave,10,hours,10,login,10,wednesday,9,box,9,support,9,msviewportstyle,9,copyright,9,tuesday,9,while,8,families,7,life,7,board,6,help,6,can,6,required,6,parenting,5,member,5,who,5,baby,5,your,5,volunteer,4,hope,4,have,4,"""list""",4,please,4,call,4,parents,4,new,4,services,4,function,4,committed,4,text,3,pfcsek,3,mother,3,boutique,3,their,3,human,3,staff,3,pray,3,all,3,shown,3,resources,3,upcoming,3,niv,3,see,3,health,3,button,3,provide,3,check,3,return,3,age,3,make,3,learnâ,2,name,2,one,2,classes,2,home,2,difference,2,e-mail,2,questions,2,directors,2,learn,2,earn,2,director,2,others,2,clients,2,order,2,emotional,2,affirming,2,department,2,ages,2,throught,2,email,2,else,2,tips,2,following,2,community,2,send,2,allow,2,knowledge,2,healing,2,also,2,receive,2,amazon,2,years,2,password,2,dates,2,education,2,materials,2,strollers,2,sanctity,2,money,2,creating,2,gently,2,upholding,2,newborn,2,non-profit,2,offering,2,image,2,machine,2,iframe,2,ultrasound,2,contact,2,needs,2,âearn,2,information,2,true,2,best,2,how,2,assisting,2,psalm,2,providing,2,christ-centered,2,used,2,lives,2,donations,2,contents,2,links,2,out,1,"""week""",1,coordinating,1,pregnant,1,types,1,alone,1,sense,1,type,1,program,1,together,1,well,1,submit,1,subject,1,healthy,1,expertise,1,become,1,heaven,1,other,1,served,1,serve,1,expectant,1,weary,1,enjoy,1,took,1,rebellious,1,before,1,been,1,heart,1,amazed,1,expecting,1,becoming,1,always,1,hear,1,alternative,1,engage,1,outside,1,constructively,1,deductible,1,items,1,special,1,harold,1,wic,1,johnson,1,in-kind,1,jonathan,1,refer,1,awareness,1,middle,1,joys,1,privacy,1,such,1,williams,1,babies,1,wilma,1,south,1,mfp-anim,1,security,1,referrals,1,unlimited,1,face,1,sek-cap,1,self-care,1,bucks,1,what,1,popup,1,preteens,1,build,1,12
count17,http://www.partnersofpsc.com/contact-us.html,6,function,105,var,54,return,36,your,31,washington,25,window,22,junction,20,you,18,enter,17,elm,16,islands,15,new,14,else,14,width,12,this,12,service,12,opens,10,republic,10,blnok,9,experience,8,help,8,church,7,card,7,information,7,account,7,find,6,have,6,contact,6,home,6,sure,6,make,6,web,6,united,6,"""google""",6,google,6,out,5,events,5,temp,5,our,5,solid,5,number,5,using,5,only,5,social,5,valid,5,works,5,blast,5,title,5,seasonal,5,splash,5,pages,5,pregnancy,5,local,4,bank,4,"""use""",4,maps,4,must,4,just,4,library,4,page,4,email,4,sunday,4,credit,4,states,4,apr,4,here,4,not,4,routing,4,own,4,body,4,entered,4,easter,4,can,4,april,4,details,4,use,3,get,3,click,3,when,3,media,3,perfect,3,color,3,factor,3,one,3,please,3,policy,3,designs,3,scale,3,need,3,all,3,french,3,numtempamount,3,check,3,see,3,login,3,island,3,available,3,log,3,box,3,video,3,arab,3,guinea,3,than,3,saint,3,billing,3,view,3,rightclick,2,eliminated,2,add,2,current,2,pants,2,care,2,minus,2,sans,2,year,2,whatever,2,zip,2,like,2,contextmenu,2,uploading,2,document,2,savings,2,remains,2,dialog,2,showcase,2,less,2,address,2,city,2,mobile,2,into,2,property,2,enough,2,complete,2,used,2,length,2,fit,2,tools,2,javascript,2,show,2,event,2,numamount,2,photo,2,directions,2,"""product""",2,driving,2,try,2,more,2,mousedown,2,then,2,way,2,last,2,monthly,2,dead,2,standard,2,time,2,china,2,what,2,daylight,2,recipients,2,"""mute""",2,true,2,triggeroffsetx,2,netherlands,2,storage,2,center,2,word,2,field,2,center-,2,triggeroffsety,2,samoa,2,triggerpositionx,2,looking,2,triggerpositiony,2,triggerradius,2,triggersize,2,privacy,2,phone,2,about,2,saturday,2,expiration,2,match,2,democratic,2,false,2,empty,2,virgin,2,other,2,wish,2,checking,2,how,2,these,2,syntax,2,enable,2,keypress,2,beautifully,2,nvw,2,nvh,2,also,2,"""id""",2,eft,2,stream,2,13
count18,http://wyandottepregnancyclinic.org/,18,you,223,pregnancy,163,your,147,solid,136,wyandotte,111,can,105,appointment,104,auto,102,clinic,102,var,102,make,90,article,85,call,79,closed,58,office,55,default,51,none,51,message,51,center,51,abortion,49,our,46,have,45,this,43,hours,41,wed,40,thurs,40,mon,40,only,39,sun,38,receive,37,help,36,olathe,36,tues,36,sonogram,36,used,35,after,35,fieldset,34,about,34,book,34,input,34,screen,34,entered,34,handle,34,configuration,34,timeslots,34,number,34,specify,34,setup,34,plugin,34,value,34,identifies,34,following,34,when,34,table,34,iframe,34,color,34,get,33,services,33,testing,32,more,31,education,31,treatment,30,here,30,morning,30,best,30,contact,30,options,29,pill,29,someone,28,what,28,sti,26,how,26,consultation,25,before,25,adoption,24,not,23,should,23,kansas,23,decision,23,information,23,their,22,women,22,new,22,type,21,connect,21,below,21,something,21,letâs,21,home,21,like,21,another,21,santa,20,may,20,chlamydia,20,there,20,street,20,between,19,â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦â¦,19,fri,19,fri-sat,19,fill,19,must,19,sat,19,locations,19,provide,19,show,18,primary,18,form,18,always,18,function,18,upon,18,origin,17,"""ekyros""",17,src,17,menu,17,correct,17,secuity,17,google,17,accepts,17,sure,17,fix,17,her,17,apikey,17,nav,17,plug-in,17,html,17,messages,17,named,17,limit,17,hex,17,schedule,17,data,17,reference,17,match,17,check,17,redirect,17,auto-generated,17,inline,17,registered,17,registering,17,days,17,create,17,contentwindow,17,fields,17,page,17,callback,17,"""sites""",17,file,17,books,17,wrong,17,analytics,17,array,17,ekyros,17,valid,17,listener,17,duration,17,user,17,cause,16,she,15,layout,15,support,14,gonorrhea,14,all,13,know,13,through,13,child,12,they,12,itâs,11,want,11,out,11,need,11,informed,11,who,11,during,11,important,10,both,10,sex,10,work,10,please,10,any,10,right,10,having,10,resources,10,men,10,symptoms,10,location,10,parent,10,many,10,along,9,situation,9,care,9,understand,9,also,9,even,9,medical,8,take,8,decide,8,baby,8,vaginal,8,far,8,14
count19,https://insightlawrence.org/en/,25,abortion,4225,pregnancy,1629,information,1340,testing,1289,pill,1258,cost,1175,you,977,your,893,support,287,can,284,our,271,insight,267,center,253,call,246,services,237,about,230,after,230,this,190,options,180,provide,175,what,174,limited,173,var,172,all,170,always,170,screen,168,have,165,womenâs,165,ultrasound,164,not,160,how,159,medical,155,body,154,appointment,151,hours,147,city,146,auto,144,const,144,free,143,lawrence,140,mobile,139,when,139,text,138,may,133,test,127,they,125,aborto,124,need,123,elementor,119,visit,114,lecompton,113,please,111,desoto,111,education,111,risks,111,tonganoxie,110,tecumseh,108,linwood-bonner,108,overbrook,106,home,106,eudora,103,topeka,103,springs,102,mcclouth-oskaloosa,101,perry,101,schedule,99,blog,98,get,97,baldwin,97,tbody,96,lazyloadbackground,96,email,95,there,93,faq,93,guy,92,served,92,clinic,92,students,92,areas,92,required,87,near,86,parents,84,bring,84,does,81,sure,77,want,76,make,76,their,76,before,73,more,72,none,72,css,72,lazyloadselector,72,iframe,72,data,72,dataattribute,72,tests,70,connect,69,menu,69,adoption,67,meet,67,along,66,embarazo,66,should,65,consent,63,include,63,sobre,63,person,63,but,60,prueba,60,del,59,request,58,informaciÃ³n,58,far,58,used,57,parenting,56,where,56,now,56,come,56,costs,55,new,55,women,54,office,53,staff,53,choose,53,"""womens""",52,abortiva,52,some,52,pÃ­ldora,52,additional,51,different,51,help,51,give,51,costo,50,urine,50,them,49,iâm,49,message,48,lazyloadrunobserver,48,enter,48,img,48,identifies,48,infant,48,fill,48,planned,48,book,48,cancel,48,iwc,48,plug-in,48,default,48,config,48,locations,47,able,47,out,47,three,47,who,47,english,47,local,46,team,46,mesa,46,medical-grade,46,parent,46,loss,46,other,46,donate,46,solid,45,also,45,kansas,45,then,44,professional,44,initial,44,consider,42,disclosure,42,children,42,privacy,42,tell,42,under,42,talk,42,really,42,strict,42,confidentiality,42,much,41,time,40,know,40,care,40,feel,40,making,39,going,39,decision,39,use,39,accurate,39,best,38,confidential,38,itâs,37,life,37,symptoms,37,take,36,positive,36,baby,36,understand,36,15
count2,http://www.hope4kansas.com/,5,var,45,new,39,instanceof,20,return,19,you,13,pregnancy,13,function,12,must,11,agent,11,family,10,extends,10,free,10,require,9,more,9,about,9,classes,9,learn,9,our,9,objects,9,const,8,error,8,else,8,log,7,primitive,7,get,7,parenting,6,sign,6,while,6,this,6,private,6,can,6,"""disabled""",6,your,5,boot,5,branches,5,all,5,future,5,firstsection,5,into,4,never,4,resource,4,information,4,valuey,4,center,4,terms,4,ultrasound,4,use,4,bpfc,4,services,4,great,4,same,4,camps,4,contact,4,menu,4,beginnings,4,home,4,email,4,initialize,4,healing,4,not,4,one,4,feature,3,centergroupsaboutcreate,3,inforgot,3,boutique,3,configuration,3,other,3,requires,3,rule,3,tests,3,valuex,3,guys,3,abortion,3,occured,3,headerheight,3,need,3,choicestermshelpcontact,3,twice,3,back,3,obfuscation,3,emails,3,uploading,3,uplog,3,replacement,3,code,3,receive,3,involved,3,centerprivacy,3,field,3,browser,3,donate,3,policyprivacy,3,adcreate,3,object,3,faq,3,unable,3,elements,3,inmessengerfacebook,3,events,3,there,3,text,3,setting,3,address,3,runtime,3,meta,3,accountenglish,2,parentdimensionwidth,2,each,2,name,2,open,2,those,2,placeholder,2,due,2,textstatus,2,parentdimensionheight,2,errorthrown,2,close,2,configurable,2,works,2,pfrc,2,have,2,here,2,just,2,upnoticeyou,2,targetheight,2,targetwidth,2,attribute,2,invalid,2,loader-config,2,does,2,originalwidth,2,facebook,2,facebooklog,2,ready,2,contains,2,time,2,focalpointx,2,missing,2,global,2,type,2,focalpointy,2,country,2,offer,2,before,2,test,2,when,2,class,2,value,2,info,2,header,2,follow,2,phonepasswordforgot,2,enabled,2,decisions,2,bottom,1,serviced,1,amazing,1,mobileoverlaynav,1,model,1,iparenting,1,help,1,rsp,1,service,1,after,1,mimic,1,overflowheight,1,overflowwidth,1,bring,1,redefining,1,browsers,1,bucksâ,1,send,1,seeking,1,advocates,1,advocate,1,woman,1,"""time""",1,delete,1,javascript,1,encourage,1,also,1,focalpoint,1,submitting,1,isfirstsectioninset,1,touch,1,islayoutenginesection,1,possibly,1,healthy,1,what,1,positionimage,1,deals,1,items,1,originalheight,1,end,1,positive,1,whether,1,helpbranches,1,side,1,way,1,ultrasounds,1,2
count21,https://birthline.net/,25,abortion,1276,wichita,631,birthline,607,free,471,you,445,pregnancy,433,planned,312,pill,201,solid,193,information,189,auto,168,your,158,about,155,more,149,book,142,appointment,137,all,135,contact,130,services,128,call,126,city,126,have,121,can,121,fort,118,learn,115,provide,109,scott,109,junction,108,surgical,104,trimester,102,chanute,101,info-abortion,98,liberal,97,ultrasound,95,reversal,90,health,88,what,86,costs,85,help,84,unplanned,83,sexual,82,risks,81,first,81,this,79,options,77,make,76,tests,76,text,74,effects,73,none,72,post,72,side,70,referrals,70,had,70,here,67,our,66,informed,66,not,63,after,62,laws,58,std,57,var,55,doctor,55,they,55,may,55,contraception,54,types,54,today,54,emergency,54,wellington,53,clinic,53,resources,52,counseling,52,plan,52,procedures,51,serving,51,syndrome,51,when,51,test,50,most,50,tests-,50,morning,50,second,49,espaÃ±ol,49,education,49,derby,49,locations,49,real,48,alternatives-free,48,city-bel,48,aire-andover-augusta-,48,very,48,safety,48,help-abortion,48,wichita-free,48,checklist,48,felt,46,helped,44,came,44,heard,44,confidential,43,who,42,having,39,park,38,right,38,concerns,38,women,37,decision,36,pregnant,36,much,36,sti,36,care,35,whether,34,body,34,people,33,like,33,place,33,than,31,there,31,but,31,treatment,31,testing,30,give,30,fully,30,near,29,stds,28,support,28,birth,28,out,28,speak,28,rights,27,hiv,27,please,27,others,27,let,27,any,26,terms,26,only,26,bel,26,seneca,26,how,26,visit,25,recovery,25,least,25,counseling-free,25,community,25,help-,24,quick,24,uabb,24,positive,24,content,24,file,24,powered,24,marketing,24,oaklawn,24,info,24,find,24,unsure,24,america,24,auto-generated,24,saying,24,friendly,24,know,24,test-free,24,offers,24,ybreplacephnums,24,immediate,24,ybfindphnums,24,inline,24,internet,24,symptoms-free,24,"""womens""",24,sonogram,24,else,24,links,24,themeopts,24,span,24,crisis,24,pregnancy-pregnancy,24,staff,24,dmapi,24,organization,24,skip,24,before,23,hospital-grade,23,never,23,get,23,treated,22,medical,22,them,21,son,21,rushed,20,nervous,20,thank,20,went,20,"""wichitas""",20,lucky,20,great,20,reaching,20,originally,20,16
