index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,http://www.problempregnancy.org/,24,you,673,pregnancy,631,your,511,abortion,450,problem,242,not,235,may,193,all,179,can,170,help,145,this,141,body,141,free,139,pill,137,auto,132,after,117,call,117,schedule,114,var,114,plan,109,want,109,make,103,now,99,trimester,96,taking,93,safety,93,what,93,pressures,92,planned,90,about,88,tbody,88,thead,88,guysin,84,abortionhelp,84,answersproblem,84,testspregnancy,84,parenthoodabortion,84,testsultrasoundabortion,84,pillabortion,84,surgical,84,lawsabortion,84,symptomsservicesfree,84,friendpregnancypregnancy,84,checklistfirst,84,consultationcommunity,84,std’sabortion,84,directions,84,referralsfor,84,reversalabortion,84,consultationabortion,84,text,78,unplanned,78,have,74,does,74,should,71,email,71,more,69,sure,69,facing,69,get,68,limited,67,risks,66,provide,66,appointment,64,pleasant,63,you’re,63,visit,63,how,62,they,60,ultrasound,57,our,55,common,55,worcester,55,test,53,women,52,services,51,possible,51,embarazo,51,health,49,enter,47,uterus,47,need,47,book,46,learn,46,contraception,45,emergency,45,cancel,45,fill,45,english,43,homeabortionfree,42,menuhomeabortionfree,42,other,42,side,40,choice,40,options,40,most,40,confirm,39,take,39,pregnancies,39,choose,39,effects,39,used,38,any,38,aborto,37,know,36,talk,36,first,36,cause,34,information,34,known,33,end,33,ectopic,33,future,33,dilation,33,contact,33,abdominal,32,clinic,32,effective,32,morning,32,type,32,here,32,her,32,uterine,32,understand,31,someone,31,several,31,out,31,natural,31,result,31,facts,30,scarring,30,having,30,important,30,contraceptive,30,routine,30,mayo,30,pain,30,experience,29,situation,29,weeks,29,woman,29,along,28,next,28,medical,28,including,28,there,28,before,28,questions,27,one,27,new,27,pregnant,27,viable,26,during,26,some,26,far,26,find,26,address,26,procedure,26,central,26,but,25,answers,24,refer,24,she,24,appointmentif,24,center,24,check,23,booking,23,quick,23,solid,23,come,23,time,23,like,23,required,23,than,23,could,23,provides,23,spanish,23,copyright,23,perform,23,approve,22,menstrual,22,username,22,astra,22,period,22,elementorfrontendconfig,22,wait,22,para,22,many,22,risk,22,multi-slot,22,reversal,22,instructions,22,name,22,password,22,connect,22,rights,22,resetting,22,menuhomepregnancy,21,which,21,include,21,1
count10,http://www.bethlehemhousewma.org/,2,var,23,your,15,website,11,translation,8,language,7,you,6,translate,5,page,5,into,5,function,5,windowhref,5,free,5,homepage,4,blockquote,4,label,4,this,4,bethlehem,4,all,4,click,4,true,3,contact,3,automatic,3,code,3,else,3,return,3,simply,2,gajshost,2,offers,2,services,2,home,2,â\x80\x93,2,replace,2,try,2,western,2,just,2,select,2,blog,2,mom,2,organization,2,first,2,keep,2,house,2,frameheight,2,resources,2,have,2,supplies,2,word,2,fully,2,scripts,2,copyright,2,site,2,banner,2,over,2,"""wont""",2,our,2,please,2,non-profit,2,program,2,cookie,2,google,2,baby,2,professional,2,own,2,provide,2,button,2,otherwise,2,"""blog-social-item""",2,track,1,always,1,also,1,compassionate,1,timeof,1,allows,1,minute,1,recent,1,regex,1,possible,1,which,1,original,1,agency,1,trademark,1,knit,1,other,1,without,1,help,1,buttonâ\x80\x9d,1,women,1,members,1,byannual,1,tolingo,1,out,1,men,1,wonâ\x80\x99t,1,segmentdata,1,founded,1,uses,1,translator,1,welcome,1,received,1,inquiries,1,txttag,1,best,1,initevt,1,below,1,being,1,prototype,1,imgtag,1,begins,1,snplobr,1,immediately,1,been,1,nurturing,1,cost,1,use,1,never,1,new,1,automatically,1,copy-and-paste,1,copy,1,available,1,now,1,family,1,not,1,programs,1,inc,1,speak,1,create,1,via,1,birthing,1,pregnancy,1,stripe,1,completely,1,only,1,web,1,translateâ\x84¢,1,wayfree,1,translations,1,working,1,reach,1,sew,1,moment,1,any,1,hospitals,1,offer,1,appealdiocese,1,appear,1,interpreter,1,confidential,1,questions,1,volunteer,1,quality,1,html,1,visitors,1,mouse,1,integrate,1,everyone,1,screen,1,what,1,including,1,gifts,1,rights,1,like,1,centers,1,donate,1,target,1,their,1,directions,1,did,1,life,1,pages,1,give,1,supported,1,â\x80\x9cget,1,pagetracker,1,\u200bbethlehem,1,massachusetts,1,mass,1,donâ\x80\x99t,1,generated,1,youâ\x80\x99ll,1,takes,1,catholic,1,drsegmentstag,1,fundraising,1,catch,1,googleâ\x84¢,1,local,1,clients,1,campus,1,located,1,about,1,reserved,1,can,1,many,1,loving,1,support,1,pictures,1,dime,1,perturbador,0,prevention’s,0,9
count11,https://youroptionsma.org/,23,options,429,solid,413,your,360,you,351,pregnancy,266,medical,236,screen,133,abortion,125,all,117,appointment,114,information,108,make,102,have,100,contact,94,main,89,ultrasound,88,about,82,can,81,they,80,adoption,76,only,76,there,75,clinic,74,women,74,provide,74,new,73,not,71,blog,70,students,69,español,68,every,68,parenting,66,transparent,66,fall,60,when,58,testing,55,always,55,need,55,schedule,53,counseling,52,free,52,how,52,made,52,else,52,centers,51,kind,51,provided,48,one,47,best,45,faqs,45,table,44,center,44,know,44,thead,44,river,42,left,42,more,41,just,41,unexpected,40,staff,40,var,40,help,39,span,38,revere,38,had,38,facing,37,material,36,brookline,36,place,36,learning,36,confidential,35,our,35,listened,34,scared,34,someone,34,daughter,34,learn,32,some,32,through,31,lab-quality,31,pregnant,30,services,30,street,29,like,29,here,29,even,28,body,28,important,28,support,28,may,28,regarding,27,care,26,over,26,resources,26,call,25,this,25,ultrasounds,25,obstetrical,25,single,24,way,24,photos,24,right,24,who,24,text,24,test,24,baby,24,knowledge,23,offering,23,done,23,function,23,choice,23,navigation,23,experience,23,universalpixelapi,22,ttduniversalpixelapi,22,toggle,22,given,22,based,22,"""dark""",22,such,22,education,22,possible,21,get,21,needed,21,out,21,day,21,person,21,sexual,21,people,21,fetal,21,believe,21,any,20,raising,20,nurse,20,div,20,suite,20,broadway,20,taking,20,beacon,20,treated,19,reasons,19,difficult,19,talk,19,accurate,19,classes,19,time,18,vital,18,welcome,18,pain,18,life,18,use,18,meet,18,"""its""",18,what,18,thought,18,let,18,questions,18,unplanned,18,thank,18,resource,17,weekly,17,forever,17,received,17,greeted,17,difference,17,hardest,17,things,17,cry,17,never,17,extremely,17,thinks,17,clean,17,educational,17,"""whats""",17,awesome,17,felt,17,shoulder,17,non,17,truthful,17,bad,17,honest,17,truly,17,went,17,willing,17,thankful,17,listen,17,saved,17,instead,17,friends,17,anywhere,17,but,17,real,17,her,17,"""youve""",17,"""ive""",17,love,17,profit,17,excellent,17,helped,17,ear,17,10
count13,http://carenetfitchburg.net/,16,"""open""",420,pregnancy,272,solid,249,all,220,center,210,resource,194,north,189,central,189,net,169,care,134,you,126,auto,119,opacity,116,user,96,your,96,color,88,-webkit-transform,87,var,83,screen,75,information,73,our,68,transform,58,use,56,this,55,not,51,any,49,blockquote,48,only,48,contact,46,about,46,license,45,divi,45,theme,45,abortion,44,ease,39,following,36,friends,35,terms,33,options,33,email,32,copyright,32,what,32,like,32,services,31,retrieved,31,background-color,30,entered,30,fix,29,may,29,linux,28,carenet,28,website,27,main,27,these,26,get,26,privacy,25,make,25,procedures,24,related,23,new,23,policy,23,suite,23,such,23,online,23,check,22,does,22,under,22,other,22,personal,20,most,19,family,19,public,19,massachusetts,19,october,18,content,18,sure,18,address,17,home,17,general,17,can,17,licensed,17,free,17,educational,17,hours,17,blog,17,team,16,guys,16,drug,16,more,16,fields,16,function,16,below,16,rights,16,nav,15,author,15,thursday,15,medical,15,disclaimer,15,wrong,15,fill,15,eden,15,learn,15,mit,15,correct,15,elegant,15,page,15,daniel,15,powerful,15,thead,15,facebook,15,gnu,15,html,15,number,15,plugin,15,themes,15,select,15,display,14,quick,14,refer,14,directions,14,recommend,14,span,14,risks,14,confidential,14,using,14,hidden,14,icon,14,linksreferences,14,call,14,accurate,14,inline-block,14,member,14,icons,14,schedule,14,encoder,14,donate,14,pill,13,here,13,how,12,within,12,appointment,12,food,12,right,11,cookies,11,time,11,her,11,have,11,through,10,morning-after,9,please,9,adoption,9,set,9,parenting,9,help,9,now,9,unplanned,9,when,9,mifeprex,9,provide,8,used,8,material,8,linksam,8,answers,8,conditions,8,march,8,allow,8,women,8,april,7,websites,7,providing,7,responsible,7,uses,7,we’re,7,health,7,unintended,7,pregnant,7,provided,7,service,7,best,7,donations,7,support,7,give,6,who,6,she,6,without,6,located,6,links,6,send,6,log,6,maintains,6,agree,6,plan,6,donation,6,take,6,watson,6,access,6,acetate,6,corner,6,professional,6,otherwise,6,11
count17,http://pccnortheast.org/,15,pregnancy,182,you,141,abortion,134,only,103,auto,90,your,90,they,85,center,85,this,84,care,80,services,76,not,71,var,70,can,69,sat,64,our,63,support,60,pcc,60,file,57,all,57,closed,52,provide,52,contact,51,mon,48,location,48,month,48,wed,48,fri,48,thurs,48,tues,48,after,47,appointment,45,adoption,44,testing,43,symptoms,41,parenting,38,ultrasounds,38,options,36,free,35,know,34,but,34,one,34,new,32,faq,32,students,32,how,31,because,31,gave,30,type,30,medical,30,about,28,have,27,need,27,more,26,information,26,without,26,who,26,someone,25,any,25,test,24,what,22,body,22,women,22,ultrasound,22,able,21,sometimes,21,should,20,current,20,former,20,different,19,merrimack,19,refer,19,mammoth,19,ames,19,road,19,even,19,street,19,while,19,other,18,education,18,get,18,you’re,17,offer,17,pro-woman,17,when,16,help,16,been,16,haverhill,16,intended,16,call,16,lawrence,16,lowell,16,presented,15,copyright,15,professional,15,arbitrary,15,people,15,step,15,discrimination,15,wait,15,learn,15,may,15,website,15,here,15,text,15,relied,15,purposes,15,navigation,15,auto-generated,15,religious,15,rights,15,upon,15,general,15,northeast,15,substitute,15,toggle,15,row,14,contains,14,return,14,take,14,number,14,uploading,14,link,14,files,14,size,14,form,14,content,14,last,14,exceeds,14,must,14,placeholders,14,like,14,complete,14,saving,14,problem,14,would,13,got,13,make,12,them,12,before,12,needed,12,completely,12,confidential,12,heavy,12,client,11,consider,11,best,11,give,11,share,11,own,11,kind,11,really,11,going,11,tunnel,10,also,10,warmth,10,slightly,10,welcomed,10,removed,10,peer-counselor,10,focused,10,renewed,10,talk,10,listen,10,went,10,means,10,map,10,struggles,10,felt,10,belonged,10,knowledge,10,it’s,10,took,10,helped,10,develop,10,"""didnt""",10,nicely,10,just,10,trenches,10,lot,10,specialize,10,thoughts,10,stressed,10,safe,10,leave,10,judgment,10,uplifting,10,walked,10,health,10,some,9,risks,9,feel,9,available,9,there,9,"""youve""",9,questions,8,serious,8,taken,8,decision,8,unplanned,7,12
count18,http://pccnortheast.org/,15,pregnancy,182,you,141,abortion,134,only,103,auto,90,your,90,they,85,center,85,this,84,care,80,services,76,not,71,var,70,can,69,sat,64,our,63,support,60,pcc,60,file,57,all,57,closed,52,provide,52,contact,51,mon,48,location,48,month,48,wed,48,fri,48,thurs,48,tues,48,after,47,appointment,45,adoption,44,testing,43,symptoms,41,parenting,38,ultrasounds,38,options,36,free,35,know,34,but,34,one,34,new,32,faq,32,students,32,how,31,because,31,gave,30,type,30,medical,30,about,28,have,27,need,27,more,26,information,26,without,26,who,26,someone,25,any,25,test,24,what,22,body,22,women,22,ultrasound,22,able,21,sometimes,21,should,20,current,20,former,20,different,19,merrimack,19,refer,19,mammoth,19,ames,19,road,19,even,19,street,19,while,19,other,18,education,18,get,18,you’re,17,offer,17,pro-woman,17,when,16,help,16,been,16,haverhill,16,intended,16,call,16,lawrence,16,lowell,16,presented,15,copyright,15,professional,15,arbitrary,15,people,15,step,15,discrimination,15,wait,15,learn,15,may,15,website,15,here,15,text,15,relied,15,purposes,15,navigation,15,auto-generated,15,religious,15,rights,15,upon,15,general,15,northeast,15,substitute,15,toggle,15,row,14,contains,14,return,14,take,14,number,14,uploading,14,link,14,files,14,size,14,form,14,content,14,last,14,exceeds,14,must,14,placeholders,14,like,14,complete,14,saving,14,problem,14,would,13,got,13,make,12,them,12,before,12,needed,12,completely,12,confidential,12,heavy,12,client,11,consider,11,best,11,give,11,share,11,own,11,kind,11,really,11,going,11,tunnel,10,also,10,warmth,10,slightly,10,welcomed,10,removed,10,peer-counselor,10,focused,10,renewed,10,talk,10,listen,10,went,10,means,10,map,10,struggles,10,felt,10,belonged,10,knowledge,10,it’s,10,took,10,helped,10,develop,10,"""didnt""",10,nicely,10,just,10,trenches,10,lot,10,specialize,10,thoughts,10,stressed,10,safe,10,leave,10,judgment,10,uplifting,10,walked,10,health,10,some,9,risks,9,feel,9,available,9,there,9,"""youve""",9,questions,8,serious,8,taken,8,decision,8,unplanned,7,13
count2,https://ahprc.org/,14,var,215,hope,115,pregnancy,110,abundant,101,center,99,resource,88,prolife,66,auto,63,solid,56,all,52,function,50,new,50,your,48,you,47,donate,40,please,39,this,38,page,38,our,37,try,37,opens,34,del,32,about,32,view,31,none,30,get,29,have,28,form,28,attleboro,28,contact,26,here,26,column,25,involved,23,else,23,free,23,marketing,22,events,21,more,21,newh,20,transparent,20,card,20,enter,20,oldwidth,20,women,20,cartcheckout,20,box,18,window,18,windowmail,17,display,17,can,17,surrendering,17,their,17,help,17,"""cards""",16,ally,16,life,15,information,15,screen,15,tax,14,baby,14,fill,14,home,14,not,14,make,13,fields,13,abortion,13,top,13,copyright,13,check,12,password,12,body,12,only,12,support,12,accept,12,secret,11,privacy,11,content,11,campaign,11,annual,11,available,11,presize,11,skip,11,resources,11,gifts,11,designed,11,load,11,return,10,deductible,10,auto-generated,10,spinner-animation,10,spuvar,10,originaladdeventlistener,10,svg,10,find,10,removeloading,10,protected,10,prcabundant,10,extent,10,dtshare,10,dtlocal,10,div,10,tuesday,10,allowed,10,giving,10,products,10,const,10,file,10,simplebannerscriptparams,10,"""jessicas""",10,inline,10,diaper,9,services,9,provide,9,who,9,healing,9,click,9,many,9,number,9,blockquote,8,may,8,code,8,"""of""",8,heart,8,expiration,8,what,8,medical,8,table,8,opacity,8,mailing,8,digital,7,typeof,7,unplanned,7,email,7,through,7,how,7,bank,7,men,7,thank,7,they,7,financial,7,community,7,ease,7,message,6,church,6,programs,6,khorasan,6,-webkit-transform,6,again,6,schedule,6,security,6,index,6,payment,6,color,6,country,6,also,6,general,6,mmm,6,forces,6,very,6,providing,6,valid,6,ministry,6,clients,5,name,5,monthly,5,time,5,feel,5,positive,5,individuals,5,hitobject,5,while,5,fundraising,5,select,5,when,5,god,5,people,5,become,5,loss,5,correct,5,past,5,children,5,too,5,event,5,been,5,order,5,offer,5,comfortable,5,error,5,use,5,partner,5,serving,4,donation,4,serve,4,"""at""",4,compassionate,4,freedom,4,which,4,need,4,alternative,4,azarbaijan,4,2
count20,https://www.pregnancyhelpboston.org/contact.php,8,new,40,warren,27,instanceof,20,var,18,oak,14,south,13,get,12,google,12,"""google""",12,street,11,agent,11,must,11,extends,10,call,9,objects,9,this,9,require,9,"""use""",8,free,8,local,8,contact,8,maps,8,not,8,function,8,directions,7,natick,7,primitive,7,return,7,when,6,enable,6,hours,6,text,6,features,6,pregnancy,6,you,6,private,6,brockton,6,easy,5,appointment,5,requires,5,how,5,javascript,5,web,5,have,5,storage,4,complete,4,rightclick,4,body,4,eliminated,4,remains,4,minus,4,times,4,never,4,access,4,dead,4,view,4,other,4,contextmenu,4,boston,4,help,4,initialize,4,enough,4,error,4,due,4,solid,4,"""mute""",4,"""product""",4,empty,4,see,4,syntax,4,sans,4,driving,4,whatever,4,available,4,same,4,read,4,property,4,keypress,4,mousedown,4,length,4,operation,3,obfuscation,3,configuration,3,rule,3,replacement,3,twice,3,one,3,cms,3,while,3,elements,3,field,3,content,3,setting,3,occured,3,suite,3,center,3,browser,3,preferred,3,designers,3,runtime,3,value,2,enabled,2,contains,2,your,2,slight,2,fill,2,facebook,2,info,2,office,2,object,2,unable,2,try,2,tues,2,twitter,2,type,2,youtube,2,out,2,powerful,2,all,2,accessible,2,overview,2,name,2,here,2,can,2,thursday,2,invalid,2,editors,2,friday,2,first,2,gajshost,2,parking,2,missing,2,"""dont""",2,catch,2,support,2,loader-config,2,differences,2,rotate,2,select,2,brighton,2,phone,2,wednesday,2,form,2,loop,2,configurable,2,global,2,room,2,apis,1,extrawidth,1,covered,1,delete,1,wed,1,service,1,extra,1,avenue,1,mon,1,jamaica,1,español,1,site,1,more,1,values,1,services,1,simplicity,1,variables,1,should,1,installs,1,instructions,1,instrument,1,customizable,1,necessary,1,customers,1,near,1,date,1,shutting,1,intercepting,1,internet,1,sign,1,attribute,1,initialising,1,setup,1,initial,1,set,1,protected,1,containing,1,now,1,style,1,comments,1,possibly,1,they,1,subs,1,functionality,1,heap,1,full,1,powered,1,social,1,par,1,capture,1,pagetracker,1,time,1,caller,1,14
count22,http://www.newdirectionpc.org/,19,you,143,new,129,pregnancy,96,contact,93,options,88,center,85,direction,83,about,78,your,75,hours,73,services,70,our,68,information,63,var,59,men,57,call,57,any,56,not,55,text,55,students,52,make,52,faq,52,none,51,can,51,this,48,free,48,abortion,47,appointment,45,may,43,use,42,adoption,42,classes,42,ultrasounds,41,tests,40,parenting,40,else,38,donate,36,message,35,learn,34,counseling,34,closed,34,email,32,please,32,more,31,name,30,privacy,29,sites,28,terms,28,policy,25,have,24,also,24,when,24,site,22,these,21,other,21,get,21,all,21,school,21,first,21,function,20,file,20,street,19,touch,19,"""womens""",18,facebook,18,links,17,used,17,inline,17,send,17,due,17,mobile,17,schools,17,does,17,url,17,bad,17,how,17,auto-generated,17,local,17,quick,16,script,16,nav,16,donor,16,hover,16,women’s,16,directions,15,through,15,services---pregnancy,14,preferred,14,method,14,available,13,their,13,phone,13,what,13,help,13,client,12,registration,12,one,12,berkshire,12,high,11,provide,11,such,11,team,11,state,10,confidential,10,women,10,important,9,under,9,personal,9,financial,9,regarding,9,questions,9,trained,8,content,8,here,8,using,8,who,8,upon,8,support,8,but,8,including,8,service,8,need,8,material,8,materials,8,necessary,7,only,7,some,7,without,7,unplanned,7,which,7,protect,7,limited,7,most,7,obtained,6,disclose,6,there,6,statement,6,schedule,6,experience,6,current,6,clients,6,always,6,determine,6,while,6,part,6,them,6,whether,6,personally,6,internet,6,take,6,earn,6,those,6,auto,6,choose,6,both,6,tell,5,would,5,should,5,baby,5,why,5,calling,5,choices,5,secretary,5,collect,5,products,5,provided,5,required,5,attorney,5,contained,5,after,5,user,5,users,5,receive,5,conditions,5,identifiable,5,licensors,5,appropriate,5,it’s,5,online,5,rights,5,imply,5,performed,4,return,4,must,4,experiencing,4,perform,4,along,4,exclusion,4,decision,4,today,4,county,4,informed,4,home,4,many,4,present,4,day,4,way,4,nor,4,identification,4,apply,4,15
count23,http://www.mfhouse.net/,2,domain,32,var,21,function,16,your,14,you,12,search,11,per,9,namebright,8,currentst,8,transfer,6,privacy,6,get,6,new,5,"""at""",5,this,5,click,5,pricing,5,"""cost""",5,bulk,5,account,4,advanced,4,see,4,return,4,slideindex,3,haserrors,3,regular,3,learn,3,save,3,name,3,want,3,bruid,3,protection,3,history,3,registration,3,whois,3,else,3,dom,3,free,3,secure,3,domains,3,create,3,easy,2,values,2,been,2,more,2,management,2,our,2,time,2,subtab,2,funded,2,use,2,then,2,bank,2,account”,2,being,2,features,2,first,2,method,2,manage,2,have,2,cost’,2,email,2,transfers,2,select,2,via,2,renew,2,‘at,2,“bill,2,pre-fund,2,wire,2,wizards,2,all,2,simply,2,payment,2,prices,2,registrations,2,committed,1,mountain,1,whole,1,scalable,1,freeze,1,step,1,while,1,wholesale,1,years,1,built,1,typing,1,deleted,1,year,1,might,1,true,1,cancel,1,within,1,money,1,help,1,today,1,registered,1,know,1,registrar,1,arrow,1,knowledge,1,simple,1,buy,1,what’s,1,top,1,ever,1,must,1,what,1,timezonestring,1,refreshing,1,we’ve,1,exactly,1,here,1,details,1,last,1,visit,1,advantage,1,aid,1,browser,1,please,1,own,1,subsequent,1,how,1,which,1,tools,1,short,1,terms,1,dots,1,lot,1,down,1,rights,1,upgrade,1,displayed,1,upgraded,1,ground,1,going,1,processes,1,process,1,base,1,setting,1,straight,1,box,1,far,1,made,1,great,1,"""whois""",1,than,1,data,1,check,1,telling,1,"""left""",1,login,1,only,1,logooff,1,logoon,1,long,1,api,1,online,1,back,1,period,1,following,1,unless,1,change,1,"""true""",1,permanently,1,apply,1,contact,1,needed,1,each,1,generation,1,cart,1,ssl,1,immediately,1,they,1,easier,1,currently,1,letting,1,premium,1,ease,1,before,1,catch,1,try,1,body,1,activest,1,make,1,remove,1,removed,1,slidetimer,1,forwarding,1,next,1,take,1,using,1,solid,1,conditions,1,hints,1,most,1,preparation,0,prescription,0,pregnanciesincomplete,0,prepaid,0,16
