index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count11,http://www.pregnancyhelpclinic.com/,6,help,65,you,52,pregnancy,43,var,42,year,39,your,38,clinic,35,visible,32,this,31,new,29,flushing,25,services,23,river,22,grand,22,ave,20,have,20,they,19,medical,18,function,16,all,16,search,13,support,13,our,12,extend,12,care,12,web,12,experience,11,ago,11,not,11,staff,10,accessible,10,transform,10,local,9,every,9,seconds,9,she,8,when,8,about,8,swinginx,8,place,8,bounceindown,8,swingoutx,8,bounceoutup,8,slideuphr,8,there,8,flipinx,8,through,8,flipoutx,8,opens,8,slidedownhr,8,very,7,try,7,parentheight,7,childheight,7,baby,7,google,7,center,7,women,7,make,6,learn,6,recommend,6,still,6,free,6,more,6,after,6,"""google""",6,available,6,out,6,provide,6,life,6,abortion,6,feel,6,here,6,found,6,licensed,5,should,5,way,5,these,5,relationship,5,information,5,marketing,5,health,5,years,5,details,5,wonderful,5,brighton,5,how,5,thank,5,highest,5,get,5,highly,5,location,5,own,5,people,5,see,5,doctor,5,design,5,test,5,education,5,can,5,back,5,contact,5,went,5,right,5,access,5,those,4,left,4,said,4,full,4,classes,4,reached,4,hope,4,like,4,videos,4,working,4,quiz,4,whatever,4,her,4,but,4,window,4,what,4,practice,4,mental,4,offers,4,during,4,women’s,4,than,4,time,4,first,4,"""use""",4,been,4,i’m,4,contentstring,4,had,4,flint,4,phc,4,clients,4,seo,4,isdraggable,4,home,3,offer,3,amazing,3,blogging,3,want,3,video,3,offering,3,needed,3,love,3,highestbox,3,content,3,offered,3,appointment,3,always,3,internet,3,membership,3,come,3,professional,3,else,3,mentoring,3,mom,3,grateful,3,impact,3,navigate,3,step,3,each,3,media,3,sometimes,3,property,3,before,3,nurse,3,nurses,3,helpful,3,believe,3,discuss,3,social,3,any,3,read,3,closed,3,because,3,scary,3,now,3,schedule,3,must,3,connection,3,advanced,3,everyone,3,heard,3,complete,3,labor,2,select,2,sexual,2,mobile,2,call,2,need,2,until,2,sent,2,settings,2,next,2,protection,2,predictions,2,3
count14,https://www.lennoncenter.org/,18,var,224,pregnancy,164,you,127,center,115,lennon,109,parenting,100,auto,96,our,84,your,62,about,61,classes,61,services,55,can,53,contact,52,none,48,have,44,following,43,emergency,42,abortion,41,all,40,adoption,40,after,37,appointment,36,contraception,36,test,34,facts,34,symptoms,34,men,33,this,33,assistance,33,ultrasound,32,free,32,not,32,options,32,entered,32,material,30,call,30,tests,28,make,27,during,26,offer,26,days,25,non-judgmental,23,home,23,verification,22,more,22,get,21,what,20,sure,19,donate,19,faqs,19,provides,19,function,19,they,18,preferred,18,fill,18,below,18,check,17,who,17,number,17,fields,16,ctpublic,16,rights,16,registered,16,file,16,ctnocache,16,correct,16,page,16,fix,16,divi,16,auto-generated,16,inline,16,select,16,copyright,16,wrong,16,followfollowfollow,15,help,14,please,14,women,14,hcg,13,fri,13,information,13,may,13,first,13,need,13,how,12,those,12,wic,12,best,11,receive,11,here,11,text,11,hormone,11,time,11,questions,11,but,11,their,11,learn,11,should,11,through,11,would,10,new,10,don’t,10,period,10,read,10,see,10,baby,10,negative,10,than,10,office,10,open,10,attend,10,between,9,schedule,9,child,9,last,9,three,9,provide,9,arbor,8,take,8,skills,8,come,8,other,8,limited,8,detect,8,day,8,ann,8,good,8,having,8,ultrasounds,8,support,8,form,8,it’s,7,team,7,being,7,sign,7,care,7,able,7,dearborn,7,items,7,trained,7,plan,7,offered,7,doesn’t,7,some,7,question,7,book,7,still,7,ask,6,months,6,positive,6,apply,6,education,6,also,6,week,6,family,6,medicaid,6,every,6,into,6,name,6,offers,6,knowledge,6,parents,6,there,6,these,6,based,6,taken,6,only,6,counseling,6,medical,6,step,6,today,6,indication,5,clients,5,another,5,give,5,parent,5,pictures,5,confidential,5,interested,5,same-day,5,reason,5,send,5,age,5,common,5,better,5,community,5,doubles,5,newborn,5,use,5,needs,5,knowing,5,early,5,laboratory,5,back,5,pregnant,5,retest,5,health,5,accurate,5,happy,5,4
count16,http://www.pregnancyaiddetroit.org/,4,var,31,your,19,pregnancy,19,open,13,discussion,12,aid,11,detroit,11,this,10,support,10,mom,10,have,9,you,9,what,9,mar,8,tickets,8,wizcom,7,our,7,about,7,all,7,none,7,not,6,more,6,provide,6,breastfeeding,6,auto,6,file,5,group,5,learn,5,their,5,calendar,5,how,5,add,5,website,4,belly,4,moms-to-be,4,feeding,4,provides,4,reading,4,home,4,need,4,new,4,email,4,take,4,continue,4,custom,3,problem,3,help,3,professionals,3,service,3,financial,3,don’t,3,find,3,please,3,thefeed™,3,wordpress,3,portal,3,means,3,fix,3,after,3,menu,3,brochure,3,one,3,here,3,complete,3,clients,3,such,3,design,3,request,3,else,3,moms,3,client,3,habits,2,show,2,café,2,offer,2,women,2,company,2,month,2,friends,2,launches,2,ways,2,information,2,"""text""",2,type,2,call,2,redefining,2,error,2,literacy,2,join,2,march,2,space,2,inline,2,legal,2,true,2,right,2,can,2,talents,2,typeof,2,discuss,2,keva,2,truly,2,comments,2,latest,2,improve,2,powered,2,when,2,simply,2,come,2,css,2,family,2,development,2,triggeroffsety,2,stylesheet,2,customer,2,labor,2,doing,2,size,2,six,2,triggeroffsetx,2,triggerpositionx,2,shop,2,wic,2,"""todays""",2,realties,2,web,2,today’s,2,free,2,"""ltr""",2,triggersize,2,aims,2,triggerradius,2,triggerpositiony,2,nutrition,2,comment,2,mental,2,topics,2,pooled,2,inviting,2,dembrow,2,relaxed,2,technology,2,intended,2,stop,2,dietary,2,content,2,activity,2,life,2,write,2,into,2,auto-generated,2,sessions,2,understand,2,mile,2,apr,2,tech,2,sustainable,2,physical,2,over,2,senior,2,let,2,want,2,name,2,feb,2,child,2,services,2,address,2,girl,2,limited,2,there,2,make,2,send,2,been,2,theme,2,mon,1,delete,1,first,1,sexual,1,autopauseslideshow,1,processing,1,unplanned,1,delay,1,myriad,1,autostart,1,autoplayvideos,1,food,1,forceloopnum,1,jargon,1,site,1,available,1,professional,1,footerhtml,1,non-diagnostic,1,vendors,1,uploading,1,triggericon,1,interested,1,since,1,dell,1,industries,1,must,1,5
count17,https://impregnant.org/ /// https://bethany.org/locations/us/michigan/east-lansing,4,our,120,you,57,have,45,family,38,your,34,adoption,32,eastern,29,ave,29,care,27,love,26,child,25,years,25,foster,23,time,21,support,19,married,18,after,18,grand,17,this,17,about,17,know,16,through,16,services,16,home,16,get,16,new,16,global,16,grow,14,families,13,been,13,bethany,13,refugee,12,immigrant,12,help,11,more,11,when,10,god,10,into,10,loves,10,parents,10,year,9,out,9,function,9,best,9,always,9,other,9,var,9,all,9,what,9,each,9,church,8,had,8,wait,8,can,8,locations,8,find,8,pregnancy,8,give,8,very,8,friends,8,would,8,birth,8,met,8,going,8,got,7,every,7,enjoy,7,make,7,look,7,began,7,his,7,blessed,7,many,7,them,7,relationship,7,not,7,resources,7,want,7,expectant,7,spending,6,desire,6,safe,6,careers,6,cannot,6,adopt,6,things,6,work,6,thank,6,first,6,old,6,christian,6,room,6,learn,6,life,6,committed,5,which,5,taking,5,donate,5,study,5,part,5,thankful,5,there,5,together,5,son,5,around,5,few,5,playing,5,world,5,dating,5,she,5,else,5,promise,5,started,5,events,5,one,5,plan,5,but,5,stories,5,infertility,5,children,5,adult,4,decision,4,lord,4,great,4,empower,4,local,4,him,4,much,4,press,4,adoptee,4,both,4,growing,4,little,4,counseling,4,counselor,4,small,4,ago,4,now,4,two,4,approximately,4,long-term,4,they,4,jeff,4,soon,4,hope,4,knew,4,privacy,4,being,4,beautiful,4,several,4,opportunity,4,excited,4,who,4,family-based,4,welcome,4,where,4,visiting,4,even,4,play,4,forward,4,engaged,4,considering,4,serve,4,involved,4,refugees,4,journey,4,her,4,short-term,4,faith,4,contact,4,pray,3,house,3,daughter,3,grown,3,whatever,3,mothers,3,christmas,3,complete,3,wanted,3,live,3,why,3,legacy,3,team,3,individuals,3,chat,3,their,3,another,3,almost,3,nate,3,must,3,grateful,3,near,3,volunteer,3,path,3,right,3,leave,3,feel,3,mother,3,center,3,lots,3,6
count18,https://pregnancylansing.com/,22,pregnancy,424,you,412,abortion,281,var,275,your,271,have,218,can,184,free,156,information,149,may,146,contact,145,help,125,this,116,test,110,not,103,about,98,schedule,98,sexual,88,east,88,health,84,side,83,choices,82,guys,80,faqs,76,callback,76,adoption,71,recovery,70,confidential,69,there,67,center,66,after,63,none,61,case,60,no-repeat,60,pill,59,services,59,our,56,support,56,grand,54,cedar,53,questions,53,all,51,layout,50,think,49,any,49,new,48,facts,47,walk,46,privacy,45,parent,45,had,44,south,44,deciding,44,answer,44,morning,43,more,43,get,43,donate,42,methods,42,always,41,whenever,41,appointment,40,simply,40,suite,40,call,40,ins,40,screen,40,html,40,don’t,39,many,39,chance,39,"""function""",38,params,38,typeof,38,pattern,38,use,38,sitekey,38,data,36,service,36,policy,36,other,35,personal,34,here,34,offer,32,but,31,tests,30,see,30,text,30,counseling,29,parenting,28,women,28,company,28,childbirth,27,what,27,weeks,27,referrals,27,options,27,ultrasounds,26,packets,26,baby,26,take,26,function,26,learn,26,through,25,when,25,class,25,make,25,they,24,content,24,yes,24,cookies,24,come,23,forms,23,click,22,symptoms,22,disclaimers,22,interested,21,event,21,site,21,email,21,which,21,first,21,during,21,main,21,ink,20,menu,20,multiple,20,showing,20,background,20,design,20,header,20,skip,20,inline,20,plan,20,auto-generated,20,file,20,phink,20,verify,20,"""data-expired-callback""",19,"""data-sitekey""",19,switch,19,recaptchawidgets,19,false,19,"""data-size""",19,surgical,19,"""data-tabindex""",19,"""data-theme""",19,"""data-badge""",19,"""data-type""",19,"""div""",19,"""data-callback""",19,"""callback""",19,"""expired-callback""",19,divs,19,"""form""",19,name,19,these,19,only,19,message,19,recaptchacallback,19,out,18,does,18,time,18,using,18,some,18,subject,18,trimester,18,morning-after,18,abortions,18,let,18,following,17,such,17,just,17,know,16,who,16,search,15,been,15,how,15,genital,15,now,15,please,14,one,14,most,14,river,14,medical,14,start,14,even,14,under,13,their,13,over,13,provide,13,find,13,disease,12,appear,12,people,12,also,12,important,12,before,12,sex,12,cause,12,7
count19,http://www.womanspregnancychoice.com/,13,"""open""",330,pregnancy,283,all,187,solid,182,you,168,way,156,another,132,center,128,your,108,our,97,auto,95,opacity,88,information,86,var,83,user,69,color,66,-webkit-transform,66,not,60,screen,56,this,54,any,51,use,50,blockquote,48,transform,44,farmington,40,only,38,ease,36,free,35,like,35,about,34,get,34,theme,33,license,33,services,33,divi,33,following,32,contact,32,abortion,32,retrieved,31,terms,31,may,30,options,30,website,28,blog,27,new,27,these,27,email,26,make,26,other,26,confidential,25,copyright,25,entered,24,fix,24,medical,23,such,23,function,23,what,22,more,22,privacy,22,background-color,22,online,21,can,21,mile,21,does,21,professional,20,offer,20,most,20,personal,20,provided,19,policy,19,guys,19,under,19,linux,19,websites,18,michigan,18,october,18,content,18,google,18,find,17,support,17,have,17,sure,17,friends,17,should,16,grants,16,check,16,del,16,drug,16,learn,16,team,16,would,16,educational,15,general,15,select,15,service,15,help,15,rights,14,address,14,home,14,public,14,birth,14,time,14,below,13,member,13,using,13,through,13,plugin,13,inline-block,13,how,13,provides,13,substitute,13,supporter,12,icons,12,disclaimer,12,her,12,quick,12,correct,12,wrong,12,food,12,number,12,display,12,relied,12,hidden,12,icon,12,encoder,12,page,12,fields,12,within,12,centers,12,span,12,fill,12,daniel,11,gnu,11,health,11,author,11,thead,11,linksreferences,11,directions,11,terminations,11,elegant,11,refer,11,involved,11,powerful,11,themes,11,licensed,11,cookies,11,mit,11,nav,11,right,11,"""womans""",11,eden,11,html,11,material,10,unplanned,10,women,10,appointment,10,their,10,best,10,care,10,need,9,pill,9,provide,9,baby,9,rank,9,take,9,mifeprex,9,account,9,when,9,been,9,related,9,march,9,here,8,conditions,8,events,8,than,8,allow,8,unintended,8,they,8,uses,7,monday,7,hours,7,monsters,7,providing,7,certified,7,donate,7,read,7,used,7,give,7,call,7,next,7,but,7,april,7,also,7,management,7,access,7,closed,7,pregnant,7,work,7,responsible,7,center’s,7,8
count21,https://impregnant.org/,4,our,112,you,79,have,57,family,50,your,49,adoption,39,love,36,eastern,29,ave,29,care,28,this,26,foster,23,support,23,through,21,about,20,child,19,know,18,time,18,also,18,very,18,grand,17,global,16,her,16,new,16,get,16,families,16,been,16,can,15,services,15,home,15,friends,14,enjoy,14,his,13,would,13,parents,13,find,13,both,12,immigrant,12,always,12,more,12,refugee,12,bethany,12,excited,11,help,11,being,11,birth,11,church,11,work,11,make,11,many,10,loves,10,live,10,active,10,there,10,she,10,all,10,not,10,like,10,what,9,function,9,one,9,var,9,god,9,children,9,how,9,when,9,going,9,local,8,best,8,locations,8,much,8,spending,8,hope,8,close,8,pregnancy,8,who,8,married,7,involved,7,together,7,else,7,they,7,had,7,part,7,careers,7,pray,7,each,7,but,7,into,7,large,7,learn,7,decision,7,events,7,only,6,see,6,extended,6,read,6,reading,6,things,6,praying,6,include,6,resources,6,now,6,emma,6,able,6,playing,6,where,6,christian,6,adopt,5,counselor,5,expectant,5,own,5,continue,5,may,5,another,5,meet,5,while,5,kids,5,share,5,their,5,we’re,5,them,5,study,5,around,5,christina,5,thankful,5,complete,5,honored,5,donate,5,give,5,two,5,school,5,some,5,met,5,other,5,relationship,5,journey,5,throughout,5,room,5,attend,5,walking,5,year,5,south,5,most,4,important,4,community,4,refugees,4,consider,4,decisions,4,even,4,honor,4,want,4,enjoys,4,every,4,come,4,empower,4,"""cant""",4,full,4,getting,4,look,4,path,4,taking,4,sweet,4,forward,4,contact,4,people,4,long-term,4,having,4,respect,4,fun,4,privacy,4,lots,4,beach,4,open,4,great,4,feel,4,short-term,4,such,4,wait,4,meg,4,walk,4,plan,4,stories,4,press,4,sister,4,infant,4,adoptee,4,adult,4,play,4,blessed,4,years,4,cookies,4,out,4,family-based,4,never,4,mike,4,made,4,him,4,college,4,safe,4,welcome,4,9
count25,https://impregnant.org/ // https://bethany.org/locations/us/michigan/grand-rapids,4,our,128,you,104,have,61,family,56,your,49,love,44,this,32,adoption,32,care,32,time,31,child,30,eastern,29,ave,29,know,28,about,26,through,23,she,23,foster,23,her,22,support,22,but,21,get,20,very,20,all,20,home,19,his,19,being,18,been,18,also,18,they,18,grand,17,each,17,what,17,global,16,birth,16,services,16,other,16,help,16,families,16,not,15,going,15,new,15,hope,15,can,15,little,14,live,14,when,14,children,14,make,13,spending,13,years,13,best,13,more,13,loves,13,into,12,lives,12,would,12,always,12,immigrant,12,refugee,12,bethany,12,parents,12,annie,12,like,11,out,11,give,11,friends,11,find,11,both,11,god,11,every,11,want,10,taking,10,two,10,married,10,met,10,their,10,excited,10,much,10,how,10,together,10,work,10,life,9,function,9,learn,9,things,9,him,9,having,9,look,9,playing,9,only,9,var,9,around,9,part,8,great,8,them,8,share,8,knew,8,pregnancy,8,over,8,decision,8,while,8,locations,8,who,8,enjoy,8,where,7,brother,7,nate,7,making,7,made,7,after,7,else,7,one,7,plan,7,just,7,church,7,choose,6,kids,6,many,6,grow,6,involved,6,community,6,logan,6,blessed,6,day,6,resources,6,another,6,college,6,room,6,careers,6,feel,6,big,6,pray,6,felt,6,relationship,6,thank,6,year,6,school,6,expectant,6,christian,6,nate’s,5,events,5,respect,5,even,5,meet,5,reading,5,everything,5,hearts,5,able,5,"""hes""",5,old,5,three,5,understand,5,praying,5,had,5,contact,5,grew,5,safe,5,adopted,5,plans,5,these,5,which,5,there,5,own,5,may,5,likes,5,truly,5,stories,5,donate,5,lot,5,first,5,because,5,take,5,something,4,close,4,desire,4,refugees,4,full,4,five,4,long-term,4,now,4,high,4,son,4,than,4,start,4,loved,4,opportunity,4,rest,4,courage,4,really,4,four,4,house,4,wait,4,local,4,found,4,family-based,4,counseling,4,fun,4,works,4,study,4,10
count27,http://www.prcgr.org/,25,you,387,abortion,349,grand,326,testing,231,prc,229,pregnancy,216,services,190,your,189,options,175,var,165,faqs,150,medical,149,pill,137,our,136,community,129,support,129,men,128,not,124,more,123,resources,122,this,115,learn,113,std,112,contact,107,solid,96,parenting,91,can,90,file,90,ultrasounds,86,adoption,84,treatment,84,rapids,83,referrals,80,donate,78,been,77,students,77,methods,76,none,76,consultation,75,when,75,reviews,75,blog,75,new,74,partners,73,hope,72,cost-free,72,cherry,71,offer,70,there,67,positive,65,know,64,all,63,have,62,professional,58,information,57,about,54,gave,54,may,52,free,50,their,50,michigan,49,body,48,women,46,true,44,type,44,full,42,how,40,cost,39,care,37,needed,36,think,36,after,35,who,35,want,34,need,34,staff,33,lab-quality,32,what,32,providing,32,administered,31,tests,30,help,30,make,29,one,29,those,29,trained,29,while,28,provide,28,seek,28,compassion,27,respectful,27,time,27,unexpectedly,27,pride,27,function,27,call,27,ourselves,27,scroll,26,text,25,use,25,navigation,25,appointment,25,receiving,25,get,25,privacy,25,complete,25,return,24,website,24,intended,24,informational,24,false,24,toggle,24,disclaimer,24,event,24,auto-generated,24,terms,24,purposes,24,substitute,24,must,24,else,24,textarea,24,right,24,should,24,inline,24,statement,24,form,23,uploading,23,number,23,through,23,much,23,files,22,contents,22,delay,22,"""ltr""",22,size,22,wait,22,link,22,contains,22,exceeds,22,row,22,content,22,placeholders,22,saving,22,"""text""",22,into,22,chrome,22,milliseconds,22,bug,22,problem,22,fix,22,any,21,now,21,very,21,good,21,safe,20,always,20,place,19,overwhelmed,19,started,19,advocate,19,ultrasound,19,ability,18,shortly,18,gifts,18,brought,18,thoughtfulness,18,helped,18,humbled,18,greatly,18,scared,18,appreciate,18,feeling,18,doubt—a,18,mess,18,confidence,18,test,18,map,18,tired,18,walked,18,peace,18,meeting,18,gift,18,also,17,questions,17,but,15,high,15,take,15,here,14,other,14,like,13,might,13,before,12,symptoms,12,unplanned,12,stds,11,out,11,early,11,risk,11,decision,11,confirm,11,11
count29,https://impregnant.org/ /// https://bethany.org/locations/us/michigan/holland,4,our,185,you,89,have,70,family,58,adoption,47,love,45,your,44,time,32,eastern,29,about,29,ave,29,this,29,know,29,care,28,child,27,support,26,his,25,parents,24,her,24,through,23,foster,23,get,21,she,20,both,20,god,20,been,18,always,17,new,17,hope,17,home,17,married,17,grand,17,when,16,global,16,birth,16,families,16,children,15,into,15,would,15,services,15,make,15,what,15,after,14,grow,14,also,13,learn,13,local,13,best,12,all,12,refugee,12,very,12,loves,12,immigrant,12,years,12,how,12,can,12,bethany,12,decision,11,their,11,each,11,who,11,give,11,playing,11,help,11,excited,11,find,11,taking,11,more,11,work,10,out,10,lives,10,but,10,much,10,pray,10,not,10,look,9,var,9,want,9,live,9,little,9,enjoy,9,relationship,9,first,9,function,9,around,8,christian,8,share,8,son,8,spending,8,baby,8,making,8,going,8,locations,8,teach,8,pregnancy,8,every,8,blessed,8,feel,8,one,8,knew,7,while,7,thank,7,great,7,had,7,hearts,7,many,7,just,7,where,7,life,7,they,7,being,7,right,7,emma,6,another,6,open,6,even,6,careers,6,good,6,loving,6,friends,6,room,6,grateful,6,them,6,adopted,6,part,6,college,6,own,6,looking,6,resources,6,him,6,ready,6,plan,6,consider,6,other,6,now,6,involved,6,big,6,thankful,5,south,5,events,5,having,5,respect,5,got,5,aaron,5,desire,5,fun,5,come,5,continue,5,lot,5,understand,5,cannot,5,values,5,like,5,close,5,donate,5,grew,5,year,5,wanted,5,choose,5,two,5,else,5,outside,5,met,5,expectant,5,stories,5,study,4,which,4,most,4,empower,4,provide,4,daily,4,large,4,amazing,4,imagine,4,school,4,born,4,trust,4,kids,4,brave,4,"""gods""",4,use,4,believe,4,before,4,privacy,4,complete,4,pretty,4,short-term,4,sweet,4,serve,4,journey,4,hanging,4,long-term,4,different,4,must,4,counselor,4,infant,4,never,4,praying,4,helped,4,welcome,4,12
