,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6,Total7
0,'action',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,'advanced',0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2,'aspire,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
3,'atflo',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,'cxavd',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,'google,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6,'gsete',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,'hdjje',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,'helpline',0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,'iqmzt',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,'jquery,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
11,'js',0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0
12,'ltr',0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
13,'module,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
14,'mute',1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,'new',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,'object',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,'open,24.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
18,'owrwj',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,'partially,28.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
20,'pledged',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,'product,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,'put,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
23,'px',0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24,'qfjzt',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,'retail',0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
26,'returning',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,'rhjip',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,'staff,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0
29,'text,0.0,0.0,18.0,0.0,0.0,0.0,0.0,18.0
30,'the,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
31,'thffd',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,'timing',0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,'ttkgf',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,'tuckg',0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
35,'ucjin',0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,'undefined',154.0,0.0,1.0,0.0,117.0,0.0,0.0,1.0
37,'use,2.0,2.0,18.0,1.0,0.0,0.0,0.0,18.0
38,'vghhw',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,'wcato',1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,'work,224.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0
