,Total
020px,12.0
03,1.0
07,1.0
08,1.0
09,1.0
0px,2476.0
0s,4.0
10,398.0
100,337.0
1000,57.0
1000000,4.0
1000px,20.0
1001px,1.0
100lb,1.0
100px,13.0
100vw,1.0
107,3.0
1080,4.0
10970,1.0
10am,87.0
10pt,10.0
10px,392.0
10vw,7.0
11,91.0
11001524,1.0
111,2.0
1131,19.0
116,3.0
118,20.0
11am,4.0
11px,14.0
11th,17.0
12,55.0
120,1.0
1200,1.0
1200px,1.0
120px,4.0
1212,30.0
122,2.0
1234,8.0
1250,24.0
12pm,12.0
12px,571.0
13,16.0
1300px,2.0
13px,27.0
13th,4.0
14,21.0
140vw,1.0
144,16.0
1440,3.0
14px,76.0
14th,29.0
14vw,2.0
15,35.0
150,1.0
15000,1.0
150px,4.0
1511,5.0
155,23.0
15px,161.0
15th,2.0
15vw,7.0
16,5.0
160,8.0
1600px,1.0
16011,1.0
160vw,1.0
167,1.0
16px,98.0
17,9.0
1700,1.0
170px,1.0
17px,54.0
18,26.0
185,1.0
18px,122.0
19,17.0
1973,7.0
1978,1.0
1980,1.0
1982,6.0
1983,3.0
1984,3.0
1986,1.0
1995,2.0
1997,3.0
19px,13.0
19th,1.0
19the,1.0
1em,469.0
1fr,17.0
1grand,4.0
1pm,1.0
1px,959.0
1rem,1.0
1s,893.0
1st,9.0
1vw,2.0
20,41.0
200,6.0
2000,1.0
2001,4.0
2005,3.0
2006,4.0
2007,4.0
2008,1.0
2009,5.0
200ms,105.0
200px,1.0
2010,6.0
2011,4.0
2012,3.0
2013,4.0
2014,16.0
2015,59.0
2016,56.0
2016celebrate,1.0
2017,12.0
2018,17.0
2019,50.0
2020,37.0
2021,41.0
20212,1.0
20213,2.0
20214,2.0
20216,1.0
2022,119.0
2022a,1.0
2022annual,1.0
2022as,1.0
2022finding,1.0
2022walk,1.0
2023,337.0
2023an,1.0
2023annual,2.0
2023executive,1.0
2023february,1.0
2023friday,1.0
2023if,1.0
2023january,1.0
2023night,1.0
2023october,1.0
2023save,2.0
2024,1.0
2034,2.0
20as,1.0
20july,1.0
20px,578.0
20thjuly,1.0
20vw,2.0
20we,1.0
20working,1.0
21,2.0
210px,20.0
214,8.0
21definitely,1.0
21px,3.0
21st,1.0
21working,1.0
22,7.0
220vw,1.0
228,2.0
22px,22.0
23,11.0
230,1.0
2334,21.0
2346,18.0
23px,64.0
24,48.0
2400px,1.0
246,16.0
2478,19.0
24px,61.0
25,8.0
250,5.0
250ms,4.0
250px,9.0
25p,4.0
25px,86.0
25vw,2.0
26,2.0
260px,16.0
26px,5.0
27,8.0
27october,1.0
27px,8.0
27thoctober,1.0
28,6.0
28350,19.0
28px,124.0
29,3.0
292,1.0
29350,1.0
29px,40.0
2em,55.0
2fr,2.0
2nd,99.0
2pm,27.0
