,token,Total0,Total1,Total2,Total3,Total4,Total5
0,pearson,85.0,0.0,0.0,85.0,0.0,0.0
1,place,102.0,0.0,0.0,102.0,0.0,0.0
2,pregnancy,98.0,0.0,0.0,98.0,0.0,0.0
3,resource,29.0,0.0,0.0,29.0,0.0,0.0
4,center,60.0,0.0,0.0,60.0,0.0,0.0
5,abortion,30.0,0.0,0.0,30.0,0.0,0.0
6,alternatives,2.0,0.0,0.0,2.0,0.0,0.0
7,provide,19.0,0.0,0.0,19.0,0.0,0.0
8,care,14.0,0.0,0.0,14.0,0.0,0.0
9,you,128.0,0.0,0.0,128.0,0.0,0.0
10,can,35.0,0.0,0.0,35.0,0.0,0.0
11,depend,4.0,0.0,0.0,4.0,0.0,0.0
12,this,50.0,0.0,0.0,50.0,0.0,0.0
13,includes,2.0,0.0,0.0,2.0,0.0,0.0
14,counseling,8.0,0.0,0.0,8.0,0.0,0.0
15,real,2.0,0.0,0.0,2.0,0.0,0.0
16,information,72.0,0.0,0.0,72.0,0.0,0.0
17,here,28.0,0.0,0.0,28.0,0.0,0.0
18,file,13.0,0.0,0.0,13.0,0.0,0.0
19,inline,11.0,0.0,0.0,11.0,0.0,0.0
20,none,33.0,0.0,0.0,33.0,0.0,0.0
21,auto,66.0,0.0,0.0,66.0,0.0,0.0
22,'open,44.0,0.0,0.0,44.0,0.0,0.0
23,new,22.0,0.0,0.0,22.0,0.0,0.0
24,add,11.0,0.0,0.0,11.0,0.0,0.0
25,your,94.0,0.0,0.0,94.0,0.0,0.0
26,own,18.0,0.0,0.0,18.0,0.0,0.0
27,css,11.0,0.0,0.0,11.0,0.0,0.0
28,click,11.0,0.0,0.0,11.0,0.0,0.0
29,help,27.0,0.0,0.0,27.0,0.0,0.0
30,icon,11.0,0.0,0.0,11.0,0.0,0.0
31,above,13.0,0.0,0.0,13.0,0.0,0.0
32,learn,18.0,0.0,0.0,18.0,0.0,0.0
33,screen,11.0,0.0,0.0,11.0,0.0,0.0
34,solid,18.0,0.0,0.0,18.0,0.0,0.0
35,background,11.0,0.0,0.0,11.0,0.0,0.0
36,awesome,11.0,0.0,0.0,11.0,0.0,0.0
37,free,46.0,0.0,0.0,46.0,0.0,0.0
38,confidential,18.0,0.0,0.0,18.0,0.0,0.0
39,tests,13.0,0.0,0.0,13.0,0.0,0.0
40,menu,11.0,0.0,0.0,11.0,0.0,0.0
41,home,13.0,0.0,0.0,13.0,0.0,0.0
42,about,38.0,0.0,0.0,38.0,0.0,0.0
43,services,38.0,0.0,0.0,38.0,0.0,0.0
44,testimonials,15.0,0.0,0.0,15.0,0.0,0.0
45,blog,14.0,0.0,0.0,14.0,0.0,0.0
46,donate,25.0,0.0,0.0,25.0,0.0,0.0
47,contact,30.0,0.0,0.0,30.0,0.0,0.0
48,woman,7.0,0.0,0.0,7.0,0.0,0.0
49,should,10.0,0.0,0.0,10.0,0.0,0.0
50,have,28.0,0.0,0.0,28.0,0.0,0.0
51,face,2.0,0.0,0.0,2.0,0.0,0.0
52,decision,4.0,0.0,0.0,4.0,0.0,0.0
53,alone,2.0,0.0,0.0,2.0,0.0,0.0
54,schedule,24.0,0.0,0.0,24.0,0.0,0.0
55,appointment,43.0,0.0,0.0,43.0,0.0,0.0
56,time,15.0,0.0,0.0,15.0,0.0,0.0
57,get,9.0,0.0,0.0,9.0,0.0,0.0
58,informed,6.0,0.0,0.0,6.0,0.0,0.0
59,testing,5.0,0.0,0.0,5.0,0.0,0.0
60,empowering,2.0,0.0,0.0,2.0,0.0,0.0
61,women,15.0,0.0,0.0,15.0,0.0,0.0
62,through,14.0,0.0,0.0,14.0,0.0,0.0
63,education,8.0,0.0,0.0,8.0,0.0,0.0
64,compassionate,6.0,0.0,0.0,6.0,0.0,0.0
65,support,12.0,0.0,0.0,12.0,0.0,0.0
66,std,3.0,0.0,0.0,3.0,0.0,0.0
67,more,10.0,0.0,0.0,10.0,0.0,0.0
68,pre,2.0,0.0,0.0,2.0,0.0,0.0
69,post,4.0,0.0,0.0,4.0,0.0,0.0
70,healing,2.0,0.0,0.0,2.0,0.0,0.0
71,address,23.0,0.0,0.0,23.0,0.0,0.0
72,mailing,11.0,0.0,0.0,11.0,0.0,0.0
