,token,Total0,Total1,Total2,Total3
0,'account,10.0,0.0,0.0,0.0
1,'accountholderemail',2.0,0.0,0.0,0.0
2,'action,11.0,0.0,0.0,0.0
3,'american,2.0,0.0,0.0,0.0
4,'amount,1.0,0.0,0.0,0.0
5,'amount',2.0,0.0,0.0,0.0
6,'antigua,1.0,0.0,0.0,0.0
7,'appropriate,3.0,0.0,3.0,3.0
8,'as,2.0,0.0,2.0,2.0
9,'at,1.0,0.0,1.0,1.0
10,'at',4.0,0.0,4.0,4.0
11,'automatic,1.0,0.0,0.0,0.0
12,'back',2.0,0.0,0.0,0.0
13,'balance,1.0,0.0,0.0,0.0
14,'bank,1.0,0.0,0.0,0.0
15,'bosnia,1.0,0.0,0.0,0.0
16,'bouvet,1.0,0.0,0.0,0.0
17,'british,1.0,0.0,0.0,0.0
18,'brunei,1.0,0.0,0.0,0.0
19,'burkina,1.0,0.0,0.0,0.0
20,'businessentitytype,1.0,0.0,0.0,0.0
21,'button',6.0,0.0,0.0,0.0
22,'buttoncontainer,2.0,0.0,0.0,0.0
23,'by,1.0,0.0,0.0,0.0
24,'cancel,1.0,0.0,0.0,0.0
25,'cancel',2.0,0.0,0.0,0.0
26,'cape,1.0,0.0,0.0,0.0
27,'cayman,1.0,0.0,0.0,0.0
28,'central,1.0,0.0,0.0,0.0
29,'christmas,1.0,0.0,0.0,0.0
30,'close',3.0,0.0,0.0,0.0
31,'cocos,1.0,0.0,0.0,0.0
32,'congratulations,1.0,0.0,1.0,1.0
33,'continue',1.0,0.0,0.0,0.0
34,'cook,1.0,0.0,0.0,0.0
35,'copyrightcontainer,6.0,0.0,0.0,0.0
36,'costa,1.0,0.0,0.0,0.0
37,'cote,1.0,0.0,0.0,0.0
38,'creditcard',1.0,0.0,0.0,0.0
39,'croatia,1.0,0.0,0.0,0.0
40,'czech,1.0,0.0,0.0,0.0
41,'dataviewliteproviders',1.0,0.0,0.0,0.0
42,'date,7.0,0.0,0.0,0.0
43,'democratic,2.0,0.0,0.0,0.0
44,'didselectcustomamount,1.0,0.0,0.0,0.0
45,'district,2.0,0.0,0.0,0.0
46,'dominican,1.0,0.0,0.0,0.0
47,'east,1.0,0.0,0.0,0.0
48,'editpaymentplanentityid,1.0,0.0,0.0,0.0
49,'el,1.0,0.0,0.0,0.0
50,'email,6.0,0.0,0.0,0.0
51,'enable,1.0,0.0,0.0,0.0
52,'ending,2.0,0.0,0.0,0.0
53,'enroll,1.0,0.0,0.0,0.0
54,'entityid,1.0,0.0,0.0,0.0
55,'equatorial,1.0,0.0,0.0,0.0
56,'errorbox',12.0,0.0,0.0,0.0
57,'explore,1.0,0.0,0.0,0.0
58,'fake,1.0,0.0,1.0,1.0
59,'falkland,1.0,0.0,0.0,0.0
60,'faroe,1.0,0.0,0.0,0.0
61,'federated,2.0,0.0,0.0,0.0
62,'finding,9.0,0.0,5.0,5.0
63,'first,3.0,0.0,0.0,0.0
64,'french,3.0,0.0,0.0,0.0
65,'get,1.0,0.0,0.0,0.0
66,'good,1.0,0.0,0.0,0.0
67,'google,5.0,0.0,3.0,3.0
68,'government,1.0,0.0,1.0,1.0
69,'guarantor,6.0,0.0,0.0,0.0
70,'have,1.0,0.0,0.0,0.0
71,'hcbpadvisible,1.0,0.0,0.0,0.0
72,'heard,1.0,0.0,0.0,0.0
73,'help',12.0,0.0,0.0,0.0
74,'hiddenfield',34.0,0.0,0.0,0.0
75,'hiddenmd,48.0,0.0,0.0,0.0
76,'hiddenxs,30.0,0.0,0.0,0.0
77,'hide,1.0,0.0,0.0,0.0
78,'holy,1.0,0.0,0.0,0.0
79,'hong,1.0,0.0,0.0,0.0
80,'href',1.0,0.0,0.0,0.0
81,'ignorecustomamountzero,1.0,0.0,0.0,0.0
82,'in,1.0,0.0,1.0,1.0
83,'inactivity,1.0,0.0,0.0,0.0
84,'initial',2.0,0.0,2.0,2.0
85,'instameddisplayfield',11.0,0.0,0.0,0.0
86,'insurance,3.0,0.0,0.0,0.0
87,'iseditpaymentplanflow,1.0,0.0,0.0,0.0
88,'ismultiar,1.0,0.0,0.0,0.0
89,'ismultiaraddaccount,1.0,0.0,0.0,0.0
90,'ismultiartotalamount,1.0,0.0,0.0,0.0
91,'isnewpaymentplanflow,1.0,0.0,0.0,0.0
92,'ispayagain,1.0,0.0,0.0,0.0
93,'ispaymentplanflow,1.0,0.0,0.0,0.0
94,'json',10.0,0.0,0.0,0.0
95,'keep,1.0,0.0,0.0,0.0
96,'label',1.0,0.0,0.0,0.0
97,'lao,1.0,0.0,0.0,0.0
98,'largetwelvecolumn,18.0,0.0,0.0,0.0
99,'last,3.0,0.0,0.0,0.0
100,'learn,1.0,0.0,0.0,0.0
101,'left',12.0,0.0,0.0,0.0
