index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,16,parenthood,360,planned,308,your,213,you,211,this,160,solid,157,var,152,health,140,only,111,our,103,label,102,screen,91,get,84,care,80,else,80,first,79,they,77,years,74,---,73,have,72,instanceof,70,about,69,new,66,all,65,family,60,services,60,main,53,time,53,can,52,choose,51,not,49,abortion,48,she,48,more,46,search,43,when,42,birth,41,seconds,41,ago,41,let,40,control,39,function,38,video,38,had,38,been,38,normal,37,how,37,return,36,other,35,always,35,one,35,appointment,34,information,34,mar,34,who,34,great,34,very,33,please,33,out,32,learn,31,find,31,border-color,30,default,30,contact,30,insurance,29,but,29,know,29,would,29,follow,28,back,28,make,28,any,28,donate,28,what,27,like,27,email,27,ease,26,front,26,went,26,here,26,center,26,background,25,also,25,year,25,research,25,background-color,25,error,25,display,25,experience,24,navigation,24,over,23,action,23,her,23,see,23,loading,23,online,23,want,23,opacity,22,wait,22,after,22,access,22,sure,22,sexual,22,people,22,toggle,22,sex,22,set,22,form,21,call,21,check,21,taking,21,place,21,help,21,them,21,woman,21,just,20,now,20,field,20,off,20,sorry,20,because,20,privacy,20,color,20,told,20,gift,20,without,20,give,20,involved,19,could,19,got,19,there,19,long,19,made,19,provider,19,policy,18,really,18,need,18,does,18,code,18,use,18,review,18,visit,17,desk,17,tina,17,data,17,open,17,take,17,being,17,patient,17,none,17,home,16,donor,16,offer,16,feel,16,provide,16,since,16,questions,16,while,16,std,16,blog,15,forms,15,even,15,appreciate,15,state,15,bans,15,add,15,reproductive,15,pregnancy,15,along,15,came,15,why,15,clinic,15,well,15,infinite,15,name,15,used,15,value,15,left,15,senior,14,hide,14,show,14,months,14,sign,14,work,14,lever-fadein,14,under,14,vice,14,hear,14,"""dont""",14,through,13,then,13,path,13,way,13,last,13,affiliate,13,staff,13,const,13,gave,13,development,13,mail,13,1
count10,https://www.plannedparenthood.org/health-center/california/san-diego/92126/mira-mesa-center-2333-90110,16,planned,284,parenthood,283,your,174,var,151,you,134,health,110,solid,104,label,102,instanceof,99,this,90,our,81,else,76,---,73,get,69,years,61,care,60,abortion,56,new,55,main,53,search,52,choose,51,about,47,services,47,can,46,function,42,more,42,have,41,ago,41,seconds,41,video,39,please,38,all,34,contact,34,donate,33,return,32,follow,31,find,31,navigation,30,border-color,30,control,30,default,29,birth,28,error,28,when,28,toggle,28,let,27,center,27,email,27,background,25,background-color,25,display,25,learn,24,access,24,appointment,24,loading,23,research,23,out,22,action,22,involved,22,opacity,22,make,22,field,22,information,22,form,22,sexual,22,how,21,pacific,21,policy,21,color,20,gift,20,call,20,sex,20,does,19,insurance,19,screen,18,year,18,not,18,other,18,data,18,set,17,code,17,privacy,17,use,17,reproductive,17,any,16,first,16,donor,16,online,16,what,16,open,16,now,15,need,15,infinite,15,blog,15,bans,15,add,15,development,15,off,15,used,15,ease,15,state,15,only,14,lever-fadein,14,senior,14,available,14,volunteer,14,provider,14,after,14,under,14,vice,14,back,13,take,13,enter,13,path,13,mail,13,affiliate,13,user,13,const,13,want,13,google,13,through,13,value,13,one,13,none,12,target,12,select,12,share,12,federation,12,great,12,mypostrender,12,help,12,day,12,advocacy,12,north,12,terms,12,bodies,12,español,12,chief,12,name,12,san,12,see,11,southwest,11,membership,11,telehealth,11,office,11,officer,11,normal,11,cart,11,card,11,participate,11,general,11,know,11,resources,11,give,10,products,10,checkbox,10,box-shadow,10,questions,10,hide,10,protect,10,show,10,left,10,method,10,"""dont""",10,hollow,10,many,10,check,10,change,10,service,10,patients,10,tax-deductible,10,states,10,fill,10,custom,10,data-close,10,pregnancy,10,zip,10,link,10,site,10,resharper,10,selected,9,lever-fadeout,9,lever-slideup,9,lever-slidedown,9,img,9,sure,9,also,9,months,9,fade-out,9,current,9,fade-in,9,forms,9,digital,9,parent,9,camino,9,attacks,9,button,9,rights,9,right,9,shimmer,9,10
count11,https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130,15,planned,271,parenthood,269,your,150,var,150,you,126,solid,118,label,102,health,96,this,88,our,80,else,76,---,73,instanceof,70,get,69,new,62,years,61,main,53,choose,51,care,49,abortion,48,about,47,search,43,more,42,ago,41,seconds,41,can,41,all,40,let,40,services,38,video,38,normal,37,function,37,return,36,have,35,please,32,border-color,30,default,30,learn,30,control,29,find,28,donate,28,follow,28,birth,28,contact,27,email,27,how,27,information,26,ease,26,background-color,25,display,25,background,25,error,25,when,24,navigation,24,loading,23,center,23,online,23,research,22,action,22,sexual,22,access,22,toggle,22,opacity,22,out,21,call,21,form,21,not,21,gift,20,field,20,color,20,any,20,involved,19,screen,19,year,19,set,19,code,18,first,18,policy,18,insurance,18,now,17,sex,17,other,17,data,17,does,17,mar,17,donor,16,use,15,infinite,15,add,15,off,15,state,15,value,15,bans,15,used,15,what,15,vice,14,senior,14,lever-fadein,14,help,14,only,14,open,14,make,14,under,14,hide,14,privacy,14,forms,13,reproductive,13,const,13,monte,13,show,13,through,13,google,13,share,13,development,13,blog,13,appointment,13,affiliate,13,none,13,mail,13,path,13,know,13,resources,13,take,12,user,12,north,12,advocacy,12,name,12,federation,12,bodies,12,chief,12,mypostrender,12,check,12,select,12,chat,12,after,12,need,12,end,12,great,12,volunteer,12,read,12,office,11,button,11,may,11,want,11,officer,11,rights,11,membership,11,cart,11,change,11,see,11,general,11,day,11,one,10,custom,10,start,10,give,10,time,10,box-shadow,10,states,10,available,10,target,10,resharper,10,back,10,boldchat,10,tax-deductible,10,education,10,provider,10,products,10,participate,10,enter,10,checkbox,10,work,10,method,10,book,10,pregnancy,9,attacks,9,selected,9,card,9,also,9,left,9,rotate-infinite,9,patient,9,digital,9,top,9,fill,9,while,9,shimmer,9,toastfadein,9,español,9,lever-fadeout,9,lever-slidedown,9,lever-slideup,9,terms,9,right,9,current,9,fade-out,9,fade-in,9,img,9,class,9,almond,9,11
count12,https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070,14,planned,272,parenthood,270,your,148,var,129,you,119,label,102,solid,96,health,90,this,83,---,73,else,72,instanceof,68,get,66,our,65,years,61,care,54,main,53,choose,51,new,50,abortion,47,search,45,about,44,can,44,ago,41,seconds,41,services,40,video,38,please,35,have,34,function,33,return,31,more,31,control,31,find,31,border-color,30,default,29,birth,29,contact,28,email,28,let,27,donate,26,error,26,background,25,background-color,25,all,25,display,25,center,23,follow,23,action,23,when,23,loading,23,navigation,23,access,22,toggle,22,form,22,information,22,involved,22,opacity,22,research,21,field,21,out,21,how,20,los,20,call,20,policy,20,sexual,20,gift,20,color,20,insurance,19,learn,18,year,18,other,18,screen,18,set,17,does,17,sex,17,any,16,code,16,donor,16,reproductive,16,infinite,15,burbank,15,add,15,first,15,state,15,bans,15,off,15,ease,15,data,15,take,14,vice,14,lever-fadein,14,online,14,only,14,what,14,senior,14,use,14,appointment,14,used,14,open,14,under,13,path,13,affiliate,13,now,13,not,13,value,13,privacy,13,const,13,development,13,through,13,advocacy,13,mail,13,user,12,north,12,great,12,federation,12,name,12,help,12,blog,12,select,12,mypostrender,12,bodies,12,make,12,share,12,after,12,chief,12,know,11,need,11,want,11,see,11,officer,11,general,11,angeles,11,cart,11,membership,11,day,11,office,11,provider,11,fill,10,pregnancy,10,volunteer,10,box-shadow,10,resharper,10,one,10,method,10,enter,10,products,10,terms,10,checkbox,10,tax-deductible,10,hide,10,show,10,change,10,custom,10,target,10,participate,10,give,10,states,10,digital,9,toastfadein,9,attacks,9,available,9,selected,9,service,9,check,9,zip,9,forms,9,rotate-infinite,9,back,9,shimmer,9,fade-in,9,right,9,card,9,most,9,lever-slideup,9,img,9,rights,9,who,9,button,9,months,9,sign,9,normal,9,fade-out,9,left,9,none,9,lever-slidedown,9,questions,9,lever-fadeout,9,sticky,8,may,8,"""of""",8,store,8,circle,8,extent,8,medical,8,down,8,messages,8,also,8,always,8,contraception,8,12
count13,https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-health-center-3263-90130,15,planned,271,parenthood,269,var,150,your,150,you,126,solid,118,label,102,health,96,this,88,our,80,else,76,---,73,instanceof,70,get,69,new,62,years,61,main,53,choose,51,care,50,abortion,48,about,47,search,43,more,42,ago,41,all,41,can,41,seconds,41,let,40,video,38,services,38,normal,37,function,37,return,36,have,35,please,33,learn,30,default,30,border-color,30,control,29,donate,28,find,28,follow,28,birth,28,email,27,contact,27,how,27,information,27,ease,26,background,25,background-color,25,display,25,error,25,navigation,24,when,24,online,23,center,23,loading,23,research,22,sexual,22,access,22,toggle,22,opacity,22,action,22,not,21,form,21,out,21,call,21,field,20,any,20,gift,20,color,20,year,19,set,19,involved,19,screen,19,first,18,policy,18,code,18,insurance,18,now,17,data,17,mar,17,sex,17,does,17,other,17,san,16,donor,16,off,15,infinite,15,value,15,state,15,bans,15,add,15,used,15,what,15,use,15,lever-fadein,14,open,14,hide,14,make,14,help,14,senior,14,vice,14,only,14,appointment,14,under,14,privacy,14,forms,14,resources,13,path,13,const,13,development,13,monte,13,through,13,mail,13,affiliate,13,share,13,none,13,google,13,show,13,blog,13,reproductive,13,know,13,name,12,north,12,chief,12,great,12,advocacy,12,take,12,need,12,federation,12,user,12,read,12,mypostrender,12,select,12,central,12,check,12,volunteer,12,bodies,12,end,12,after,12,chat,12,change,11,button,11,general,11,cart,11,see,11,may,11,rights,11,office,11,day,11,membership,11,want,11,officer,11,back,11,time,10,states,10,method,10,one,10,target,10,provider,10,book,10,available,10,enter,10,custom,10,tax-deductible,10,resharper,10,work,10,give,10,education,10,start,10,boldchat,10,participate,10,checkbox,10,box-shadow,10,products,10,fade-out,9,selected,9,lever-fadeout,9,while,9,digital,9,zip,9,local,9,extends,9,toastfadein,9,months,9,left,9,img,9,fade-in,9,link,9,class,9,void,9,card,9,current,9,terms,9,right,9,lever-slidedown,9,patient,9,fill,9,also,9,13
count14,https://www.plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,14,planned,274,parenthood,273,your,152,var,129,you,112,label,102,solid,96,health,87,instanceof,82,this,82,---,73,else,72,our,68,get,61,years,61,main,53,abortion,52,new,52,choose,51,care,48,search,44,about,43,seconds,41,can,41,ago,41,video,38,services,37,please,32,more,32,have,32,return,31,birth,31,control,31,follow,30,function,30,border-color,30,default,29,find,29,email,27,let,26,all,26,error,26,background,25,display,25,background-color,25,donate,25,action,24,contact,24,navigation,23,toggle,23,loading,23,opacity,22,access,22,form,21,research,21,when,21,northern,20,sexual,20,gift,20,out,20,how,20,color,20,information,20,field,20,involved,19,policy,19,call,19,year,18,center,18,online,18,screen,18,insurance,18,learn,17,does,17,sex,17,donor,16,set,16,any,16,data,16,code,16,help,15,open,15,bans,15,ease,15,california,15,reproductive,15,use,15,other,15,off,15,add,15,infinite,15,senior,14,what,14,state,14,appointment,14,vice,14,used,14,development,14,share,14,first,14,lever-fadein,14,path,13,mail,13,take,13,affiliate,13,not,13,only,13,now,13,privacy,13,value,13,chief,12,mypostrender,12,north,12,user,12,federation,12,under,12,const,12,membership,12,bechelli,12,great,12,advocacy,12,blog,12,name,12,select,12,day,12,bodies,12,want,11,cart,11,office,11,through,11,officer,11,questions,11,right,11,know,11,book,11,provider,11,general,11,make,11,check,10,change,10,products,10,hide,10,tax-deductible,10,target,10,participate,10,show,10,enter,10,give,10,resharper,10,method,10,states,10,normal,10,terms,10,box-shadow,10,custom,10,checkbox,10,one,9,volunteer,9,forms,9,lever-slidedown,9,left,9,protect,9,lever-fadeout,9,see,9,back,9,people,9,after,9,pregnancy,9,available,9,rotate-infinite,9,selected,9,none,9,español,9,digital,9,button,9,months,9,fade-out,9,may,9,need,9,zip,9,fade-in,9,rights,9,lever-slideup,9,attacks,9,card,9,toastfadein,9,shimmer,9,fill,9,img,9,top,8,also,8,extent,8,ways,8,question,8,google,8,sign,8,prevent,8,always,8,local,8,campaigns,8,14
count15,https://www.fpawomenshealth.com/locations/detail/11/santa-ana,25,you,227,your,217,var,190,control,175,birth,139,this,135,abortion,118,fpa,110,get,106,health,105,not,97,find,94,need,93,have,92,"""womens""",89,only,88,location,84,medical,83,can,77,about,76,they,75,online,75,now,75,screen,71,book,70,iud,69,santa,66,all,64,help,59,information,58,may,55,care,55,screening,55,treatment,54,sti,53,what,52,services,52,infection,52,after,51,office,50,been,50,women,48,had,48,sex,46,but,45,solid,45,contact,45,time,45,web,45,out,44,assistance,44,our,43,cancer,43,blog,41,annual,40,new,40,resources,39,educational,39,women’s,39,service,39,how,39,search,38,very,37,telehealth,37,their,37,more,37,testing,36,she,36,reviews,35,there,35,any,35,test,35,privacy,34,appointment,33,planning,33,cervical,32,provider,32,family,32,want,32,should,30,during,30,nearby,29,pap,29,directions,29,patient,28,warts,28,since,28,implant,27,ring,27,testimonials,26,depo,26,testingultrasoundvaginal,25,procedurepap,25,healthsti,25,biopsygenital,25,examcervical,25,always,25,treatmentvulvar,25,vaccineleep,25,treatmenthpv,25,smearsexual,25,biopsyuti,25,associates,24,function,24,text,24,other,24,best,24,when,24,providing,23,policy,23,site,23,back,23,take,23,state,23,ana,23,also,23,cervix,23,controlpregnancy,22,implantbirth,22,highest,22,smearsparagard,22,make,22,practice,22,patchbirth,22,pillbirth,22,pillhiv,22,leep,22,quick,22,called,22,pillscolposcopyemergency,22,"""im""",22,shotemergency,22,one,21,careers,21,caring,21,many,21,abortionabortion,21,patients,21,her,21,exam,21,pregnancy,21,day,21,long,20,standard,20,coming,20,who,20,mailmedication,20,just,20,out-of-state,20,wait,20,rights,20,controlemergency,20,inception,20,spanish,19,controlnexplanon,19,facebook,19,over,19,armenian,19,twitter,19,copyright,19,treatmentvaginitis,19,treatmentuti,19,-birth,19,which,19,links,19,treatmenttelehealth,19,patientsbirth,19,practice’s,19,chinese,19,faqs,19,inc,19,work,19,contraceptionsti,19,controlabortion,19,testingabortion,19,call,19,korean,19,mailbirth,19,assistancei,19,terms,19,waiting,19,vaginal,19,some,19,navigation,19,questions,19,hindi,19,english,19,healtheducational,19,surgicaltelehealth,19,select,19,know,19,application,19,conditions,19,share,19,menbehavioral,19,iudthe,19,toggle,19,info,19,ringgynecology,19,instagram,19,15
count16,https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-health-center-2325-90110,15,planned,284,parenthood,283,your,173,var,130,you,125,health,109,label,102,instanceof,99,solid,96,this,87,our,81,---,73,else,72,get,65,years,61,care,59,abortion,56,new,55,main,53,search,52,choose,51,services,48,about,47,can,46,more,42,seconds,41,ago,41,video,39,please,38,have,37,contact,34,all,34,donate,33,function,33,follow,31,control,31,find,31,return,31,navigation,30,border-color,30,birth,29,default,29,error,28,toggle,28,email,27,let,27,center,25,display,25,background-color,25,background,25,when,25,access,24,learn,24,research,23,loading,23,action,22,field,22,form,22,involved,22,opacity,22,sexual,22,policy,21,pacific,21,how,21,information,21,out,21,sex,20,call,20,gift,20,color,20,appointment,20,make,20,does,19,insurance,19,year,18,screen,18,set,17,code,17,use,17,other,17,reproductive,17,privacy,17,donor,16,not,16,what,16,online,15,state,15,off,15,used,15,bans,15,first,15,development,15,add,15,open,15,ease,15,infinite,15,data,15,now,15,blog,15,lever-fadein,14,senior,14,under,14,vice,14,volunteer,14,any,14,path,13,take,13,san,13,mail,13,const,13,provider,13,through,13,value,13,after,13,available,13,affiliate,13,only,13,enter,13,one,13,rancho,12,mypostrender,12,great,12,back,12,chief,12,jacinto,12,advocacy,12,select,12,target,12,name,12,terms,12,want,12,federation,12,español,12,user,12,share,12,bodies,12,north,12,telehealth,11,general,11,southwest,11,know,11,membership,11,pregnancy,11,help,11,cart,11,participate,11,officer,11,office,11,card,11,patients,10,day,10,hide,10,protect,10,tax-deductible,10,need,10,many,10,change,10,box-shadow,10,products,10,data-close,10,link,10,custom,10,resharper,10,hollow,10,questions,10,method,10,fill,10,states,10,service,10,show,10,checkbox,10,zip,10,check,10,shop,9,rights,9,lever-fadeout,9,right,9,selected,9,lever-slidedown,9,none,9,shimmer,9,sure,9,site,9,left,9,see,9,top,9,fade-in,9,months,9,forms,9,rotate-infinite,9,also,9,read,9,payment,9,fade-out,9,normal,9,toastfadein,9,give,9,attacks,9,lever-slideup,9,img,9,16
count17,https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,14,planned,274,parenthood,273,your,152,var,129,you,111,label,102,solid,96,health,87,instanceof,82,this,81,---,73,else,72,our,66,years,61,get,61,main,53,new,52,abortion,52,choose,51,care,48,search,44,about,43,ago,41,seconds,41,can,41,video,38,services,37,more,32,return,31,birth,31,have,31,control,31,border-color,30,function,30,follow,30,please,30,default,29,find,29,email,27,all,26,let,26,error,26,donate,25,background-color,25,background,25,display,25,action,24,contact,24,loading,23,navigation,23,toggle,23,opacity,22,access,22,form,21,research,21,when,21,out,20,information,20,sexual,20,field,20,how,20,northern,20,gift,20,color,20,policy,19,involved,19,center,18,year,18,call,18,online,18,insurance,18,screen,18,sex,17,learn,17,does,17,donor,16,code,16,set,16,data,16,bans,15,infinite,15,ease,15,add,15,help,15,san,15,california,15,use,15,off,15,any,15,reproductive,15,other,15,what,14,first,14,vice,14,lever-fadein,14,senior,14,development,14,state,14,share,14,open,14,used,14,privacy,13,take,13,value,13,path,13,mail,13,affiliate,13,only,13,appointment,13,now,13,membership,12,bodies,12,advocacy,12,chief,12,const,12,not,12,north,12,mypostrender,12,name,12,great,12,under,12,user,12,select,12,blog,12,federation,12,through,11,book,11,day,11,make,11,questions,11,right,11,general,11,want,11,office,11,officer,11,know,11,provider,11,cart,11,show,10,give,10,terms,10,tax-deductible,10,enter,10,change,10,products,10,method,10,hide,10,resharper,10,checkbox,10,states,10,participate,10,normal,10,custom,10,target,10,box-shadow,10,img,9,forms,9,after,9,pregnancy,9,selected,9,rotate-infinite,9,card,9,volunteer,9,attacks,9,español,9,left,9,protect,9,digital,9,back,9,available,9,may,9,fill,9,months,9,none,9,people,9,lever-fadeout,9,see,9,need,9,button,9,toastfadein,9,one,9,lever-slidedown,9,fade-out,9,zip,9,shimmer,9,lever-slideup,9,fade-in,9,check,9,rights,9,prevent,8,read,8,shop,8,circle,8,most,8,ppfa,8,just,8,closed,8,ways,8,datalayer,8,data-close,8,17
count18,https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,14,planned,274,parenthood,273,your,152,var,129,you,111,label,102,solid,96,health,88,instanceof,82,this,81,---,73,else,72,our,67,years,61,get,61,main,53,abortion,52,new,52,choose,51,care,48,search,44,about,43,ago,41,seconds,41,can,41,video,38,services,37,more,32,have,31,please,31,control,31,return,31,birth,31,follow,30,function,30,border-color,30,find,29,default,29,email,27,all,26,error,26,let,26,display,25,background-color,25,background,25,donate,25,action,24,contact,24,navigation,23,loading,23,toggle,23,opacity,22,access,22,research,21,form,21,when,21,color,20,information,20,gift,20,how,20,northern,20,out,20,sexual,20,field,20,policy,19,involved,19,online,19,call,18,center,18,insurance,18,year,18,screen,18,does,17,sex,17,learn,17,set,16,donor,16,code,16,data,16,use,15,bans,15,california,15,add,15,ease,15,other,15,off,15,help,15,infinite,15,reproductive,15,any,15,open,15,state,14,senior,14,appointment,14,first,14,what,14,vice,14,development,14,used,14,lever-fadein,14,share,14,mail,13,only,13,now,13,affiliate,13,path,13,value,13,take,13,privacy,13,federation,12,not,12,under,12,great,12,bodies,12,user,12,mypostrender,12,advocacy,12,blog,12,north,12,travis,12,membership,12,select,12,name,12,chief,12,const,12,day,11,questions,11,cart,11,make,11,general,11,through,11,provider,11,change,11,book,11,want,11,officer,11,know,11,right,11,office,11,give,10,enter,10,box-shadow,10,normal,10,show,10,hide,10,method,10,target,10,resharper,10,check,10,tax-deductible,10,participate,10,states,10,custom,10,checkbox,10,terms,10,may,10,products,10,none,9,back,9,lever-slidedown,9,lever-fadeout,9,left,9,toastfadein,9,lever-slideup,9,one,9,rights,9,volunteer,9,button,9,español,9,attacks,9,card,9,zip,9,selected,9,forms,9,need,9,people,9,fill,9,protect,9,img,9,fade-out,9,rotate-infinite,9,months,9,shimmer,9,pregnancy,9,after,9,digital,9,see,9,available,9,fade-in,9,hollow,8,fullest,8,read,8,extent,8,ways,8,link,8,sign,8,app,8,just,8,legal,8,prevent,8,18
