index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/colorado/fort-collins/80521/fort-collins-4087-90210,14,planned,275,parenthood,273,your,158,var,129,you,124,label,102,solid,96,health,91,this,86,instanceof,82,our,73,---,73,else,72,get,64,years,61,new,60,abortion,57,main,53,care,52,choose,51,about,47,search,45,services,45,can,42,ago,41,seconds,41,please,41,more,40,video,38,control,34,function,33,have,33,birth,32,return,31,find,31,all,30,border-color,30,default,29,follow,28,let,27,error,27,email,27,donate,26,contact,26,access,26,background-color,25,display,25,when,25,background,25,out,24,information,24,loading,23,form,23,opacity,22,learn,22,sexual,22,research,22,field,22,action,21,gift,21,navigation,21,center,21,toggle,21,how,20,color,20,involved,20,policy,19,insurance,19,rocky,19,call,19,other,18,advocacy,18,year,18,screen,18,code,18,sex,17,set,17,does,17,appointment,16,make,16,first,16,donor,16,any,16,data,16,bans,15,not,15,state,15,open,15,off,15,use,15,infinite,15,ease,15,add,15,online,15,fort,15,what,15,help,14,only,14,development,14,senior,14,used,14,reproductive,14,affiliate,14,vice,14,lever-fadein,14,mail,14,const,13,privacy,13,text,13,north,13,value,13,shields,13,path,13,check,13,through,12,bodies,12,federation,12,select,12,take,12,service,12,share,12,enter,12,great,12,after,12,user,12,blog,12,under,12,provider,12,chief,12,need,12,day,12,mypostrender,12,name,12,may,11,cart,11,zip,11,general,11,participate,11,want,11,officer,11,know,11,office,11,pregnancy,11,see,11,available,11,questions,11,membership,11,now,11,custom,10,volunteer,10,terms,10,tax-deductible,10,give,10,target,10,resharper,10,hide,10,one,10,show,10,fill,10,products,10,states,10,rights,10,change,10,checkbox,10,method,10,box-shadow,10,mountains,9,months,9,attacks,9,people,9,lever-slidedown,9,español,9,south,9,shimmer,9,img,9,lever-slideup,9,left,9,lever-fadeout,9,digital,9,right,9,selected,9,they,9,button,9,card,9,rotate-infinite,9,none,9,fade-out,9,back,9,normal,9,toastfadein,9,forms,9,fade-in,9,just,9,read,8,local,8,span,8,fullest,8,protect,8,ask,8,age,8,1
count10,https://allvalleywomen.com/contact,3,valley,50,creek,34,castle,34,var,30,closes,25,this,11,google,10,robert,10,practice,10,your,9,care,9,experience,9,const,8,john,8,mountain,8,function,7,she,7,"""google""",6,help,6,loss,6,contact,6,"""womens""",6,urology,6,roaring,6,medical,6,hospital,6,medicine,6,view,6,center,6,have,5,firstsection,5,patient,5,eric,4,maps,4,details,4,"""use""",4,stade,4,mapsphone,4,suite,4,eleanor,4,christopher,4,get,4,about,4,new,4,scott,4,ferdinand,4,jonathan,4,joseph,4,local,4,roadsuite,4,thomas,4,own,4,like,4,valuey,4,happy,4,fork,4,menu,4,two,3,headerheight,3,you,3,our,3,home,3,valuex,3,services,3,mowita,3,else,3,return,3,all,3,goodstein,2,sanford,2,glenn,2,sans,2,targetheight,2,when,2,targetwidth,2,keypress,2,whatever,2,"""mute""",2,daniel,2,solid,2,bradley,2,focalpointx,2,clinic,2,emergency,2,sarah,2,open,2,focalpointy,2,standard,2,find,2,examination,2,complete,2,rachael,2,body,2,stanley,2,mark,2,mindy,2,javascript,2,throughout,2,minus,2,eliminated,2,whole,2,knight,2,emily,2,michael,2,syntax,2,property,2,colorado,2,enough,2,melinda,2,driving,2,health,2,jon,2,waqqar,2,harvey,2,bryan,2,header,2,jackson,2,specialists,2,jamie,2,jeffrey,2,office,2,harris,2,david,2,heather,2,very,2,daylight,2,close,2,weight,2,karen,2,dead,2,remains,2,rightclick,2,brian,2,empty,2,enable,2,"""product""",2,found,2,ryan,2,phone,2,jared,2,stephen,2,parentdimensionheight,2,norman,2,lindsay,2,steadman,2,you’re,2,giora,2,gerson,2,fegan,2,length,2,must,2,directions,2,available,2,carole,2,read,2,feel,2,surgery,2,nagle,2,convenient,2,serve,2,noel,2,gift,2,originalwidth,2,orthopaedic,2,carla,2,access,2,rebecca,2,east,2,hours,2,ste,2,mousedown,2,lesley,2,lowe,2,lora,2,not,2,women,2,management,2,contextmenu,2,family,2,basalt,2,arthur,2,control,2,ashley,2,see,2,aspen,2,storage,2,physical,2,billing,2,parentdimensionwidth,2,gordon,2,policy,1,listens,1,content,1,i’ve,1,rushed,1,never,1,overflowheight,1,enjoy,1,please,1,entire,1,9
count11,https://www.cmmhealth.org/,19,nav,796,body,684,tbody,316,solid,267,only,253,screen,245,health,229,thead,216,care,208,tfoot,200,vail,152,medical,144,mountain,103,var,102,patient,101,services,95,colorado,86,center,85,you,76,cancer,67,right,67,urgent,67,left,64,blockquote,60,more,59,medicine,58,our,58,your,56,creek,51,eagle,50,avon,49,family,49,clinical,47,share,45,clinic,42,have,41,behavioral,38,ease-in-out,38,new,38,therapy,36,surgery,36,this,36,community,36,locations,36,online,34,required,33,buck,33,portal,33,support,33,rights,33,edwards,32,please,32,privacy,32,provider,32,auto,32,all,31,assistance,31,financial,31,btn-danger,30,mb-none,30,fa-plus,30,hidden-lg,30,assistant,30,hidden-md,30,hidden-sm,30,call,29,physical,29,learn,29,dillon,28,news,28,head,28,about,27,urology,27,first,27,sports,27,contact,27,close,27,details,26,español,26,ver,26,days,26,hospital,26,elevate,26,pay,26,apply,26,howard,26,email,26,form,25,endocrinology,25,award,25,gift,25,what,25,full-time,25,year-round,24,valley,24,display,24,bill,24,occupational,24,location,24,breast,24,emergency,24,make,24,they,24,internal,23,not,23,information,22,primary,22,jobs,22,program,22,careers,22,website,22,opacity,21,view,20,enter,20,resources,20,their,20,main,20,patients,19,lab,19,can,19,childbirth,19,transparent,19,find,19,volunteer,18,address,18,name,18,cardiac,18,media,17,team,17,inquiries,17,ophthalmology,17,through,17,shaw,17,dermatology,17,she,17,records,16,fadeinleftbig,16,fadeinupbig,16,fadeinup,16,organization,16,fadeindownbig,16,bounceinup,16,bounceinleft,16,fadeinrightbig,16,insurance,16,fadeinright,16,rotateinupleft,16,who,16,billing,16,rotateinupright,16,fadeinleft,16,fadein,16,fadeindown,16,shake,16,schedule,16,wiggle,16,gastroenterology,16,wobble,16,bounceindown,16,tada,16,bounceinright,16,label,16,frisco,16,beaver,16,swing,16,article,16,bouncein,16,bounce,16,rotatein,16,pulse,16,rotateindownright,16,surgical,16,rotateindownleft,16,steadman,15,disorders,15,cost,15,prevention,15,ensure,15,would,15,orthopaedics,15,safety,15,field,15,accessibility,15,any,14,box,14,terms,14,know,14,select,14,one,14,staff,14,department,14,estimate,14,total,14,victim,14,help,14,javascript,14,high,14,into,14,nurse,14,hepatology,13,10
count12,https://www.plannedparenthood.org/health-center/colorado/littleton/80129/littleton-2485-90210,14,planned,275,parenthood,273,your,160,you,131,var,129,label,102,solid,96,health,91,this,87,instanceof,82,our,73,---,73,else,72,get,64,years,61,new,60,abortion,57,main,53,care,52,choose,51,about,49,services,45,search,45,can,44,more,42,ago,41,seconds,41,please,40,video,38,have,34,control,34,function,33,birth,32,return,31,find,31,border-color,30,all,29,default,29,follow,28,let,27,email,27,error,27,when,26,donate,26,contact,26,access,26,background-color,25,information,25,background,25,display,25,out,24,form,23,loading,23,opacity,22,research,22,field,22,learn,22,sexual,22,action,21,gift,21,toggle,21,how,21,center,21,navigation,21,insurance,20,involved,20,color,20,call,20,policy,19,rocky,19,year,18,screen,18,advocacy,18,code,18,other,18,set,17,sex,17,does,17,appointment,16,any,16,donor,16,data,16,make,16,first,16,line,15,add,15,off,15,ease,15,open,15,bans,15,what,15,state,15,infinite,15,online,15,lever-fadein,14,mail,14,reproductive,14,use,14,affiliate,14,development,14,only,14,used,14,help,14,senior,14,vice,14,not,13,through,13,text,13,know,13,const,13,path,13,privacy,13,value,13,county,13,check,13,name,12,user,12,bodies,12,service,12,mypostrender,12,federation,12,provider,12,may,12,after,12,need,12,blog,12,share,12,enter,12,great,12,north,12,take,12,chief,12,under,12,select,12,see,11,officer,11,membership,11,questions,11,office,11,pregnancy,11,now,11,participate,11,available,11,cart,11,zip,11,day,11,want,11,general,11,volunteer,10,change,10,box-shadow,10,one,10,target,10,tax-deductible,10,hide,10,checkbox,10,resharper,10,custom,10,give,10,states,10,rights,10,fill,10,terms,10,show,10,method,10,products,10,forms,9,card,9,digital,9,people,9,button,9,fade-out,9,fade-in,9,español,9,right,9,attacks,9,toastfadein,9,img,9,left,9,lever-slidedown,9,lever-slideup,9,rotate-infinite,9,mountains,9,lever-fadeout,9,selected,9,shimmer,9,they,9,back,9,none,9,normal,9,months,9,protect,8,shop,8,circle,8,contraception,8,provide,8,question,8,app,8,read,8,age,8,11
count13,http://milehighobgyn.com/,8,your,342,you,265,patient,148,var,144,information,113,our,103,portal,97,health,82,use,79,any,77,this,76,not,70,can,63,may,62,how,58,function,57,have,57,return,55,click,52,medical,49,about,45,all,44,top,43,other,43,care,41,else,41,share,41,access,39,header,37,please,37,email,34,new,33,services,32,contact,31,privacy,29,select,29,what,29,marketing,27,through,27,account,26,practice,25,messages,25,view,25,terms,24,using,23,password,23,but,23,more,22,office,22,when,22,get,21,solid,20,ask,20,provider,19,request,19,provide,19,healthcare,19,these,18,their,18,data,18,such,18,service,18,make,18,under,17,content,17,conditions,17,help,17,secure,17,appointments,16,sign,16,receive,16,right,16,address,15,appointment,15,personal,15,name,15,entities,15,send,14,patients,14,security,14,law,14,time,14,learn,14,while,13,which,13,third,13,url,13,limited,13,connection,13,profile,13,rights,13,need,12,message,12,also,12,cookie,12,internet,12,obgyn,12,out,12,provided,12,token,12,well,12,browser,12,copy,12,business,12,agree,11,high,11,insurance,11,team,11,discretion,11,payment,11,link,11,mile,11,billing,11,must,11,athenahealth,11,used,11,one,11,those,11,type,11,support,10,csrf,10,date,10,communications,10,sans,10,without,10,electronic,10,sent,10,policy,10,who,10,first,10,change,10,find,10,button,10,forms,10,following,10,available,10,back,10,check,10,website,9,certain,9,schedule,9,continue,9,subject,9,set,9,record,9,required,9,management,9,strategy,9,over,9,call,9,within,9,respond,9,notice,9,read,9,tell,9,"""providers""",9,via,9,why,9,midwifery,8,test,8,women’s,8,copyright,8,manage,8,requests,8,visit,8,close,8,most,8,see,8,case,8,questions,8,pay,8,register,8,online,8,between,8,want,8,const,8,work,8,result,8,providers,8,specific,8,unauthorized,8,including,8,list,8,update,8,allow,8,paper,8,phone,7,give,7,current,7,only,7,try,7,different,7,believe,7,understand,7,person,7,tools,7,response,7,feature,7,results,7,related,7,12
count14,https://www.plannedparenthood.org/health-center/colorado/denver/80207/denver-stapleton-3543-90210,14,planned,275,parenthood,273,your,160,you,131,var,129,label,102,solid,96,health,91,this,87,instanceof,82,---,73,our,73,else,72,get,64,years,61,new,60,abortion,57,main,53,care,52,choose,51,about,49,services,46,search,45,can,44,more,43,please,41,ago,41,seconds,41,video,38,have,34,control,34,function,33,birth,32,find,31,return,31,border-color,30,all,30,default,29,follow,28,email,27,let,27,error,27,access,26,information,26,when,26,contact,26,donate,26,display,25,background-color,25,background,25,out,24,loading,23,form,23,opacity,22,field,22,learn,22,sexual,22,research,22,navigation,21,how,21,toggle,21,action,21,call,21,center,21,gift,21,color,20,insurance,20,involved,20,rocky,19,policy,19,screen,18,advocacy,18,other,18,year,18,code,18,set,17,make,17,does,17,sex,17,data,16,appointment,16,donor,16,any,16,first,16,bans,15,help,15,infinite,15,state,15,what,15,online,15,add,15,ease,15,off,15,lever-fadein,14,senior,14,mail,14,development,14,reproductive,14,affiliate,14,vice,14,not,14,open,14,used,14,only,14,use,14,check,14,text,13,value,13,path,13,through,13,privacy,13,service,13,const,13,know,13,blog,12,provider,12,name,12,take,12,need,12,after,12,may,12,north,12,select,12,mypostrender,12,available,12,share,12,under,12,user,12,federation,12,great,12,bodies,12,day,12,enter,12,chief,12,questions,11,general,11,now,11,cart,11,officer,11,pregnancy,11,membership,11,want,11,participate,11,office,11,zip,11,see,11,terms,10,one,10,show,10,target,10,give,10,tax-deductible,10,fill,10,hide,10,custom,10,change,10,volunteer,10,checkbox,10,states,10,rights,10,products,10,method,10,resharper,10,box-shadow,10,people,9,forms,9,shimmer,9,card,9,rotate-infinite,9,right,9,selected,9,fade-out,9,español,9,attacks,9,digital,9,fade-in,9,lever-slidedown,9,lever-slideup,9,button,9,normal,9,months,9,they,9,left,9,img,9,mountains,9,lever-fadeout,9,toastfadein,9,none,9,back,9,sign,8,jobs,8,read,8,app,8,age,8,just,8,span,8,"""of""",8,last,8,local,8,time,8,13
count15,https://www.healthyfuturesabortion.com/,25,var,2102,function,1014,return,873,abortion,539,else,470,calf,418,date,389,new,387,you,379,your,269,day,251,care,217,have,173,futures,157,weeks,156,healthy,152,not,146,our,136,auto,132,days,126,patients,124,procedure,123,year,116,month,116,nan,114,sets,114,patient,111,clinic,109,can,103,luteal,95,cycle,95,calre,95,assistance,85,pill,83,colorado,78,length,76,too,76,primary,75,appointment,72,this,71,first,66,may,65,financial,64,family,64,menstrual,64,none,63,pregnancy,63,whole,62,contact,61,about,59,fetal,57,number,57,validates,57,------,57,ovulation,57,very,56,surgical,55,time,54,support,54,must,53,check,51,long,51,out-of-state,50,health,49,still,49,form,49,how,48,valid,48,get,47,between,47,last,47,age,46,after,46,pay,44,all,44,options,44,request,44,their,43,due,43,need,43,suite,42,one,42,hampden,41,should,40,short,40,necessary,40,donate,39,state,39,try,39,english,39,fetalage,38,variables,38,defaults,38,default,38,calformat,38,"""doesnt""",38,currentcal,38,calculation,38,denver,38,yidx,38,didx,38,settings,38,midx,38,weekday,38,objects,38,either,38,figure,38,now,37,medical,37,medicine,36,they,36,payment,35,following,35,mail,35,offer,35,privacy,34,services,34,medication,34,any,33,file,32,help,32,please,31,because,31,medications,31,based,30,providers,30,what,29,information,29,handouts,29,needs,29,then,29,complete,28,insurance,28,rights,27,make,27,choose,26,required,26,show,26,offering,26,take,26,why,25,every,25,today,25,more,25,policy,25,period,25,emotional,24,those,24,into,24,display,24,contraception,24,schedule,24,enter,24,fund,23,future,23,also,23,serving,23,week,23,than,23,safely,23,blood,23,locally,23,requires,22,solid,22,quality,22,includes,22,creates,22,private,22,there,22,high,22,who,22,call,22,personalized,21,range,21,use,21,but,21,info,21,type,21,track,21,inline,21,planning,21,auto-generated,21,user,21,monday,21,owned,21,access,21,operated,21,under,21,specializes,21,dropdown,20,"""dont""",20,entire,20,when,20,styling,20,googletranslateelements,20,plus,20,chinese,20,zh-cn,20,wpathostlanguage,20,wpatlanguagescountries,20,14
count16,https://www.plannedparenthood.org/health-center/colorado/arvada/80003/arvada-2487-90210,13,planned,275,parenthood,273,your,160,you,130,var,126,label,102,solid,95,health,91,this,86,instanceof,82,---,73,our,73,else,72,get,63,years,61,new,58,abortion,57,main,53,care,52,choose,51,about,49,services,45,search,45,can,44,more,42,ago,41,seconds,41,please,40,video,38,control,34,have,32,birth,32,find,31,return,31,function,31,border-color,30,all,29,default,29,follow,28,let,27,error,27,email,27,donate,26,contact,26,access,25,display,25,information,25,background,25,background-color,25,when,25,out,24,loading,23,form,23,field,22,research,22,learn,22,opacity,22,sexual,22,toggle,21,action,21,how,21,navigation,21,gift,21,center,21,color,20,involved,20,insurance,20,call,20,rocky,19,policy,19,code,18,advocacy,18,other,18,screen,18,year,18,does,17,sex,17,set,17,make,16,data,16,appointment,16,first,16,any,16,donor,16,online,15,bans,15,add,15,help,15,infinite,15,ease,15,off,15,state,15,what,15,only,14,mail,14,used,14,open,14,development,14,affiliate,14,vice,14,lever-fadein,14,use,14,reproductive,14,senior,14,const,13,path,13,text,13,value,13,not,13,check,13,privacy,13,through,13,know,13,take,12,may,12,service,12,select,12,need,12,blog,12,share,12,provider,12,federation,12,enter,12,day,12,after,12,name,12,user,12,chief,12,north,12,under,12,great,12,bodies,12,mypostrender,12,cart,11,questions,11,general,11,want,11,participate,11,zip,11,pregnancy,11,membership,11,now,11,officer,11,office,11,resharper,10,products,10,method,10,one,10,hide,10,fill,10,checkbox,10,available,10,tax-deductible,10,states,10,show,10,volunteer,10,give,10,custom,10,rights,10,target,10,box-shadow,10,see,10,change,10,terms,10,lever-slidedown,9,back,9,lever-fadeout,9,left,9,shimmer,9,right,9,fade-in,9,rotate-infinite,9,button,9,they,9,forms,9,mountains,9,months,9,card,9,normal,9,attacks,9,toastfadein,9,fade-out,9,español,9,people,9,lever-slideup,9,img,9,digital,9,selected,9,none,9,span,8,just,8,protect,8,provide,8,federal,8,link,8,also,8,sign,8,circle,8,datalayer,8,contraception,8,15
count2,https://www.plannedparenthood.org/health-center/colorado/glenwood-springs/81601/glenwood-springs-2172-90210,14,planned,275,parenthood,273,your,160,you,131,var,129,label,102,solid,96,health,91,this,87,instanceof,82,our,75,---,73,else,72,get,64,years,61,new,60,abortion,56,main,53,care,52,choose,51,about,49,services,45,search,45,can,44,more,41,ago,41,seconds,41,video,38,please,38,have,35,control,34,function,33,birth,32,find,31,return,31,all,30,border-color,30,default,29,follow,28,email,27,error,27,let,27,donate,26,contact,26,access,26,when,26,background-color,25,background,25,display,25,information,24,out,24,loading,23,field,22,research,22,learn,22,sexual,22,opacity,22,form,22,toggle,21,how,21,center,21,gift,21,action,21,navigation,21,color,20,call,20,involved,20,policy,19,insurance,19,rocky,19,advocacy,18,code,18,screen,18,year,18,does,17,sex,17,set,17,appointment,16,data,16,other,16,donor,16,open,16,first,16,what,15,ease,15,online,15,infinite,15,bans,15,state,15,off,15,add,15,any,15,make,15,glenwood,15,reproductive,14,lever-fadein,14,mail,14,use,14,development,14,help,14,used,14,senior,14,only,14,affiliate,14,vice,14,path,13,const,13,privacy,13,through,13,know,13,value,13,not,13,text,13,provider,12,north,12,take,12,enter,12,need,12,after,12,federation,12,name,12,check,12,mypostrender,12,share,12,under,12,chief,12,select,12,blog,12,user,12,great,12,may,12,bodies,12,one,11,day,11,cart,11,want,11,officer,11,questions,11,pregnancy,11,office,11,participate,11,see,11,membership,11,now,11,zip,11,general,11,service,11,terms,10,tax-deductible,10,products,10,volunteer,10,resharper,10,change,10,rights,10,show,10,box-shadow,10,custom,10,target,10,method,10,hide,10,fill,10,give,10,states,10,checkbox,10,shimmer,9,selected,9,right,9,rotate-infinite,9,lever-slideup,9,people,9,months,9,button,9,hwy,9,img,9,attacks,9,forms,9,card,9,left,9,lever-fadeout,9,lever-slidedown,9,fade-out,9,fade-in,9,digital,9,español,9,mountains,9,they,9,toastfadein,9,normal,9,back,9,none,9,contraception,8,campaigns,8,fullest,8,sign,8,datalayer,8,down,8,circle,8,shop,8,federal,8,data-close,8,2
count3,https://www.plannedparenthood.org/health-center/colorado/aurora/80012/aurora-2489-90210,14,planned,275,parenthood,273,your,160,you,131,var,129,label,102,solid,96,health,91,this,87,instanceof,82,---,73,our,73,else,72,get,64,years,61,new,60,abortion,57,main,53,care,52,choose,51,about,49,search,45,can,44,services,44,more,41,ago,41,seconds,41,please,38,video,38,control,34,function,33,have,33,birth,32,return,31,find,31,border-color,30,default,29,all,29,follow,28,error,27,email,27,let,27,access,26,contact,26,donate,26,when,26,background-color,25,display,25,background,25,information,24,out,24,loading,23,research,22,form,22,sexual,22,opacity,22,learn,22,field,22,navigation,21,toggle,21,gift,21,center,21,action,21,how,21,color,20,involved,20,call,19,rocky,19,policy,19,insurance,19,year,18,advocacy,18,code,18,screen,18,does,17,set,17,sex,17,donor,16,other,16,appointment,16,first,16,data,16,add,15,open,15,off,15,infinite,15,online,15,bans,15,state,15,make,15,what,15,ease,15,any,15,reproductive,14,development,14,only,14,help,14,vice,14,senior,14,mail,14,lever-fadein,14,not,14,used,14,use,14,affiliate,14,privacy,13,through,13,value,13,path,13,know,13,const,13,text,13,check,12,after,12,enter,12,select,12,bodies,12,mypostrender,12,chief,12,under,12,abilene,12,provider,12,take,12,name,12,north,12,share,12,user,12,need,12,great,12,blog,12,federation,12,may,12,pregnancy,11,questions,11,participate,11,service,11,general,11,cart,11,membership,11,now,11,officer,11,office,11,want,11,zip,11,see,11,day,11,custom,10,target,10,checkbox,10,box-shadow,10,resharper,10,products,10,one,10,method,10,states,10,show,10,give,10,rights,10,volunteer,10,tax-deductible,10,hide,10,fill,10,change,10,terms,10,none,9,lever-slideup,9,button,9,back,9,mountains,9,toastfadein,9,fade-in,9,forms,9,shimmer,9,right,9,lever-slidedown,9,months,9,normal,9,selected,9,lever-fadeout,9,rotate-infinite,9,card,9,left,9,they,9,fade-out,9,people,9,attacks,9,español,9,img,9,digital,9,question,8,fullest,8,protect,8,provide,8,read,8,last,8,most,8,sign,8,circle,8,local,8,google,8,3
