,token,Total0,Total1,Total2,Total3,Total4
0,'a',0.0,31.0,0.0,0.0,0.0
1,'adobe,0.0,1.0,0.0,0.0,0.0
2,'anchor',0.0,1.0,0.0,0.0,0.0
3,'appropriate,0.0,0.0,3.0,3.0,3.0
4,'as,0.0,0.0,2.0,2.0,2.0
5,'at,0.0,0.0,1.0,1.0,1.0
6,'baskerville,0.0,1.0,0.0,0.0,0.0
7,'congratulations,0.0,0.0,1.0,1.0,1.0
8,'datalayer',0.0,40.0,0.0,0.0,0.0
9,'default,0.0,1.0,0.0,0.0,0.0
10,'droid,0.0,1.0,0.0,0.0,0.0
11,'emr',0.0,1.0,0.0,0.0,0.0
12,'fake,0.0,0.0,1.0,1.0,1.0
13,'finding,0.0,0.0,2.0,4.0,4.0
14,'godsend',0.0,1.0,0.0,0.0,0.0
15,'google,0.0,0.0,3.0,3.0,3.0
16,'government,0.0,0.0,1.0,1.0,1.0
17,'helvetica,0.0,1.0,0.0,0.0,0.0
18,'hlthhabit',0.0,1.0,0.0,0.0,0.0
19,'hoefler,0.0,1.0,0.0,0.0,0.0
20,'ibm,0.0,1.0,0.0,0.0,0.0
21,'in,0.0,0.0,1.0,1.0,1.0
22,'initial',0.0,0.0,2.0,2.0,2.0
23,'location,0.0,0.0,2.0,4.0,4.0
24,'ltr',0.0,1.0,0.0,0.0,0.0
25,'many,0.0,0.0,1.0,1.0,1.0
26,'mazel,0.0,0.0,1.0,1.0,1.0
27,'most,0.0,2.0,0.0,0.0,0.0
28,'mute',0.0,0.0,1.0,1.0,1.0
29,'my,0.0,0.0,1.0,1.0,1.0
30,'object',0.0,0.0,1.0,0.0,0.0
31,'offer',0.0,1.0,0.0,0.0,0.0
32,'other',0.0,6.0,0.0,0.0,0.0
33,'pending',0.0,2.0,0.0,0.0,0.0
34,'product,0.0,0.0,1.0,1.0,1.0
35,'recipient,0.0,0.0,1.0,1.0,1.0
36,'script,0.0,0.0,2.0,2.0,2.0
37,'script',0.0,31.0,0.0,0.0,0.0
38,'select,0.0,0.0,4.0,4.0,4.0
39,'select',0.0,0.0,4.0,4.0,4.0
40,'spanishkb',0.0,2.0,0.0,0.0,0.0
41,'style',0.0,31.0,0.0,0.0,0.0
42,'text,0.0,1.0,0.0,0.0,0.0
43,'thank,0.0,0.0,1.0,1.0,1.0
44,'there,0.0,0.0,2.0,4.0,4.0
45,'thinking,0.0,0.0,1.0,1.0,1.0
46,'times,0.0,1.0,0.0,0.0,0.0
47,'timing',0.0,0.0,1.0,0.0,0.0
48,'true',0.0,3.0,0.0,0.0,0.0
49,'undefined',0.0,2.0,0.0,0.0,0.0
50,'unknown',0.0,1.0,0.0,0.0,0.0
51,'use,0.0,0.0,4.0,6.0,6.0
52,'www',0.0,2.0,0.0,0.0,0.0
53,aacn,0.0,2.0,0.0,0.0,0.0
54,abdominal,0.0,5.0,0.0,0.0,0.0
55,abduction,0.0,1.0,0.0,0.0,0.0
56,ability,0.0,2.0,0.0,0.0,0.0
57,ablation,0.0,2.0,0.0,0.0,0.0
58,ablation—a,0.0,1.0,0.0,0.0,0.0
59,able,0.0,2.0,1.0,0.0,0.0
60,abnormal,0.0,3.0,0.0,0.0,0.0
61,abortion,0.0,0.0,73.0,50.0,50.0
62,abortions,0.0,0.0,7.0,5.0,5.0
63,abortion”,0.0,0.0,1.0,1.0,1.0
64,about,0.0,260.0,32.0,44.0,44.0
65,above,0.0,10.0,3.0,2.0,2.0
66,absence,0.0,1.0,0.0,0.0,0.0
67,abstinence,0.0,1.0,2.0,2.0,2.0
68,abuse,0.0,0.0,1.0,1.0,1.0
69,abusive,0.0,1.0,0.0,0.0,0.0
70,academic,0.0,8.0,0.0,0.0,0.0
71,academy,0.0,1.0,0.0,0.0,0.0
72,accelerating,0.0,2.0,0.0,0.0,0.0
73,accept,0.0,2.0,0.0,1.0,1.0
74,acceptance,0.0,2.0,0.0,0.0,0.0
75,accepting,0.0,1.0,0.0,0.0,0.0
76,access,0.0,54.0,23.0,23.0,23.0
77,accessed,0.0,1.0,0.0,0.0,0.0
78,accessibility,0.0,0.0,0.0,1.0,1.0
79,accessibilityenabled,0.0,1.0,0.0,0.0,0.0
80,accessible,0.0,1.0,0.0,0.0,0.0
81,accessories,0.0,0.0,1.0,1.0,1.0
82,acclaimed,0.0,1.0,0.0,0.0,0.0
83,accommodating,0.0,2.0,0.0,0.0,0.0
84,accompanied,0.0,0.0,0.0,1.0,1.0
85,accompaniment,0.0,2.0,0.0,0.0,0.0
86,accompany,0.0,0.0,0.0,1.0,1.0
87,accompanying,0.0,1.0,0.0,0.0,0.0
88,according,0.0,6.0,0.0,0.0,0.0
89,account,0.0,0.0,7.0,8.0,8.0
90,accountability,0.0,2.0,0.0,0.0,0.0
91,accounttoggle,0.0,0.0,1.0,1.0,1.0
92,accreditation,0.0,8.0,0.0,0.0,0.0
93,accredited,0.0,2.0,0.0,0.0,0.0
94,accrediting,0.0,1.0,0.0,0.0,0.0
95,accumulate,0.0,1.0,0.0,0.0,0.0
96,accuracy,0.0,1.0,0.0,0.0,0.0
97,accurate,0.0,1.0,1.0,3.0,3.0
98,ace,0.0,1.0,0.0,0.0,0.0
99,ach,0.0,0.0,1.0,1.0,1.0
100,achieve,0.0,4.0,0.0,0.0,0.0
