index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,http://www.awwmc.com/index.shtml,10,medical,110,world,96,you,93,only,76,"""womans""",73,screen,72,solid,70,"""open""",66,abortion,65,this,63,our,58,fort,54,center,54,have,46,services,39,var,36,they,36,your,35,all,34,care,30,did,30,feel,30,clinic,29,website,27,health,26,women,22,about,21,dont,21,not,21,their,20,make,20,place,20,other,18,new,18,home,17,display,16,one,16,design,16,provide,16,inc,16,also,16,get,14,web,13,more,13,just,13,can,13,very,12,but,12,serving,12,best,12,auto,12,here,12,right,11,when,11,know,11,than,11,experience,11,find,10,login,10,choice,10,women’s,10,keep,10,vero,10,any,9,had,9,slept,9,own,9,time,9,able,9,recommend,9,reproductive,9,them,9,need,9,like,9,through,8,contact,8,privacy,8,hard,8,would,8,information,8,difficult,8,away,8,south,8,"""of""",8,site,8,pregnancy,8,saw,8,surgical,8,out,8,staff,8,female,7,understand,7,think,7,access,7,business,7,function,7,clinics,7,pill,7,city,7,learn,7,two,7,help,7,want,7,florida,7,block,7,amazing,6,look,6,sleep,6,websites,6,morning,6,available,6,anesthesia,6,worth,6,husband,6,what,6,questions,6,mmm,6,fully,6,pierce,6,user,6,maintenance,6,reviews,6,womans,6,say,6,opens,6,thing,6,instanceof,6,may,6,okeechobee,6,might,6,scared,6,twilight,6,procedure,6,both,6,today,5,español,5,each,5,wordpress,5,first,5,areas,5,credit,5,parts,5,beyond,5,faq,5,responsive,5,existing,5,helps,5,trusted,5,"""womens""",5,domain,5,making,5,team,5,which,5,essential,5,taking,5,film,5,appointment,5,top,5,safe,5,above,5,include,5,centers,5,how,5,star,5,years,5,people,5,surrounding,5,morein,5,annual,5,been,4,choices,4,create,4,let,4,whether,4,wait,4,already,4,most,4,"""at""",4,while,4,hosting,4,should,4,clients,4,give,4,christian,4,being,4,google,4,sure,4,opacity,4,virgin,4,even,4,color,4,patients,4,personal,4,someone,4,music,4,stuart,4,come,4,treatment,4,veterans,4,visit,4,1
count10,https://www.plannedparenthood.org/health-center/florida/jacksonville/32217/jacksonville-health-center-3278-90320,16,parenthood,287,planned,287,your,182,you,149,var,128,health,128,label,102,instanceof,100,this,99,solid,96,our,84,---,73,else,73,services,69,abortion,65,new,64,years,62,get,61,care,59,search,58,main,53,choose,51,can,48,more,47,about,45,please,45,function,42,seconds,41,ago,41,find,40,video,38,center,35,have,35,north,34,return,34,control,34,when,32,birth,32,contact,31,all,31,action,31,error,30,follow,30,border-color,30,navigation,30,donate,29,let,29,default,29,toggle,28,access,27,call,27,information,27,out,27,learn,27,email,27,background-color,25,background,25,appointment,25,how,25,field,24,florida,24,form,24,need,23,patient,23,loading,23,opacity,22,other,22,east,22,reproductive,22,policy,21,research,21,set,21,gift,20,color,20,not,20,sexual,20,insurance,20,resources,19,open,19,use,19,state,19,any,18,make,18,screen,18,take,18,year,18,involved,18,donor,18,online,17,available,17,does,17,ease,17,privacy,17,code,17,infinite,17,provider,17,day,17,sex,17,first,17,one,16,development,16,blog,16,now,15,see,15,bans,15,add,15,what,15,off,15,data,15,const,15,service,15,lever-fadein,14,forms,14,senior,14,under,14,advocacy,14,user,14,vice,14,select,14,help,14,used,14,only,14,mail,14,path,13,value,13,enter,13,share,13,affiliate,13,after,13,chief,13,mypostrender,12,sticky,12,officer,12,medical,12,name,12,fill,12,great,12,bodies,12,rights,12,want,12,method,12,most,12,book,12,federation,12,volunteer,12,know,12,read,12,target,12,back,12,right,12,powers,12,terms,12,cart,11,general,11,provide,11,español,11,time,11,through,11,office,11,membership,11,give,11,show,11,sign,11,page,11,link,10,products,10,box-shadow,10,participate,10,tax-deductible,10,questions,10,may,10,custom,10,zip,10,resharper,10,checkbox,10,pregnancy,10,change,10,plan,10,data-close,10,messages,10,hollow,10,hide,10,must,9,shimmer,9,card,9,display,9,selected,9,normal,9,language,9,none,9,fade-in,9,telehealth,9,fade-out,9,education,9,left,9,impact,9,months,9,img,9,void,9,"""dont""",9,8
count12,https://www.plannedparenthood.org/health-center/florida/orlando/32817/east-orlando-health-center-2857-90300,18,parenthood,324,planned,322,your,223,you,172,instanceof,150,var,131,health,117,this,114,label,102,solid,96,our,91,search,86,services,85,care,82,abortion,80,else,73,---,73,please,70,get,68,about,63,new,63,years,63,can,58,main,53,function,52,central,52,choose,52,southwest,52,more,49,follow,46,find,45,all,44,have,42,ago,41,seconds,41,video,40,birth,38,call,38,donate,38,when,37,error,37,contact,37,control,37,navigation,36,florida,35,let,34,return,33,field,33,information,33,access,33,form,32,patient,31,out,30,border-color,30,medical,30,default,29,appointment,28,involved,28,email,27,policy,27,provider,26,enter,26,service,25,other,25,background-color,25,toggle,25,how,25,background,25,action,24,center,23,loading,23,use,23,open,23,set,23,back,23,state,22,opacity,22,faith,22,forms,22,insurance,22,any,22,good,22,code,22,reproductive,21,research,21,learn,21,privacy,21,color,20,sexual,20,age,20,gift,20,first,20,day,20,sticky,20,const,19,year,19,terms,18,screen,18,online,18,need,18,target,18,make,18,one,18,development,18,affiliate,17,fill,17,not,17,sex,17,now,17,pregnancy,17,does,17,book,17,take,16,data-close,16,donor,16,help,16,portal,16,hollow,16,link,16,schedule,16,site,16,right,16,patients,16,add,15,data,15,bans,15,ease,15,zip,15,infinite,15,off,15,estimate,15,under,14,blog,14,hormone,14,most,14,vice,14,through,14,what,14,share,14,only,14,lever-fadein,14,want,14,sure,14,senior,14,used,14,messages,14,mail,13,additional,13,telehealth,13,value,13,path,13,therapy,13,last,13,"""dont""",13,bodies,12,select,12,pill,12,current,12,rights,12,populates,12,chief,12,available,12,"""womens""",12,user,12,advocacy,12,give,12,great,12,questions,12,federation,12,university,12,mypostrender,12,name,12,know,12,north,12,may,11,officer,11,office,11,period,11,before,11,membership,11,change,11,general,11,operated,11,content,11,show,11,testing,11,sign,11,cart,11,std,11,django,10,they,10,provide,10,payment,10,website,10,resharper,10,after,10,treatment,10,exists,10,"""use""",10,top,10,9
count14,https://aboutabortion.org/,15,abortion,265,var,201,you,187,florida,157,your,120,function,111,not,104,north,98,return,93,auto,90,"""womens""",78,reload,75,services,73,new,73,appointment,63,medication,58,contact,57,surgical,47,none,47,this,46,women’s,46,after,43,have,42,our,41,patient,40,request,36,pregnancy,35,fees,35,there,33,west,32,try,32,plaza,32,typeof,30,nonce,30,error,30,erroredfunction,30,downgrade,30,get,29,counseling,27,directions,27,staff,27,date,26,before,26,all,26,else,26,expect,25,what,25,clinic,25,care,25,may,23,any,23,calf,22,calculator,22,please,22,while,21,weeks,21,years,21,visit,20,can,20,options,20,minors,19,when,19,possible,19,home,19,women,18,since,18,information,17,faqs,17,patients,17,physician,17,ensure,17,best,17,they,17,comfortable,17,out,16,automatically,16,confidential,16,provider,16,set,16,south,15,now,15,jqueryfunctions,15,response,15,xhr,15,reqeust,15,drive,15,already,15,respect,15,"""weve""",15,automatic,15,alerts,15,must,15,attempted,15,ensuring,15,rights,15,visitors,15,who,15,page,15,pride,15,catch,15,"""object""",15,inline,15,ourselves,15,browsers,15,processing,15,older,15,break,15,georgia’s,15,caused,15,deserve,15,treat,15,matching,15,info,15,deprecation,15,suppress,15,trusted,15,dedicated,15,first,14,time,14,day,14,provide,14,then,13,hours,13,two,13,follow,13,member,13,take,12,financial,12,procedure,11,days,11,medical,11,only,11,does,11,period,11,allowed,11,required,11,bring,11,form,10,make,10,waiting,10,assistance,10,use,10,building,10,birth,10,these,9,vip,9,which,9,also,9,been,9,doctor,9,call,9,ultrasound,9,number,9,ask,9,funding,8,between,8,nfws,8,following,8,last,8,due,8,preliminary,8,state,8,seeking,8,control,7,length,7,back,7,legal,7,more,7,additional,7,appointments,7,pain,7,available,7,non-refundable,7,show,7,free,7,once,7,provided,7,cycle,7,need,7,national,7,month,6,nan,6,sets,6,long,6,how,6,given,6,require,6,most,6,bleeding,6,trimester,6,requires,6,blood,6,into,6,slash,6,including,6,upon,6,educational,6,help,6,sure,6,guests,6,10
count16,https://www.plannedparenthood.org/health-center/florida/port-saint-lucie/34952/treasure-coast-health-center-2627-90320#hours-walk-ins,16,planned,286,parenthood,286,your,177,you,142,var,128,health,124,label,102,instanceof,100,this,98,solid,96,our,81,services,73,else,73,---,73,abortion,68,new,65,years,61,get,60,search,57,care,57,main,53,choose,51,please,46,can,46,about,43,function,42,ago,41,seconds,41,more,41,find,40,video,38,all,35,return,34,have,34,north,33,control,33,contact,32,birth,31,action,31,navigation,30,error,30,border-color,30,follow,30,default,29,let,29,center,29,donate,29,when,29,toggle,28,email,27,information,27,access,26,call,26,out,26,background,25,field,25,background-color,25,form,24,loading,23,insurance,22,florida,22,opacity,22,appointment,22,research,21,set,21,policy,21,not,21,east,21,patient,21,reproductive,21,learn,21,how,21,make,20,color,20,gift,20,resources,20,other,20,use,19,sexual,19,donor,18,first,18,does,18,year,18,involved,18,open,18,any,18,state,18,code,18,screen,18,take,17,sex,17,ease,17,online,17,privacy,17,infinite,17,need,17,provider,16,development,16,blog,16,enter,15,only,15,day,15,const,15,data,15,add,15,bans,15,off,15,select,14,see,14,available,14,lever-fadein,14,what,14,help,14,service,14,after,14,one,14,advocacy,14,senior,14,financial,14,vice,14,user,14,now,14,used,14,path,13,chief,13,affiliate,13,forms,13,mail,13,value,13,terms,13,book,13,back,13,under,13,share,13,mypostrender,12,hillmoor,12,officer,12,method,12,target,12,read,12,want,12,fill,12,bodies,12,volunteer,12,know,12,name,12,pregnancy,12,federation,12,sticky,12,great,12,zip,11,page,11,show,11,give,11,office,11,may,11,cart,11,time,11,español,11,through,11,membership,11,rights,11,general,11,sign,11,change,11,payment,11,right,10,box-shadow,10,must,10,custom,10,provide,10,age,10,card,10,resharper,10,most,10,link,10,education,10,checkbox,10,check,10,telehealth,10,participate,10,messages,10,data-close,10,hollow,10,tax-deductible,10,medical,10,hide,10,products,10,plan,9,language,9,port,9,button,9,img,9,testing,9,void,9,display,9,pill,9,closed,9,impact,9,shimmer,9,11
count17,https://www.plannedparenthood.org/health-center/florida/sarasota/34236/sarasota-health-center-2189-90300,19,parenthood,338,planned,335,your,242,you,184,instanceof,167,var,132,health,122,this,119,label,102,solid,96,our,96,services,95,search,95,abortion,85,care,85,please,76,---,73,else,73,get,72,central,71,about,69,new,68,years,63,can,63,southwest,59,more,56,function,55,choose,54,main,53,birth,53,follow,51,control,49,all,48,find,48,have,44,seconds,41,access,41,donate,41,ago,41,call,41,video,40,florida,40,when,40,contact,39,error,39,navigation,39,appointment,36,let,35,field,35,information,34,return,33,form,33,patient,33,other,32,out,31,medical,31,involved,30,border-color,30,enter,29,default,29,policy,29,learn,28,provider,28,email,27,service,27,back,27,how,27,make,26,toggle,26,open,25,background-color,25,use,25,background,25,center,24,set,24,action,24,insurance,23,privacy,23,any,23,code,23,loading,23,state,23,age,22,good,22,forms,22,faith,22,sticky,22,opacity,22,day,22,reproductive,22,research,21,first,21,not,20,color,20,gift,20,terms,20,const,20,sexual,20,one,20,target,20,online,19,book,19,year,19,does,19,development,19,now,18,pregnancy,18,site,18,need,18,screen,18,portal,18,affiliate,18,right,18,link,18,hollow,18,fill,18,data-close,18,sex,17,patients,17,available,16,zip,16,help,16,donor,16,take,16,most,16,ease,15,what,15,north,15,additional,15,sure,15,estimate,15,off,15,messages,15,data,15,add,15,bans,15,hormone,15,only,15,infinite,15,schedule,15,std,15,"""dont""",14,telehealth,14,senior,14,want,14,share,14,therapy,14,through,14,used,14,lever-fadein,14,last,14,under,14,blog,14,pill,14,vice,14,value,13,fund,13,populates,13,know,13,testing,13,mail,13,current,13,"""womens""",13,method,13,path,13,mypostrender,12,give,12,select,12,name,12,chief,12,questions,12,operated,12,great,12,period,12,federation,12,hipaa,12,advocacy,12,bodies,12,rights,12,user,12,content,12,treatment,12,cart,11,general,11,promos,11,"""mens""",11,morning-after,11,hiv,11,membership,11,receive,11,private,11,sign,11,office,11,before,11,change,11,"""use""",11,ctas,11,django,11,cta,11,"""couldnt""",11,12
count18,http://www.presidentialcenter.com/,25,abortion,787,your,413,our,408,you,246,center,240,patients,198,presidential,172,trimester,165,"""womens""",163,auto,138,all,126,have,118,help,116,palm,105,care,103,women’s,103,this,103,consultation,101,after,98,state,98,about,98,first,97,pill,96,free,92,patient,91,financial,86,having,85,fetal,81,before,80,forms,79,second,78,out,77,privacy,76,word,75,miami,74,anomaly,74,founder,74,enhanced,73,resources,73,servicing,73,careers,72,west,71,reviews,70,appointment,70,can,70,women,70,blog,69,donations,69,pregnancy,68,over,64,providing,63,abortions,63,birth,61,tubal,58,who,57,control,57,schedule,56,ligation,55,testing,53,please,53,experience,52,northpoint,48,effective,47,provide,46,compliance,46,national,44,available,44,understanding,43,their,43,any,39,contact,38,make,38,weeks,38,surgical,36,support,36,more,36,here,35,health,35,medical,35,option,35,these,34,one,34,request,34,reproductive,34,prior,33,questions,33,physician,32,office,32,hours,32,need,32,quality,32,florida,32,not,32,very,31,respect,31,non-surgical,30,rights,30,legal,30,they,30,everything,29,period,29,private,29,assist,29,new,29,faqs,28,understand,28,function,28,seeking,28,may,27,challenges,27,home,27,appointments,26,waiting,26,would,26,while,26,organization,26,open,26,atmosphere,26,offer,25,staff,25,creates,25,required,25,law,24,possible,24,in-person,24,during,24,ban,24,minimal,24,april,23,seeing,23,trusted,23,minimum,23,july,23,legally,23,pwc-colored-logo,23,out-of-state,23,show,23,espanol,23,qualities,23,known,23,directions,23,reflects,23,enacted,23,scheduling,23,personal,22,last,22,beach,22,been,21,options,21,unique,20,expectations,20,services,20,also,19,work,19,take,19,assistance,18,call,18,para,18,procedure,18,exceptional,17,best,17,clinic,17,like,17,exceed,17,federation,17,tailored,17,many,16,trust,16,when,16,information,16,excellence,16,files,16,standard,16,accredited,16,expand,15,other,15,process,15,time,15,needs,15,access,15,independent,15,pride,15,thank,14,through,14,own,14,must,14,placing,14,right,14,promise,14,learn,13,know,13,travel,13,years,13,each,13,que,12,file,12,aborto,12,day,12,choose,12,print,12,13
count19,https://www.plannedparenthood.org/health-center/florida/miami/33176/kendall-health-center-2258-90320,17,planned,286,parenthood,286,your,177,you,141,var,130,health,124,label,102,instanceof,100,this,99,solid,98,our,82,else,73,---,73,services,73,abortion,67,new,67,years,61,get,60,care,57,search,57,main,53,choose,51,can,47,please,46,about,43,function,42,ago,41,seconds,41,find,40,more,39,video,38,all,35,have,35,return,34,control,33,north,33,contact,32,birth,31,action,31,follow,30,border-color,30,error,30,center,30,navigation,30,when,29,default,29,donate,29,let,29,toggle,28,information,27,email,27,out,26,access,26,background-color,25,field,25,background,25,call,25,form,24,not,23,loading,23,policy,23,insurance,22,opacity,22,appointment,22,florida,22,learn,21,research,21,patient,21,set,21,east,21,reproductive,21,how,21,resources,20,other,20,use,20,gift,20,make,20,color,20,sexual,19,involved,18,open,18,screen,18,state,18,donor,18,code,18,first,18,does,18,any,18,privacy,18,year,18,ease,17,online,17,take,17,infinite,17,need,17,sex,17,blog,16,development,16,help,16,provider,16,only,15,add,15,enter,15,off,15,const,15,service,15,day,15,data,15,bans,15,see,15,available,14,terms,14,financial,14,what,14,senior,14,user,14,lever-fadein,14,select,14,now,14,after,14,one,14,used,14,advocacy,14,vice,14,forms,13,mail,13,share,13,back,13,path,13,under,13,book,13,value,13,chief,13,affiliate,13,want,12,volunteer,12,sticky,12,give,12,bodies,12,read,12,target,12,pregnancy,12,federation,12,method,12,fill,12,mypostrender,12,name,12,officer,12,know,12,great,12,page,11,cart,11,through,11,must,11,time,11,change,11,payment,11,may,11,español,11,general,11,show,11,sign,11,office,11,zip,11,rights,11,membership,11,age,10,card,10,link,10,right,10,messages,10,most,10,check,10,telehealth,10,checkbox,10,education,10,medical,10,participate,10,tax-deductible,10,hide,10,box-shadow,10,provide,10,data-close,10,custom,10,none,10,products,10,hollow,10,resharper,10,toastfadein,9,rotate-infinite,9,top,9,last,9,language,9,pill,9,plan,9,span,9,fade-in,9,fade-out,9,selected,9,attacks,9,14
count2,https://www.plannedparenthood.org/health-center/florida/tampa/33613/north-tampa-health-center-4274-90300,19,parenthood,338,planned,335,your,242,you,185,instanceof,167,var,132,health,120,this,118,label,102,our,96,solid,96,services,95,search,95,care,84,abortion,84,please,74,else,73,---,73,get,72,about,69,new,68,years,63,can,63,central,59,southwest,59,more,56,function,55,choose,54,birth,53,main,53,follow,51,control,49,all,48,find,48,have,44,ago,41,seconds,41,access,41,donate,41,call,41,florida,40,video,40,when,40,navigation,39,error,39,contact,39,appointment,36,let,35,field,35,information,34,form,33,patient,33,return,33,other,31,out,30,border-color,30,involved,30,policy,29,enter,29,medical,29,default,29,provider,28,learn,28,back,27,how,27,service,27,email,27,toggle,26,background-color,25,background,25,make,25,use,25,open,25,set,24,action,24,loading,23,center,23,state,23,code,23,insurance,23,privacy,23,forms,22,good,22,reproductive,22,any,22,day,22,sticky,22,faith,22,age,22,opacity,22,first,21,research,21,gift,20,const,20,sexual,20,color,20,not,20,target,20,one,20,terms,20,does,19,year,19,online,19,development,19,book,19,data-close,18,north,18,now,18,affiliate,18,pregnancy,18,screen,18,hollow,18,link,18,site,18,portal,18,right,18,fill,18,need,18,patients,17,sex,17,help,16,most,16,take,16,zip,16,donor,16,ease,15,off,15,hormone,15,messages,15,add,15,bans,15,additional,15,schedule,15,estimate,15,what,15,infinite,15,available,15,sure,15,std,15,data,15,telehealth,14,share,14,only,14,lever-fadein,14,used,14,pill,14,senior,14,blog,14,under,14,through,14,vice,14,"""dont""",14,want,14,last,14,therapy,14,fund,13,value,13,testing,13,path,13,current,13,"""womens""",13,know,13,method,13,mail,13,populates,13,select,12,bodies,12,advocacy,12,bearss,12,federation,12,name,12,mypostrender,12,treatment,12,user,12,questions,12,chief,12,great,12,operated,12,period,12,give,12,content,12,hipaa,12,rights,12,website,11,in-person,11,exists,11,transgender,11,promos,11,autopopulate,11,before,11,"""couldnt""",11,buttonsubmit,11,general,11,focus,11,morning-after,11,validated,11,private,11,receive,11,valid,11,hiv,11,2
count20,http://www.tampabayabortionclinics.com/locations/,4,health,70,"""womans""",34,very,33,this,28,they,27,years,25,fletcher,22,staff,21,petersburg,21,"""womens""",20,place,18,you,18,abortion,16,center,16,accessible,15,about,14,have,14,time,14,new,13,she,12,made,12,there,11,islands,11,experience,11,not,11,help,10,pregnancy,10,your,10,planning,10,clinic,10,treated,10,everyone,10,control,10,all,10,feel,10,during,10,would,9,"""didnt""",8,any,8,doctor,8,var,8,google,8,although,8,best,7,saint,7,care,7,had,7,how,7,who,7,women,7,one,6,say,6,after,6,extremely,6,woman,6,difficult,6,republic,6,but,6,answered,6,view,6,when,6,like,6,also,6,wait,6,see,6,long,6,opens,6,through,6,"""google""",6,comfortable,6,should,6,out,6,testing,6,thank,6,their,6,tampa,6,procedure,5,medical,5,kind,5,questions,5,name,5,told,5,maps,5,information,5,her,5,get,5,birth,5,ultrasound,5,function,5,pill,5,concerns,4,physician,4,helpful,4,"""dont""",4,helped,4,contact,4,good,4,amazing,4,incredibly,4,could,4,more,4,some,4,leave,4,south,4,people,4,hard,4,phone,4,start,4,ever,4,guide,4,well,4,street,4,bien,4,lady,4,nice,4,operate,4,before,4,details,4,because,4,process,4,faq,4,family,4,service,4,can,4,did,4,days,4,ave,4,second,4,anything,4,our,4,really,4,short,4,took,4,iud,4,rude,4,just,4,own,4,finish,4,sweet,4,friendly,4,call,4,surgical,4,taken,4,year,4,"""use""",4,enough,4,remember,4,patients,3,highly,3,locations,3,location,3,last,3,love,3,morning,3,other,3,area,3,guinea,3,united,3,congo,3,que,3,violence,3,termination,3,address,3,centers,3,north,3,pap,3,member,3,rights,3,roses,3,pain,3,bread,3,cervical,3,wheelchair,3,domestic,3,mon,3,months,3,making,3,syntax,2,mousedown,2,issues,2,times,2,yells,2,once,2,older,2,menstrual,2,never,2,much,2,netherlands,2,position,2,honestly,2,similar,2,island,2,cigarettes,2,building,2,"""isnt""",2,safe,2,city,2,lot,2,"""mute""",2,virgin,2,15
