index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,http://www.atlanta-abortion-clinic.com/,2,abortion,25,medical,10,pill,9,first,6,our,5,"""womens""",5,your,5,this,4,appointment,4,more,4,national,4,you,4,old,4,schedule,4,trimester,4,about,3,contact,3,director,3,early,3,know,3,medication,3,can,3,end,3,after,3,day,3,weeks,3,one,3,clinic,3,right,3,services,3,fees,3,much,2,information,2,have,2,days,2,emergency,2,learn,2,atlanta,2,procedure,2,patients,2,naf,2,drug,2,last,2,may,2,does,2,when,2,make,2,online,2,hour,2,experience,2,gynecology,2,morning,2,how,2,funding,2,who,2,ong,2,facility,2,sanitary,1,investigators,1,offer,1,find,1,college,1,offering,1,since,1,ultrasound,1,thinking,1,three,1,name,1,atmosphere,1,welcome,1,what,1,additional,1,only,1,two,1,wellness,1,clinical,1,napkins,1,clinics,1,physician,1,significant,1,administered,1,administration,1,pre,1,these,1,way,1,safe,1,contraception,1,popular,1,post,1,comfort,1,military,1,home,1,fda,1,based,1,informed,1,usually,1,privileges,1,using,1,private,1,premium,1,cost,1,principal,1,exceptional,1,service,1,family,1,back,1,hospitals,1,trials,1,facing,1,pregnancy,1,mifepristone,1,been,1,also,1,medicaid,1,in-clinic,1,time,1,medicines,1,all,1,birth,1,available,1,allowed,1,alternative,1,control,1,compassion,1,now,1,instructions,1,vast,1,highway,1,fee’s,1,variations,1,some,1,testing,1,offers,1,different,1,cases,1,discussed,1,abortions,1,years,1,others,1,other,1,did,1,get,1,success,1,fortunate,1,kindness,1,performed,1,choice,1,over,1,deserve,1,pack,1,surgical,1,caring,1,called,1,designed,1,low,1,full,1,required,1,reduced,1,effective,1,act,1,following,1,full-service,1,local,1,certtified,1,responsive,1,getting,1,graphene,1,parking,1,food,1,certified,1,which,1,choose,1,jewel,1,stay,1,guaranteed,1,makes,1,policyterms,0,policy,0,patch,0,policyhybridplanned,0,podcast,0,podría,0,point,0,policyapplypolicy,0,policies,0,personally,0,plus,0,pocket,0,pob,0,played,0,pleasant,0,please,0,patients’,0,pleased,0,patientsawc,0,pleasure,0,plugin,0,plugins,0,patient-centered,0,pluraldaychar,0,1
count10,https://www.plannedparenthood.org/health-center/georgia/atlanta/30316/east-atlanta-health-center-4286-90330?utm_campaign=east-atlanta-health-center&utm_medium=organic&utm_source=local-listing,14,planned,272,parenthood,271,your,147,var,129,you,120,label,102,solid,96,health,85,this,83,instanceof,82,---,73,else,72,our,70,years,61,get,57,new,55,main,53,choose,51,abortion,50,care,44,can,44,search,43,about,42,ago,41,seconds,41,video,38,services,37,have,35,more,32,return,31,function,30,please,30,border-color,30,find,29,default,29,control,29,email,27,birth,27,contact,27,let,26,error,26,follow,26,background,25,background-color,25,all,25,display,25,donate,24,loading,23,when,22,sexual,22,opacity,22,action,22,navigation,22,toggle,21,center,21,form,21,access,21,information,21,research,21,out,21,policy,20,color,20,field,20,gift,20,how,20,involved,19,year,18,insurance,18,screen,18,call,17,does,17,sex,17,learn,16,code,16,first,16,set,16,donor,16,off,15,help,15,add,15,infinite,15,other,15,ease,15,open,15,any,15,data,15,bans,15,vice,14,reproductive,14,appointment,14,only,14,state,14,after,14,use,14,used,14,development,14,lever-fadein,14,senior,14,what,14,mail,13,value,13,path,13,privacy,13,affiliate,13,day,13,take,13,under,13,online,13,chief,12,bodies,12,const,12,share,12,advocacy,12,now,12,moreland,12,federation,12,great,12,select,12,north,12,user,12,not,12,name,12,blog,12,mypostrender,12,make,12,cart,11,general,11,membership,11,see,11,provider,11,officer,11,through,11,know,11,one,11,want,11,office,11,box-shadow,10,target,10,change,10,show,10,resharper,10,terms,10,checkbox,10,right,10,tax-deductible,10,enter,10,method,10,give,10,questions,10,custom,10,need,10,states,10,participate,10,products,10,hide,10,lever-slideup,9,card,9,img,9,also,9,months,9,zip,9,forms,9,closed,9,shimmer,9,back,9,toastfadein,9,selected,9,left,9,available,9,people,9,rotate-infinite,9,volunteer,9,attacks,9,fade-out,9,button,9,lever-fadeout,9,fade-in,9,rights,9,check,9,fill,9,pregnancy,9,normal,9,lever-slidedown,9,none,9,digital,9,ave,8,always,8,datalayer,8,extent,8,protect,8,campaigns,8,circle,8,shop,8,link,8,"""of""",8,prevent,8,service,8,data-close,8,question,8,local,8,10
count2,https://www.plannedparenthood.org/health-center/georgia/lawrenceville/30043/gwinnett-center-2271-90330,14,planned,271,parenthood,271,your,148,var,129,you,118,label,102,solid,96,this,83,instanceof,82,health,79,---,73,else,72,our,69,years,61,get,57,new,54,main,53,choose,51,abortion,49,care,45,can,44,search,43,about,42,ago,41,seconds,41,video,38,services,37,have,34,please,32,return,31,more,31,control,30,border-color,30,function,30,default,29,find,29,birth,28,contact,27,email,27,follow,26,all,26,error,26,let,26,display,25,background,25,background-color,25,donate,24,loading,23,opacity,22,action,22,sexual,22,navigation,22,out,21,research,21,when,21,form,21,toggle,21,information,21,access,21,policy,20,color,20,field,20,how,20,gift,20,center,19,involved,19,insurance,19,call,18,screen,18,year,18,sex,17,does,17,other,17,first,16,code,16,donor,16,set,16,learn,16,infinite,15,off,15,data,15,open,15,ease,15,any,15,add,15,bans,15,help,15,appointment,14,what,14,lever-fadein,14,use,14,senior,14,development,14,used,14,reproductive,14,state,14,vice,14,affiliate,13,path,13,mail,13,online,13,only,13,available,13,under,13,take,13,privacy,13,value,13,philip,12,chief,12,share,12,north,12,not,12,bodies,12,now,12,advocacy,12,federation,12,name,12,provider,12,mypostrender,12,after,12,select,12,user,12,day,12,great,12,const,12,blog,12,make,12,one,11,through,11,officer,11,office,11,general,11,cart,11,see,11,know,11,membership,11,want,11,enter,10,participate,10,custom,10,terms,10,right,10,checkbox,10,give,10,change,10,products,10,show,10,target,10,tax-deductible,10,method,10,hide,10,questions,10,states,10,box-shadow,10,resharper,10,card,9,fade-in,9,lever-fadeout,9,back,9,months,9,none,9,button,9,need,9,selected,9,toastfadein,9,normal,9,rotate-infinite,9,fade-out,9,attacks,9,lever-slideup,9,volunteer,9,forms,9,also,9,left,9,shimmer,9,fill,9,zip,9,img,9,lever-slidedown,9,rights,9,check,9,people,9,digital,9,pregnancy,9,store,8,down,8,time,8,last,8,southeast,8,datalayer,8,data-close,8,just,8,hollow,8,protect,8,always,8,they,8,federal,8,prevent,8,campaigns,8,ppfa,8,2
count3,https://www.plannedparenthood.org/health-center/georgia/savannah/31405/savannah-center-2207-90330,14,planned,271,parenthood,271,your,149,var,129,you,120,label,102,solid,96,this,83,instanceof,82,health,80,---,73,else,72,our,70,years,61,get,57,new,55,main,53,choose,51,abortion,49,care,45,can,45,search,43,about,42,ago,41,seconds,41,video,38,services,37,have,35,please,32,return,31,more,31,function,30,border-color,30,default,29,find,29,control,29,contact,27,email,27,birth,27,follow,26,error,26,let,26,background,25,all,25,background-color,25,display,25,donate,24,loading,23,when,22,opacity,22,action,22,sexual,22,navigation,22,out,21,form,21,toggle,21,research,21,information,21,access,21,how,20,color,20,field,20,gift,20,policy,20,call,19,involved,19,insurance,19,center,19,screen,18,year,18,does,17,sex,17,donor,16,first,16,code,16,set,16,learn,16,state,15,off,15,help,15,other,15,ease,15,open,15,data,15,add,15,bans,15,any,15,infinite,15,senior,14,development,14,reproductive,14,lever-fadein,14,only,14,vice,14,used,14,after,14,use,14,what,14,appointment,14,mail,13,online,13,affiliate,13,under,13,take,13,path,13,day,13,privacy,13,value,13,user,12,federation,12,now,12,share,12,bodies,12,provider,12,blog,12,not,12,const,12,north,12,advocacy,12,make,12,chief,12,mypostrender,12,great,12,name,12,select,12,general,11,officer,11,see,11,available,11,through,11,know,11,one,11,want,11,membership,11,office,11,cart,11,products,10,box-shadow,10,questions,10,terms,10,hide,10,checkbox,10,resharper,10,give,10,tax-deductible,10,change,10,custom,10,show,10,enter,10,states,10,target,10,right,10,participate,10,method,10,need,10,pregnancy,9,months,9,rights,9,rotate-infinite,9,volunteer,9,forms,9,attacks,9,fill,9,fade-out,9,fade-in,9,back,9,shimmer,9,also,9,people,9,zip,9,none,9,normal,9,digital,9,button,9,card,9,toastfadein,9,check,9,img,9,selected,9,lever-slidedown,9,left,9,lever-slideup,9,lever-fadeout,9,federal,8,top,8,campaigns,8,ppfa,8,prevent,8,hollow,8,closed,8,shop,8,circle,8,sign,8,question,8,time,8,link,8,service,8,always,8,they,8,read,8,3
count4,https://www.plannedparenthood.org/health-center/georgia/marietta/30062/cobb-center-2270-90330?utm_campaign=cobb-health-center&utm_medium=organic&utm_source=local-listing,14,planned,271,parenthood,271,your,148,var,129,you,118,label,102,solid,96,this,83,instanceof,82,health,80,---,73,else,72,our,69,years,61,get,57,new,54,main,53,choose,51,abortion,49,care,45,can,44,search,43,about,42,ago,41,seconds,41,video,38,services,37,have,34,more,32,please,31,return,31,function,30,border-color,30,control,29,default,29,find,29,email,27,birth,27,contact,27,let,26,error,26,follow,26,display,25,background,25,background-color,25,all,25,donate,24,loading,23,opacity,22,navigation,22,action,22,sexual,22,information,21,center,21,out,21,when,21,form,21,toggle,21,research,21,access,21,policy,20,how,20,field,20,gift,20,color,20,involved,19,insurance,19,call,18,year,18,screen,18,does,17,sex,17,set,16,first,16,learn,16,code,16,donor,16,cobb,16,off,15,data,15,help,15,any,15,infinite,15,other,15,ease,15,open,15,bans,15,add,15,vice,14,development,14,used,14,lever-fadein,14,reproductive,14,appointment,14,state,14,what,14,use,14,senior,14,mail,13,affiliate,13,path,13,only,13,privacy,13,take,13,under,13,value,13,online,13,chief,12,blog,12,mypostrender,12,federation,12,after,12,north,12,bodies,12,provider,12,not,12,make,12,name,12,select,12,now,12,const,12,great,12,share,12,office,12,day,12,advocacy,12,user,12,know,11,see,11,cart,11,membership,11,general,11,one,11,officer,11,through,11,want,11,right,10,enter,10,participate,10,change,10,resharper,10,terms,10,box-shadow,10,states,10,checkbox,10,tax-deductible,10,target,10,questions,10,hide,10,show,10,available,10,give,10,products,10,method,10,custom,10,check,9,button,9,fill,9,months,9,lever-fadeout,9,also,9,attacks,9,lever-slidedown,9,pregnancy,9,back,9,lever-slideup,9,forms,9,people,9,card,9,shimmer,9,left,9,rotate-infinite,9,volunteer,9,fade-in,9,selected,9,none,9,need,9,rights,9,normal,9,img,9,zip,9,toastfadein,9,digital,9,closed,9,fade-out,9,extent,8,datalayer,8,campaigns,8,prevent,8,data-close,8,most,8,ppfa,8,link,8,read,8,always,8,service,8,top,8,question,8,time,8,southeast,8,4
count5,https://abortionclinicservicesaugustaga.com/,14,abortion,325,our,126,pill,114,preferred,103,health,84,augusta,80,information,75,clinic,68,new,60,solid,60,services,59,var,59,auto,57,all,54,you,54,this,51,menu,49,your,48,center,45,schedule,41,women’s,41,charlotte,41,atlanta,41,function,41,raleigh,38,appointment,38,in-office,36,background-color,36,counselors,31,care,28,file,27,none,27,transform,27,have,26,more,26,home,24,staff,24,about,24,not,24,additional,24,provide,23,choice,23,medical,22,centers,22,act,22,patient,21,nurses,21,offer,21,make,21,wrk,20,physicians,19,abortions,19,professional,19,experienced,19,styling,18,style,18,border-color,18,who,18,apwhc,17,best,17,their,17,contact,17,pregnancy,17,women,17,display,16,patients,16,instanceof,16,specializes,15,provided,15,call,15,georgia,15,staffed,14,can,14,available,14,right,14,screen,13,carolina,13,rights,13,location,13,north,13,"""womens""",13,appointmenta,13,news,13,comprehensive,13,featuring,12,may,12,"""no""",12,here,12,procedure,12,counseling,12,please,12,common,12,major,12,questions,12,thank,12,"""surgery""",12,content,11,component,11,custom,11,configuration,11,confidential,11,help,11,goes,11,espanol,11,habla,11,very,11,try,10,another,10,greenville,10,contents,10,wordpress,10,services-,10,january,10,trained,10,appointments,9,surgical,9,plugin,9,pillin-office,9,sitemap,9,setting,9,appointmentnews,9,animation,9,scrolling,9,answer,9,procedures,9,say,9,auto-generated,9,need,9,like,9,bar,9,edit,9,usabortion,9,abortionslocationga,9,hamburger,9,informationcontact,9,trigger,9,usschedule,9,inline,9,inset,9,caring,9,financial,9,box,9,boring,9,title,9,homeabout,9,located,9,connect,9,color,9,each,9,choosing,9,"""dont""",9,"""of""",8,but,8,own,8,coordinator,8,wilmington,8,specially,8,days,8,obtained,8,made,8,emailing,8,phone,8,service,8,pleasure,7,vacuum,7,early,7,most,7,…the,7,know,7,they,7,office,7,be…,7,offices,7,just,7,many,7,united,6,locations,6,links,6,time,6,doctor,6,serving,6,terminating,6,first,6,one,6,using,6,over,6,mmm,6,use,6,than,6,medications,5,class,5,menstrual,5,any,5,return,5,communities,5,including,5,during,5,private,5,physical,5,emotional,5,5
count6,http://www.columbuswomenshealth.com/,16,your,224,you,181,new,171,day,165,return,147,abortion,141,date,132,var,112,health,111,patient,96,function,93,year,86,month,86,this,86,paypal,85,days,85,sets,84,auto,84,have,73,cycle,70,luteal,70,account,66,make,66,weeks,64,length,60,google,59,must,59,all,59,too,59,can,58,columbus,58,very,56,about,56,organization,55,right,53,try,52,should,51,care,50,our,48,info,48,menstrual,46,not,46,donation,45,validates,42,information,42,ovulation,42,whole,42,none,42,review,42,time,40,first,39,what,38,appointment,37,pill,37,number,36,one,36,surgical,36,request,36,valid,35,please,34,gift,34,last,33,"""doesnt""",32,donate,31,pregnancy,31,state,31,age,31,"""womens""",31,period,31,still,31,complete,30,georgia,30,less,30,check,30,necessary,30,location,30,between,29,they,29,rosemont,29,former,29,stressful,28,fetalage,28,variables,28,figure,28,defaults,28,extremely,28,fetal,28,calculation,28,clinic,28,due,28,objects,28,clean,28,long,28,short,28,either,28,get,26,aid,26,schedule,26,phone,26,other,25,made,25,enter,25,financial,25,office,25,privacy,24,hours,24,more,23,else,23,use,23,been,22,left,22,tax,22,staff,21,expect,21,started,21,fee,20,it’s,20,others,20,feel,20,instructions,19,card,19,great,19,through,19,includes,19,agree,19,into,19,policy,19,button,19,address,19,rights,18,week,18,then,18,donating,18,invalid,18,safe,18,following,18,woman’s,18,like,18,change,17,help,17,because,17,their,17,medical,17,payment,17,monday,17,credit,17,than,17,otherwise,16,choice,16,may,16,here,16,checks,16,today,16,comfortable,16,saturday,16,after,16,again,16,experience,16,closed,16,forms,16,create,16,decision,16,dinar,16,assistance,16,doctors,16,women’s,16,giving,15,people,15,automatically,15,false,15,friday,15,she,15,laws,15,confirm,15,best,15,requires,15,drive,15,donations,15,menstual,14,pay,14,design,14,»function,14,genuinely,14,milliseconds,14,menstrualinput,14,‘calculate’,14,translate,14,creates,14,mm-dd-yy,14,impressed,14,mm-dd-yyyy,14,calculator,14,credits,14,never,14,field,14,nice,14,february,14,amazing,14,kept,14,reliable,14,6
count7,https://abortionclinicservicesatlantaga.com/,16,abortion,385,our,143,pill,125,preferred,124,health,100,you,88,clinic,74,solid,72,your,72,services,71,atlanta,69,information,64,var,61,center,55,new,51,all,51,have,50,women’s,48,charlotte,44,raleigh,42,augusta,42,in-office,40,background-color,38,can,36,counselors,35,schedule,34,care,33,not,33,appointment,32,patients,31,offer,31,choice,29,patient,28,this,27,act,27,provide,26,procedure,26,transform,26,medical,26,women,25,wrk,25,usabortion,24,centers,24,make,24,border-color,24,abortionsfinancial,24,additional,24,function,23,nurses,23,who,23,usschedule,22,informationcontact,22,helplocationfaqsga,22,staff,22,pillin-office,22,appointmentnews,22,experienced,21,pregnancy,21,physicians,21,best,21,help,21,featuring,19,professional,19,"""no""",19,their,19,"""surgery""",19,after,19,more,18,provided,17,may,17,specializes,17,home,17,questions,17,about,17,"""womens""",17,financial,17,available,16,screen,16,staffed,16,instanceof,16,services-,16,display,16,menu,15,carolina,15,north,15,appointmenta,15,weeks,15,comprehensive,15,auto,15,rights,15,georgia,14,need,14,habla,13,confidential,13,another,13,right,12,phone,12,choosing,12,each,12,color,12,appointments,12,wordpress,12,here,12,trained,12,configuration,11,but,11,espanol,11,homepage,11,atlantacall,11,goes,11,days,11,custom,11,than,11,say,11,any,11,homeabout,11,informationconnect,11,answer,11,abortions,11,continue,11,should,10,specially,10,counseling,10,obtained,10,office,10,apwhc,10,pleasure,10,located,10,coordinator,10,january,10,emailing,10,take,9,over,9,reading,9,surgical,9,there,9,be…,9,…the,9,menstrual,9,most,9,time,9,what,9,which,9,use,8,how,8,hours,8,many,8,return,8,private,8,one,8,own,8,contact,8,female,8,"""of""",8,know,8,file,7,her,7,asked,7,assistance,7,very,7,heavy,7,some,7,they,7,using,7,auto-generated,7,early,7,united,7,also,7,call,7,offered,7,terminating,7,caring,7,medications,7,locations,7,before,7,safe,6,medication,6,given,6,personal,6,get,6,reproductive,6,none,6,gestation,6,woman,6,mmm,6,out,6,please,6,vacuum,6,service,6,uterine,6,links,6,first,6,support,6,does,6,procedures,6,just,6,clinics,6,experience,5,back,5,option,5,7
count8,https://thewomenscenters.com/,25,abortion,566,our,359,read,259,you,244,center,235,request,214,women’s,182,more,174,appointment,148,care,146,medical,145,auto,144,your,131,records,119,contact,114,take,113,action,112,var,112,anomaly,105,financial,102,assistance,102,mailing,101,pregnancy,101,block,98,services,96,kit,96,pill,91,options,89,this,86,delaware,84,new,83,control,83,medication,82,volunteer,81,requests,80,procedures,79,fetal,79,list,78,all,78,inquiries,77,subscribe,76,engage,76,home,76,brochure,75,please,75,learn,73,register,72,job,72,none,72,blog,72,donate,72,vote,72,openings,72,join,72,"""womens""",66,form,65,gyn,63,javascript,58,patient,57,"""nf-field-""",56,county,55,atlanta,55,womens,54,birth,52,website,51,start,51,background,50,have,50,end,49,ensure,49,centers,49,accessibility,48,menu,48,enabled,48,purposes,48,can,44,field,44,about,43,call,42,else,41,stories,41,submit,40,hill,40,cherry,40,south,39,since,38,legal,36,decisions,35,available,35,function,34,click,33,life,32,hartford,32,only,31,let,30,mission,30,appointments,30,space,30,after,30,scheduling,30,render,30,offered,29,reproductive,29,proud,28,"""-""",28,facebook-f,28,information,27,days,27,twitter,26,any,26,notification,26,remains,25,effect,25,not,24,requestscherry,24,inquiriesmedical,24,content,24,optionsbrochure,24,requestmedication,24,optionsread,24,skip,24,inline,24,email,24,proceduresabout,24,blogregister,24,transparent,24,button,24,linkedin-in,24,members,24,centercontact,24,columns,24,listtake,24,immediate,24,votesubscribe,24,localize,24,storiesphiladelphia,24,abortionpre-procedure,24,careers,24,careabortion,24,search,24,centerbirth,24,material,24,centerdonateengagefetal,24,before,24,faq,24,scrollable,24,screen,24,auto-generated,24,rtafr,24,actionpost,24,usappointmentsatlanta,24,actionthank,24,youvolunteer,24,pilloptionsour,24,servicesfinancial,24,shadow,24,usdelaware,24,instructionspregnancy,24,centerpolitical,24,instagram,24,clinic,24,lawspatient,24,file,24,missionparental,24,use,23,philadelphia,22,return,22,required,21,their,21,enter,21,must,21,time,21,valid,21,staff,21,complete,20,patients,20,validation,20,health,19,important,19,people,19,support,17,find,17,privacy,17,women,17,who,17,procedure,16,provide,16,name,16,phone,15,questions,15,help,15,"""true""",15,may,15,index,15,weeks,14,like,14,called,14,what,14,release,14,needed,14,8
count9,http://www.feministcenter.org/,25,birth,3880,control,3819,abortion,3109,clinic,1044,options,858,private,827,fetal,821,anomaly,805,gynecologist,774,var,773,shot,758,clinicas,748,plan,740,types,740,aborto,738,pill,733,iud,721,nexplanon,721,implant,720,avondale,712,peachtree,700,pine,700,stone,700,lake,506,mountain,506,corners,506,estates,506,atlanta,491,clarkston,484,smyrna,484,mableton,474,scottdale,474,tucker,474,redan,474,decatur,474,lilburn,474,conley,474,norcross,474,care,428,health,396,you,365,services,309,function,287,center,284,our,271,feminist,231,your,217,patient,209,contact,198,nan,198,what,177,get,174,involved,161,donate,154,program,151,initiative,137,auto,134,keyvalue,132,about,129,women’s,123,info,110,community,110,reproductive,106,programs,106,near,102,trans,99,newsletter,95,sign,94,surgical,93,appointments,92,wellness,91,elementor,89,sexual,89,impact,88,report,88,after,86,please,84,can,84,email,81,medication,79,guide,78,prices,78,fundraising,78,emergency,77,expect,77,advocacy,76,druid,76,toolkit,76,how,75,all,74,provides,74,justice,74,vuley,74,contraception,74,fellows,73,may,73,jobs,72,latinx,72,history,72,solid,72,this,72,media,72,errin,71,volunteer,71,legislative,71,voices,71,point,71,appointment,70,request,70,resources,70,lifting,70,now,70,events,70,overview,68,more,68,speaker,68,workshop,68,internships,68,survivor,67,return,67,body,67,english,67,fast,67,track,67,none,66,blog,66,trauma,66,portal,66,dec,66,español,66,faqs,66,lang,66,homecoming,66,"""en""",66,vote,66,register,66,pregnancy,62,days,62,weeks,61,fulton,58,park,58,robins,58,springs,58,hills,58,not,57,daysandweeksmessage,56,need,55,september,54,date,50,way,50,partners,50,east,50,instagram,49,pregnant,48,who,48,message,48,twitter,46,facebook,45,language,45,sitemap,44,ieusers,44,triggersize,44,triggerpositionx,44,new,44,triggeroffsetx,44,triggerradius,44,triggerpositiony,44,ban,44,triggeroffsety,44,have,43,patients,42,else,41,cliff,41,valley,41,"""based""",40,providing,38,another,37,learn,37,username,36,athens,36,password,36,marietta,36,rome,36,choose,36,read,36,been,34,before,34,input,33,approximately,32,offer,32,including,32,call,31,visit,31,organization,30,enter,29,south,29,position,29,medical,28,address,28,event,28,9
