,token,Total0,Total1,Total2
0,'appropriate,0.0,3.0,0.0
1,'as,0.0,2.0,0.0
2,'at,0.0,1.0,0.0
3,'congratulations,0.0,1.0,0.0
4,'contextmenu,1.0,0.0,0.0
5,'fake,0.0,1.0,0.0
6,'finding,0.0,4.0,0.0
7,'google,0.0,3.0,0.0
8,'government,0.0,1.0,0.0
9,'in,0.0,1.0,0.0
10,'initial',0.0,2.0,0.0
11,'location,0.0,4.0,0.0
12,'many,0.0,1.0,0.0
13,'mazel,0.0,1.0,0.0
14,'mute',0.0,1.0,0.0
15,'my,0.0,1.0,0.0
16,'object',1.0,0.0,0.0
17,'product,0.0,1.0,0.0
18,'recipient,0.0,1.0,0.0
19,'script,0.0,2.0,0.0
20,'select,0.0,4.0,0.0
21,'select',0.0,4.0,0.0
22,'thank,0.0,1.0,0.0
23,'there,0.0,4.0,0.0
24,'thinking,0.0,1.0,0.0
25,'timing',1.0,0.0,0.0
26,'use,0.0,6.0,0.0
27,able,7.0,1.0,0.0
28,abortion,57.0,56.0,0.0
29,abortions,1.0,5.0,0.0
30,abortion”,0.0,1.0,0.0
31,about,52.0,39.0,0.0
32,above,0.0,2.0,0.0
33,abstinence,0.0,2.0,0.0
34,abstract,1.0,0.0,0.0
35,abuse,1.0,1.0,0.0
36,academic,2.0,0.0,0.0
37,accept,5.0,4.0,0.0
38,accepted,0.0,1.0,0.0
39,accepting,0.0,1.0,0.0
40,accepts,1.0,0.0,0.0
41,access,1.0,25.0,0.0
42,accessories,0.0,1.0,0.0
43,accompanied,0.0,1.0,0.0
44,accompany,0.0,1.0,0.0
45,accordion,1.0,0.0,0.0
46,account,0.0,7.0,0.0
47,accounttoggle,0.0,1.0,0.0
48,accreditation,1.0,0.0,0.0
49,accurate,2.0,4.0,0.0
50,ach,0.0,1.0,0.0
51,acog,1.0,0.0,0.0
52,across,0.0,3.0,0.0
53,act,0.0,2.0,0.0
54,action,2.0,22.0,0.0
55,actions,0.0,1.0,0.0
56,actiontag,0.0,1.0,0.0
57,active,0.0,1.0,0.0
58,actively,1.0,0.0,0.0
59,activists,0.0,2.0,0.0
60,activity,0.0,5.0,0.0
61,actual,1.0,0.0,0.0
62,adcreate,0.0,1.0,0.0
63,add,0.0,15.0,0.0
64,addevent,1.0,0.0,0.0
65,additional,7.0,7.0,0.0
66,addms,0.0,1.0,0.0
67,address,1.0,5.0,0.0
68,addresses,0.0,1.0,0.0
69,adds,0.0,5.0,0.0
70,adhere,0.0,1.0,0.0
71,administration,1.0,0.0,0.0
72,administrationnew,0.0,1.0,0.0
73,admissions,3.0,0.0,0.0
74,adolescent,1.0,0.0,0.0
75,adoption,4.0,0.0,0.0
76,ads,0.0,2.0,0.0
77,adult,0.0,1.0,0.0
78,advance,0.0,2.0,0.0
79,advanced,0.0,1.0,0.0
80,advances,0.0,1.0,0.0
81,advancing,0.0,2.0,0.0
82,advocacy,0.0,13.0,0.0
83,advocate,0.0,1.0,0.0
84,advocates,0.0,1.0,0.0
85,aff,0.0,3.0,0.0
86,affairs,2.0,0.0,0.0
87,affect,1.0,0.0,0.0
88,affilate,0.0,2.0,0.0
89,affiliate,0.0,12.0,0.0
90,affiliatecode,0.0,2.0,0.0
91,affiliatecodelocation,0.0,1.0,0.0
92,affiliated,3.0,0.0,0.0
93,affiliateid,0.0,4.0,0.0
94,affiliation,0.0,1.0,0.0
95,affirmed,1.0,0.0,0.0
96,affirming,0.0,2.0,0.0
97,affirms,1.0,0.0,0.0
98,affordable,0.0,7.0,0.0
99,africa,0.0,1.0,0.0
100,after,32.0,12.0,0.0
101,again,0.0,2.0,0.0
102,against,0.0,2.0,0.0
103,age,0.0,8.0,0.0
104,agent,0.0,5.0,0.0
105,ages,1.0,0.0,0.0
106,aging,1.0,0.0,0.0
107,ago,0.0,41.0,0.0
108,agree,0.0,1.0,0.0
109,aids,1.0,0.0,0.0
110,ajaxurl,1.0,0.0,0.0
111,alerts,0.0,2.0,0.0
112,all,37.0,29.0,0.0
113,alliance,0.0,4.0,0.0
114,allies,1.0,0.0,0.0
115,allow,1.0,1.0,0.0
116,allowable,0.0,7.0,0.0
117,allowed,1.0,0.0,0.0
118,allows,0.0,3.0,0.0
119,aloha,0.0,1.0,0.0
120,alohacare,1.0,0.0,0.0
121,along,1.0,0.0,0.0
122,aloud,2.0,0.0,0.0
123,already,0.0,1.0,0.0
