,token,Total0,Total1,Total2,Total3,Total4,Total5,Total6
0,'appropriate,0.0,3.0,3.0,3.0,0.0,3.0,3.0
1,'as,0.0,2.0,2.0,2.0,0.0,2.0,2.0
2,'at,0.0,1.0,1.0,1.0,0.0,1.0,1.0
3,'at',0.0,0.0,0.0,0.0,8.0,0.0,0.0
4,'chat,0.0,1.0,1.0,1.0,0.0,1.0,1.0
5,'congratulations,0.0,1.0,1.0,1.0,0.0,1.0,1.0
6,'enough',0.0,0.0,0.0,0.0,2.0,0.0,0.0
7,'fadescale',0.0,0.0,0.0,0.0,2.0,0.0,0.0
8,'fake,0.0,1.0,1.0,1.0,0.0,1.0,1.0
9,'finding,0.0,4.0,4.0,4.0,0.0,4.0,4.0
10,'google,0.0,3.0,3.0,3.0,0.0,3.0,3.0
11,'government,0.0,1.0,1.0,1.0,0.0,1.0,1.0
12,'helvetica,0.0,0.0,0.0,0.0,4.0,0.0,0.0
13,'in,0.0,1.0,1.0,1.0,0.0,1.0,1.0
14,'initial',0.0,2.0,2.0,2.0,0.0,2.0,2.0
15,'location,0.0,4.0,4.0,4.0,0.0,4.0,4.0
16,'many,0.0,1.0,1.0,1.0,0.0,1.0,1.0
17,'mazel,0.0,1.0,1.0,1.0,0.0,1.0,1.0
18,'mute',0.0,1.0,1.0,1.0,0.0,1.0,1.0
19,'my,0.0,1.0,1.0,1.0,0.0,1.0,1.0
20,'not,0.0,1.0,1.0,1.0,0.0,1.0,1.0
21,'of',0.0,0.0,0.0,0.0,16.0,0.0,0.0
22,'pinned',0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,'product,0.0,1.0,1.0,1.0,0.0,1.0,1.0
24,'recipient,0.0,1.0,1.0,1.0,0.0,1.0,1.0
25,'script,0.0,2.0,2.0,2.0,0.0,2.0,2.0
26,'select,0.0,4.0,4.0,4.0,0.0,4.0,4.0
27,'select',0.0,4.0,4.0,4.0,0.0,4.0,4.0
28,'slide',0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,'thank,0.0,1.0,1.0,1.0,0.0,1.0,1.0
30,'there,0.0,4.0,4.0,4.0,0.0,4.0,4.0
31,'thinking,0.0,1.0,1.0,1.0,0.0,1.0,1.0
32,'use,0.0,6.0,6.0,6.0,0.0,6.0,6.0
33,able,0.0,1.0,1.0,1.0,2.0,1.0,1.0
34,abortion,0.0,55.0,56.0,56.0,12.0,55.0,55.0
35,abortions,0.0,5.0,5.0,5.0,0.0,5.0,5.0
36,abortion”,0.0,1.0,1.0,1.0,0.0,1.0,1.0
37,about,0.0,45.0,44.0,45.0,51.0,45.0,45.0
38,above,0.0,2.0,2.0,2.0,0.0,2.0,2.0
39,absolute,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,absolutely,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,abstinence,0.0,2.0,2.0,2.0,1.0,2.0,2.0
42,abuse,0.0,1.0,1.0,1.0,0.0,1.0,1.0
43,accept,0.0,1.0,1.0,1.0,0.0,1.0,1.0
44,access,0.0,23.0,23.0,23.0,2.0,23.0,23.0
45,accessibility,0.0,1.0,1.0,1.0,2.0,1.0,2.0
46,accessories,0.0,1.0,1.0,1.0,0.0,1.0,1.0
47,accompanied,0.0,1.0,1.0,1.0,0.0,1.0,1.0
48,accompany,0.0,1.0,1.0,1.0,0.0,1.0,1.0
49,account,0.0,8.0,8.0,8.0,2.0,8.0,8.0
50,accounttoggle,0.0,1.0,1.0,1.0,0.0,1.0,1.0
51,accurate,0.0,4.0,4.0,4.0,0.0,4.0,4.0
52,ach,0.0,1.0,1.0,1.0,0.0,1.0,1.0
53,acknowledged,0.0,0.0,0.0,0.0,2.0,0.0,0.0
54,acknowledgements,0.0,1.0,1.0,1.0,0.0,1.0,1.0
55,across,0.0,3.0,3.0,3.0,0.0,3.0,3.0
56,action,0.0,22.0,22.0,22.0,6.0,22.0,22.0
57,actions,0.0,1.0,1.0,1.0,0.0,1.0,1.0
58,actiontag,0.0,1.0,1.0,1.0,0.0,1.0,1.0
59,active,0.0,1.0,1.0,1.0,2.0,1.0,1.0
60,actively,0.0,0.0,0.0,0.0,2.0,0.0,0.0
61,activists,0.0,2.0,2.0,2.0,0.0,2.0,2.0
62,activity,0.0,5.0,5.0,5.0,0.0,5.0,5.0
63,actually,0.0,0.0,0.0,0.0,4.0,0.0,0.0
64,adcreate,0.0,1.0,1.0,1.0,0.0,1.0,1.0
65,add,0.0,15.0,15.0,15.0,0.0,15.0,15.0
66,added,0.0,1.0,1.0,1.0,0.0,1.0,1.0
67,additional,0.0,7.0,7.0,7.0,0.0,7.0,7.0
68,addms,0.0,1.0,1.0,1.0,0.0,1.0,1.0
69,address,0.0,5.0,5.0,5.0,6.0,5.0,5.0
70,addresses,0.0,1.0,1.0,1.0,0.0,1.0,1.0
71,adds,0.0,5.0,5.0,5.0,0.0,5.0,5.0
72,adhere,0.0,1.0,1.0,1.0,0.0,1.0,1.0
73,administrationnew,0.0,1.0,1.0,1.0,0.0,1.0,1.0
74,ads,0.0,2.0,2.0,2.0,0.0,2.0,2.0
75,adult,0.0,1.0,1.0,1.0,0.0,1.0,1.0
76,advance,0.0,2.0,2.0,2.0,0.0,2.0,2.0
77,advanced,0.0,1.0,1.0,1.0,0.0,1.0,1.0
78,advances,0.0,1.0,1.0,1.0,0.0,1.0,1.0
79,advancing,0.0,2.0,2.0,2.0,0.0,2.0,2.0
80,advocacy,0.0,12.0,12.0,12.0,3.0,12.0,12.0
81,advocate,0.0,1.0,1.0,1.0,0.0,1.0,1.0
82,aetna,0.0,1.0,1.0,1.0,0.0,1.0,1.0
83,aff,0.0,3.0,3.0,3.0,0.0,3.0,3.0
84,affilate,0.0,2.0,2.0,2.0,0.0,2.0,2.0
85,affiliate,0.0,13.0,13.0,13.0,0.0,13.0,13.0
86,affiliatecode,0.0,2.0,2.0,2.0,0.0,2.0,2.0
87,affiliatecodelocation,0.0,1.0,1.0,1.0,0.0,1.0,1.0
88,affiliateid,0.0,4.0,4.0,4.0,0.0,4.0,4.0
89,affiliation,0.0,1.0,1.0,1.0,0.0,1.0,1.0
90,affirming,0.0,1.0,1.0,1.0,0.0,1.0,1.0
91,affordable,0.0,5.0,5.0,5.0,0.0,5.0,5.0
92,afghanistan,0.0,0.0,0.0,0.0,1.0,0.0,0.0
93,africa,0.0,1.0,1.0,1.0,1.0,1.0,1.0
94,african,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,after,0.0,11.0,11.0,11.0,0.0,11.0,11.0
96,again,0.0,2.0,2.0,2.0,2.0,2.0,2.0
97,against,0.0,2.0,2.0,2.0,0.0,2.0,2.0
98,age,0.0,8.0,8.0,8.0,0.0,8.0,8.0
99,agent,0.0,6.0,6.0,6.0,10.0,6.0,6.0
100,ago,0.0,41.0,41.0,41.0,30.0,41.0,41.0
101,agree,0.0,1.0,1.0,1.0,0.0,1.0,1.0
102,alabama,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,alaska,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104,albania,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,alerts,0.0,2.0,2.0,2.0,0.0,2.0,2.0
106,alexander,0.0,0.0,0.0,0.0,1.0,0.0,0.0
107,alexandra,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,algeria,0.0,0.0,0.0,0.0,1.0,0.0,0.0
109,all,0.0,33.0,33.0,33.0,19.0,33.0,33.0
110,alliance,0.0,3.0,3.0,3.0,0.0,3.0,3.0
111,allocate,0.0,0.0,0.0,0.0,1.0,0.0,0.0
112,allow,0.0,1.0,1.0,1.0,0.0,1.0,1.0
113,allowable,0.0,6.0,6.0,6.0,0.0,6.0,6.0
114,allows,0.0,3.0,3.0,3.0,1.0,3.0,3.0
115,almost,0.0,0.0,0.0,0.0,4.0,0.0,0.0
116,already,0.0,1.0,1.0,1.0,0.0,1.0,1.0
117,also,0.0,9.0,9.0,9.0,10.0,9.0,9.0
118,always,0.0,8.0,8.0,8.0,4.0,8.0,8.0
119,amaze,0.0,0.0,0.0,0.0,2.0,0.0,0.0
120,amazing,0.0,1.0,1.0,1.0,0.0,1.0,1.0
121,amended,0.0,1.0,0.0,1.0,0.0,1.0,1.0
122,amer,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,america,0.0,7.0,7.0,7.0,0.0,7.0,7.0
124,america's,0.0,2.0,2.0,2.0,0.0,2.0,2.0
