index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center?location=60422,11,your,241,app,211,planned,195,parenthood,190,you,161,ipad,113,this,111,solid,86,apple,72,iphone,72,years,67,about,64,our,63,new,58,var,58,more,58,birth,56,pro,56,health,54,get,53,store,49,wi‑fi,48,can,48,control,47,period,45,seconds,41,ago,41,have,41,update,40,ipod,39,all,39,video,38,not,37,only,35,instanceof,34,data,33,when,33,search,33,but,32,ios,32,spot,32,abortion,31,out,31,border-color,30,apps,29,top,29,track,29,use,28,mac,28,after,26,loading,26,background,25,background-color,25,used,25,care,24,find,24,let,23,enjoy,23,access,23,opacity,22,research,22,how,22,any,22,see,22,label,22,available,22,help,21,they,21,year,21,sexual,20,reproductive,20,it’s,20,one,20,mini,20,over,20,off,19,general,19,information,19,now,19,using,19,privacy,19,many,19,been,19,contact,18,books,18,federation,18,may,18,air,18,tracker,18,old,18,method,17,color,17,i’ve,17,learn,17,action,17,take,17,time,17,also,16,infinite,16,sex,16,support,16,free,16,policy,16,give,16,know,15,fixes,15,please,15,what,15,would,15,user,15,return,15,bans,15,download,15,cycle,14,compatible,14,senior,14,add,14,can’t,14,just,14,other,14,these,14,featuring,14,vice,14,does,14,lever-fadein,14,thank,14,donate,14,need,14,don’t,14,keep,14,had,13,collection,13,tried,13,very,13,path,13,digital,13,including,13,state,13,i’m,13,open,13,put,13,make,12,navigation,12,most,12,try,12,months,12,ease,12,best,12,first,12,bodies,12,screen,12,right,12,pill,12,follow,12,view,12,features,12,chief,12,involved,11,development,11,such,11,without,11,includes,11,much,11,like,11,office,11,issues,11,officer,11,content,11,rights,11,cart,11,function,11,into,11,full,11,fix,11,want,11,great,11,hover,11,never,11,customer,11,advocacy,11,tracking,11,read,11,boldchat,10,box-shadow,10,because,10,back,10,center,10,edit,10,before,10,products,10,day,10,account,10,month,10,participate,10,button,10,delete,10,left,10,audiobooks,10,check,10,chat,10,1
count10,https://www.plannedparenthood.org/health-center/illinois/ottawa/61350/ottawa-health-center-2631-90430,17,parenthood,305,planned,304,your,202,var,154,you,146,health,132,instanceof,116,label,102,this,98,solid,96,our,82,else,81,---,73,get,71,care,69,abortion,67,search,63,years,61,new,61,please,58,services,56,main,53,function,53,choose,51,about,50,can,50,return,46,more,44,seconds,42,let,42,all,42,find,42,ago,41,have,39,video,38,birth,36,control,36,insurance,34,contact,33,when,32,error,31,donate,30,border-color,30,access,30,default,30,center,28,navigation,28,email,27,call,27,learn,27,information,27,out,26,illinois,26,field,26,not,25,background-color,25,background,25,policy,25,involved,25,form,24,action,23,toggle,23,loading,23,sexual,22,opacity,22,follow,21,reproductive,21,how,21,research,21,any,20,color,20,gift,20,use,20,other,19,set,19,provider,19,state,19,code,19,blog,19,open,18,screen,18,year,18,online,18,enter,18,privacy,17,make,17,first,17,now,17,appointment,17,sex,17,need,17,back,17,does,17,service,17,development,16,only,16,data,16,donor,16,one,16,take,15,help,15,affiliate,15,const,15,bans,15,infinite,15,add,15,may,15,off,15,ease,15,court,15,link,15,what,15,used,14,under,14,vice,14,terms,14,lever-fadein,14,mail,14,target,14,senior,14,hide,14,share,14,volunteer,13,show,13,patients,13,value,13,select,13,day,13,path,13,protect,13,hollow,12,user,12,north,12,mypostrender,12,chief,12,zip,12,age,12,current,12,sticky,12,site,12,after,12,chat,12,federation,12,through,12,resources,12,bodies,12,fill,12,name,12,data-close,12,advocacy,12,pregnancy,12,check,12,patient,12,great,12,right,12,available,12,method,11,button,11,know,11,see,11,general,11,officer,11,questions,11,membership,11,closed,11,want,11,most,11,cart,11,also,11,office,11,book,11,sign,11,resharper,10,tax-deductible,10,custom,10,products,10,top,10,box-shadow,10,"""dont""",10,card,10,telehealth,10,participate,10,change,10,give,10,checkbox,10,last,10,ppil,10,people,10,forms,10,boldchat,10,plans,10,messages,10,number,10,work,10,try,9,fade-in,9,normal,9,selected,9,none,9,case,9,10
count11,https://yourchoices.org/,25,var,714,function,642,your,451,health,445,return,434,services,349,get,302,you,289,care,283,email,273,patient,253,reproductive,219,memphis,211,information,207,control,202,abortion,201,birth,197,center,195,portal,191,all,188,not,187,choices,182,wellness,178,midwifery,174,any,173,our,172,else,158,appointment,154,please,151,donate,147,keyvalue,144,distance,144,offset,144,about,134,updates,130,schedule,125,clinic,114,type,107,news,101,true,100,solid,98,carbondale,98,visit,98,plan,98,resources,98,pregnancy,97,calculator,97,fees,96,password,96,internships,96,faqs,96,fields,96,this,89,may,88,address,86,city,85,springs,84,use,81,been,79,give,79,valid,78,apply,77,pay,77,involved,76,support,76,another,75,can,75,ways,75,bill,75,connected,74,none,74,info,73,submission,73,abortions,73,nan,73,spanish,73,fellowship,72,volunteering,72,shop,72,careers,72,username,72,lang,72,english,72,merch,72,other,70,have,68,receive,64,pill,64,new,62,sexual,60,how,58,medical,55,should,55,reset,55,does,55,choose,54,jackson,53,form,53,value,53,click,52,already,52,minutes,51,marion,50,version,50,proper,50,least,50,offsettop,48,scrolltop,48,callbacks,48,text,48,bluff,48,albany,48,api,48,what,46,contact,44,top,43,offers,43,shoals,42,lake,42,girardeau,42,but,42,branch,42,rock,42,ridge,42,louis,42,share,40,one,36,call,35,access,35,content,35,want,35,used,34,must,34,via,34,sent,34,check,34,march,33,person,31,website,31,register,31,hernando,30,jonesboro,30,helena,30,enter,30,collierville,30,starkville,30,millington,30,corinth,30,springfield,30,arlington,30,osceola,30,cleveland,30,bartlett,30,oakland,30,before,30,pine,30,paducah,30,"""doesnt""",29,protected,29,they,29,page,29,there,29,well,29,privacy,28,uses,28,take,28,against,27,then,27,each,27,many,27,because,27,just,27,holly,27,account,27,contain,27,hot,26,grenada,26,case,26,lexington,26,florence,26,input,26,olive,26,try,26,mussel,26,tuscaloosa,26,horn,26,decatur,26,cordova,26,huntsville,26,franklin,26,blytheville,26,paragould,26,pontotoc,26,site,26,paris,26,martin,26,clarksdale,26,germantown,26,munford,26,union,26,11
count12,https://www.womensaidcenter.com/,25,stock,798,abortion,703,women’s,445,var,358,aid,339,health,314,pill,236,clinic,224,solid,213,cancer,213,you,191,contact,188,adobe,181,center,171,birth,150,control,150,your,146,auto,144,this,144,about,141,schedule,140,services,138,pelvic,135,facts,123,home,122,faq,120,call,119,online,115,free,113,file,100,peterson,98,reviews,98,genital,98,stds,96,methods,96,diagnostic,88,exam,88,hpv,88,pap,87,smear,86,photos,86,colposcopy,86,ultrasound,86,all,84,new,83,more,83,asset,81,screening,79,breast,79,our,77,none,72,infection,72,blog,72,not,72,thead,72,tract,69,vaginitis,67,uterine,67,menstrual,67,lake,67,menopause,67,ovarian,67,urinary,67,cycle,67,video,65,royalty-free,65,trichomoniasis,60,content,59,type,58,sterilization,58,serving,57,license,56,withdrawal,55,surgical,54,now,53,can,52,disease,52,info,51,menu,50,std,50,heights,50,other,49,human,49,papillomavirus,48,hormonal,48,syphilis,48,herpes,48,inflammatory,48,prevention,48,warts,48,chlamydia,48,appointment,48,form,48,gonorrhea,48,barrier,48,also,48,patient,48,after,46,last,46,creative,45,abortions,44,background,43,must,40,copyright,40,assets,40,non-surgical,39,images,39,clinics,39,ella,38,music,38,morning,38,get,37,park,37,use,37,need,35,one,35,food,35,women,34,vector,33,offer,33,field,33,any,33,return,32,day,31,out,30,first,30,illinois,30,would,30,purposes,30,number,29,today,29,while,29,perfect,29,provide,29,please,29,been,28,cloud,28,private,28,files,27,just,27,provided,26,east,26,contains,26,financial,26,assistance,26,rights,26,premium,26,here,26,svg,26,suite,26,complete,26,should,26,left,25,saving,25,validation,25,partners,25,image,25,top,25,uploading,25,size,25,options,25,problem,24,astra,24,located,24,love,24,document,24,wait,24,"""tbody""",24,ave,24,"""hidden""",24,"""text""",24,exceeds,24,usa,24,img,24,"""thead""",24,skip,24,inline,24,event,24,row,24,accepted,24,function,24,"""new-password""",24,posts,24,link,24,elementorfrontendconfig,24,auto-generated,24,inline-block,24,scroll,24,"""ltr""",24,astraaddon,24,medicaid,24,phone,24,hear,23,directly,23,"""errorstyle""",22,"""displayformat""",22,fill,22,graphics,22,updated,22,full,22,12
count13,https://www.plannedparenthood.org/health-center/illinois/bloomington/61704/bloomington-health-center-2891-90430,17,parenthood,305,planned,304,your,203,var,154,you,148,health,132,instanceof,116,label,102,this,98,solid,96,our,82,else,81,---,73,get,71,care,70,abortion,67,search,63,years,61,new,61,please,58,services,56,main,53,function,53,choose,51,about,50,can,50,return,46,more,44,let,42,seconds,42,all,42,find,42,ago,41,have,39,video,38,control,36,birth,36,insurance,34,contact,33,when,32,error,31,default,30,border-color,30,donate,30,access,30,navigation,28,center,28,information,27,call,27,email,27,learn,27,illinois,26,out,26,field,26,not,25,background-color,25,background,25,involved,25,policy,25,form,24,action,23,loading,23,toggle,23,sexual,22,opacity,22,how,21,follow,21,reproductive,21,research,21,use,20,any,20,color,20,gift,20,state,19,blog,19,provider,19,other,19,set,19,code,19,year,18,enter,18,screen,18,open,18,online,18,need,18,appointment,17,make,17,first,17,service,17,back,17,does,17,now,17,privacy,17,sex,17,one,16,only,16,data,16,development,16,donor,16,what,15,may,15,ease,15,link,15,off,15,help,15,infinite,15,const,15,take,15,bans,15,affiliate,15,add,15,under,14,target,14,vice,14,mail,14,used,14,terms,14,senior,14,hide,14,share,14,lever-fadein,14,path,13,select,13,patients,13,volunteer,13,show,13,value,13,protect,13,day,13,pregnancy,12,after,12,zip,12,advocacy,12,age,12,through,12,chat,12,fill,12,data-close,12,sticky,12,veterans,12,user,12,north,12,name,12,mypostrender,12,patient,12,available,12,site,12,federation,12,bodies,12,current,12,right,12,great,12,chief,12,resources,12,check,12,hollow,12,also,11,see,11,know,11,want,11,book,11,general,11,questions,11,cart,11,sign,11,button,11,membership,11,office,11,method,11,officer,11,most,11,top,10,closed,10,ppil,10,box-shadow,10,boldchat,10,resharper,10,number,10,last,10,products,10,give,10,custom,10,"""dont""",10,checkbox,10,change,10,forms,10,telehealth,10,work,10,participate,10,card,10,messages,10,people,10,plans,10,tax-deductible,10,appointments,9,toastfadein,9,none,9,months,9,read,9,provide,9,13
count14,https://www.plannedparenthood.org/health-center/illinois/orland-park/60462/orland-park-health-center-3102-90430,18,parenthood,305,planned,304,your,202,var,156,you,147,health,133,instanceof,116,label,102,this,100,solid,98,our,83,else,81,---,73,get,71,care,69,abortion,67,new,63,search,63,years,61,please,59,services,56,main,53,function,53,choose,51,can,51,about,50,return,46,more,44,all,42,find,42,let,42,seconds,42,ago,41,have,40,video,38,birth,36,control,36,insurance,34,contact,33,when,32,error,31,donate,30,center,30,border-color,30,default,30,access,30,information,28,navigation,28,not,27,policy,27,call,27,learn,27,email,27,field,26,out,26,illinois,26,background,25,background-color,25,involved,25,form,24,toggle,23,action,23,loading,23,sexual,22,opacity,22,how,21,research,21,reproductive,21,use,21,follow,21,any,20,color,20,gift,20,state,19,provider,19,blog,19,other,19,set,19,code,19,open,18,year,18,privacy,18,screen,18,enter,18,online,18,service,18,appointment,18,need,17,now,17,does,17,help,17,first,17,back,17,sex,17,make,17,donor,16,may,16,one,16,development,16,data,16,only,16,infinite,15,link,15,off,15,const,15,terms,15,ease,15,add,15,take,15,what,15,bans,15,affiliate,15,share,15,senior,14,lever-fadein,14,target,14,mail,14,under,14,vice,14,used,14,hide,14,value,13,volunteer,13,day,13,show,13,south,13,select,13,path,13,protect,13,patients,13,sticky,12,advocacy,12,name,12,zip,12,age,12,through,12,site,12,orland,12,great,12,patient,12,hollow,12,bodies,12,chat,12,after,12,available,12,fill,12,see,12,data-close,12,user,12,pregnancy,12,current,12,right,12,mypostrender,12,federation,12,check,12,chief,12,north,12,resources,12,button,11,sign,11,also,11,give,11,office,11,method,11,membership,11,cart,11,officer,11,want,11,questions,11,know,11,general,11,book,11,most,11,box-shadow,10,tax-deductible,10,ppil,10,work,10,telehealth,10,plans,10,top,10,number,10,none,10,"""dont""",10,custom,10,closed,10,last,10,resharper,10,messages,10,people,10,checkbox,10,participate,10,forms,10,products,10,card,10,boldchat,10,change,10,matter,9,appointments,9,lever-slideup,9,rotate-infinite,9,14
count15,https://www.plannedparenthood.org/health-center/illinois/champaign/61820/champaign-health-center-3283-90430,15,planned,290,parenthood,290,your,168,var,141,you,131,health,117,label,102,instanceof,99,solid,96,this,88,our,80,else,77,---,73,get,67,care,62,years,61,abortion,59,new,57,main,53,search,52,choose,51,about,48,can,47,services,46,please,43,seconds,42,ago,41,more,41,let,40,function,39,video,38,all,37,find,37,return,36,have,36,birth,34,control,34,default,30,border-color,30,contact,28,error,28,center,28,access,28,when,27,donate,27,email,27,learn,27,background-color,25,background,25,navigation,25,action,23,loading,23,information,23,call,23,opacity,22,toggle,22,sexual,22,form,22,involved,22,field,22,policy,22,out,22,research,21,not,21,how,21,gift,20,color,20,reproductive,20,follow,20,insurance,20,year,18,screen,18,online,18,illinois,17,sex,17,set,17,blog,17,now,17,does,17,state,17,code,17,use,17,donor,16,open,16,data,16,need,16,any,16,first,15,what,15,development,15,off,15,help,15,add,15,make,15,infinite,15,ease,15,bans,15,provider,15,take,15,other,15,privacy,15,only,15,hide,14,affiliate,14,share,14,lever-fadein,14,used,14,one,14,vice,14,senior,14,enter,13,path,13,const,13,protect,13,value,13,show,13,mail,13,appointment,13,select,13,chat,12,north,12,advocacy,12,through,12,under,12,user,12,great,12,terms,12,link,12,target,12,federation,12,patients,12,chief,12,stoughton,12,name,12,mypostrender,12,back,12,volunteer,12,check,12,bodies,12,cart,11,know,11,right,11,after,11,current,11,general,11,sign,11,want,11,see,11,day,11,button,11,method,11,office,11,membership,11,officer,11,products,10,tax-deductible,10,custom,10,data-close,10,available,10,participate,10,service,10,most,10,people,10,closed,10,fill,10,forms,10,resharper,10,hollow,10,pregnancy,10,questions,10,zip,10,change,10,boldchat,10,checkbox,10,box-shadow,10,normal,9,left,9,lever-slidedown,9,none,9,selected,9,book,9,fade-in,9,fade-out,9,rotate-infinite,9,card,9,lever-slideup,9,rights,9,give,9,may,9,matter,9,also,9,img,9,read,9,work,9,shimmer,9,lever-fadeout,9,site,9,top,9,attacks,9,months,9,15
count16,https://www.plannedparenthood.org/health-center/illinois/waukegan/60085/waukegan-health-center-2675-90430,16,parenthood,290,planned,290,your,171,var,153,you,133,health,118,label,102,instanceof,99,solid,96,this,89,our,81,else,81,---,73,get,67,care,62,years,61,abortion,59,new,58,main,53,search,52,choose,51,can,48,about,48,function,47,return,46,services,46,please,45,seconds,42,more,42,ago,41,let,40,video,38,all,37,have,37,find,37,control,34,birth,34,border-color,30,default,30,error,28,center,28,access,28,when,28,contact,28,learn,27,email,27,donate,27,navigation,25,background-color,25,background,25,action,23,call,23,loading,23,information,23,out,22,opacity,22,form,22,involved,22,sexual,22,field,22,toggle,22,not,22,policy,22,research,21,how,21,gift,20,reproductive,20,color,20,follow,20,insurance,20,screen,18,year,18,online,18,sex,17,use,17,blog,17,set,17,illinois,17,does,17,state,17,need,17,other,17,now,17,code,17,only,16,donor,16,any,16,open,16,data,16,help,15,make,15,take,15,privacy,15,development,15,first,15,bans,15,infinite,15,ease,15,what,15,off,15,provider,15,add,15,used,14,share,14,hide,14,one,14,senior,14,lever-fadein,14,vice,14,affiliate,14,show,13,select,13,enter,13,value,13,path,13,appointment,13,mail,13,const,13,protect,13,advocacy,12,bodies,12,patients,12,link,12,great,12,name,12,check,12,available,12,chat,12,mypostrender,12,through,12,volunteer,12,target,12,user,12,chief,12,north,12,terms,12,federation,12,back,12,under,12,lewis,12,sign,11,day,11,general,11,want,11,membership,11,right,11,cart,11,method,11,office,11,see,11,after,11,know,11,officer,11,button,11,current,11,people,10,data-close,10,most,10,custom,10,boldchat,10,pregnancy,10,participate,10,service,10,forms,10,products,10,tax-deductible,10,work,10,fill,10,resharper,10,box-shadow,10,questions,10,closed,10,zip,10,site,10,hollow,10,checkbox,10,change,10,lever-fadeout,9,lever-slidedown,9,selected,9,matter,9,rotate-infinite,9,give,9,may,9,shimmer,9,provide,9,img,9,digital,9,book,9,normal,9,rights,9,try,9,also,9,fade-in,9,fade-out,9,top,9,none,9,left,9,display,9,attacks,9,16
count17,https://www.plannedparenthood.org/health-center/illinois/chicago/60603/loop-health-center-3286-90430,17,parenthood,290,planned,290,your,171,var,155,you,134,health,118,label,102,instanceof,99,solid,98,this,90,our,82,else,81,---,73,get,67,care,62,years,61,new,60,abortion,59,main,53,search,52,choose,51,can,49,about,48,function,47,return,46,services,46,please,46,more,42,seconds,42,ago,41,let,40,have,38,video,38,all,37,find,37,control,34,birth,34,default,30,border-color,30,center,29,contact,28,when,28,access,28,error,28,email,27,donate,27,learn,27,navigation,25,background-color,25,background,25,not,24,policy,24,information,23,call,23,loading,23,action,23,out,22,sexual,22,form,22,toggle,22,involved,22,field,22,opacity,22,research,21,how,21,insurance,20,reproductive,20,follow,20,color,20,gift,20,use,18,screen,18,year,18,online,18,state,17,illinois,17,code,17,other,17,sex,17,set,17,blog,17,now,17,help,17,need,17,does,17,data,16,privacy,16,open,16,donor,16,only,16,any,16,development,15,make,15,provider,15,bans,15,ease,15,infinite,15,first,15,take,15,what,15,off,15,add,15,hide,14,one,14,used,14,share,14,lever-fadein,14,vice,14,senior,14,affiliate,14,protect,13,value,13,mail,13,select,13,const,13,path,13,enter,13,show,13,terms,13,appointment,13,federation,12,bodies,12,great,12,link,12,north,12,advocacy,12,user,12,available,12,under,12,chief,12,through,12,target,12,patients,12,check,12,see,12,mypostrender,12,volunteer,12,back,12,chat,12,wabash,12,name,12,after,11,button,11,general,11,current,11,cart,11,officer,11,know,11,service,11,right,11,want,11,sign,11,office,11,day,11,membership,11,method,11,products,10,hollow,10,site,10,questions,10,forms,10,give,10,boldchat,10,closed,10,resharper,10,work,10,fill,10,change,10,custom,10,most,10,people,10,data-close,10,checkbox,10,box-shadow,10,tax-deductible,10,none,10,participate,10,pregnancy,10,may,10,zip,10,fade-in,9,try,9,fade-out,9,img,9,months,9,display,9,normal,9,lever-slideup,9,digital,9,matter,9,lever-fadeout,9,span,9,toastfadein,9,lever-slidedown,9,rotate-infinite,9,attacks,9,book,9,read,9,selected,9,shimmer,9,17
count18,https://www.plannedparenthood.org/health-center/illinois/chicago/60651/austin-health-center-2265-90430,15,planned,290,parenthood,290,your,169,var,141,you,133,health,118,label,102,instanceof,99,solid,96,this,88,our,82,else,77,---,73,get,67,care,62,years,61,abortion,59,new,57,main,53,search,52,choose,51,about,48,can,48,services,46,please,43,seconds,42,ago,41,more,41,let,40,function,39,video,38,find,37,all,37,have,37,return,36,control,34,birth,34,default,30,border-color,30,access,28,when,28,contact,28,error,28,center,28,learn,27,email,27,donate,27,background-color,25,background,25,navigation,25,information,23,call,23,action,23,loading,23,form,22,opacity,22,field,22,out,22,policy,22,involved,22,sexual,22,toggle,22,research,21,how,21,not,21,gift,20,follow,20,color,20,reproductive,20,insurance,19,year,18,screen,18,online,18,code,17,does,17,need,17,illinois,17,use,17,state,17,sex,17,now,17,set,17,blog,17,only,16,any,16,other,16,donor,16,open,16,data,16,provider,15,what,15,bans,15,help,15,take,15,add,15,first,15,privacy,15,ease,15,make,15,infinite,15,development,15,off,15,lever-fadein,14,vice,14,one,14,affiliate,14,senior,14,used,14,share,14,hide,14,mail,13,appointment,13,const,13,select,13,protect,13,enter,13,value,13,path,13,show,13,great,12,available,12,advocacy,12,name,12,mypostrender,12,bodies,12,user,12,federation,12,volunteer,12,patients,12,target,12,back,12,link,12,under,12,terms,12,through,12,check,12,chief,12,chicago,12,north,12,chat,12,right,11,method,11,officer,11,membership,11,general,11,know,11,cart,11,after,11,button,11,current,11,sign,11,day,11,office,11,want,11,hollow,10,data-close,10,boldchat,10,questions,10,participate,10,products,10,pregnancy,10,change,10,tax-deductible,10,see,10,box-shadow,10,people,10,fill,10,zip,10,resharper,10,closed,10,checkbox,10,custom,10,most,10,may,9,work,9,img,9,normal,9,book,9,service,9,also,9,rotate-infinite,9,digital,9,top,9,provide,9,give,9,rights,9,none,9,shimmer,9,matter,9,selected,9,forms,9,read,9,site,9,attacks,9,fade-out,9,fade-in,9,toastfadein,9,lever-slideup,9,display,9,lever-slidedown,9,18
