,token,Total0,Total1,Total2,Total3,Total4,Total5
0,'appropriate,3.0,3.0,0.0,3.0,0.0,0.0
1,'as,2.0,2.0,0.0,2.0,0.0,0.0
2,'at,1.0,1.0,0.0,1.0,0.0,0.0
3,'congratulations,1.0,1.0,0.0,1.0,0.0,0.0
4,'email',0.0,0.0,0.0,0.0,0.0,4.0
5,'fake,1.0,1.0,0.0,1.0,0.0,0.0
6,'finding,4.0,4.0,0.0,4.0,0.0,0.0
7,'first,0.0,0.0,0.0,0.0,1.0,0.0
8,'fraud',0.0,0.0,0.0,0.0,0.0,4.0
9,'google,3.0,3.0,0.0,3.0,0.0,0.0
10,'government,1.0,1.0,0.0,1.0,0.0,0.0
11,'in,1.0,1.0,0.0,1.0,0.0,0.0
12,'initial',2.0,2.0,0.0,2.0,0.0,0.0
13,'last,0.0,0.0,0.0,0.0,1.0,0.0
14,'location,4.0,4.0,0.0,4.0,0.0,0.0
15,'many,1.0,1.0,0.0,1.0,0.0,0.0
16,'mazel,1.0,1.0,0.0,1.0,0.0,0.0
17,'mute',1.0,1.0,0.0,1.0,0.0,0.0
18,'my,1.0,1.0,0.0,1.0,0.0,0.0
19,'object',0.0,0.0,0.0,0.0,0.0,1.0
20,'okay',0.0,0.0,0.0,0.0,0.0,1.0
21,'phone,0.0,0.0,0.0,0.0,1.0,0.0
22,'product,1.0,1.0,0.0,1.0,0.0,0.0
23,'production',0.0,0.0,0.0,0.0,0.0,1.0
24,'recipient,1.0,1.0,0.0,1.0,0.0,0.0
25,'script,2.0,2.0,0.0,2.0,0.0,0.0
26,'select,4.0,4.0,0.0,4.0,0.0,0.0
27,'select',4.0,4.0,0.0,4.0,0.0,0.0
28,'thank,1.0,1.0,0.0,1.0,0.0,0.0
29,'there,4.0,4.0,0.0,4.0,0.0,0.0
30,'thinking,1.0,1.0,0.0,1.0,0.0,0.0
31,'unused',0.0,0.0,0.0,0.0,0.0,34.0
32,'use,6.0,6.0,0.0,6.0,0.0,0.0
33,'you,0.0,0.0,0.0,0.0,1.0,0.0
34,'zip,0.0,0.0,0.0,0.0,1.0,0.0
35,ability,0.0,0.0,0.0,0.0,1.0,5.0
36,able,0.0,0.0,0.0,0.0,3.0,15.0
37,aborted,0.0,0.0,0.0,0.0,1.0,0.0
38,abortion,57.0,57.0,0.0,57.0,154.0,165.0
39,abortionask,0.0,0.0,0.0,0.0,1.0,0.0
40,abortioncan,0.0,0.0,0.0,0.0,1.0,0.0
41,abortionist,0.0,0.0,0.0,0.0,0.0,1.0
42,abortionists,0.0,0.0,0.0,0.0,1.0,0.0
43,abortionmedical,0.0,0.0,0.0,0.0,0.0,17.0
44,abortionmen,0.0,0.0,0.0,0.0,0.0,17.0
45,abortionmust,0.0,0.0,0.0,0.0,1.0,0.0
46,abortionparents,0.0,0.0,0.0,0.0,0.0,17.0
47,abortionpregnancy,0.0,0.0,0.0,0.0,0.0,17.0
48,abortions,5.0,5.0,0.0,5.0,27.0,11.0
49,abortionsfriendly,0.0,0.0,0.0,0.0,3.0,0.0
50,abortion»,0.0,0.0,0.0,0.0,0.0,68.0
51,abortion”,1.0,1.0,0.0,1.0,0.0,0.0
52,aborto,0.0,0.0,0.0,0.0,6.0,0.0
53,abortos,0.0,0.0,0.0,0.0,3.0,0.0
54,about,40.0,39.0,0.0,39.0,45.0,145.0
55,above,2.0,2.0,0.0,2.0,2.0,0.0
56,absolutely,0.0,0.0,0.0,0.0,1.0,0.0
57,absorb,0.0,0.0,0.0,0.0,1.0,0.0
58,absorbs,0.0,0.0,0.0,0.0,1.0,0.0
59,abstinence,2.0,2.0,0.0,2.0,0.0,0.0
60,abuse,1.0,1.0,0.0,1.0,0.0,0.0
61,accept,3.0,3.0,0.0,3.0,5.0,64.0
62,accepted,1.0,1.0,0.0,1.0,0.0,9.0
