index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count10,https://www.plannedparenthood.org/health-center/massachusetts/boston/02215/greater-boston-health-center-3293-90610,17,planned,299,parenthood,298,your,225,you,168,var,134,health,125,instanceof,116,our,105,label,102,this,101,solid,96,else,74,---,73,please,71,abortion,70,care,70,new,67,years,63,search,61,get,58,can,54,about,54,main,53,services,53,more,52,choose,51,follow,44,ago,42,have,41,seconds,41,video,40,call,38,find,38,control,37,function,37,telehealth,37,appointment,36,birth,35,access,35,all,33,learn,33,return,33,contact,33,sexual,31,email,31,donate,31,error,30,when,30,information,30,border-color,30,let,29,default,29,navigation,28,league,28,any,26,background,25,background-color,25,how,25,out,24,field,24,insurance,23,loading,23,policy,23,form,23,massachusetts,23,toggle,23,opacity,22,action,22,not,21,open,21,research,21,gift,21,center,21,need,20,book,20,use,20,color,20,provider,20,other,20,reproductive,20,now,19,patients,19,online,19,screen,18,involved,18,year,18,set,18,state,18,sex,18,code,18,does,18,enter,17,privacy,17,mychart,17,donor,16,first,16,pregnancy,16,help,16,link,16,development,16,what,16,back,15,only,15,under,15,ease,15,data,15,español,15,add,15,take,15,infinite,15,bans,15,affiliate,15,off,15,testing,14,mail,14,vice,14,used,14,const,14,senior,14,target,14,before,14,after,14,terms,14,want,14,day,14,available,14,sign,14,lever-fadein,14,questions,13,make,13,advocacy,13,through,13,one,13,path,13,value,13,great,13,blog,12,app,12,federation,12,chief,12,check,12,bodies,12,patient,12,name,12,office,12,share,12,education,12,data-close,12,mypostrender,12,select,12,service,12,know,12,commonwealth,12,user,12,hotline,12,zip,12,general,12,hollow,12,may,12,north,12,here,11,right,11,who,11,info,11,provide,11,membership,11,age,11,people,11,site,11,cart,11,normal,11,fill,11,account,11,most,11,officer,11,change,11,time,11,method,11,none,11,box-shadow,10,custom,10,products,10,see,10,schedule,10,give,10,resharper,10,states,10,hide,10,show,10,additional,10,sticky,10,top,10,tax-deductible,10,participate,10,card,10,checkbox,10,in-person,10,volunteer,10,protect,10,lever-fadeout,9,9
count11,http://www.merrimackvalleywomenshealth.com/,2,health,16,aaahc,13,your,11,accreditation,10,ambulatory,9,care,8,releasesaaahc,8,quality,8,achieving,6,medical,6,var,5,improvement,5,new,5,organizations,4,our,4,more,4,surgery,4,function,4,about,3,board,3,providing,3,surveyor,3,conference,3,leader,3,plan,2,directorsnovember,2,excellence,2,survey,2,services,2,innovations,2,standards,2,bernard,2,high-quality,2,provide,2,orthopaedic,2,accredited,2,strong,2,recognized,2,than,2,welcome,2,offer,2,range,2,while,2,dental,2,"""womens""",2,kershner,2,into,2,highlight,2,association,2,award,2,including,2,experience,2,foster,1,safe,1,practicesjuly,1,immersive,1,awards,1,december,1,state,1,awardkershner,1,questions,1,awardcheck,1,founded,1,deemed,1,deep,1,deeper,1,status,1,clients,1,updatesnotify,1,patients—every,1,standardsmarch,1,confidential,1,endoscopy,1,expert,1,understanding,1,through,1,boardeffect,1,member,1,focused,1,meet,1,third,1,family,1,employer-based,1,contentsurveyor,1,unconscious,1,dates,1,day,1,days,1,both,1,awardaugust,1,help,1,full,1,facility,1,educational,1,education,1,wide,1,party,1,facing,1,readinessachieving,1,readinessprogramprogram,1,nationally,1,storebrowse,1,storenews,1,adoption,1,winners,1,winter,1,managementinstitute,1,faculty,1,advocates,1,"""patients""",1,demonstrates,1,termsearch,1,offers,1,join,1,office-based,1,raise,1,term,1,journey,1,journeyabout,1,journeypre-surveysurvey,1,officers,1,consultantvisit,1,roadmaphealth,1,roadmapaccelerated,1,roadmap,1,navigationabout,1,provision,1,unit,1,policysitemapaccount,1,usexclusively,1,unveils,1,ushistoryassociation,1,federal,1,compassionate,1,select,1,training,1,event,1,approach,1,mission,1,processgovernance,1,community,1,hosts,1,application,1,professional,1,settingsdecember,1,usfind,1,home,1,prepares,1,homeapplication,1,moreachieving,1,morebecome,1,serviceaccreditation,1,news,1,serve,1,comprised,1,morecareerslearn,1,primary,1,uscareersbecome,1,uscareerscontact,1,planning,1,everything,1,useprivacy,1,homehealth,1,moreleadershiplearn,1,innovationpress,1,valley,1,exemplary,1,todayeventsabout,1,unitsstandards,1,environment,1,announces,1,intensive,1,enter,1,methodology,1,interactive,1,times,1,anesthesia,1,virtual,1,merrimack,1,conferenceoctober,1,engagementfebruary,1,among,1,cycle,1,insurance,1,comfortable,1,valuable,1,highest,1,prepare,1,policiestriangle,1,insight,1,searchtoggle,1,variety,1,committeeaccess,1,committee,1,committed,1,commitment,1,tools,1,findings,1,management,1,search,1,10
count12,https://www.bmc.org/department-obstetrics-and-gynecology/beacon-family-planning-and-pregnancy-loss-services,16,var,422,medical,358,new,350,boston,237,center,233,care,160,our,156,instanceof,152,return,145,your,112,else,111,health,101,bmc,91,you,88,years,87,agent,77,extends,77,patient,71,patients,69,objects,63,require,63,research,62,surgery,61,must,60,ago,60,medicine,60,this,59,primitive,55,private,55,tooltip,54,seconds,54,get,45,have,44,about,43,residency,43,all,40,more,40,search,38,value,38,information,37,can,35,year,35,initialize,34,providing,33,clinical,33,while,33,nursing,31,refer,31,err,30,field,30,same,30,select,29,through,29,error,28,never,28,find,28,plans,28,one,28,program,28,their,28,function,27,twice,27,elements,27,need,27,family,27,primary,26,selected,26,assistant,26,community,26,true,25,school,25,use,25,please,25,contact,24,make,24,input,24,column,24,who,24,avedisian,23,chobanian,23,management,23,setting,23,replacement,23,learn,22,pharmacy,22,requires,22,anesthesia,22,instructor,22,cancer,22,resources,21,other,21,occured,21,configuration,21,crna,21,runtime,21,rule,21,provider,21,university,21,obfuscation,21,solid,21,team,20,services,20,quality,20,most,19,education,19,model,19,div,19,not,19,careers,19,gynecology,19,form,18,flex,18,laboratory,18,tools,18,obstetrics,18,time,18,privacy,18,elems,18,errormessage,18,professionals,18,charcode,18,experience,18,mychart,18,department,18,"""radio""",18,abortion,18,departments,18,-ms-flexbox,18,type,17,help,17,support,17,exceptional,17,found,17,insurance,17,nurse,17,close,17,teaching,16,professor,16,comp,16,how,16,browser,16,professional,16,"""none""",16,well,16,plan,15,submitted,15,programs,15,access,15,what,15,offer,15,massachusetts,15,equity,15,gift,15,missing,15,now,15,show,15,safety,15,enabled,15,nurses,15,keep,14,academic,14,contains,14,but,14,south,14,enter,14,code,14,info,14,data,14,doctor,14,unable,14,hospital,14,pediatric,14,object,14,due,14,configurable,14,global,14,name,14,emergency,14,submit,14,invalid,14,subnavigation,14,loader-config,14,typeof,13,benefits,13,cookies,13,social,13,development,13,specialty,13,here,13,email,13,provide,13,"""womens""",13,appointment,13,after,13,clinic,13,rights,13,healthcare,13,second,13,loss,13,vaccine,13,11
count13,http://www.challiance.org/location/malden-care-center,25,cha,412,var,361,you,315,your,230,health,205,care,174,our,161,center,132,new,127,get,104,medical,94,please,93,about,86,have,82,jobs,81,can,78,this,77,healthcare,75,contact,74,function,74,cambridge,71,all,70,find,69,call,65,ago,65,information,64,seconds,64,not,62,more,61,line,60,primary,60,malden,58,pharmacy,57,services,56,support,55,patient,54,team,54,may,54,work,51,covid,51,hospital,51,when,50,patients,49,return,48,search,47,harvard,47,months,46,visit,45,academics,43,emergency,42,events,42,privacy,41,view,41,medicine,41,locations,41,years,40,service,39,use,38,info,38,community,38,true,37,name,37,rail,36,research,35,visitors,34,education,34,diversity,34,programs,33,public,33,make,33,believe,33,records,33,need,32,close,32,fares,32,healthy,31,home,31,year,31,pay,30,connect,30,professional,28,want,28,family,28,urgent,28,web,28,commuter,28,see,28,street,27,other,27,text,27,now,26,doctor,26,mychart,26,hms,26,details,26,transit,26,bus,26,nursing,26,resources,26,residency,25,time,25,school,25,appointment,25,provider,25,training,25,phone,25,rehab,25,train,25,page,24,directions,24,help,24,location,24,party,24,third,24,job,24,one,24,relations,24,people,24,security,24,policies,24,who,23,everett,23,review,23,specialty,23,program,23,just,23,providers,23,before,23,subway,22,massachusetts,22,somerville,22,square,22,these,21,results,21,email,21,questions,21,they,21,learn,21,mar,21,station,20,academic,20,bill,20,require,20,teaching,20,one-way,20,what,20,different,20,dental,20,agent,20,none,20,main,20,social,20,visiting,20,management,19,clinical,19,site,19,give,19,together,19,right,19,featured,19,objects,19,also,19,tufts,19,leadership,19,copyright,18,how,18,top,18,must,18,ask,18,rights,18,staff,18,than,18,days,18,there,18,mbta,18,legal,17,content,17,wellness,17,any,17,ferry,17,news,17,back,17,available,17,development,17,enter,17,affiliated,17,careers,17,positive,16,local,16,population,16,another,16,vaccine,16,report,16,well,16,longer,16,green,16,she,16,full,16,current,16,number,16,12
count2,https://www.plannedparenthood.org/health-center/massachusetts/worcester/01609/central-massachusetts-health-center-2660-90610,16,planned,298,parenthood,297,your,211,you,160,var,129,health,127,instanceof,116,our,105,label,102,this,98,solid,96,---,73,else,73,care,69,abortion,69,please,68,new,64,years,63,search,61,get,56,about,54,main,53,services,53,can,52,choose,51,more,51,follow,44,ago,42,have,41,seconds,41,video,40,find,38,function,37,telehealth,37,control,36,call,36,appointment,36,access,34,birth,34,contact,33,return,33,learn,33,all,32,donate,31,email,31,sexual,31,error,30,information,30,border-color,30,when,29,default,29,let,29,massachusetts,28,league,28,navigation,28,how,25,background-color,25,background,25,any,24,field,24,out,24,toggle,23,loading,23,form,23,insurance,23,policy,23,opacity,22,center,22,action,22,open,21,gift,21,research,21,other,20,reproductive,20,color,20,use,20,not,19,provider,19,book,19,patients,19,now,18,does,18,need,18,set,18,year,18,code,18,screen,18,involved,18,state,18,sex,18,online,17,enter,17,privacy,17,pregnancy,16,first,16,donor,16,development,16,link,16,what,16,under,15,affiliate,15,data,15,only,15,help,15,ease,15,back,15,add,15,off,15,bans,15,infinite,15,mychart,14,day,14,lever-fadein,14,senior,14,español,14,take,14,target,14,used,14,testing,14,after,14,const,14,want,14,mail,14,terms,14,vice,14,through,13,advocacy,13,available,13,make,13,path,13,pleasant,13,great,13,one,13,value,13,before,13,bodies,12,education,12,office,12,zip,12,data-close,12,know,12,north,12,app,12,hollow,12,may,12,share,12,name,12,select,12,check,12,blog,12,service,12,federation,12,sign,12,general,12,user,12,questions,12,chief,12,mypostrender,12,info,11,change,11,provide,11,fill,11,people,11,right,11,who,11,age,11,cart,11,membership,11,time,11,officer,11,account,11,here,11,site,11,hotline,11,method,11,checkbox,10,see,10,products,10,protect,10,show,10,volunteer,10,give,10,participate,10,hide,10,box-shadow,10,tax-deductible,10,resharper,10,states,10,also,10,custom,10,in-person,10,most,10,sticky,10,top,10,normal,10,content,9,card,9,contraception,9,patient,9,lever-slideup,9,1
count3,https://www.ummhealth.org/,25,memorial,488,health,451,umass,368,care,218,medical,176,hospital,171,your,148,center,132,search,123,services,122,ago,105,directions,97,patient,84,campus,77,cancer,77,var,76,healthalliance-clinton,74,marlborough,73,screen,73,our,73,year,73,you,70,community,69,patients,69,surgery,68,harrington,66,visitors,65,medicine,64,map,63,resources,58,all,58,about,54,urgent,53,system,51,information,51,online,49,route,49,link,48,make,47,seconds,46,new,46,bill,45,find,44,more,43,this,42,years,41,pay,41,group,41,emergency,40,street,40,states,39,united,39,take,38,open,37,access,36,minutes,35,function,34,appointment,34,main,33,return,33,doctor,32,turn,32,right,31,plan,31,school,30,can,30,library,30,story,30,provider,30,video,29,have,29,chan,29,get,29,when,28,days,28,parking,28,view,28,hospitalumass,28,onto,28,southbridge,27,left,27,learn,26,heart,26,clinical,26,follow,25,worcester,25,events,25,healthcare,25,news,25,months,24,one,24,tool,24,form,24,exclusive,24,second,24,red,23,healthlink,23,diabetes,23,diseases,23,visitor,22,locations,22,family,22,want,22,month,22,visit,22,book,21,call,20,contact,20,support,20,careers,20,his,20,study,20,skip,19,south,19,fitchburg,19,weeks,19,privacy,19,connection,19,giving,19,leominster,19,disease,19,treatments,19,content,19,wellness,18,website,18,exit,18,use,18,day,18,rights,18,instanceof,18,offices,18,promo,18,mychart,18,central,17,donate,17,records,17,behavioral,17,help,17,back,17,channel,17,public,16,play,16,physicians,16,campuses,16,inference,16,through,16,financial,16,display,16,home,16,need,16,road,16,radiology,16,available,16,professionals,16,like,15,advanced,15,primary,15,views,15,clinton,15,psychology,14,not,14,highland,14,would,14,centerumass,14,healthumass,14,groups,14,healthlinkumass,14,counseling,14,top,14,insurance,14,harringtonumass,14,list,14,auto,14,time,13,orthopedics,13,university,13,pricing,13,episode,13,stay,13,pain,13,body,13,first,13,healthy,13,what,13,responsibilities,13,homepage,13,estimator,13,blood,13,try,13,imaging,13,set,13,physicianscare,12,centerresearch,12,watch,12,orthopedic,12,transportation,12,therapy,12,trials,12,carewell,12,internet,12,2
count4,http://www.womenshealthservice.com/,16,your,6060,you,2926,charity,1530,this,1326,giving,1124,paypal,1050,fundraiser,1042,enter,983,funds,920,fund,880,can,865,donation,835,please,803,not,613,donations,612,try,602,help,600,our,581,have,574,team,544,email,537,gofundme,525,more,516,bank,500,receive,473,new,430,about,421,share,420,account,410,make,359,days,358,var,355,any,353,fundraising,350,support,343,donors,330,their,323,people,322,tax,310,may,305,all,305,out,304,registered,290,link,290,raise,290,information,284,money,284,enrolled,280,typically,280,how,279,contact,278,been,274,made,274,raised,273,sure,270,would,265,before,262,within,260,number,260,after,254,code,242,reach,242,other,231,function,228,need,226,valid,223,photo,222,chosen,220,couldn’t,220,sent,220,who,219,donate,218,transfer,212,select,212,via,210,start,205,must,203,first,199,get,199,use,195,each,194,name,193,confirm,192,like,191,payment,191,another,191,social,190,successfully,180,transaction,180,deductible,180,agree,180,grant,172,transfers,170,again,170,next,167,thank,165,what,163,choose,162,want,161,fundraisers,160,you’re,160,send,160,ppgf,160,problem,160,appreciate,160,return,156,one,156,amount,152,page,152,check,151,fee,151,shorter,150,provide,150,receipt,150,add,150,abortion,147,only,146,able,144,unable,142,online,142,per,141,subject,140,canada,140,charities,140,verified,140,health,139,than,138,those,135,they,135,know,135,monthly,133,cannot,133,supporting,132,longer,131,sign,131,granted,130,update,130,campaign,130,them,130,australia,130,there,127,continue,126,find,125,accept,124,see,122,someone,121,organizing,121,friends,121,phone,120,could,120,reassigning,120,verification,120,video,120,card,120,already,120,most,119,few,119,much,118,really,115,funding,115,set,115,members,115,legal,114,fees,113,public,112,least,112,last,111,end,111,ask,111,debit,111,options,111,still,110,invite,110,zip,110,raising,110,available,109,others,106,url,106,does,105,instagram,102,directly,102,personal,102,facebook,101,goal,101,credit,101,rare,100,unlikely,100,platform,100,image,100,you’ve,100,story,100,original,100,went,100,impact,98,including,98,call,97,address,94,but,94,community,94,where,94,3
count5,http://www.fourwomen.com/,17,health,203,you,197,women,192,day,183,your,171,new,169,abortion,157,return,141,date,136,four,119,services,108,days,93,have,92,sets,91,year,91,month,90,var,82,our,77,function,77,weeks,75,cycle,75,luteal,75,more,65,care,63,too,62,menstrual,61,length,60,not,58,surgical,49,last,49,first,49,may,48,this,48,period,46,must,46,about,45,ovulation,45,none,45,validates,45,very,42,medication,42,pregnancy,40,information,39,objects,39,patient,38,read,37,website,36,privacy,35,age,35,between,35,time,35,other,34,launch,34,emory,34,clinic,34,consent,33,due,33,long,33,try,32,rights,32,check,32,valid,31,either,31,use,31,short,31,necessary,31,variables,31,insurance,31,"""doesnt""",30,fetal,30,number,30,fetalage,30,defaults,30,whole,30,calculation,30,figure,30,still,30,minor,29,gyn,29,state,28,policy,27,resources,27,required,25,following,25,after,24,one,24,learn,24,into,24,can,24,should,23,requires,23,payment,22,staff,22,make,22,left,22,medical,21,street,20,contact,19,never,19,free,19,all,19,attleboro,19,designed,19,take,19,hours,19,form,18,they,18,faqs,18,file,18,their,18,any,18,complete,18,invalid,17,because,17,otherwise,17,range,17,track,16,blog,16,announce,16,thrilled,16,newly,16,includes,16,enter,16,else,16,location,16,route,16,reproductive,16,week,16,including,16,"""s""",15,inline,15,design,15,phase,15,checks,15,translator,15,parse,15,milliseconds,15,noon,15,equals,15,mon,15,conception,15,when,15,menstrualinput,15,returns,15,matcharray,15,format,15,datepat,15,mm-dd-yyyy,15,mm-dd-yy,15,plus,15,estimate,15,isleap,15,duedate,15,creates,15,automatically,15,careers,15,javascript,15,calculator,15,credits,15,calculate,15,auto-generated,15,false,15,remainder,15,digit,15,press,15,exits,15,gtranslate,15,menstual,15,phone,15,today,15,february,15,please,15,these,14,office,14,center,14,guidelines,14,patients,13,receive,12,pill,12,birth,12,right,12,control,12,follow,12,call,11,provide,11,treatment,11,require,11,offer,11,procedure,11,unable,11,feel,10,such,10,massachusetts,10,quality,10,blood,10,agent,10,“the,9,get,9,help,9,through,9,4
count6,http://healthq.org/,25,screen,938,only,809,you,527,your,394,abortion,335,function,285,var,265,health,259,our,226,care,224,sexual,186,can,183,about,178,nav,171,have,166,body,155,testing,136,reproductive,134,suite,125,solid,124,now,117,services,113,book,109,this,107,not,105,gender,104,all,102,hair,101,home,101,affirming,96,some,92,appointment,90,treatment,88,patients,84,medication,83,new,82,control,81,information,80,close,80,may,78,birth,78,slider,78,std,77,laser,76,keyvalue,76,locations,73,other,72,get,71,but,71,healthq,69,any,69,removal,68,hours,67,reviews,67,hiv,66,they,65,questions,64,patient,62,summer,62,cummings,62,here,61,telehealth,61,sti,60,state,60,search,60,asked,59,visit,59,at-home,59,after,59,side,59,contact,58,tab,57,tap,57,select,57,in-clinic,57,html,57,bodyw,57,staff,56,years,55,days,55,day,54,schedule,53,how,52,offer,51,when,49,general,49,vasectomy,49,completely,49,no-scalpel,49,open,49,else,48,receive,48,prep,48,need,47,feel,47,frequently,47,team,47,help,46,more,46,wellness,46,display,46,visits,45,hormone,45,end,45,methods,45,still,45,preparing,44,merrimack,44,please,44,vaccines,43,once,43,portal,43,donate,42,test,42,their,41,who,40,nan,40,therapy,40,simple,40,overview,40,available,40,fertility,39,consultations,39,erectile,39,call,39,make,39,thing,39,people,39,dysfunction,39,join,39,styles,38,img,38,hide,38,should,38,callback,38,languageenglishspanish,38,lang,38,legal,38,class,38,during,38,shop,38,trigger,38,auto,38,best,37,medical,37,one,35,what,34,insurance,34,time,33,take,33,location,32,without,32,enter,32,phone,32,quarters,32,same,32,experience,31,them,31,first,30,start,30,provide,30,center,29,planning,29,right,29,there,29,avoid,29,see,28,discuss,28,privacy,28,using,28,also,28,similar,27,family,27,wish,26,before,26,office,26,pregnancy,26,return,26,most,26,just,25,results,25,partners,25,always,25,symptoms,25,svg,25,haverhill,25,next,24,covered,24,out,24,infections,24,sex,24,does,24,than,24,including,24,cancer,24,safety,24,know,23,related,23,person,23,support,23,5
count7,https://www.tuftsmedicalcenter.org/patient-care-services/Departments-and-Services/Obstetrics-and-Gynecology/Clinical-Care-Services/Family-Planning,11,medical,404,tufts,356,center,242,years,152,ago,99,seconds,97,your,65,our,63,medicine,60,care,55,research,53,new,52,health,52,about,51,var,48,patient,45,you,40,more,38,year,38,services,32,all,32,read,31,learn,28,clinical,28,education,27,family,27,hospital,26,dose,25,close,25,reason,24,boston,24,student,23,school,23,wellness,23,shira,22,team,21,heart,20,news,20,view,20,have,20,program,20,weight,18,network,18,doctor,17,overview,17,resources,17,patients,17,how,17,search,16,their,16,working,16,careers,16,academic,16,this,15,can,15,content,15,who,15,story,15,physician,14,trials,14,require,14,wonders,14,share,13,university,13,not,13,support,13,contact,12,card,12,flip,12,conditions,12,office,12,cardiomyopathy,12,community,12,what,12,programs,11,pediatric,11,information,11,departments,11,hypertrophic,11,public,11,help,11,faculty,11,training,11,work,11,agent,10,staff,10,physicians,10,"""childrens""",10,months,10,integrated,10,doctors,10,october,10,see,10,one,10,life,9,phd,9,mytuftsmed,9,sign,9,referring,9,make,9,outcomes,9,providers,9,tools,9,objects,9,best,9,planning,9,display,8,alumni,8,washington,8,through,8,employee,8,privacy,8,november,8,stories,8,main,8,find,8,home,8,request,8,financial,8,stay,8,susan,8,opportunities,8,skip,8,they,8,members,8,open,7,together,7,volunteer,7,events,7,focus,7,every,7,healthy,7,navigation,7,teaching,7,leadership,7,children,7,policy,7,quality,7,offices,7,message,7,appointment,7,center’s,7,practice,7,marathon,7,giving,7,disease,7,researchers,7,out,7,history,7,play,7,top,7,transplant,7,terms,6,global,6,day,6,know,6,receive,6,mph,6,site,6,extends,6,employed,6,plan,6,provide,6,come,6,system,6,partners,6,career,6,job,6,medial,6,telehealth,6,december,6,cigna,6,lgbtq,6,media,6,numbers,6,phone,6,during,6,non-discrimination,6,kids,6,"""its""",6,treat,6,just,6,some,6,building,6,directions,6,clinicians,6,bariatric,6,locations,6,while,6,trauma,5,governing,5,graduate,5,including,5,please,5,danielle,5,meet,5,never,5,partnerships,5,aid,5,safety,5,6
