index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.potomacfamilyplanning.com/our-services/,23,var,517,solid,373,you,357,new,337,function,315,your,288,"""josefin""",266,abortion,258,"""eb""",190,auto,180,family,176,planning,168,return,166,only,157,our,156,screen,131,information,119,index,115,appointment,108,not,108,insurance,102,funding,95,typeof,95,hitobject,95,potomac,87,all,86,have,86,maryland,83,else,80,anesthesia,74,private,73,baltimore,71,may,69,services,65,select,62,more,62,license,59,can,58,theme,57,divi,57,than,52,should,50,center,49,most,49,other,49,general,49,day,46,health,46,licensed,45,must,45,any,45,result,45,this,44,blue,44,programs,43,after,42,ease,41,patients,41,during,39,accept,39,copyright,39,hookname,38,opt-out,38,days,38,made,38,care,37,weeks,37,directly,37,following,37,entered,36,out,36,about,36,in-clinic,35,their,35,national,34,before,34,which,33,rockville,33,call,32,pill,32,need,32,choose,32,make,32,under,31,translation,30,cover,30,local,30,department,30,who,30,assistance,29,fill,29,does,29,translate,28,gynecological,28,date,27,first,27,available,27,provide,27,offices,27,control,27,north,27,what,26,affordable,26,prior,26,safe,26,one,25,use,25,federation,25,age,25,state,25,friday,25,translatepress,25,everyone,24,certified,24,display,24,users,24,sure,24,how,24,phone,24,additional,23,experience,23,schedule,23,support,23,also,23,place,23,check,23,hungerford,23,fees,23,hours,23,assist,22,could,22,english,22,through,22,cross,22,ensure,22,pay,22,know,22,required,22,federal,21,pregnant,21,themes,21,when,21,providers,21,html,21,google,20,compatibility,20,see,20,providing,20,follow-up,20,confidential,20,fully,20,try,20,public,20,last,19,disable,19,gamap,19,continues,19,nav,19,eden,19,span,19,disablestrs,19,spanish,19,newtracker,19,daniel,19,strong,19,then,19,hitconverted,19,next,19,gnu,19,dec,19,pgcfrontscript,19,hit,19,servicesabortion,19,"""object""",19,action,19,thead,19,parameters,19,estamos,19,appointments,19,simplebannerscriptparams,19,author,19,want,19,would,19,const,19,elegant,19,catch,19,tracker,19,tracking,19,len,19,opted,19,less,19,mit,19,let,19,legal,19,powerful,19,number,19,noopfn,19,"""timing""",19,confirm,19,detect,19,1
count10,https://abortionclinics.org/bethesda-maryland/,25,abortion,14539,nebraska,7672,clinic,7049,pill,7029,iowa,5910,abortions,1001,missouri,750,trimester,560,maryland,432,care,431,surgical,394,clinics,289,weeks,257,new,229,function,225,your,225,you,214,pregnancy,209,maternal,208,fetal,206,our,205,third,203,city,198,medication,197,first,189,about,184,var,175,second,172,health,166,select,166,anomaly,165,home,159,faq,151,calculator,151,keyvalue,150,email,150,auto,150,valley,146,bend,146,services,144,south,134,bluffs,132,creek,132,cedar,132,avoca,132,panama,132,junction,132,oakland,132,all,128,reproductive,127,express,127,providers,125,north,116,please,108,not,104,shop,100,merch,100,pro-choice,100,donate,100,location,91,bellevue,91,provides,90,indication,86,body,83,another,83,dunbar,82,plattsmouth,82,tecumseh,82,beemer,82,templeton,82,julian,82,colon,82,westpoint,82,barnard,78,papillion,78,murdock,78,shambaugh,78,percival,78,scribner,78,nehawka,78,lyons,78,bethesda,78,greenwood,78,pisgah,78,crescent,78,appointment,77,call,76,schedule,75,nan,75,none,75,after,75,careers,75,lang,75,languagearabicchinese,75,near,75,password,75,username,75,west,72,facebook,71,twitter,71,birth,69,this,68,appointments,68,shenandoah,66,pickrell,66,shelby,66,kimballton,66,burr,66,burlington,66,essex,66,kirkman,66,brownville,66,kennard,66,louisville,66,hickman,66,brock,66,oak,66,yutan,66,brayton,66,treynor,66,braddyville,66,lorton,66,boys,66,gretna,66,cumberland,66,abie,66,lake,66,port,66,waverly,66,watson,66,waterloo,66,yorktown,66,ithaca,66,washington,66,carbon,66,fort,66,magnolia,66,johnson,66,sterling,66,walton,66,walnut,66,alvo,66,town,66,macedonia,66,hallam,66,gray,66,wahoo,66,calhoun,66,griswold,66,lewis,66,herman,66,crete,66,bennet,66,elmwood,66,firth,66,sioux,66,uehling,66,union,66,hastings,66,neola,66,unadilla,66,silver,66,valparaiso,66,millard,66,raymond,66,harlan,66,little,66,defiance,66,arlington,66,linwood,66,sidney,66,underwood,66,northboro,66,bennington,66,memphis,66,elmo,66,logan,66,soldier,66,bluff,66,dale,66,blencoe,66,villisca,66,blanchard,66,hamburg,66,blair,66,henderson,66,snyder,66,emerson,66,davey,66,elk,66,hancock,66,elliott,66,mineola,66,lavista,66,ashland,66,minden,66,skidmore,66,murray,66,water,66,exira,66,9
count11,https://www.plannedparenthood.org/health-center/maryland/towson/21234/towson-health-center-2831-90620,14,planned,269,parenthood,268,your,151,var,127,you,111,label,102,health,97,solid,96,this,84,instanceof,82,else,73,---,73,our,66,years,61,get,57,main,53,abortion,52,choose,51,new,50,care,47,search,45,services,42,ago,41,seconds,41,about,40,can,40,video,38,please,35,more,34,function,34,control,33,have,33,return,33,center,31,birth,31,find,30,border-color,30,default,29,all,28,contact,27,email,27,let,27,error,27,follow,26,background-color,25,donate,25,background,25,loading,23,when,23,access,23,form,22,opacity,22,navigation,22,field,22,information,21,out,21,toggle,21,research,21,action,21,how,20,gift,20,color,20,year,19,policy,19,insurance,19,sexual,19,screen,18,learn,18,other,18,involved,17,does,17,sex,17,call,17,code,17,set,17,donor,16,state,15,bans,15,book,15,data,15,ease,15,add,15,infinite,15,off,15,first,15,development,14,senior,14,vice,14,reproductive,14,used,14,what,14,only,14,mail,14,any,14,lever-fadein,14,lasalle,13,affiliate,13,value,13,path,13,use,13,privacy,13,const,13,online,13,open,13,take,12,know,12,name,12,mypostrender,12,provider,12,bodies,12,now,12,north,12,federation,12,share,12,chief,12,user,12,great,12,blog,12,select,12,enter,12,advocacy,12,under,12,not,12,cart,11,make,11,general,11,through,11,help,11,here,11,membership,11,officer,11,office,11,want,11,service,11,last,10,one,10,after,10,change,10,check,10,normal,10,products,10,pregnancy,10,box-shadow,10,fill,10,checkbox,10,show,10,available,10,hide,10,day,10,card,10,resharper,10,participate,10,target,10,custom,10,right,10,method,10,zip,10,tax-deductible,10,may,9,appointment,9,back,9,display,9,fade-in,9,see,9,telehealth,9,volunteer,9,months,9,img,9,terms,9,rights,9,sign,9,give,9,attacks,9,questions,9,button,9,shimmer,9,lever-slidedown,9,left,9,selected,9,lever-fadeout,9,need,9,digital,9,none,9,toastfadein,9,forms,9,fade-out,9,lever-slideup,9,rotate-infinite,9,people,8,link,8,read,8,fullest,8,google,8,app,8,who,8,span,8,also,8,hollow,8,store,8,campaigns,8,10
count12,http://www.abortionpill-md.com/,1,you,17,abortion,8,our,6,pill,6,center,6,medical,5,not,4,have,4,silver,4,maryland,3,care,3,doctors,3,call,3,your,3,office,3,any,2,private,2,only,2,people,2,health,2,colesville,2,appointment,2,spring,2,blocks,2,experience,2,accept,2,nav,2,since,2,they,2,neo,2,own,2,give,2,all,2,lockwood,2,approved,1,webcom-form,1,after,1,used,1,cover,1,pregnant,1,pregnancy,1,shopping,1,individual,1,isbuilder,1,experienced,1,conveniently,1,afraid,1,convenient,1,wednesday,1,weeks,1,contraindication,1,need,1,route,1,important,1,negative,1,most,1,provide,1,amount,1,ispreview,1,american,1,english,1,mifeprex,1,visiting,1,search,1,ensure,1,very,1,pro-abortion,1,espanol,1,avenue,1,days,1,services,1,metro,1,privacy,1,var,1,schedule,1,decide,1,modern,1,previous,1,saturday,1,money,1,proven,1,located,1,hours,1,ultrasound,1,can,1,happy,1,one,1,hampshire,1,only-,1,gynecology,1,gynecological,1,open,1,guide,1,payment,1,pay,1,their,1,patients,1,sub,1,perform,1,terminate,1,friday,1,successfully,1,cases,1,going,1,sure,1,over,1,taking,1,take,1,charged,1,get,1,certified,1,this,1,bus,1,six,1,sonogram,1,new,1,consultations,1,two,1,false,1,trust,1,family,1,treat,1,before,1,when,1,confidentialiy,1,confidentiality,1,believe,1,best,1,thousand,1,speak,1,pills,1,field,1,compassionate,1,board,1,staff,1,body,1,oak,1,find,1,help,1,thursday,1,buildersettings,1,may,1,generics,1,willing,1,different,1,leave,1,receive,1,dollars,1,receipt,1,years,1,white,1,without,1,who,1,rhogam,1,limit,1,additional,1,discover,1,able,1,main,1,within,1,about,1,abort,1,why,1,ÃÂ©maryland,1,results,1,drive,1,women,1,"""womens""",1,later,1,rape,1,location,1,where,1,pillin-clinic,0,physician-reviewed,0,physicians,0,records,0,recover,0,physicianÃ¢ÂÂs,0,recovering,0,pilla,0,pickrell,0,pike,0,recovery,0,pick,0,recurringfrequency,0,pierre,0,picture,0,physician,0,picked,0,recruitment,0,rectum,0,quit,0,physical,0,php,0,permanent,0,permanently,0,reduce,0,permission,0,permits,0,persia,0,11
count13,https://www.plannedparenthood.org/health-center/maryland/baltimore/21201/baltimore-city-health-center-3292-90620,14,planned,269,parenthood,268,your,151,var,127,you,110,label,102,solid,96,health,94,this,83,instanceof,82,else,73,---,73,our,69,years,61,get,56,main,53,abortion,52,choose,51,new,50,care,47,search,45,services,42,can,42,seconds,41,ago,41,about,40,video,38,please,35,function,34,return,33,have,33,more,32,control,31,border-color,30,find,30,birth,29,default,29,all,28,center,28,error,27,email,27,contact,27,let,27,follow,26,background-color,25,background,25,donate,25,loading,23,when,23,access,23,field,22,opacity,22,form,22,navigation,22,information,22,toggle,21,action,21,research,21,out,21,color,20,how,20,gift,20,insurance,19,year,19,sexual,19,policy,19,screen,18,learn,18,code,17,set,17,involved,17,sex,17,does,17,north,17,call,17,donor,16,other,16,state,15,first,15,book,15,infinite,15,add,15,howard,15,data,15,bans,15,off,15,ease,15,what,14,senior,14,any,14,lever-fadein,14,used,14,development,14,reproductive,14,vice,14,open,14,only,14,affiliate,13,path,13,const,13,online,13,use,13,value,13,privacy,13,mail,13,bodies,12,blog,12,user,12,enter,12,chief,12,name,12,select,12,take,12,great,12,mypostrender,12,know,12,federation,12,under,12,now,12,advocacy,12,provider,12,share,12,not,12,make,11,through,11,general,11,membership,11,help,11,want,11,office,11,card,11,here,11,cart,11,officer,11,target,10,pregnancy,10,hide,10,method,10,checkbox,10,fill,10,zip,10,right,10,box-shadow,10,custom,10,last,10,show,10,day,10,one,10,change,10,appointment,10,participate,10,tax-deductible,10,service,10,check,10,products,10,after,10,resharper,10,left,9,volunteer,9,attacks,9,none,9,also,9,"""dont""",9,shimmer,9,back,9,selected,9,normal,9,lever-fadeout,9,lever-slidedown,9,sign,9,lever-slideup,9,see,9,need,9,digital,9,display,9,fade-in,9,fade-out,9,terms,9,telehealth,9,city,9,img,9,forms,9,give,9,questions,9,rotate-infinite,9,toastfadein,9,button,9,months,9,rights,9,current,8,question,8,espaÃÂ±ol,8,local,8,extent,8,federal,8,fullest,8,protect,8,data-close,8,closed,8,states,8,12
count2,https://mfpiclinic.com/,17,abortion,329,you,197,family,157,very,150,planning,139,contraception,135,surgical,114,this,111,your,105,appointment,104,google,97,auto,96,request,93,day,93,solid,92,new,92,our,88,pill,83,college,81,camp,80,care,79,return,77,function,75,metropolitan,73,all,71,clinic,69,park,68,have,66,not,66,date,64,services,60,vip,59,they,58,control,56,birth,56,private,56,staff,56,long,54,gyn,54,gaithersburg,53,fees,52,medical,51,weeks,50,springs,50,clinics,48,infinite,48,var,48,contact,46,what,46,one,46,days,45,after,45,reversible,44,month,43,year,43,procedure,43,office,43,non-hormonal,42,none,42,sets,42,pregnancy,41,provided,41,hormonal,41,permanent,40,acting,40,can,39,last,39,information,38,but,37,time,37,safe,37,sterilizaton,35,cycle,35,luteal,35,professional,34,service,34,there,34,grove,34,shady,33,start,33,menstrual,33,understand,33,great,32,finish,32,please,32,nicole,32,definitely,32,felt,32,kind,32,due,31,length,29,too,28,may,28,must,27,effective,27,during,27,privacy,27,week,27,help,26,about,26,any,26,area,25,first,25,period,25,ease-in-out,24,linear,24,offer,24,refer,23,ovulation,23,more,23,made,22,women,21,here,21,maryland,21,validates,21,gynecology,21,patients,21,check,20,had,20,cannot,20,abortions,20,plan,19,looking,19,place,19,than,19,experience,19,age,19,procedures,19,number,18,times,18,important,18,method,18,speak,18,feel,18,members,18,outside,18,still,18,examinations,17,allentown,17,greenbelt,17,willing,17,been,17,how,17,following,17,those,17,against,17,necessary,17,compassionate,17,over,17,available,17,executive,17,knowing,17,welcoming,16,keep,16,design,16,princeton,16,apppointment,16,above,16,thank,16,thankful,16,assistant,16,bedside,16,listen,16,everyone,16,afraid,16,friends,16,feelings,16,manners,16,grateful,16,appreciative,16,square,16,visited,16,road,16,credits,16,wonderful,16,harm,16,miss,16,forever,16,influential,16,suite,16,judgement,16,subsided,16,thorough,16,rights,16,supportive,16,display,16,embarrassed,16,forceful,16,naturally,16,waiting,16,policy,16,beyond,16,neat,16,which,16,came,16,escorts,16,court,16,either,15,unplanned,15,into,15,2
count3,https://www.plannedparenthood.org/health-center/maryland/frederick/21702/frederick-health-center-2899-90620,14,planned,269,parenthood,268,your,151,var,127,you,111,label,102,health,97,solid,96,this,84,instanceof,82,else,73,---,73,our,66,years,61,get,57,main,53,abortion,52,choose,51,new,50,care,47,search,45,services,42,ago,41,seconds,41,can,40,about,40,video,38,please,35,more,34,function,34,control,33,return,33,have,33,birth,31,center,31,border-color,30,find,30,default,29,all,28,error,27,let,27,contact,27,email,27,follow,26,background,25,background-color,25,donate,25,loading,23,access,23,when,23,opacity,22,field,22,navigation,22,form,22,toggle,21,information,21,research,21,action,21,out,21,color,20,how,20,gift,20,year,19,policy,19,insurance,19,sexual,19,screen,18,learn,18,does,17,involved,17,sex,17,code,17,set,17,call,17,donor,16,other,16,book,15,state,15,ease,15,data,15,bans,15,add,15,first,15,infinite,15,off,15,only,14,development,14,used,14,reproductive,14,vice,14,senior,14,what,14,mail,14,lever-fadein,14,any,14,const,13,path,13,privacy,13,value,13,thomas,13,affiliate,13,use,13,johnson,13,open,13,online,13,name,12,user,12,blog,12,bodies,12,know,12,chief,12,federation,12,now,12,share,12,advocacy,12,not,12,select,12,north,12,take,12,mypostrender,12,enter,12,under,12,great,12,provider,12,service,11,through,11,want,11,membership,11,make,11,help,11,general,11,officer,11,cart,11,office,11,here,11,change,10,last,10,one,10,after,10,resharper,10,method,10,box-shadow,10,zip,10,normal,10,fill,10,pregnancy,10,products,10,day,10,right,10,target,10,custom,10,card,10,hide,10,tax-deductible,10,show,10,checkbox,10,check,10,participate,10,volunteer,9,rotate-infinite,9,questions,9,attacks,9,img,9,display,9,shimmer,9,sign,9,left,9,lever-fadeout,9,forms,9,may,9,terms,9,months,9,back,9,toastfadein,9,appointment,9,telehealth,9,rights,9,give,9,fade-in,9,button,9,digital,9,fade-out,9,see,9,lever-slideup,9,lever-slidedown,9,selected,9,none,9,need,9,also,8,most,8,protect,8,closed,8,google,8,always,8,campaigns,8,question,8,fullest,8,people,8,messages,8,who,8,3
count4,https://femicaresurgery.com/,16,day,311,return,247,date,245,new,226,abortion,203,days,163,sets,162,year,162,month,162,you,136,luteal,135,cycle,135,function,128,var,117,weeks,115,surgery,110,menstrual,109,too,108,auto,90,femi-care,87,patient,84,have,84,length,82,ovulation,81,validates,81,your,80,very,71,york,69,center,68,not,64,first,61,time,60,must,60,necessary,58,last,57,fees,57,whole,56,long,56,age,56,valid,55,number,55,still,55,between,55,short,54,defaults,54,check,54,either,54,try,54,calculation,54,fetalage,54,fetal,54,variables,54,figure,54,"""doesnt""",54,objects,54,period,54,due,54,surgical,51,services,51,appointment,50,suite,46,comments,46,none,45,our,44,links,42,all,41,pregnancy,41,helpful,39,forms,39,this,38,medical,37,one,36,request,35,about,35,state,34,should,34,information,34,counseling,33,complete,33,other,31,because,30,form,30,requires,29,week,29,includes,29,clinic,29,range,28,otherwise,28,milliseconds,28,submit,28,else,28,into,28,phase,27,parse,27,isleap,27,invalid,27,following,27,plus,27,automatically,27,format,27,left,27,february,27,calculator,27,"""s""",27,menstual,27,matcharray,27,creates,27,menstrualinput,27,conception,27,checks,27,digit,27,national,27,duedate,27,datepat,27,never,27,returns,27,today,27,track,27,remainder,27,false,27,equals,27,mm-dd-yy,27,mm-dd-yyyy,27,exits,27,privacy,26,contact,25,pill,23,can,23,care,21,which,20,file,20,policy,20,staff,19,violence,19,may,19,domestic,19,more,19,rights,19,post,18,gynecological,18,maryland,18,friday,18,out,18,faqs,17,youÃ¢ÂÂre,17,convenience,17,rape,17,feel,17,any,17,exhale,17,thursday,16,health,16,assistance,16,comfortable,16,saturdays,16,questions,16,llc,15,design,15,hotline,15,guidelines,15,simplebannerscriptparams,15,auto-generated,15,const,15,inline,15,credits,15,program,15,seeing,15,awareness,15,monday,15,itÃ¢ÂÂs,14,Ã¢ÂÂvery,14,office,14,friendly,13,please,13,answers,12,after,11,some,10,required,10,make,10,insurance,10,procedure,9,offering,9,professional,9,need,9,abortions,8,medication,8,listed,8,when,8,physician,8,experience,8,gynecology,7,had,7,than,7,anesthesia,7,take,7,control,7,how,7,before,7,what,7,slash,6,4
count5,https://www.plannedparenthood.org/health-center/maryland/annapolis/21401/annapolis-health-center-2834-90620/abortion,14,parenthood,255,planned,255,your,160,var,155,you,122,label,102,solid,96,abortion,94,this,80,else,77,---,73,our,67,instanceof,65,years,62,health,59,choose,53,main,53,get,51,new,51,function,48,ago,42,seconds,41,return,41,can,40,about,40,video,38,search,37,services,35,have,34,care,33,border-color,30,control,30,please,29,default,29,email,28,all,28,find,27,more,27,birth,26,access,25,background,25,contact,25,background-color,25,error,25,let,24,donate,23,loading,23,opacity,22,help,22,does,22,form,22,research,21,how,21,information,20,color,20,not,20,field,20,gift,20,out,20,when,19,action,19,follow,19,screen,18,policy,18,reproductive,18,year,18,infinite,17,may,17,toggle,17,first,16,set,16,code,16,call,16,ease,15,other,15,data,15,bans,15,use,15,navigation,15,off,15,state,15,center,15,any,15,add,15,minor,14,make,14,used,14,vice,14,donor,14,maryland,14,sex,14,want,14,lever-fadein,14,senior,14,mail,13,path,13,pill,13,involved,13,only,13,sexual,13,development,13,value,13,under,13,need,13,chief,12,great,12,advocacy,12,privacy,12,affiliate,12,select,12,learn,12,parent,12,north,12,mypostrender,12,also,12,in-clinic,12,bodies,12,none,12,name,12,const,12,provider,11,office,11,officer,11,rights,11,membership,11,share,11,last,11,method,11,user,11,general,11,after,11,show,11,appointment,11,through,11,people,11,questions,11,they,11,what,11,cart,11,online,10,hide,10,federation,10,custom,10,participate,10,period,10,protect,10,change,10,box-shadow,10,law,10,resharper,10,pregnancy,10,products,10,funds,10,checkbox,10,service,10,know,10,give,10,now,10,one,10,zip,9,sure,9,blog,9,check,9,lever-slideup,9,financial,9,normal,9,lever-slidedown,9,enter,9,west,9,local,9,img,9,lever-fadeout,9,toastfadein,9,card,9,digital,9,tax-deductible,9,button,9,months,9,back,9,fund,9,fade-in,9,available,9,additional,9,states,9,rotate-infinite,9,fade-out,9,selected,9,left,9,attacks,9,forms,9,shimmer,9,display,9,read,8,consent,8,ppfa,8,question,8,who,8,take,8,link,8,laws,8,5
count6,http://www.gynemed.org/,21,var,1342,function,776,return,639,abortion,355,else,349,calf,308,surgical,271,date,266,new,247,center,215,you,167,your,155,day,153,gynemed,148,our,140,trimester,129,not,104,patient,104,days,91,month,85,year,85,sets,84,nan,84,clinic,83,cycle,71,calre,70,luteal,70,contact,68,have,68,weeks,68,none,66,first,65,care,64,fontana,63,fees,62,resources,61,pill,61,length,60,appointment,60,control,59,birth,57,too,56,request,54,how,50,family,49,medical,49,planning,48,review,47,instructions,46,second,46,maryland,45,comments,45,this,45,choose,45,time,44,leave,43,must,43,validates,42,ovulation,42,------,42,opportunities,41,aftercare,40,all,40,helpful,39,suite,39,employment,39,faqs,38,very,38,about,37,info,37,forms,36,information,34,menstrual,34,may,34,state,33,pregnancy,33,valid,32,between,32,hours,31,necessary,31,patients,30,form,30,long,30,still,30,check,30,fetal,29,number,29,privacy,29,weekday,28,calformat,28,age,28,didx,28,midx,28,short,28,either,28,calculation,28,whole,28,"""doesnt""",28,variables,28,default,28,defaults,28,try,28,settings,28,fetalage,28,yidx,28,currentcal,28,figure,28,objects,28,due,28,should,27,one,26,staff,26,abortions,25,block,25,health,25,every,25,policy,25,take,23,after,23,rights,23,following,21,other,21,monday,20,last,20,can,20,show,20,but,19,closed,19,inline,19,credits,18,they,18,help,18,during,18,enter,18,design,18,needs,18,week,18,because,18,office,18,please,18,providers,18,services,17,complete,17,their,17,provide,17,any,17,into,17,user,16,lines,16,never,16,values,16,includes,16,otherwise,15,requires,15,range,15,period,15,calculator,15,track,15,false,15,use,15,been,15,english,15,milliseconds,15,most,15,ensure,14,wday,14,plus,14,left,14,today,14,thiscal,14,parse,14,equals,14,phase,14,estimate,14,tmode,14,matcharray,14,titlefontcolor,14,digit,14,menstual,14,conception,14,menstrualinput,14,assist,14,auto,14,currentdayfontcolor,14,press,14,datepat,14,field,14,automatically,14,mm-dd-yy,14,remainder,14,returns,14,facility,14,creates,14,quad,14,dayfontcolor,14,procedure,14,need,14,daysfontcolor,14,isleap,14,format,14,6
