index,url,urls_visited,token1,count1,token2,count2,token3,count3,token4,count4,token5,count5,token6,count6,token7,count7,token8,count8,token9,count9,token10,count10,token11,count11,token12,count12,token13,count13,token14,count14,token15,count15,token16,count16,token17,count17,token18,count18,token19,count19,token20,count20,token21,count21,token22,count22,token23,count23,token24,count24,token25,count25,token26,count26,token27,count27,token28,count28,token29,count29,token30,count30,token31,count31,token32,count32,token33,count33,token34,count34,token35,count35,token36,count36,token37,count37,token38,count38,token39,count39,token40,count40,token41,count41,token42,count42,token43,count43,token44,count44,token45,count45,token46,count46,token47,count47,token48,count48,token49,count49,token50,count50,token51,count51,token52,count52,token53,count53,token54,count54,token55,count55,token56,count56,token57,count57,token58,count58,token59,count59,token60,count60,token61,count61,token62,count62,token63,count63,token64,count64,token65,count65,token66,count66,token67,count67,token68,count68,token69,count69,token70,count70,token71,count71,token72,count72,token73,count73,token74,count74,token75,count75,token76,count76,token77,count77,token78,count78,token79,count79,token80,count80,token81,count81,token82,count82,token83,count83,token84,count84,token85,count85,token86,count86,token87,count87,token88,count88,token89,count89,token90,count90,token91,count91,token92,count92,token93,count93,token94,count94,token95,count95,token96,count96,token97,count97,token98,count98,token99,count99,token100,count100,token101,count101,token102,count102,token103,count103,token104,count104,token105,count105,token106,count106,token107,count107,token108,count108,token109,count109,token110,count110,token111,count111,token112,count112,token113,count113,token114,count114,token115,count115,token116,count116,token117,count117,token118,count118,token119,count119,token120,count120,token121,count121,token122,count122,token123,count123,token124,count124,token125,count125,token126,count126,token127,count127,token128,count128,token129,count129,token130,count130,token131,count131,token132,count132,token133,count133,token134,count134,token135,count135,token136,count136,token137,count137,token138,count138,token139,count139,token140,count140,token141,count141,token142,count142,token143,count143,token144,count144,token145,count145,token146,count146,token147,count147,token148,count148,token149,count149,token150,count150,token151,count151,token152,count152,token153,count153,token154,count154,token155,count155,token156,count156,token157,count157,token158,count158,token159,count159,token160,count160,token161,count161,token162,count162,token163,count163,token164,count164,token165,count165,token166,count166,token167,count167,token168,count168,token169,count169,token170,count170,token171,count171,token172,count172,token173,count173,token174,count174,token175,count175,token176,count176,token177,count177,token178,count178,token179,count179,token180,count180,token181,count181,token182,count182,token183,count183,token184,count184,token185,count185,token186,count186,token187,count187,token188,count188,token189,count189,token190,count190,token191,count191,token192,count192,token193,count193,token194,count194,token195,count195,token196,count196,token197,count197,token198,count198,token199,count199,token200,count200,id
count1,https://www.plannedparenthood.org/health-center/michigan/kalamazoo/49006/kalamazoo-health-center-3299-90630,20,your,394,you,391,parenthood,370,planned,370,health,285,var,171,this,160,instanceof,156,care,130,get,119,information,117,about,116,our,109,have,102,label,102,solid,98,can,94,services,94,may,93,please,87,abortion,85,search,84,birth,82,control,81,else,79,not,78,new,73,---,73,function,66,years,62,michigan,62,find,62,use,60,all,56,more,55,main,54,choose,53,contact,52,when,51,follow,51,how,50,return,48,what,46,true,44,other,44,navigation,43,access,43,video,42,need,41,seconds,41,request,41,ago,41,telehealth,40,privacy,39,donate,38,any,38,call,38,involved,37,email,37,error,37,center,37,right,37,toggle,35,who,35,out,34,make,34,let,34,policy,34,appointment,34,form,33,field,33,available,32,state,32,enter,31,insurance,31,app,31,emergency,30,border-color,30,through,30,default,29,back,29,provider,28,learn,27,service,27,day,27,does,27,treatment,27,take,26,online,26,help,25,background,25,background-color,25,local,25,education,25,provide,24,code,24,const,24,first,24,research,24,only,24,set,24,one,24,action,23,receive,23,loading,23,"""dont""",23,jobs,23,reproductive,23,rights,23,terms,22,pill,22,sexual,22,visit,22,support,22,opacity,22,notice,21,select,21,after,21,open,21,also,21,uti,20,time,20,book,20,gift,20,know,20,disclose,20,these,20,now,20,check,20,color,20,age,19,contraception,19,questions,19,mail,19,add,19,volunteer,19,hipaa,18,year,18,direct,18,screen,18,sticky,18,target,18,must,18,development,18,pregnancy,18,affiliate,18,within,17,see,17,want,17,plan,17,sex,17,without,17,patients,17,payment,17,used,17,sign,17,site,17,clinician,16,link,16,additional,16,office,16,data-close,16,hollow,16,people,16,required,16,fill,16,morning-after,16,most,16,donor,16,under,16,off,15,ease,15,infinite,15,"""its""",15,data,15,card,15,bans,15,officer,15,zip,15,last,15,messages,15,prescription,14,message,14,senior,14,disclosures,14,private,14,change,14,great,14,ask,14,period,14,footer,14,days,14,federation,14,vice,14,sure,14,order,14,give,14,show,14,lever-fadein,14,been,13,1
count10,https://www.plannedparenthood.org/health-center/michigan/marquette/49855/marquette-health-center-2605-90630,20,your,394,you,389,planned,370,parenthood,370,health,284,var,171,this,160,instanceof,156,care,130,get,119,information,118,about,116,our,108,label,102,have,101,solid,98,may,93,can,93,services,92,please,87,abortion,85,search,84,birth,82,control,81,else,79,not,78,---,73,new,73,function,66,years,62,find,62,use,60,all,58,more,55,main,54,choose,53,contact,52,follow,51,when,50,michigan,50,how,50,return,48,what,46,other,46,true,44,navigation,43,access,43,video,42,seconds,41,ago,41,request,41,need,40,telehealth,40,privacy,39,donate,38,any,38,call,38,error,37,center,37,right,37,email,37,involved,37,who,35,toggle,35,make,34,out,34,let,34,policy,34,appointment,33,form,33,field,33,state,32,app,31,enter,31,insurance,31,through,30,emergency,30,border-color,30,available,30,back,29,default,29,provider,28,learn,27,treatment,27,service,27,day,27,does,27,take,26,online,26,education,25,help,25,background-color,25,background,25,local,25,const,24,one,24,code,24,set,24,first,24,research,24,rights,23,loading,23,receive,23,"""dont""",23,reproductive,23,jobs,23,action,23,only,23,visit,22,provide,22,support,22,sexual,22,terms,22,opacity,22,pill,22,select,21,notice,21,also,21,after,21,open,21,gift,20,check,20,book,20,know,20,uti,20,these,20,disclose,20,time,20,color,20,now,20,age,19,questions,19,volunteer,19,mail,19,add,19,contraception,19,must,18,target,18,development,18,sticky,18,direct,18,hipaa,18,affiliate,18,year,18,screen,18,pregnancy,18,patients,17,site,17,see,17,used,17,without,17,within,17,plan,17,want,17,sign,17,office,17,sex,17,payment,17,hollow,16,donor,16,link,16,additional,16,under,16,clinician,16,morning-after,16,most,16,required,16,data-close,16,fill,16,ease,15,off,15,zip,15,people,15,data,15,infinite,15,"""its""",15,last,15,card,15,messages,15,officer,15,bans,15,days,14,ask,14,change,14,vice,14,disclosures,14,show,14,sure,14,prescription,14,give,14,message,14,great,14,senior,14,order,14,footer,14,lever-fadein,14,private,14,federation,14,period,14,current,13,9
count11,https://www.plannedparenthood.org/health-center/michigan/lansing/48912/lansing-health-center-2785-90630,20,your,394,you,391,parenthood,370,planned,370,health,285,var,171,this,160,instanceof,156,care,130,get,119,information,117,about,116,our,109,have,102,label,102,solid,98,can,94,may,93,services,92,please,87,abortion,85,search,84,birth,82,control,81,else,79,not,78,new,73,---,73,function,66,years,62,find,62,use,60,all,58,more,55,main,54,choose,53,contact,52,follow,51,when,51,how,50,michigan,50,return,48,what,46,other,46,true,44,navigation,43,access,43,video,42,seconds,41,need,41,request,41,ago,41,telehealth,40,privacy,39,donate,38,call,38,any,38,center,37,error,37,right,37,email,37,involved,37,toggle,35,who,35,let,34,make,34,policy,34,out,34,form,33,field,33,appointment,32,state,32,enter,31,app,31,insurance,31,available,31,emergency,30,border-color,30,through,30,default,29,back,29,provider,28,learn,27,day,27,does,27,service,27,treatment,27,online,26,take,26,education,25,background-color,25,background,25,help,25,local,25,one,24,first,24,const,24,only,24,set,24,research,24,code,24,rights,23,receive,23,action,23,jobs,23,loading,23,"""dont""",23,provide,23,reproductive,23,terms,22,visit,22,opacity,22,pill,22,sexual,22,support,22,notice,21,select,21,also,21,open,21,after,21,uti,20,these,20,time,20,disclose,20,gift,20,know,20,check,20,color,20,now,20,book,20,mail,19,questions,19,volunteer,19,add,19,contraception,19,age,19,pregnancy,18,year,18,development,18,affiliate,18,must,18,sticky,18,target,18,direct,18,hipaa,18,screen,18,used,17,payment,17,site,17,sign,17,patients,17,without,17,sex,17,within,17,want,17,see,17,plan,17,people,16,donor,16,clinician,16,under,16,link,16,additional,16,data-close,16,office,16,fill,16,morning-after,16,hollow,16,most,16,required,16,last,15,off,15,"""its""",15,officer,15,bans,15,card,15,messages,15,ease,15,data,15,infinite,15,zip,15,lever-fadein,14,footer,14,ask,14,vice,14,period,14,federation,14,message,14,disclosures,14,sure,14,prescription,14,private,14,days,14,great,14,order,14,change,14,give,14,senior,14,show,14,they,13,10
count12,http://www.heritageclinic.com/,25,abortion,708,you,407,clinic,311,your,293,women,192,michigan,184,consent,183,heritage,154,law,146,grand,142,have,125,appointment,119,medical,114,services,112,surgical,108,our,102,this,97,financial,88,request,81,care,81,may,79,decision,79,none,75,parental,71,not,69,all,65,instructions,61,privacy,61,information,60,fees,60,assistance,58,about,55,contact,55,bring,53,how,53,counseling,50,form,49,patient,49,must,47,what,46,process,45,practices,45,health,44,schedule,44,pregnancy,43,notice,43,rights,43,phi,41,staff,41,making,40,under,40,hour,39,any,39,since,38,var,37,their,37,procedure,36,confidential,36,comments,35,laws,35,feel,34,would,34,use,34,file,33,format,32,photo,31,items,31,please,31,fulton,30,gallery,30,payment,30,home,30,disclose,29,links,29,provide,29,pill,29,sensitive,28,make,28,special,28,scheduling,28,who,27,comparing,27,facility,27,helpful,27,more,27,one,26,reproductive,26,other,26,east,26,weeks,26,credits,25,quick,25,informationabortion,25,compassionate,25,comparison,25,design,25,than,25,linkspatient,25,fjs,25,auto-generated,25,aid,25,photos,25,inline,25,support,24,state,24,receive,23,such,23,right,22,been,22,when,22,they,20,required,20,each,19,after,19,before,19,national,18,choice,18,can,17,hours,17,access,16,court,16,questions,16,risks,16,human,16,person,16,help,16,options,15,following,15,first,15,written,15,choose,15,judge,15,authorization,14,last,14,review,14,only,14,parents,13,parenting,13,time,13,through,13,these,13,patients,13,order,13,healthcare,13,ask,13,available,13,legal,13,material,12,federation,12,emotional,12,physician,12,choosing,12,need,12,also,12,adoption,12,which,12,regarding,12,providing,12,people,12,during,11,control,11,current,11,additional,11,experience,11,personal,11,accept,11,physical,11,without,11,online,11,complete,11,understand,10,like,10,print,10,less,10,specific,10,confirmation,10,department,10,while,10,page,10,received,10,some,10,made,10,out,10,necessary,10,well,10,judicial,10,take,10,individual,10,lmp,10,feelings,10,include,9,but,9,including,9,known,9,cervix,9,provided,9,anyone,9,marriage,9,own,9,every,9,11
count13,https://www.plannedparenthood.org/health-center/michigan/ann-arbor/48104/ann-arbor-health-center-3296-90630,21,your,392,you,391,parenthood,370,planned,370,health,284,var,173,this,161,instanceof,156,care,130,get,119,information,117,about,116,our,110,have,102,label,102,solid,100,can,95,may,94,services,92,please,87,abortion,85,search,84,birth,82,control,81,not,80,else,79,new,75,---,73,function,66,find,62,years,62,use,61,all,58,more,55,main,54,choose,53,contact,52,follow,51,when,51,michigan,50,how,50,return,48,what,46,other,46,true,44,access,43,navigation,43,video,42,seconds,41,ago,41,request,41,need,41,privacy,40,telehealth,40,donate,38,any,38,right,37,email,37,center,37,error,37,involved,37,call,37,policy,36,who,35,toggle,35,let,34,make,34,out,34,field,33,form,33,state,32,appointment,32,enter,31,available,31,insurance,31,app,31,emergency,30,border-color,30,through,30,default,29,back,29,provider,28,service,28,does,27,day,27,learn,27,treatment,27,help,27,online,26,take,26,education,25,background-color,25,local,25,background,25,one,24,only,24,const,24,research,24,set,24,code,24,first,24,jobs,23,loading,23,receive,23,"""dont""",23,rights,23,action,23,provide,23,reproductive,23,terms,23,sexual,22,visit,22,pill,22,support,22,opacity,22,after,21,select,21,also,21,open,21,notice,21,gift,20,book,20,color,20,disclose,20,these,20,check,20,uti,20,know,20,now,20,time,20,mail,19,must,19,questions,19,volunteer,19,age,19,add,19,contraception,19,target,18,pregnancy,18,sticky,18,screen,18,development,18,see,18,affiliate,18,hipaa,18,year,18,direct,18,site,17,used,17,without,17,want,17,plan,17,sign,17,within,17,sex,17,payment,17,patients,17,most,16,hollow,16,required,16,additional,16,under,16,donor,16,office,16,fill,16,morning-after,16,people,16,link,16,data-close,16,clinician,16,infinite,15,off,15,messages,15,"""its""",15,ease,15,order,15,last,15,bans,15,card,15,zip,15,give,15,data,15,officer,15,disclosures,14,change,14,lever-fadein,14,days,14,private,14,sure,14,prescription,14,show,14,footer,14,period,14,great,14,federation,14,senior,14,ask,14,message,14,vice,14,therapy,13,12
count14,https://www.plannedparenthood.org/health-center/michigan/livonia/48154/livonia-health-center-2677-90630,20,your,394,you,391,planned,370,parenthood,370,health,285,var,171,this,160,instanceof,156,care,130,get,119,information,117,about,116,our,109,label,102,have,102,solid,98,can,94,may,93,services,92,please,87,abortion,86,search,84,birth,82,control,81,else,79,not,78,---,73,new,73,function,66,find,62,years,62,use,60,all,58,more,55,main,54,choose,53,contact,52,when,51,follow,51,michigan,50,how,50,return,48,what,46,other,46,true,44,navigation,43,access,43,video,42,ago,41,request,41,seconds,41,need,41,telehealth,40,privacy,39,call,38,donate,38,any,38,center,37,error,37,right,37,involved,37,email,37,who,35,toggle,35,make,34,policy,34,out,34,let,34,form,33,field,33,appointment,32,state,32,enter,31,insurance,31,available,31,app,31,border-color,30,through,30,emergency,30,back,29,default,29,provider,28,service,27,day,27,learn,27,does,27,treatment,27,take,26,online,26,local,25,education,25,background-color,25,help,25,background,25,const,24,research,24,one,24,set,24,code,24,only,24,first,24,action,23,jobs,23,provide,23,loading,23,"""dont""",23,rights,23,receive,23,reproductive,23,pill,22,visit,22,terms,22,sexual,22,opacity,22,support,22,also,21,select,21,open,21,notice,21,after,21,uti,20,these,20,color,20,check,20,book,20,disclose,20,time,20,gift,20,know,20,now,20,contraception,19,age,19,mail,19,questions,19,add,19,volunteer,19,sticky,18,affiliate,18,target,18,year,18,must,18,direct,18,pregnancy,18,hipaa,18,development,18,screen,18,used,17,site,17,sex,17,see,17,within,17,without,17,patients,17,payment,17,sign,17,want,17,plan,17,under,16,link,16,hollow,16,donor,16,clinician,16,office,16,additional,16,required,16,morning-after,16,most,16,fill,16,people,16,data-close,16,card,15,officer,15,data,15,ease,15,messages,15,off,15,"""its""",15,zip,15,infinite,15,bans,15,last,15,ask,14,prescription,14,senior,14,message,14,order,14,footer,14,days,14,federation,14,vice,14,period,14,lever-fadein,14,give,14,show,14,change,14,sure,14,great,14,disclosures,14,private,14,advocacy,13,13
count16,https://www.plannedparenthood.org/health-center/michigan/jackson/49202/jackson-health-center-2784-90630,20,your,392,you,390,parenthood,370,planned,370,health,284,var,171,this,160,instanceof,156,care,130,get,119,information,117,about,116,our,109,label,102,have,101,solid,98,can,94,may,93,services,92,please,86,abortion,85,search,84,birth,82,control,81,else,79,not,78,new,73,---,73,function,66,michigan,62,find,62,years,62,use,60,all,58,more,55,main,54,choose,53,contact,52,when,51,follow,51,how,50,return,48,what,46,other,46,true,44,access,43,navigation,43,video,42,request,41,need,41,seconds,41,ago,41,telehealth,40,privacy,39,any,38,donate,38,involved,37,error,37,call,37,email,37,right,37,center,36,toggle,35,who,35,out,34,let,34,make,34,policy,34,form,33,field,33,state,32,appointment,32,insurance,31,available,31,app,31,enter,31,emergency,30,border-color,30,through,30,back,29,default,29,provider,28,day,27,service,27,learn,27,treatment,27,does,27,take,26,online,26,background-color,25,background,25,help,25,education,25,local,25,set,24,code,24,research,24,const,24,only,24,first,24,one,24,reproductive,23,provide,23,loading,23,jobs,23,"""dont""",23,rights,23,action,23,receive,23,support,22,visit,22,terms,22,opacity,22,pill,22,sexual,22,after,21,select,21,open,21,notice,21,also,21,these,20,uti,20,know,20,now,20,gift,20,book,20,color,20,check,20,time,20,disclose,20,mail,19,age,19,volunteer,19,contraception,19,add,19,questions,19,year,18,screen,18,target,18,development,18,direct,18,must,18,affiliate,18,pregnancy,18,hipaa,18,sticky,18,without,17,patients,17,plan,17,payment,17,sex,17,see,17,want,17,within,17,site,17,sign,17,used,17,morning-after,16,hollow,16,additional,16,fill,16,people,16,link,16,data-close,16,donor,16,most,16,required,16,office,16,clinician,16,under,16,ease,15,officer,15,bans,15,infinite,15,messages,15,card,15,"""its""",15,off,15,data,15,last,15,zip,15,federation,14,senior,14,great,14,sure,14,vice,14,disclosures,14,message,14,order,14,lever-fadein,14,show,14,give,14,prescription,14,ask,14,private,14,days,14,footer,14,change,14,period,14,hormone,13,14
count17,https://detroitabortioncenter.com/,25,abortion,1792,clinic,1517,pill,823,womens,638,near,628,var,328,womenÃ¢ÂÂs,297,scotsdale,266,appointment,229,center,184,"""womens""",155,auto,150,assistance,135,surgical,134,your,134,care,129,you,127,request,127,our,126,solid,125,best,117,green,112,contact,111,about,107,services,107,financial,107,medina,106,after,105,detroit,103,sandusky,102,findlay,101,dearborn,101,function,100,none,100,bowling,99,ashland,92,elyria,92,fremont,92,cleveland,92,tiffin,91,perrysburg,91,defiance,91,patient,89,hours,88,kenton,87,lima,87,hour,86,consent,85,covid,84,counseling,84,instructions,83,referrals,83,birth,83,minors,83,health,82,sexual,81,anywhere,81,morning,81,control,81,info,79,call,79,faq,79,ohio,78,current,78,form,78,michigan,77,norwalk,77,wapakoneta,77,mansfield,77,wooster,77,toledo,77,southfield,77,marion,77,aftercare,76,what,76,reproductive,75,news,75,plan,75,akron,75,nan,75,expect,75,payment,75,justice,75,location,75,weeks,61,have,59,available,58,mile,52,quick,51,img,50,english,50,inset,50,keyvalue,50,this,50,exit,50,leader,50,all,49,provide,46,medication,45,patients,44,can,44,make,43,more,36,options,34,surrounding,33,through,32,here,32,other,30,information,30,sure,30,website,29,day,28,financing,28,last,28,procedure,28,national,28,choice,28,staff,27,serving,26,west,26,site,26,serves,25,elementorfrontendconfig,25,seo,25,espaÃÂ±ol,25,"""detroits""",25,dec,25,return,25,Ã§Â®ÂÃ¤Â½ÂÃ¤Â¸Â­Ã¦ÂÂ,25,privacy,25,now,25,map,25,master,25,local,25,"""en""",25,lang,25,body,25,"""ltr""",25,border-color,25,box-shadow,25,button,25,new,25,inline,25,"""text""",25,skip,25,partners,25,content,25,specializing,25,policy,25,their,23,also,21,facebook,21,twitter,21,ultrasound,21,menstrual,21,pregnancy,20,who,20,two,20,when,20,need,20,first,20,safe,20,visit,19,linkedin,19,not,18,caring,18,must,18,want,18,choose,17,one,16,between,16,take,15,answer,15,before,15,performed,14,method,14,soon,14,clinician,14,lab,14,option,14,provides,14,insertion,14,aspiration,14,dilation,14,may,14,medical,14,vacuum,14,questions,13,then,13,non-surgical,13,state,13,phone,13,meet,13,mifeprex,13,please,13,undergoing,12,strive,12,rate,12,days,11,minor,11,15
count2,https://www.plannedparenthood.org/health-center/michigan/grand-rapids/49503/irwin-martin-health-center-3295-90630,21,your,398,you,395,planned,371,parenthood,371,health,282,var,171,this,160,instanceof,156,care,130,get,124,information,119,about,116,our,109,label,102,have,100,solid,98,services,94,can,94,may,93,please,86,abortion,85,search,85,birth,81,control,80,else,79,not,78,new,75,---,73,function,67,find,64,years,62,all,60,use,60,more,56,main,55,contact,55,how,54,route,54,choose,53,michigan,52,follow,51,when,51,other,48,return,48,what,47,true,44,navigation,43,need,43,access,43,video,42,ago,41,seconds,41,request,41,telehealth,40,service,39,email,39,privacy,39,call,38,donate,38,any,38,involved,37,right,37,error,37,who,36,make,36,center,35,out,35,toggle,35,let,34,policy,34,state,33,form,33,appointment,33,app,33,field,33,insurance,31,enter,31,learn,31,online,30,available,30,through,30,emergency,30,border-color,30,back,29,default,29,provider,28,treatment,27,day,27,help,27,take,27,does,27,set,25,local,25,background,25,education,25,background-color,25,code,24,const,24,one,24,research,24,first,24,receive,24,"""dont""",24,book,23,reproductive,23,action,23,rights,23,only,23,jobs,23,loading,23,terms,23,support,22,pill,22,sexual,22,visit,22,provide,22,know,22,opacity,22,after,21,notice,21,also,21,open,21,select,21,these,20,sign,20,check,20,color,20,gift,20,now,20,uti,20,time,20,questions,20,disclose,20,contraception,19,add,19,age,19,mail,19,volunteer,19,target,18,affiliate,18,direct,18,screen,18,development,18,year,18,hipaa,18,must,18,rapid,18,pregnancy,18,sticky,18,plan,18,sex,17,payment,17,want,17,site,17,without,17,within,17,patients,17,card,17,see,17,used,17,messages,16,additional,16,most,16,office,16,morning-after,16,clinician,16,period,16,link,16,required,16,grand,16,under,16,hollow,16,donor,16,data-close,16,off,15,people,15,infinite,15,last,15,ease,15,officer,15,"""its""",15,senior,15,fill,15,bans,15,been,15,zip,15,data,15,great,14,prescription,14,ask,14,sure,14,private,14,give,14,north,14,disclosures,14,order,14,message,14,days,14,federation,14,lever-fadein,14,2
count3,http://whcofmi.com/,20,abortion,323,you,208,pregnancy,176,var,161,center,159,health,146,your,140,auto,114,services,114,flint,110,pill,93,our,87,this,83,contact,81,about,81,hour,80,surgical,80,block,76,kit,76,care,76,consent,71,have,66,all,63,weeks,62,clinic,61,calculator,59,none,57,medical,57,womenÃ¢ÂÂs,56,not,56,who,53,women,53,aftercare,51,can,50,emergency,50,michigan,49,home,49,assistance,48,financial,48,end,48,management,47,some,46,unintended,45,links,45,payment,44,instructions,43,testing,43,saginaw,42,contraception,42,miscarriage,42,closed,41,their,41,new,41,resourceful,41,location,40,news,40,open,40,info,40,start,39,emotional,38,ieusers,38,provided,38,background,38,wish,37,after,35,day,35,more,33,period,33,help,33,terminate,32,over,31,days,31,exceptional,30,appointment,30,choice,30,schedule,28,daysandweeksmessage,28,pregnancies,28,only,27,morning,25,information,25,partners,25,website,25,reproductive,24,call,24,does,24,first,23,click,23,hours,23,message,23,offer,23,through,22,what,22,enter,21,villa,21,linde,21,perioddate,21,date,21,feel,21,material,20,seo,20,cabaret,20,button,20,suite,20,trail,20,content,20,space,20,last,19,box-shadow,19,radius,19,inline,19,transparent,19,border-color,19,border,19,columns,19,take,19,"""ltr""",19,auto-generated,19,inset,19,staff,19,file,19,solid,19,shadow,19,effect,19,scrollable,19,elementorfrontendconfig,19,"""text""",19,faq,19,field,19,skip,19,one,18,people,18,may,17,resources,17,make,17,review,16,state,16,here,15,mean,15,procedure,15,please,15,patients,15,else,15,"""day""",14,they,14,pregnant,14,staffed,14,"""week""",14,remainingdays,14,pluraldaychar,14,pluralweekchar,14,estimate,14,each,14,length,14,abortions,14,law,14,"""womans""",14,"""based""",14,"""s""",14,standards,12,provide,12,having,12,also,12,safe,12,required,11,requires,11,before,11,way,10,below,10,any,10,non-surgical,10,check,10,support,10,least,10,national,10,find,10,available,10,marketing,10,time,9,free,9,today,9,materials,9,supportive,9,form,9,violence,9,many,9,facility,9,then,9,than,9,her,9,out,9,woman,9,online,9,difficult,9,sure,9,ultrasound,9,experience,9,visit,9,method,8,child,8,3
