,token,Total0,Total1,Total2,Total3,Total4,Total5
0,'action,14.0,7.0,14.0,0.0,0.0,0.0
1,'add,2.0,1.0,2.0,0.0,0.0,0.0
2,'amount,6.0,3.0,6.0,0.0,0.0,0.0
3,'appropriate,3.0,3.0,3.0,0.0,0.0,0.0
4,'as,4.0,3.0,4.0,0.0,0.0,0.0
5,'at,1.0,1.0,1.0,0.0,0.0,0.0
6,'back',8.0,4.0,8.0,0.0,0.0,0.0
7,'button',32.0,16.0,32.0,0.0,0.0,0.0
8,'by,2.0,1.0,2.0,0.0,0.0,0.0
9,'challenge,2.0,1.0,2.0,0.0,0.0,0.0
10,'code',4.0,2.0,4.0,0.0,0.0,0.0
11,'confirm,24.0,12.0,24.0,0.0,0.0,0.0
12,'confirm',2.0,1.0,2.0,0.0,0.0,0.0
13,'congratulations,1.0,1.0,1.0,0.0,0.0,0.0
14,'contain,16.0,8.0,16.0,0.0,0.0,0.0
15,'continue,4.0,2.0,4.0,0.0,0.0,0.0
16,'continue',2.0,1.0,2.0,0.0,0.0,0.0
17,'copyrightcontainer,30.0,15.0,30.0,0.0,0.0,0.0
18,'counter,2.0,1.0,2.0,0.0,0.0,0.0
19,'create,4.0,2.0,4.0,0.0,0.0,0.0
20,'dataviewliteproviders',8.0,4.0,8.0,0.0,0.0,0.0
21,'description',4.0,2.0,4.0,0.0,0.0,0.0
22,'dualloginsignuptype',2.0,1.0,2.0,0.0,0.0,0.0
23,'dynamic,24.0,12.0,24.0,0.0,0.0,0.0
24,'email,16.0,8.0,16.0,0.0,0.0,0.0
25,'enable,2.0,1.0,2.0,0.0,0.0,0.0
26,'end',1.0,1.0,1.0,0.0,0.0,0.0
27,'enrollintextalerts,2.0,1.0,2.0,0.0,0.0,0.0
28,'enter,4.0,2.0,4.0,0.0,0.0,0.0
29,'errorbox',34.0,17.0,34.0,0.0,0.0,0.0
30,'fake,1.0,1.0,1.0,0.0,0.0,0.0
31,'finding,4.0,4.0,4.0,0.0,0.0,0.0
32,'first,18.0,9.0,18.0,0.0,0.0,0.0
33,'flow,2.0,1.0,2.0,0.0,0.0,0.0
34,'forgot,10.0,5.0,10.0,0.0,0.0,0.0
35,'google,3.0,3.0,3.0,0.0,0.0,3.0
36,'government,1.0,1.0,1.0,0.0,0.0,0.0
37,'guarantor,18.0,9.0,18.0,0.0,0.0,0.0
38,'have,2.0,1.0,2.0,0.0,0.0,0.0
39,'headertitlebarbutton',2.0,1.0,2.0,0.0,0.0,0.0
40,'help',60.0,30.0,60.0,0.0,0.0,0.0
41,'hidden,30.0,15.0,30.0,0.0,0.0,0.0
42,'hiddenfield',32.0,16.0,32.0,0.0,0.0,0.0
43,'hiddenmd,240.0,120.0,240.0,0.0,0.0,0.0
44,'hiddenxs,150.0,75.0,150.0,0.0,0.0,0.0
45,'horizontalcentering,4.0,2.0,4.0,0.0,0.0,0.0
46,'href',2.0,1.0,2.0,0.0,0.0,0.0
47,'image',60.0,30.0,60.0,0.0,0.0,0.0
48,'in,19.0,10.0,19.0,0.0,0.0,0.0
49,'inactivity,2.0,1.0,2.0,0.0,0.0,0.0
50,'initial',2.0,2.0,2.0,0.0,0.0,0.0
51,'input,2.0,1.0,2.0,0.0,0.0,0.0
52,'instamedtool',40.0,20.0,40.0,0.0,0.0,0.0
53,'ispaymentflow,2.0,1.0,2.0,0.0,0.0,0.0
54,'json',8.0,4.0,8.0,0.0,0.0,0.0
55,'keep,2.0,1.0,2.0,0.0,0.0,0.0
56,'largetwelvecolumn,60.0,30.0,60.0,0.0,0.0,0.0
57,'last,18.0,9.0,18.0,0.0,0.0,0.0
58,'left',60.0,30.0,60.0,0.0,0.0,0.0
59,'link',2.0,1.0,2.0,0.0,0.0,0.0
60,'linkbuttoncontainer,60.0,30.0,60.0,0.0,0.0,0.0
61,'location,4.0,4.0,4.0,0.0,0.0,0.0
62,'log,154.0,77.0,154.0,0.0,0.0,0.0
